Orthogroup	Prbj	Prag
OG0000293	Prbj.g_00251	Prag.g_00208
OG0000294	Prbj.g_00252	Prag.g_00209
OG0000295	Prbj.g_00258	Prag.g_00210
OG0000296	Prbj.g_00259	Prag.g_00211
OG0000297	Prbj.g_00262	Prag.g_00212
OG0000298	Prbj.g_00263	Prag.g_00213
OG0000299	Prbj.g_00264	Prag.g_00214
OG0000300	Prbj.g_00265	Prag.g_00215
OG0000301	Prbj.g_00266	Prag.g_00216
OG0000302	Prbj.g_00267	Prag.g_00217
OG0000303	Prbj.g_00268	Prag.g_00218
OG0000304	Prbj.g_00270	Prag.g_00219
OG0000305	Prbj.g_00271	Prag.g_00220
OG0000306	Prbj.g_00272	Prag.g_00221
OG0000307	Prbj.g_00181	Prag.g_00222
OG0000308	Prbj.g_01775	Prag.g_00223
OG0000309	Prbj.g_01776	Prag.g_00224
OG0000310	Prbj.g_01777	Prag.g_00225
OG0000311	Prbj.g_00177	Prag.g_00226
OG0000312	Prbj.g_00176	Prag.g_00228
OG0000313	Prbj.g_02608	Prag.g_00229
OG0000314	Prbj.g_02614	Prag.g_00232
OG0000315	Prbj.g_02615	Prag.g_00233
OG0000316	Prbj.g_02661	Prag.g_00235
OG0000317	Prbj.g_01341	Prag.g_00237
OG0000318	Prbj.g_01342	Prag.g_00238
OG0000319	Prbj.g_01343	Prag.g_00239
OG0000320	Prbj.g_01345	Prag.g_00240
OG0000321	Prbj.g_01350	Prag.g_00243
OG0000322	Prbj.g_01359	Prag.g_00245
OG0000323	Prbj.g_01360	Prag.g_00246
OG0000324	Prbj.g_01362	Prag.g_00249
OG0000325	Prbj.g_01364	Prag.g_00250
OG0000326	Prbj.g_01366	Prag.g_00251
OG0000327	Prbj.g_01372	Prag.g_00253
OG0000328	Prbj.g_00180	Prag.g_00254
OG0000329	Prbj.g_01385	Prag.g_00255
OG0000330	Prbj.g_01386	Prag.g_00256
OG0000331	Prbj.g_01388	Prag.g_00257
OG0000332	Prbj.g_01389	Prag.g_00258
OG0000333	Prbj.g_01390	Prag.g_00259
OG0000334	Prbj.g_01391	Prag.g_00260
OG0000335	Prbj.g_01392	Prag.g_00261
OG0000336	Prbj.g_01394	Prag.g_00262
OG0000337	Prbj.g_01399	Prag.g_00266
OG0000338	Prbj.g_01400	Prag.g_00267
OG0000339	Prbj.g_01401	Prag.g_00268
OG0000340	Prbj.g_01403	Prag.g_00269
OG0000341	Prbj.g_01408	Prag.g_00273
OG0000342	Prbj.g_01409	Prag.g_00274
OG0000343	Prbj.g_01411	Prag.g_00276
OG0000344	Prbj.g_01413	Prag.g_00277
OG0000345	Prbj.g_01414	Prag.g_00278
OG0000346	Prbj.g_01415	Prag.g_00279
OG0000347	Prbj.g_01416	Prag.g_00280
OG0000348	Prbj.g_01417	Prag.g_00281
OG0000349	Prbj.g_01418	Prag.g_00282
OG0000350	Prbj.g_01419	Prag.g_00283
OG0000351	Prbj.g_01423	Prag.g_00286
OG0000352	Prbj.g_01427	Prag.g_00289
OG0000353	Prbj.g_01430	Prag.g_00290
OG0000354	Prbj.g_01431	Prag.g_00291
OG0000355	Prbj.g_01432	Prag.g_00292
OG0000356	Prbj.g_01437	Prag.g_00293
OG0000357	Prbj.g_01438	Prag.g_00294
OG0000358	Prbj.g_01439	Prag.g_00295
OG0000359	Prbj.g_01441	Prag.g_00296
OG0000360	Prbj.g_01444	Prag.g_00299
OG0000361	Prbj.g_01445	Prag.g_00300
OG0000362	Prbj.g_01446	Prag.g_00301
OG0000363	Prbj.g_01448	Prag.g_00302
OG0000364	Prbj.g_01449	Prag.g_00303
OG0000365	Prbj.g_01450	Prag.g_00304
OG0000366	Prbj.g_01451	Prag.g_00305
OG0000367	Prbj.g_01452	Prag.g_00306
OG0000368	Prbj.g_01453	Prag.g_00307
OG0000369	Prbj.g_01454	Prag.g_00308
OG0000370	Prbj.g_01455	Prag.g_00309
OG0000371	Prbj.g_01456	Prag.g_00310
OG0000372	Prbj.g_01459	Prag.g_00312
OG0000373	Prbj.g_01469	Prag.g_00314
OG0000374	Prbj.g_01471	Prag.g_00315
OG0000375	Prbj.g_01480	Prag.g_00316
OG0000376	Prbj.g_00359	Prag.g_00318
OG0000377	Prbj.g_00352	Prag.g_00319
OG0000378	Prbj.g_00351	Prag.g_00320
OG0000379	Prbj.g_00341	Prag.g_00329
OG0000380	Prbj.g_00339	Prag.g_00330
OG0000381	Prbj.g_00338	Prag.g_00331
OG0000382	Prbj.g_00336	Prag.g_00333
OG0000383	Prbj.g_00331	Prag.g_00336
OG0000384	Prbj.g_00330	Prag.g_00337
OG0000385	Prbj.g_00324	Prag.g_00339
OG0000386	Prbj.g_00323	Prag.g_00340
OG0000387	Prbj.g_00322	Prag.g_00341
OG0000388	Prbj.g_00321	Prag.g_00342
OG0000389	Prbj.g_00320	Prag.g_00343
OG0000390	Prbj.g_00319	Prag.g_00344
OG0000391	Prbj.g_00318	Prag.g_00345
OG0000392	Prbj.g_00317	Prag.g_00346
OG0000393	Prbj.g_00063	Prag.g_00349
OG0000394	Prbj.g_00064	Prag.g_00350
OG0000395	Prbj.g_00068	Prag.g_00352
OG0000396	Prbj.g_02500	Prag.g_00353
OG0000397	Prbj.g_00563	Prag.g_00365
OG0000398	Prbj.g_00874	Prag.g_00372
OG0000399	Prbj.g_00689	Prag.g_00373
OG0000400	Prbj.g_02659	Prag.g_00378
OG0000401	Prbj.g_00076	Prag.g_00410
OG0000402	Prbj.g_00077	Prag.g_00411
OG0000403	Prbj.g_00089	Prag.g_00412
OG0000404	Prbj.g_00099	Prag.g_00414
OG0000405	Prbj.g_00100	Prag.g_00415
OG0000406	Prbj.g_00102	Prag.g_00417
OG0000407	Prbj.g_00103	Prag.g_00418
OG0000408	Prbj.g_00104	Prag.g_00419
OG0000409	Prbj.g_00105	Prag.g_00420
OG0000410	Prbj.g_00107	Prag.g_00421
OG0000411	Prbj.g_00108	Prag.g_00422
OG0000412	Prbj.g_00109	Prag.g_00423
OG0000413	Prbj.g_00110	Prag.g_00424
OG0000414	Prbj.g_00111	Prag.g_00425
OG0000415	Prbj.g_00112	Prag.g_00426
OG0000416	Prbj.g_00113	Prag.g_00427
OG0000417	Prbj.g_00117	Prag.g_00428
OG0000418	Prbj.g_00118	Prag.g_00429
OG0000419	Prbj.g_00119	Prag.g_00430
OG0000420	Prbj.g_00120	Prag.g_00431
OG0000421	Prbj.g_01894	Prag.g_00432
OG0000422	Prbj.g_01892	Prag.g_00434
OG0000423	Prbj.g_01891	Prag.g_00435
OG0000424	Prbj.g_01888	Prag.g_00437
OG0000425	Prbj.g_00152	Prag.g_00440
OG0000426	Prbj.g_00151	Prag.g_00441
OG0000427	Prbj.g_00148	Prag.g_00442
OG0000428	Prbj.g_00136	Prag.g_00443
OG0000429	Prbj.g_00134	Prag.g_00444
OG0000430	Prbj.g_00132	Prag.g_00450
OG0000431	Prbj.g_00130	Prag.g_00452
OG0000432	Prbj.g_00129	Prag.g_00453
OG0000433	Prbj.g_01638	Prag.g_00456
OG0000434	Prbj.g_01635	Prag.g_00457
OG0000435	Prbj.g_01631	Prag.g_00458
OG0000436	Prbj.g_01629	Prag.g_00460
OG0000437	Prbj.g_01627	Prag.g_00462
OG0000438	Prbj.g_01626	Prag.g_00463
OG0000439	Prbj.g_01625	Prag.g_00464
OG0000440	Prbj.g_01622	Prag.g_00466
OG0000441	Prbj.g_01620	Prag.g_00467
OG0000442	Prbj.g_01619	Prag.g_00468
OG0000443	Prbj.g_01618	Prag.g_00469
OG0000444	Prbj.g_01617	Prag.g_00470
