Orthogroup	Prbj	Prag
OG0000563	Prbj.g_02580	Prag.g_00619
OG0000564	Prbj.g_02581	Prag.g_00620
OG0000565	Prbj.g_02589	Prag.g_00621
OG0000566	Prbj.g_02590	Prag.g_00622
OG0000567	Prbj.g_02591	Prag.g_00623
OG0000568	Prbj.g_02592	Prag.g_00624
OG0000569	Prbj.g_02593	Prag.g_00625
OG0000570	Prbj.g_02596	Prag.g_00626
OG0000571	Prbj.g_02597	Prag.g_00627
OG0000572	Prbj.g_02598	Prag.g_00628
OG0000573	Prbj.g_00794	Prag.g_00631
OG0000574	Prbj.g_00803	Prag.g_00632
OG0000575	Prbj.g_00804	Prag.g_00633
OG0000576	Prbj.g_00805	Prag.g_00634
OG0000577	Prbj.g_00806	Prag.g_00635
OG0000578	Prbj.g_00807	Prag.g_00636
OG0000579	Prbj.g_00809	Prag.g_00637
OG0000580	Prbj.g_00812	Prag.g_00638
OG0000581	Prbj.g_00813	Prag.g_00639
OG0000582	Prbj.g_00815	Prag.g_00640
OG0000583	Prbj.g_00816	Prag.g_00641
OG0000584	Prbj.g_00818	Prag.g_00642
OG0000585	Prbj.g_00819	Prag.g_00643
OG0000586	Prbj.g_00821	Prag.g_00645
OG0000587	Prbj.g_00822	Prag.g_00646
OG0000588	Prbj.g_00825	Prag.g_00648
OG0000589	Prbj.g_02707	Prag.g_00649
OG0000590	Prbj.g_01466	Prag.g_00651
OG0000591	Prbj.g_00184	Prag.g_00657
OG0000592	Prbj.g_00760	Prag.g_00658
OG0000593	Prbj.g_00248	Prag.g_00659
OG0000594	Prbj.g_02453	Prag.g_00661
OG0000595	Prbj.g_02636	Prag.g_00662
OG0000596	Prbj.g_00943	Prag.g_00663
OG0000597	Prbj.g_00921	Prag.g_00665
OG0000598	Prbj.g_00927	Prag.g_00666
OG0000599	Prbj.g_00931	Prag.g_00667
OG0000600	Prbj.g_00932	Prag.g_00668
OG0000601	Prbj.g_00946	Prag.g_00670
OG0000602	Prbj.g_00947	Prag.g_00671
OG0000603	Prbj.g_00948	Prag.g_00672
OG0000604	Prbj.g_00754	Prag.g_00673
OG0000605	Prbj.g_00755	Prag.g_00674
OG0000606	Prbj.g_00757	Prag.g_00675
OG0000607	Prbj.g_00759	Prag.g_00677
OG0000608	Prbj.g_02373	Prag.g_00678
OG0000609	Prbj.g_02057	Prag.g_00682
OG0000610	Prbj.g_00168	Prag.g_00683
OG0000611	Prbj.g_02180	Prag.g_00693
OG0000612	Prbj.g_02181	Prag.g_00694
OG0000613	Prbj.g_02182	Prag.g_00695
OG0000614	Prbj.g_02183	Prag.g_00696
OG0000615	Prbj.g_02184	Prag.g_00698
OG0000616	Prbj.g_02185	Prag.g_00699
OG0000617	Prbj.g_02186	Prag.g_00700
OG0000618	Prbj.g_02187	Prag.g_00701
OG0000619	Prbj.g_02189	Prag.g_00702
OG0000620	Prbj.g_02190	Prag.g_00703
OG0000621	Prbj.g_02191	Prag.g_00704
OG0000622	Prbj.g_02192	Prag.g_00705
OG0000623	Prbj.g_02193	Prag.g_00706
OG0000624	Prbj.g_02194	Prag.g_00707
OG0000625	Prbj.g_02195	Prag.g_00708
OG0000626	Prbj.g_02196	Prag.g_00709
OG0000627	Prbj.g_02320	Prag.g_00710
OG0000628	Prbj.g_02319	Prag.g_00711
OG0000629	Prbj.g_02316	Prag.g_00712
OG0000630	Prbj.g_02315	Prag.g_00713
OG0000631	Prbj.g_02312	Prag.g_00715
OG0000632	Prbj.g_00773	Prag.g_00740
OG0000633	Prbj.g_01884	Prag.g_00744
OG0000634	Prbj.g_01607	Prag.g_00758
OG0000635	Prbj.g_02276	Prag.g_00771
OG0000636	Prbj.g_02277	Prag.g_00772
OG0000637	Prbj.g_02278	Prag.g_00773
OG0000638	Prbj.g_00347	Prag.g_00784
OG0000639	Prbj.g_01337	Prag.g_00793
OG0000640	Prbj.g_02311	Prag.g_00795
OG0000641	Prbj.g_02306	Prag.g_00797
OG0000642	Prbj.g_02305	Prag.g_00798
OG0000643	Prbj.g_02304	Prag.g_00799
OG0000644	Prbj.g_02406	Prag.g_00800
OG0000645	Prbj.g_02407	Prag.g_00801
OG0000646	Prbj.g_02408	Prag.g_00802
OG0000647	Prbj.g_02409	Prag.g_00803
OG0000648	Prbj.g_02411	Prag.g_00805
OG0000649	Prbj.g_02412	Prag.g_00806
OG0000650	Prbj.g_02413	Prag.g_00807
OG0000651	Prbj.g_02414	Prag.g_00808
OG0000652	Prbj.g_02415	Prag.g_00809
OG0000653	Prbj.g_02416	Prag.g_00810
OG0000654	Prbj.g_02418	Prag.g_00812
OG0000655	Prbj.g_02420	Prag.g_00814
OG0000656	Prbj.g_02421	Prag.g_00815
OG0000657	Prbj.g_02422	Prag.g_00816
OG0000658	Prbj.g_02423	Prag.g_00817
OG0000659	Prbj.g_02424	Prag.g_00818
OG0000660	Prbj.g_02425	Prag.g_00819
OG0000661	Prbj.g_02427	Prag.g_00820
OG0000662	Prbj.g_02430	Prag.g_00821
OG0000663	Prbj.g_02431	Prag.g_00822
OG0000664	Prbj.g_02432	Prag.g_00823
OG0000665	Prbj.g_02433	Prag.g_00824
OG0000666	Prbj.g_02434	Prag.g_00825
OG0000667	Prbj.g_02435	Prag.g_00826
OG0000668	Prbj.g_02436	Prag.g_00827
OG0000669	Prbj.g_02438	Prag.g_00829
OG0000670	Prbj.g_02439	Prag.g_00830
OG0000671	Prbj.g_02440	Prag.g_00831
OG0000672	Prbj.g_02441	Prag.g_00832
OG0000673	Prbj.g_02442	Prag.g_00833
OG0000674	Prbj.g_02443	Prag.g_00834
OG0000675	Prbj.g_02470	Prag.g_00835
OG0000676	Prbj.g_02471	Prag.g_00836
OG0000677	Prbj.g_02474	Prag.g_00838
OG0000678	Prbj.g_02476	Prag.g_00840
OG0000679	Prbj.g_02478	Prag.g_00841
OG0000680	Prbj.g_02479	Prag.g_00842
OG0000681	Prbj.g_02480	Prag.g_00843
OG0000682	Prbj.g_02481	Prag.g_00844
OG0000683	Prbj.g_02483	Prag.g_00846
OG0000684	Prbj.g_02484	Prag.g_00847
OG0000685	Prbj.g_02485	Prag.g_00848
OG0000686	Prbj.g_02486	Prag.g_00849
OG0000687	Prbj.g_02487	Prag.g_00850
OG0000688	Prbj.g_02488	Prag.g_00851
OG0000689	Prbj.g_02490	Prag.g_00852
OG0000690	Prbj.g_02491	Prag.g_00853
OG0000691	Prbj.g_02492	Prag.g_00854
OG0000692	Prbj.g_02503	Prag.g_00856
OG0000693	Prbj.g_02504	Prag.g_00857
OG0000694	Prbj.g_02507	Prag.g_00858
OG0000695	Prbj.g_02511	Prag.g_00859
OG0000696	Prbj.g_02512	Prag.g_00860
OG0000697	Prbj.g_02514	Prag.g_00862
OG0000698	Prbj.g_02323	Prag.g_00864
OG0000699	Prbj.g_02199	Prag.g_00865
OG0000700	Prbj.g_02215	Prag.g_00892
OG0000701	Prbj.g_01553	Prag.g_00895
OG0000702	Prbj.g_02523	Prag.g_00898
OG0000703	Prbj.g_02333	Prag.g_00899
OG0000704	Prbj.g_00044	Prag.g_00900
OG0000705	Prbj.g_02334	Prag.g_00901
OG0000706	Prbj.g_02335	Prag.g_00902
OG0000707	Prbj.g_02337	Prag.g_00903
OG0000708	Prbj.g_02338	Prag.g_00904
OG0000709	Prbj.g_02340	Prag.g_00906
OG0000710	Prbj.g_02341	Prag.g_00907
OG0000711	Prbj.g_02342	Prag.g_00908
OG0000712	Prbj.g_02343	Prag.g_00909
OG0000713	Prbj.g_02344	Prag.g_00910
OG0000714	Prbj.g_02352	Prag.g_00912
OG0000715	Prbj.g_02354	Prag.g_00913
OG0000716	Prbj.g_02359	Prag.g_00915
OG0000717	Prbj.g_02361	Prag.g_00916
OG0000718	Prbj.g_02364	Prag.g_00917
OG0000719	Prbj.g_02379	Prag.g_00919
OG0000720	Prbj.g_02380	Prag.g_00920
OG0000721	Prbj.g_02382	Prag.g_00922
OG0000722	Prbj.g_02383	Prag.g_00923
OG0000723	Prbj.g_02384	Prag.g_00924
OG0000724	Prbj.g_02397	Prag.g_00926
OG0000725	Prbj.g_02396	Prag.g_00927
OG0000726	Prbj.g_02395	Prag.g_00928
OG0000727	Prbj.g_02394	Prag.g_00929
OG0000728	Prbj.g_02393	Prag.g_00930
OG0000729	Prbj.g_02391	Prag.g_00931
OG0000730	Prbj.g_02388	Prag.g_00932
OG0000731	Prbj.g_02399	Prag.g_00933
OG0000732	Prbj.g_02400	Prag.g_00934
OG0000733	Prbj.g_02401	Prag.g_00935
OG0000734	Prbj.g_02402	Prag.g_00936
OG0000735	Prbj.g_02403	Prag.g_00938
OG0000736	Prbj.g_02404	Prag.g_00939
OG0000737	Prbj.g_02405	Prag.g_00940
OG0000738	Prbj.g_02303	Prag.g_00941
OG0000739	Prbj.g_02302	Prag.g_00942
OG0000740	Prbj.g_02301	Prag.g_00943
OG0000741	Prbj.g_02299	Prag.g_00944
OG0000742	Prbj.g_02297	Prag.g_00946
OG0000743	Prbj.g_02296	Prag.g_00947
OG0000744	Prbj.g_02294	Prag.g_00948
OG0000745	Prbj.g_02293	Prag.g_00949
OG0000746	Prbj.g_02292	Prag.g_00950
OG0000747	Prbj.g_00694	Prag.g_00951
OG0000748	Prbj.g_02284	Prag.g_00952
OG0000749	Prbj.g_02283	Prag.g_00953
OG0000750	Prbj.g_02281	Prag.g_00954
OG0000751	Prbj.g_02280	Prag.g_00955
OG0000752	Prbj.g_01984	Prag.g_00956
OG0000753	Prbj.g_02275	Prag.g_00958
OG0000754	Prbj.g_02274	Prag.g_00959
OG0000755	Prbj.g_02273	Prag.g_00960
OG0000756	Prbj.g_02271	Prag.g_00961
OG0000757	Prbj.g_02270	Prag.g_00962
OG0000758	Prbj.g_02269	Prag.g_00963
OG0000759	Prbj.g_02264	Prag.g_00965
OG0000760	Prbj.g_02263	Prag.g_00966
OG0000761	Prbj.g_02261	Prag.g_00967
OG0000762	Prbj.g_02259	Prag.g_00969
OG0000763	Prbj.g_02257	Prag.g_00970
OG0000764	Prbj.g_02255	Prag.g_00971
OG0000765	Prbj.g_02254	Prag.g_00972
OG0000766	Prbj.g_02253	Prag.g_00973
OG0000767	Prbj.g_02251	Prag.g_00975
OG0000768	Prbj.g_02250	Prag.g_00976
OG0000769	Prbj.g_02249	Prag.g_00977
OG0000770	Prbj.g_02248	Prag.g_00978
OG0000771	Prbj.g_02247	Prag.g_00979
OG0000772	Prbj.g_00722	Prag.g_00980
OG0000773	Prbj.g_02245	Prag.g_00981
OG0000774	Prbj.g_02243	Prag.g_00982
OG0000775	Prbj.g_02241	Prag.g_00983
OG0000776	Prbj.g_02237	Prag.g_00985
OG0000777	Prbj.g_02236	Prag.g_00987
OG0000778	Prbj.g_02235	Prag.g_00988
OG0000779	Prbj.g_02231	Prag.g_00989
OG0000780	Prbj.g_02229	Prag.g_00991
OG0000781	Prbj.g_02225	Prag.g_00993
OG0000782	Prbj.g_02224	Prag.g_00994
OG0000783	Prbj.g_02219	Prag.g_01005
OG0000784	Prbj.g_02217	Prag.g_01007
OG0000785	Prbj.g_02216	Prag.g_01008
OG0000786	Prbj.g_02214	Prag.g_01009
OG0000787	Prbj.g_02213	Prag.g_01010
OG0000788	Prbj.g_02207	Prag.g_01014
OG0000789	Prbj.g_02204	Prag.g_01016
OG0000790	Prbj.g_01985	Prag.g_01017
OG0000791	Prbj.g_02203	Prag.g_01018
OG0000792	Prbj.g_02202	Prag.g_01019
OG0000793	Prbj.g_02201	Prag.g_01020
OG0000794	Prbj.g_02198	Prag.g_01022
OG0000795	Prbj.g_01850	Prag.g_01025
OG0000796	Prbj.g_01849	Prag.g_01026
OG0000797	Prbj.g_01846	Prag.g_01028
OG0000798	Prbj.g_01845	Prag.g_01029
OG0000799	Prbj.g_01844	Prag.g_01030
OG0000800	Prbj.g_01843	Prag.g_01031
OG0000801	Prbj.g_01840	Prag.g_01034
OG0000802	Prbj.g_01839	Prag.g_01035
OG0000803	Prbj.g_01836	Prag.g_01037
OG0000804	Prbj.g_01835	Prag.g_01038
OG0000805	Prbj.g_01834	Prag.g_01039
OG0000806	Prbj.g_01833	Prag.g_01041
OG0000807	Prbj.g_02687	Prag.g_01066
OG0000808	Prbj.g_02537	Prag.g_01076
OG0000809	Prbj.g_01669	Prag.g_01079
OG0000810	Prbj.g_00696	Prag.g_01080
OG0000811	Prbj.g_01289	Prag.g_01087
OG0000812	Prbj.g_00343	Prag.g_01091
OG0000813	Prbj.g_00333	Prag.g_01095
OG0000814	Prbj.g_00634	Prag.g_01097
OG0000815	Prbj.g_02555	Prag.g_01106
OG0000816	Prbj.g_01997	Prag.g_01121
OG0000817	Prbj.g_01991	Prag.g_01122
OG0000818	Prbj.g_01336	Prag.g_01127
OG0000819	Prbj.g_00641	Prag.g_01134
OG0000820	Prbj.g_00627	Prag.g_01138
OG0000821	Prbj.g_00953	Prag.g_01140
OG0000822	Prbj.g_00954	Prag.g_01141
OG0000823	Prbj.g_00955	Prag.g_01142
OG0000824	Prbj.g_00956	Prag.g_01143
OG0000825	Prbj.g_00958	Prag.g_01144
OG0000826	Prbj.g_00959	Prag.g_01145
OG0000827	Prbj.g_00962	Prag.g_01146
OG0000828	Prbj.g_00964	Prag.g_01147
OG0000829	Prbj.g_00965	Prag.g_01148
OG0000830	Prbj.g_00968	Prag.g_01149
OG0000831	Prbj.g_00970	Prag.g_01152
OG0000832	Prbj.g_00972	Prag.g_01154
OG0000833	Prbj.g_00973	Prag.g_01155
OG0000834	Prbj.g_00846	Prag.g_01156
OG0000835	Prbj.g_00845	Prag.g_01157
OG0000836	Prbj.g_00844	Prag.g_01158
OG0000837	Prbj.g_00834	Prag.g_01160
OG0000838	Prbj.g_00832	Prag.g_01161
OG0000839	Prbj.g_00831	Prag.g_01162
OG0000840	Prbj.g_00830	Prag.g_01163
OG0000841	Prbj.g_00829	Prag.g_01164
OG0000842	Prbj.g_00304	Prag.g_01165
OG0000843	Prbj.g_00305	Prag.g_01166
OG0000844	Prbj.g_00307	Prag.g_01167
OG0000845	Prbj.g_00308	Prag.g_01168
OG0000846	Prbj.g_00311	Prag.g_01171
OG0000847	Prbj.g_00312	Prag.g_01173
OG0000848	Prbj.g_01910	Prag.g_01174
OG0000849	Prbj.g_01913	Prag.g_01175
OG0000850	Prbj.g_01914	Prag.g_01176
OG0000851	Prbj.g_00002	Prag.g_01177
OG0000852	Prbj.g_00004	Prag.g_01179
OG0000853	Prbj.g_00006	Prag.g_01180
OG0000854	Prbj.g_00008	Prag.g_01182
OG0000855	Prbj.g_00009	Prag.g_01183
OG0000856	Prbj.g_00010	Prag.g_01184
OG0000857	Prbj.g_00011	Prag.g_01185
OG0000858	Prbj.g_00012	Prag.g_01186
OG0000859	Prbj.g_00013	Prag.g_01187
OG0000860	Prbj.g_00014	Prag.g_01188
OG0000861	Prbj.g_01908	Prag.g_01189
OG0000862	Prbj.g_01907	Prag.g_01190
OG0000863	Prbj.g_01906	Prag.g_01191
OG0000864	Prbj.g_01905	Prag.g_01192
OG0000865	Prbj.g_01903	Prag.g_01193
OG0000866	Prbj.g_02152	Prag.g_01194
OG0000867	Prbj.g_02153	Prag.g_01195
OG0000868	Prbj.g_02155	Prag.g_01196
OG0000869	Prbj.g_02158	Prag.g_01198
OG0000870	Prbj.g_02159	Prag.g_01199
OG0000871	Prbj.g_02163	Prag.g_01201
OG0000872	Prbj.g_02164	Prag.g_01202
OG0000873	Prbj.g_02166	Prag.g_01204
OG0000874	Prbj.g_02167	Prag.g_01205
OG0000875	Prbj.g_00314	Prag.g_01206
OG0000876	Prbj.g_00313	Prag.g_01207
OG0000877	Prbj.g_00019	Prag.g_01209
OG0000878	Prbj.g_01679	Prag.g_01328
OG0000879	Prbj.g_00163	Prag.g_01342
OG0000880	Prbj.g_00162	Prag.g_01343
OG0000881	Prbj.g_00161	Prag.g_01344
OG0000882	Prbj.g_01717	Prag.g_01345
OG0000883	Prbj.g_01719	Prag.g_01346
OG0000884	Prbj.g_01721	Prag.g_01350
OG0000885	Prbj.g_01722	Prag.g_01351
OG0000886	Prbj.g_01723	Prag.g_01352
OG0000887	Prbj.g_01724	Prag.g_01353
OG0000888	Prbj.g_01725	Prag.g_01354
OG0000889	Prbj.g_01729	Prag.g_01357
OG0000890	Prbj.g_01732	Prag.g_01358
OG0000891	Prbj.g_01733	Prag.g_01359
OG0000892	Prbj.g_01736	Prag.g_01361
OG0000893	Prbj.g_01737	Prag.g_01362
OG0000894	Prbj.g_01738	Prag.g_01363
OG0000895	Prbj.g_01739	Prag.g_01364
OG0000896	Prbj.g_01740	Prag.g_01365
OG0000897	Prbj.g_01741	Prag.g_01366
OG0000898	Prbj.g_01744	Prag.g_01368
OG0000899	Prbj.g_01745	Prag.g_01369
OG0000900	Prbj.g_00669	Prag.g_01371
OG0000901	Prbj.g_00121	Prag.g_01375
OG0000902	Prbj.g_00094	Prag.g_01376
OG0000903	Prbj.g_02508	Prag.g_01377
OG0000904	Prbj.g_00687	Prag.g_01379
OG0000905	Prbj.g_01837	Prag.g_01381
OG0000906	Prbj.g_02689	Prag.g_01383
OG0000907	Prbj.g_02521	Prag.g_01384
OG0000908	Prbj.g_00873	Prag.g_01387
OG0000909	Prbj.g_01640	Prag.g_01391
OG0000910	Prbj.g_01641	Prag.g_01392
OG0000911	Prbj.g_01642	Prag.g_01393
OG0000912	Prbj.g_01643	Prag.g_01394
OG0000913	Prbj.g_01644	Prag.g_01395
OG0000914	Prbj.g_01645	Prag.g_01396
OG0000915	Prbj.g_01646	Prag.g_01397
OG0000916	Prbj.g_01647	Prag.g_01398
OG0000917	Prbj.g_01649	Prag.g_01399
OG0000918	Prbj.g_01650	Prag.g_01400
OG0000919	Prbj.g_01651	Prag.g_01401
OG0000920	Prbj.g_01652	Prag.g_01402
OG0000921	Prbj.g_01653	Prag.g_01403
OG0000922	Prbj.g_01654	Prag.g_01404
OG0000923	Prbj.g_01655	Prag.g_01405
OG0000924	Prbj.g_01656	Prag.g_01406
OG0000925	Prbj.g_01657	Prag.g_01407
OG0000926	Prbj.g_01514	Prag.g_01425
OG0000927	Prbj.g_01304	Prag.g_01470
OG0000928	Prbj.g_01303	Prag.g_01471
OG0000929	Prbj.g_01302	Prag.g_01472
OG0000930	Prbj.g_01294	Prag.g_01473
OG0000931	Prbj.g_01293	Prag.g_01474
OG0000932	Prbj.g_01041	Prag.g_01476
OG0000933	Prbj.g_01043	Prag.g_01477
OG0000934	Prbj.g_01044	Prag.g_01478
OG0000935	Prbj.g_01045	Prag.g_01479
OG0000936	Prbj.g_01046	Prag.g_01480
OG0000937	Prbj.g_01047	Prag.g_01481
OG0000938	Prbj.g_01049	Prag.g_01482
OG0000939	Prbj.g_01050	Prag.g_01483
OG0000940	Prbj.g_01052	Prag.g_01484
OG0000941	Prbj.g_01054	Prag.g_01486
OG0000942	Prbj.g_01055	Prag.g_01487
OG0000943	Prbj.g_01058	Prag.g_01492
OG0000944	Prbj.g_01067	Prag.g_01493
OG0000945	Prbj.g_01068	Prag.g_01494
OG0000946	Prbj.g_01069	Prag.g_01495
OG0000947	Prbj.g_01070	Prag.g_01496
OG0000948	Prbj.g_01071	Prag.g_01497
OG0000949	Prbj.g_01072	Prag.g_01498
OG0000950	Prbj.g_01073	Prag.g_01499
OG0000951	Prbj.g_01074	Prag.g_01500
OG0000952	Prbj.g_01075	Prag.g_01501
OG0000953	Prbj.g_01076	Prag.g_01502
OG0000954	Prbj.g_01077	Prag.g_01503
OG0000955	Prbj.g_01078	Prag.g_01504
OG0000956	Prbj.g_01079	Prag.g_01505
OG0000957	Prbj.g_01080	Prag.g_01506
OG0000958	Prbj.g_00631	Prag.g_01507
OG0000959	Prbj.g_00632	Prag.g_01508
OG0000960	Prbj.g_00633	Prag.g_01509
OG0000961	Prbj.g_00640	Prag.g_01512
OG0000962	Prbj.g_00642	Prag.g_01513
OG0000963	Prbj.g_00643	Prag.g_01514
OG0000964	Prbj.g_00646	Prag.g_01516
OG0000965	Prbj.g_00647	Prag.g_01517
OG0000966	Prbj.g_00648	Prag.g_01518
OG0000967	Prbj.g_00649	Prag.g_01519
OG0000968	Prbj.g_00650	Prag.g_01520
OG0000969	Prbj.g_00651	Prag.g_01521
OG0000970	Prbj.g_00652	Prag.g_01523
OG0000971	Prbj.g_00653	Prag.g_01524
OG0000972	Prbj.g_00654	Prag.g_01525
OG0000973	Prbj.g_00655	Prag.g_01526
OG0000974	Prbj.g_00657	Prag.g_01528
OG0000975	Prbj.g_00036	Prag.g_01531
OG0000976	Prbj.g_01674	Prag.g_01533
OG0000977	Prbj.g_01684	Prag.g_01534
OG0000978	Prbj.g_01686	Prag.g_01535
OG0000979	Prbj.g_01688	Prag.g_01537
OG0000980	Prbj.g_01689	Prag.g_01538
OG0000981	Prbj.g_02538	Prag.g_01539
OG0000982	Prbj.g_01690	Prag.g_01540
OG0000983	Prbj.g_01692	Prag.g_01542
OG0000984	Prbj.g_01693	Prag.g_01543
OG0000985	Prbj.g_01694	Prag.g_01544
OG0000986	Prbj.g_01696	Prag.g_01545
OG0000987	Prbj.g_01697	Prag.g_01546
OG0000988	Prbj.g_01699	Prag.g_01547
OG0000989	Prbj.g_01700	Prag.g_01548
OG0000990	Prbj.g_01701	Prag.g_01549
OG0000991	Prbj.g_01702	Prag.g_01550
OG0000992	Prbj.g_01703	Prag.g_01551
OG0000993	Prbj.g_01704	Prag.g_01552
OG0000994	Prbj.g_01705	Prag.g_01553
OG0000995	Prbj.g_01707	Prag.g_01554
OG0000996	Prbj.g_01708	Prag.g_01555
OG0000997	Prbj.g_01709	Prag.g_01556
OG0000998	Prbj.g_01710	Prag.g_01557
OG0000999	Prbj.g_01711	Prag.g_01558
OG0001000	Prbj.g_01712	Prag.g_01559
OG0001001	Prbj.g_01713	Prag.g_01561
OG0001002	Prbj.g_00888	Prag.g_01562
OG0001003	Prbj.g_00887	Prag.g_01563
OG0001004	Prbj.g_00185	Prag.g_01564
OG0001005	Prbj.g_00884	Prag.g_01565
OG0001006	Prbj.g_00883	Prag.g_01566
OG0001007	Prbj.g_00882	Prag.g_01567
OG0001008	Prbj.g_00880	Prag.g_01569
OG0001009	Prbj.g_00879	Prag.g_01570
OG0001010	Prbj.g_02535	Prag.g_01576
OG0001011	Prbj.g_02561	Prag.g_01583
OG0001012	Prbj.g_02429	Prag.g_01611
OG0001013	Prbj.g_00868	Prag.g_01663
OG0001014	Prbj.g_00867	Prag.g_01664
OG0001015	Prbj.g_00856	Prag.g_01670
OG0001016	Prbj.g_00855	Prag.g_01671
OG0001017	Prbj.g_00854	Prag.g_01672
OG0001018	Prbj.g_00852	Prag.g_01673
OG0001019	Prbj.g_00495	Prag.g_01675
OG0001020	Prbj.g_00494	Prag.g_01676
OG0001021	Prbj.g_00493	Prag.g_01677
OG0001022	Prbj.g_00492	Prag.g_01678
OG0001023	Prbj.g_00491	Prag.g_01679
OG0001024	Prbj.g_00489	Prag.g_01680
OG0001025	Prbj.g_00488	Prag.g_01681
OG0001026	Prbj.g_00487	Prag.g_01683
OG0001027	Prbj.g_00486	Prag.g_01684
OG0001028	Prbj.g_00485	Prag.g_01685
OG0001029	Prbj.g_00484	Prag.g_01686
OG0001030	Prbj.g_00483	Prag.g_01687
OG0001031	Prbj.g_00482	Prag.g_01688
OG0001032	Prbj.g_00481	Prag.g_01689
OG0001033	Prbj.g_00480	Prag.g_01690
OG0001034	Prbj.g_00478	Prag.g_01691
OG0001035	Prbj.g_00476	Prag.g_01693
OG0001036	Prbj.g_00475	Prag.g_01694
OG0001037	Prbj.g_00473	Prag.g_01695
OG0001038	Prbj.g_00472	Prag.g_01696
OG0001039	Prbj.g_00471	Prag.g_01697
OG0001040	Prbj.g_00470	Prag.g_01698
OG0001041	Prbj.g_00469	Prag.g_01699
OG0001042	Prbj.g_00467	Prag.g_01700
OG0001043	Prbj.g_00466	Prag.g_01701
OG0001044	Prbj.g_00465	Prag.g_01702
OG0001045	Prbj.g_00464	Prag.g_01703
OG0001046	Prbj.g_00463	Prag.g_01704
OG0001047	Prbj.g_00459	Prag.g_01707
OG0001048	Prbj.g_00457	Prag.g_01709
OG0001049	Prbj.g_00456	Prag.g_01710
OG0001050	Prbj.g_00455	Prag.g_01711
OG0001051	Prbj.g_00454	Prag.g_01712
OG0001052	Prbj.g_00453	Prag.g_01713
OG0001053	Prbj.g_00451	Prag.g_01715
OG0001054	Prbj.g_00449	Prag.g_01717
OG0001055	Prbj.g_00448	Prag.g_01718
OG0001056	Prbj.g_00447	Prag.g_01719
OG0001057	Prbj.g_00446	Prag.g_01720
OG0001058	Prbj.g_00445	Prag.g_01721
OG0001059	Prbj.g_00444	Prag.g_01722
OG0001060	Prbj.g_00443	Prag.g_01723
OG0001061	Prbj.g_00442	Prag.g_01724
OG0001062	Prbj.g_00428	Prag.g_01725
OG0001063	Prbj.g_00427	Prag.g_01726
OG0001064	Prbj.g_00425	Prag.g_01728
OG0001065	Prbj.g_02660	Prag.g_01732
OG0001066	Prbj.g_02657	Prag.g_01733
OG0001067	Prbj.g_02656	Prag.g_01734
OG0001068	Prbj.g_02652	Prag.g_01736
OG0001069	Prbj.g_02651	Prag.g_01737
OG0001070	Prbj.g_02650	Prag.g_01738
OG0001071	Prbj.g_02649	Prag.g_01739
OG0001072	Prbj.g_02648	Prag.g_01740
OG0001073	Prbj.g_02647	Prag.g_01741
OG0001074	Prbj.g_02646	Prag.g_01742
OG0001075	Prbj.g_02645	Prag.g_01743
OG0001076	Prbj.g_02644	Prag.g_01744
OG0001077	Prbj.g_02643	Prag.g_01745
OG0001078	Prbj.g_02641	Prag.g_01746
OG0001079	Prbj.g_02640	Prag.g_01747
OG0001080	Prbj.g_02639	Prag.g_01748
OG0001081	Prbj.g_01027	Prag.g_01751
OG0001082	Prbj.g_01028	Prag.g_01752
OG0001083	Prbj.g_01032	Prag.g_01753
OG0001084	Prbj.g_01030	Prag.g_01754
OG0001085	Prbj.g_01029	Prag.g_01755
OG0001086	Prbj.g_01033	Prag.g_01756
OG0001087	Prbj.g_01034	Prag.g_01757
OG0001088	Prbj.g_02635	Prag.g_01758
OG0001089	Prbj.g_01025	Prag.g_01762
OG0001090	Prbj.g_01023	Prag.g_01764
OG0001091	Prbj.g_01022	Prag.g_01765
OG0001092	Prbj.g_01021	Prag.g_01766
OG0001093	Prbj.g_01020	Prag.g_01767
OG0001094	Prbj.g_01019	Prag.g_01768
OG0001095	Prbj.g_01018	Prag.g_01769
OG0001096	Prbj.g_01017	Prag.g_01770
OG0001097	Prbj.g_01016	Prag.g_01771
OG0001098	Prbj.g_01015	Prag.g_01772
OG0001099	Prbj.g_01014	Prag.g_01773
OG0001100	Prbj.g_01013	Prag.g_01774
OG0001101	Prbj.g_01012	Prag.g_01775
OG0001102	Prbj.g_01011	Prag.g_01776
OG0001103	Prbj.g_01010	Prag.g_01777
OG0001104	Prbj.g_01009	Prag.g_01778
OG0001105	Prbj.g_01008	Prag.g_01779
OG0001106	Prbj.g_01007	Prag.g_01780
OG0001107	Prbj.g_01006	Prag.g_01781
OG0001108	Prbj.g_01005	Prag.g_01782
OG0001109	Prbj.g_01004	Prag.g_01783
OG0001110	Prbj.g_01003	Prag.g_01784
OG0001111	Prbj.g_01002	Prag.g_01785
OG0001112	Prbj.g_01001	Prag.g_01786
OG0001113	Prbj.g_01000	Prag.g_01787
OG0001114	Prbj.g_00999	Prag.g_01788
OG0001115	Prbj.g_00998	Prag.g_01789
OG0001116	Prbj.g_00997	Prag.g_01790
OG0001117	Prbj.g_00996	Prag.g_01791
OG0001118	Prbj.g_00995	Prag.g_01792
OG0001119	Prbj.g_00994	Prag.g_01793
OG0001120	Prbj.g_00993	Prag.g_01794
OG0001121	Prbj.g_00990	Prag.g_01796
