Orthogroup	Prbj	Prbi
OG0000189	Prbj.g_00580	Prbi.g_00088
OG0000190	Prbj.g_00581	Prbi.g_00089
OG0000191	Prbj.g_00582	Prbi.g_00090
OG0000192	Prbj.g_00583	Prbi.g_00091
OG0000193	Prbj.g_00584	Prbi.g_00092
OG0000194	Prbj.g_00585	Prbi.g_00093
OG0000195	Prbj.g_00589	Prbi.g_00095
OG0000196	Prbj.g_00590	Prbi.g_00096
OG0000197	Prbj.g_00596	Prbi.g_00097
OG0000198	Prbj.g_00600	Prbi.g_00098
OG0000199	Prbj.g_00605	Prbi.g_00101
OG0000200	Prbj.g_00606	Prbi.g_00102
OG0000201	Prbj.g_00607	Prbi.g_00103
OG0000202	Prbj.g_00609	Prbi.g_00104
OG0000203	Prbj.g_00610	Prbi.g_00105
OG0000204	Prbj.g_00611	Prbi.g_00106
OG0000205	Prbj.g_00613	Prbi.g_00107
OG0000206	Prbj.g_00614	Prbi.g_00108
OG0000207	Prbj.g_00615	Prbi.g_00109
OG0000208	Prbj.g_00616	Prbi.g_00110
OG0000209	Prbj.g_00617	Prbi.g_00111
OG0000210	Prbj.g_00619	Prbi.g_00113
OG0000211	Prbj.g_00620	Prbi.g_00114
OG0000212	Prbj.g_00621	Prbi.g_00115
OG0000213	Prbj.g_00624	Prbi.g_00116
OG0000214	Prbj.g_00630	Prbi.g_00118
OG0000215	Prbj.g_01550	Prbi.g_00119
OG0000216	Prbj.g_01552	Prbi.g_00121
OG0000217	Prbj.g_01554	Prbi.g_00123
OG0000218	Prbj.g_01556	Prbi.g_00124
OG0000219	Prbj.g_01557	Prbi.g_00125
OG0000220	Prbj.g_01562	Prbi.g_00128
OG0000221	Prbj.g_01567	Prbi.g_00130
OG0000222	Prbj.g_01568	Prbi.g_00131
OG0000223	Prbj.g_01569	Prbi.g_00132
OG0000224	Prbj.g_01530	Prbi.g_00135
OG0000225	Prbj.g_01532	Prbi.g_00137
OG0000226	Prbj.g_01535	Prbi.g_00138
OG0000227	Prbj.g_01537	Prbi.g_00139
OG0000228	Prbj.g_01538	Prbi.g_00140
OG0000229	Prbj.g_01539	Prbi.g_00141
OG0000230	Prbj.g_01540	Prbi.g_00142
OG0000231	Prbj.g_01542	Prbi.g_00144
OG0000232	Prbj.g_01543	Prbi.g_00145
OG0000233	Prbj.g_01548	Prbi.g_00148
OG0000234	Prbj.g_00545	Prbi.g_00150
OG0000235	Prbj.g_00543	Prbi.g_00169
OG0000236	Prbj.g_00542	Prbi.g_00170
OG0000237	Prbj.g_00541	Prbi.g_00171
OG0000238	Prbj.g_00540	Prbi.g_00172
OG0000239	Prbj.g_00539	Prbi.g_00173
OG0000240	Prbj.g_00537	Prbi.g_00175
OG0000241	Prbj.g_00536	Prbi.g_00176
OG0000242	Prbj.g_00535	Prbi.g_00177
OG0000243	Prbj.g_00534	Prbi.g_00178
OG0000244	Prbj.g_00533	Prbi.g_00179
OG0000245	Prbj.g_00531	Prbi.g_00180
OG0000246	Prbj.g_00529	Prbi.g_00182
OG0000247	Prbj.g_00528	Prbi.g_00183
OG0000248	Prbj.g_00527	Prbi.g_00184
OG0000249	Prbj.g_00526	Prbi.g_00185
OG0000250	Prbj.g_00525	Prbi.g_00186
OG0000251	Prbj.g_00524	Prbi.g_00187
OG0000252	Prbj.g_00523	Prbi.g_00188
OG0000253	Prbj.g_00522	Prbi.g_00189
OG0000254	Prbj.g_00520	Prbi.g_00191
OG0000255	Prbj.g_00519	Prbi.g_00192
OG0000256	Prbj.g_00516	Prbi.g_00195
OG0000257	Prbj.g_00515	Prbi.g_00197
OG0000258	Prbj.g_00514	Prbi.g_00198
OG0000259	Prbj.g_00513	Prbi.g_00199
OG0000260	Prbj.g_00512	Prbi.g_00200
OG0000261	Prbj.g_00511	Prbi.g_00201
OG0000262	Prbj.g_00510	Prbi.g_00202
OG0000263	Prbj.g_00509	Prbi.g_00203
OG0000264	Prbj.g_02369	Prbi.g_00205
OG0000265	Prbj.g_01135	Prbi.g_00206
OG0000266	Prbj.g_01137	Prbi.g_00207
OG0000267	Prbj.g_01141	Prbi.g_00209
OG0000268	Prbj.g_01143	Prbi.g_00210
OG0000269	Prbj.g_01146	Prbi.g_00211
OG0000270	Prbj.g_01148	Prbi.g_00212
OG0000271	Prbj.g_01151	Prbi.g_00213
OG0000272	Prbj.g_01152	Prbi.g_00214
OG0000273	Prbj.g_01155	Prbi.g_00215
OG0000274	Prbj.g_01157	Prbi.g_00216
OG0000275	Prbj.g_01158	Prbi.g_00217
OG0000276	Prbj.g_01159	Prbi.g_00218
OG0000277	Prbj.g_01160	Prbi.g_00219
OG0000278	Prbj.g_01161	Prbi.g_00220
OG0000279	Prbj.g_01162	Prbi.g_00221
OG0000280	Prbj.g_01163	Prbi.g_00222
OG0000281	Prbj.g_01165	Prbi.g_00224
OG0000282	Prbj.g_01166	Prbi.g_00225
OG0000283	Prbj.g_01173	Prbi.g_00228
OG0000284	Prbj.g_01174	Prbi.g_00229
OG0000285	Prbj.g_00289	Prbi.g_00230
OG0000286	Prbj.g_00287	Prbi.g_00232
OG0000287	Prbj.g_00234	Prbi.g_00233
OG0000288	Prbj.g_00235	Prbi.g_00234
OG0000289	Prbj.g_00237	Prbi.g_00235
OG0000290	Prbj.g_00238	Prbi.g_00236
OG0000291	Prbj.g_00240	Prbi.g_00237
OG0000292	Prbj.g_00250	Prbi.g_00238
OG0000293	Prbj.g_00251	Prbi.g_00239
OG0000294	Prbj.g_00252	Prbi.g_00240
OG0000295	Prbj.g_00258	Prbi.g_00241
OG0000296	Prbj.g_00259	Prbi.g_00242
OG0000297	Prbj.g_00262	Prbi.g_00243
OG0000298	Prbj.g_00263	Prbi.g_00244
OG0000299	Prbj.g_00264	Prbi.g_00245
OG0000300	Prbj.g_00265	Prbi.g_00246
OG0000301	Prbj.g_00266	Prbi.g_00247
OG0000302	Prbj.g_00267	Prbi.g_00248
OG0000303	Prbj.g_00268	Prbi.g_00249
OG0000304	Prbj.g_00270	Prbi.g_00250
OG0000305	Prbj.g_00271	Prbi.g_00251
OG0000306	Prbj.g_00272	Prbi.g_00252
OG0000307	Prbj.g_00181	Prbi.g_00253
OG0000308	Prbj.g_01775	Prbi.g_00254
OG0000309	Prbj.g_01776	Prbi.g_00255
OG0000310	Prbj.g_01777	Prbi.g_00256
OG0000311	Prbj.g_00177	Prbi.g_00257
OG0000312	Prbj.g_00176	Prbi.g_00259
OG0000313	Prbj.g_02608	Prbi.g_00260
OG0000314	Prbj.g_02614	Prbi.g_00263
OG0000315	Prbj.g_02615	Prbi.g_00264
OG0000316	Prbj.g_02661	Prbi.g_00266
OG0000317	Prbj.g_01341	Prbi.g_00268
OG0000318	Prbj.g_01342	Prbi.g_00269
OG0000319	Prbj.g_01343	Prbi.g_00270
OG0000320	Prbj.g_01345	Prbi.g_00271
OG0000321	Prbj.g_01350	Prbi.g_00274
OG0000322	Prbj.g_01359	Prbi.g_00277
OG0000323	Prbj.g_01360	Prbi.g_00278
OG0000324	Prbj.g_01362	Prbi.g_00281
OG0000325	Prbj.g_01364	Prbi.g_00283
OG0000326	Prbj.g_01366	Prbi.g_00284
OG0000327	Prbj.g_01372	Prbi.g_00286
OG0000328	Prbj.g_00180	Prbi.g_00287
OG0000329	Prbj.g_01385	Prbi.g_00288
OG0000330	Prbj.g_01386	Prbi.g_00289
OG0000331	Prbj.g_01388	Prbi.g_00290
OG0000332	Prbj.g_01389	Prbi.g_00291
OG0000333	Prbj.g_01390	Prbi.g_00292
OG0000334	Prbj.g_01391	Prbi.g_00293
OG0000335	Prbj.g_01392	Prbi.g_00294
OG0000336	Prbj.g_01394	Prbi.g_00295
OG0000337	Prbj.g_01399	Prbi.g_00299
OG0000338	Prbj.g_01400	Prbi.g_00300
OG0000339	Prbj.g_01401	Prbi.g_00301
OG0000340	Prbj.g_01403	Prbi.g_00302
OG0000341	Prbj.g_01408	Prbi.g_00306
OG0000342	Prbj.g_01409	Prbi.g_00307
OG0000343	Prbj.g_01411	Prbi.g_00309
OG0000344	Prbj.g_01413	Prbi.g_00310
OG0000345	Prbj.g_01414	Prbi.g_00311
OG0000346	Prbj.g_01415	Prbi.g_00312
OG0000347	Prbj.g_01416	Prbi.g_00313
OG0000348	Prbj.g_01417	Prbi.g_00314
OG0000349	Prbj.g_01418	Prbi.g_00315
OG0000350	Prbj.g_01419	Prbi.g_00316
OG0000351	Prbj.g_01423	Prbi.g_00319
OG0000352	Prbj.g_01427	Prbi.g_00322
OG0000353	Prbj.g_01430	Prbi.g_00323
OG0000354	Prbj.g_01431	Prbi.g_00324
OG0000355	Prbj.g_01432	Prbi.g_00325
OG0000356	Prbj.g_01437	Prbi.g_00326
OG0000357	Prbj.g_01438	Prbi.g_00327
OG0000358	Prbj.g_01439	Prbi.g_00328
OG0000359	Prbj.g_01441	Prbi.g_00329
OG0000360	Prbj.g_01444	Prbi.g_00332
OG0000361	Prbj.g_01445	Prbi.g_00333
OG0000362	Prbj.g_01446	Prbi.g_00334
OG0000363	Prbj.g_01448	Prbi.g_00335
OG0000364	Prbj.g_01449	Prbi.g_00336
OG0000365	Prbj.g_01450	Prbi.g_00337
OG0000366	Prbj.g_01451	Prbi.g_00338
OG0000367	Prbj.g_01452	Prbi.g_00339
OG0000368	Prbj.g_01453	Prbi.g_00340
OG0000369	Prbj.g_01454	Prbi.g_00341
OG0000370	Prbj.g_01455	Prbi.g_00342
OG0000371	Prbj.g_01456	Prbi.g_00343
OG0000372	Prbj.g_01459	Prbi.g_00345
OG0000373	Prbj.g_01469	Prbi.g_00347
OG0000374	Prbj.g_01471	Prbi.g_00348
OG0000375	Prbj.g_01480	Prbi.g_00349
OG0000376	Prbj.g_00359	Prbi.g_00351
OG0000377	Prbj.g_00352	Prbi.g_00352
OG0000378	Prbj.g_00351	Prbi.g_00353
OG0000379	Prbj.g_00341	Prbi.g_00358
OG0000380	Prbj.g_00339	Prbi.g_00359
OG0000381	Prbj.g_00338	Prbi.g_00360
OG0000382	Prbj.g_00336	Prbi.g_00362
OG0000383	Prbj.g_00331	Prbi.g_00365
OG0000384	Prbj.g_00330	Prbi.g_00366
OG0000385	Prbj.g_00324	Prbi.g_00369
OG0000386	Prbj.g_00323	Prbi.g_00370
OG0000387	Prbj.g_00322	Prbi.g_00371
OG0000388	Prbj.g_00321	Prbi.g_00372
OG0000389	Prbj.g_00320	Prbi.g_00373
OG0000390	Prbj.g_00319	Prbi.g_00374
OG0000391	Prbj.g_00318	Prbi.g_00375
OG0000392	Prbj.g_00317	Prbi.g_00376
OG0000393	Prbj.g_00063	Prbi.g_00379
OG0000394	Prbj.g_00064	Prbi.g_00380
OG0000395	Prbj.g_00068	Prbi.g_00382
OG0000396	Prbj.g_02500	Prbi.g_00383
OG0000397	Prbj.g_00563	Prbi.g_00395
OG0000398	Prbj.g_00874	Prbi.g_00403
OG0000399	Prbj.g_00689	Prbi.g_00404
OG0000400	Prbj.g_02659	Prbi.g_00409
OG0000401	Prbj.g_00076	Prbi.g_00432
OG0000402	Prbj.g_00077	Prbi.g_00433
OG0000403	Prbj.g_00089	Prbi.g_00434
OG0000404	Prbj.g_00099	Prbi.g_00436
OG0000405	Prbj.g_00100	Prbi.g_00437
OG0000406	Prbj.g_00102	Prbi.g_00439
OG0000407	Prbj.g_00103	Prbi.g_00440
OG0000408	Prbj.g_00104	Prbi.g_00441
OG0000409	Prbj.g_00105	Prbi.g_00442
OG0000410	Prbj.g_00107	Prbi.g_00443
OG0000411	Prbj.g_00108	Prbi.g_00444
OG0000412	Prbj.g_00109	Prbi.g_00445
OG0000413	Prbj.g_00110	Prbi.g_00446
OG0000414	Prbj.g_00111	Prbi.g_00447
OG0000415	Prbj.g_00112	Prbi.g_00448
OG0000416	Prbj.g_00113	Prbi.g_00449
OG0000417	Prbj.g_00117	Prbi.g_00450
OG0000418	Prbj.g_00118	Prbi.g_00451
OG0000419	Prbj.g_00119	Prbi.g_00452
OG0000420	Prbj.g_00120	Prbi.g_00453
OG0000421	Prbj.g_01894	Prbi.g_00454
OG0000422	Prbj.g_01892	Prbi.g_00456
OG0000423	Prbj.g_01891	Prbi.g_00457
OG0000424	Prbj.g_01888	Prbi.g_00459
OG0000425	Prbj.g_00152	Prbi.g_00463
OG0000426	Prbj.g_00151	Prbi.g_00464
OG0000427	Prbj.g_00148	Prbi.g_00465
OG0000428	Prbj.g_00136	Prbi.g_00466
OG0000429	Prbj.g_00134	Prbi.g_00467
OG0000430	Prbj.g_00132	Prbi.g_00474
OG0000431	Prbj.g_00130	Prbi.g_00476
OG0000432	Prbj.g_00129	Prbi.g_00477
OG0000433	Prbj.g_01638	Prbi.g_00480
OG0000434	Prbj.g_01635	Prbi.g_00481
OG0000435	Prbj.g_01631	Prbi.g_00482
OG0000436	Prbj.g_01629	Prbi.g_00484
OG0000437	Prbj.g_01627	Prbi.g_00486
OG0000438	Prbj.g_01626	Prbi.g_00487
OG0000439	Prbj.g_01625	Prbi.g_00488
OG0000440	Prbj.g_01622	Prbi.g_00490
OG0000441	Prbj.g_01620	Prbi.g_00491
OG0000442	Prbj.g_01619	Prbi.g_00492
OG0000443	Prbj.g_01618	Prbi.g_00493
OG0000444	Prbj.g_01617	Prbi.g_00494
OG0000445	Prbj.g_01616	Prbi.g_00495
OG0000446	Prbj.g_01615	Prbi.g_00496
OG0000447	Prbj.g_01614	Prbi.g_00497
OG0000448	Prbj.g_01613	Prbi.g_00498
OG0000449	Prbj.g_01605	Prbi.g_00503
OG0000450	Prbj.g_02088	Prbi.g_00504
OG0000451	Prbj.g_02089	Prbi.g_00505
OG0000452	Prbj.g_02090	Prbi.g_00506
OG0000453	Prbj.g_02093	Prbi.g_00508
OG0000454	Prbj.g_02094	Prbi.g_00509
OG0000455	Prbj.g_02095	Prbi.g_00510
OG0000456	Prbj.g_02096	Prbi.g_00511
OG0000457	Prbj.g_02097	Prbi.g_00513
OG0000458	Prbj.g_02098	Prbi.g_00515
OG0000459	Prbj.g_02099	Prbi.g_00516
OG0000460	Prbj.g_02101	Prbi.g_00518
OG0000461	Prbj.g_02102	Prbi.g_00519
OG0000462	Prbj.g_02103	Prbi.g_00520
OG0000463	Prbj.g_02108	Prbi.g_00521
OG0000464	Prbj.g_02113	Prbi.g_00526
OG0000465	Prbj.g_02114	Prbi.g_00528
OG0000466	Prbj.g_02115	Prbi.g_00529
OG0000467	Prbj.g_02117	Prbi.g_00530
OG0000468	Prbj.g_02118	Prbi.g_00531
OG0000469	Prbj.g_02123	Prbi.g_00532
OG0000470	Prbj.g_01116	Prbi.g_00533
OG0000471	Prbj.g_00765	Prbi.g_00534
OG0000472	Prbj.g_02128	Prbi.g_00537
OG0000473	Prbj.g_02130	Prbi.g_00538
OG0000474	Prbj.g_02132	Prbi.g_00539
OG0000475	Prbj.g_02133	Prbi.g_00540
OG0000476	Prbj.g_02139	Prbi.g_00541
OG0000477	Prbj.g_02142	Prbi.g_00543
OG0000478	Prbj.g_02144	Prbi.g_00544
OG0000479	Prbj.g_02146	Prbi.g_00545
OG0000480	Prbj.g_02666	Prbi.g_00547
OG0000481	Prbj.g_01858	Prbi.g_00548
OG0000482	Prbj.g_01859	Prbi.g_00549
OG0000483	Prbj.g_01861	Prbi.g_00550
OG0000484	Prbj.g_01862	Prbi.g_00551
OG0000485	Prbj.g_01863	Prbi.g_00552
OG0000486	Prbj.g_01864	Prbi.g_00553
OG0000487	Prbj.g_01865	Prbi.g_00554
OG0000488	Prbj.g_01867	Prbi.g_00556
OG0000489	Prbj.g_01868	Prbi.g_00557
OG0000490	Prbj.g_01869	Prbi.g_00558
OG0000491	Prbj.g_01870	Prbi.g_00559
OG0000492	Prbj.g_01871	Prbi.g_00560
OG0000493	Prbj.g_01872	Prbi.g_00561
OG0000494	Prbj.g_01874	Prbi.g_00563
OG0000495	Prbj.g_01875	Prbi.g_00564
OG0000496	Prbj.g_01877	Prbi.g_00565
OG0000497	Prbj.g_01879	Prbi.g_00566
OG0000498	Prbj.g_01880	Prbi.g_00567
OG0000499	Prbj.g_01882	Prbi.g_00569
OG0000500	Prbj.g_01883	Prbi.g_00570
OG0000501	Prbj.g_01807	Prbi.g_00572
OG0000502	Prbj.g_01806	Prbi.g_00573
OG0000503	Prbj.g_01805	Prbi.g_00574
OG0000504	Prbj.g_01803	Prbi.g_00575
OG0000505	Prbj.g_01802	Prbi.g_00576
OG0000506	Prbj.g_01801	Prbi.g_00577
OG0000507	Prbj.g_01800	Prbi.g_00578
OG0000508	Prbj.g_01796	Prbi.g_00580
OG0000509	Prbj.g_01795	Prbi.g_00581
OG0000510	Prbj.g_01794	Prbi.g_00582
OG0000511	Prbj.g_01793	Prbi.g_00583
OG0000512	Prbj.g_01792	Prbi.g_00584
OG0000513	Prbj.g_01791	Prbi.g_00585
OG0000514	Prbj.g_01790	Prbi.g_00586
OG0000515	Prbj.g_01787	Prbi.g_00588
OG0000516	Prbj.g_01786	Prbi.g_00589
OG0000517	Prbj.g_01785	Prbi.g_00590
OG0000518	Prbj.g_01781	Prbi.g_00593
OG0000519	Prbj.g_01780	Prbi.g_00594
OG0000520	Prbj.g_01779	Prbi.g_00595
OG0000521	Prbj.g_01778	Prbi.g_00596
OG0000522	Prbj.g_01772	Prbi.g_00597
OG0000523	Prbj.g_01771	Prbi.g_00598
OG0000524	Prbj.g_01770	Prbi.g_00599
OG0000525	Prbj.g_01768	Prbi.g_00601
OG0000526	Prbj.g_01767	Prbi.g_00602
OG0000527	Prbj.g_01766	Prbi.g_00603
OG0000528	Prbj.g_01765	Prbi.g_00604
OG0000529	Prbj.g_01764	Prbi.g_00605
OG0000530	Prbj.g_01763	Prbi.g_00606
OG0000531	Prbj.g_01760	Prbi.g_00607
OG0000532	Prbj.g_01758	Prbi.g_00608
OG0000533	Prbj.g_01757	Prbi.g_00609
OG0000534	Prbj.g_01756	Prbi.g_00610
OG0000535	Prbj.g_01755	Prbi.g_00611
OG0000536	Prbj.g_01754	Prbi.g_00612
OG0000537	Prbj.g_01753	Prbi.g_00613
OG0000538	Prbj.g_01752	Prbi.g_00614
OG0000539	Prbj.g_01750	Prbi.g_00615
OG0000540	Prbj.g_01748	Prbi.g_00616
OG0000541	Prbj.g_02544	Prbi.g_00617
OG0000542	Prbj.g_02545	Prbi.g_00618
OG0000543	Prbj.g_02546	Prbi.g_00619
OG0000544	Prbj.g_02547	Prbi.g_00620
OG0000545	Prbj.g_02550	Prbi.g_00623
OG0000546	Prbj.g_02551	Prbi.g_00624
OG0000547	Prbj.g_02553	Prbi.g_00626
OG0000548	Prbj.g_02558	Prbi.g_00627
OG0000549	Prbj.g_02559	Prbi.g_00628
OG0000550	Prbj.g_02560	Prbi.g_00629
OG0000551	Prbj.g_02563	Prbi.g_00630
