Orthogroup	Prbn	Prav
OG0000077	Prbn.g_00002, Prbn.g_00003	Prav.g_00079
OG0000078	Prbn.g_00088	Prav.g_01968
OG0000079	Prbn.g_01102	Prav.g_00999
OG0000080	Prbn.g_00845	Prav.g_01267
OG0000081	Prbn.g_01572	Prav.g_01289
OG0000082	Prbn.g_01539	Prav.g_00404
OG0000083	Prbn.g_01168	Prav.g_00467
OG0000084	Prbn.g_01418	Prav.g_00556
OG0000085	Prbn.g_01144	Prav.g_00261, Prav.g_01552
OG0000086	Prbn.g_01650	Prav.g_00033
OG0000090	Prbn.g_00173	Prav.g_01514
OG0000091	Prbn.g_00220	Prav.g_01586
OG0000092	Prbn.g_00803	Prav.g_01705
OG0000093	Prbn.g_01833	Prav.g_00292
OG0000094	Prbn.g_01877	Prav.g_00629
OG0000095	Prbn.g_01915	Prav.g_00663
OG0000096	Prbn.g_00952	Prav.g_00733
OG0000098	Prbn.g_00011	Prav.g_00789
OG0000099	Prbn.g_00759	Prav.g_00091
OG0000101	Prbn.g_00730	Prav.g_00120
OG0000102	Prbn.g_01304	Prav.g_00178
OG0000103	Prbn.g_01295	Prav.g_00186
OG0000104	Prbn.g_01278	Prav.g_00204
OG0000105	Prbn.g_01243, Prbn.g_00384	Prav.g_00868
OG0000106	Prbn.g_00370	Prav.g_00854
OG0000107	Prbn.g_00361	Prav.g_00846
OG0000108	Prbn.g_00351	Prav.g_00836
OG0000109	Prbn.g_00310	Prav.g_00799
OG0000110	Prbn.g_00017	Prav.g_01898
OG0000111	Prbn.g_00041	Prav.g_01920
OG0000113	Prbn.g_00065	Prav.g_01943
OG0000114	Prbn.g_00091	Prav.g_00955, Prav.g_01971
OG0000115	Prbn.g_00640	Prav.g_01072
OG0000116	Prbn.g_00638	Prav.g_01074
OG0000117	Prbn.g_00634	Prav.g_01078
OG0000118	Prbn.g_00614	Prav.g_01097
OG0000119	Prbn.g_00584	Prav.g_01130
OG0000120	Prbn.g_00583	Prav.g_01131
OG0000121	Prbn.g_00573	Prav.g_01141, Prav.g_00954
OG0000122	Prbn.g_00564	Prav.g_01150
OG0000123	Prbn.g_00532	Prav.g_01181
OG0000124	Prbn.g_00443	Prav.g_01249
OG0000125	Prbn.g_00444	Prav.g_01250
OG0000126	Prbn.g_00445	Prav.g_01251
OG0000127	Prbn.g_01577	Prav.g_01284
OG0000128	Prbn.g_01552	Prav.g_00308
OG0000129	Prbn.g_01351	Prav.g_00328
OG0000130	Prbn.g_01454	Prav.g_00381
OG0000131	Prbn.g_01548	Prav.g_00395
OG0000132	Prbn.g_01511	Prav.g_00430
OG0000133	Prbn.g_01604	Prav.g_00515
OG0000134	Prbn.g_00846	Prav.g_00525
OG0000135	Prbn.g_01414	Prav.g_00560
OG0000136	Prbn.g_01468	Prav.g_00930
OG0000137	Prbn.g_01653	Prav.g_00036
OG0000139	Prbn.g_01195	Prav.g_00071
OG0000140	Prbn.g_00482	Prav.g_01824
OG0000141	Prbn.g_00886	Prav.g_02003
OG0000142	Prbn.g_01071	Prav.g_01450
OG0000143	Prbn.g_01240	Prav.g_01473
OG0000144	Prbn.g_00200	Prav.g_01565
OG0000145	Prbn.g_00213	Prav.g_01579
OG0000146	Prbn.g_00249	Prav.g_01615
OG0000147	Prbn.g_00898	Prav.g_01655
