Orthogroup	Syar	Prav
OG0000553	Syar.g_02679	Prav.g_01127
OG0000554	Syar.g_02352	Prav.g_01132
OG0000555	Syar.g_02336	Prav.g_01140
OG0000556	Syar.g_02332	Prav.g_01142
OG0000557	Syar.g_02328	Prav.g_01143
OG0000558	Syar.g_02326	Prav.g_01145
OG0000559	Syar.g_02322	Prav.g_01149
OG0000560	Syar.g_02320	Prav.g_01152
OG0000561	Syar.g_02319	Prav.g_01153
OG0000562	Syar.g_02318	Prav.g_01154
OG0000563	Syar.g_02317	Prav.g_01155
OG0000564	Syar.g_02316	Prav.g_01156
OG0000565	Syar.g_02312	Prav.g_01159
OG0000566	Syar.g_02308	Prav.g_01161
OG0000567	Syar.g_02304	Prav.g_01165
OG0000568	Syar.g_02302	Prav.g_01166
OG0000569	Syar.g_02301	Prav.g_01167
OG0000570	Syar.g_02300	Prav.g_01168
OG0000571	Syar.g_02298	Prav.g_01170
OG0000572	Syar.g_02201	Prav.g_01183
OG0000573	Syar.g_02191	Prav.g_01188
OG0000574	Syar.g_02190	Prav.g_01189
OG0000575	Syar.g_03180	Prav.g_01193
OG0000576	Syar.g_02187	Prav.g_01195
OG0000577	Syar.g_02186	Prav.g_01196
OG0000578	Syar.g_02185	Prav.g_01197
OG0000579	Syar.g_02184	Prav.g_01198
OG0000580	Syar.g_02183	Prav.g_01199
OG0000581	Syar.g_02175	Prav.g_01201
OG0000582	Syar.g_02131	Prav.g_01204
OG0000583	Syar.g_02132	Prav.g_01205
OG0000584	Syar.g_02133	Prav.g_01206
OG0000585	Syar.g_02170	Prav.g_01208
OG0000586	Syar.g_02171	Prav.g_01209
OG0000587	Syar.g_02173	Prav.g_01210
OG0000588	Syar.g_02275	Prav.g_01214
OG0000589	Syar.g_02261	Prav.g_01219
OG0000590	Syar.g_02260	Prav.g_01220
OG0000591	Syar.g_02246	Prav.g_01223
OG0000592	Syar.g_02245	Prav.g_01224
OG0000593	Syar.g_02414	Prav.g_01230
OG0000594	Syar.g_02415	Prav.g_01231
OG0000595	Syar.g_02416	Prav.g_01232
OG0000596	Syar.g_02421	Prav.g_01236
OG0000597	Syar.g_02424	Prav.g_01238
OG0000598	Syar.g_02425	Prav.g_01239
OG0000599	Syar.g_02428	Prav.g_01242
OG0000600	Syar.g_02429	Prav.g_01243
OG0000601	Syar.g_02430	Prav.g_01244
OG0000602	Syar.g_02435	Prav.g_01246
OG0000603	Syar.g_02436	Prav.g_01247
OG0000604	Syar.g_02438	Prav.g_01248
OG0000605	Syar.g_02440	Prav.g_01249
OG0000606	Syar.g_02443	Prav.g_01252
OG0000607	Syar.g_02446	Prav.g_01255
OG0000608	Syar.g_02447	Prav.g_01256
OG0000609	Syar.g_02470	Prav.g_01257
OG0000610	Syar.g_01917	Prav.g_01262
OG0000611	Syar.g_01914	Prav.g_01265
OG0000612	Syar.g_01913	Prav.g_01266
OG0000613	Syar.g_00712	Prav.g_01271
OG0000614	Syar.g_02012, Syar.g_01344	Prav.g_01290
OG0000615	Syar.g_02603	Prav.g_01298
OG0000616	Syar.g_00454	Prav.g_01312
OG0000617	Syar.g_01576	Prav.g_00312
OG0000618	Syar.g_01575	Prav.g_00313
OG0000619	Syar.g_01574	Prav.g_00314
OG0000620	Syar.g_01569	Prav.g_00317
OG0000621	Syar.g_01568	Prav.g_00318
OG0000622	Syar.g_01566	Prav.g_00319
OG0000623	Syar.g_01565	Prav.g_00320
OG0000624	Syar.g_01564	Prav.g_00321
OG0000625	Syar.g_01563	Prav.g_00322
OG0000626	Syar.g_01562	Prav.g_00323
OG0000627	Syar.g_01868	Prav.g_00324
OG0000628	Syar.g_01869	Prav.g_00325
OG0000629	Syar.g_01872	Prav.g_00326
OG0000630	Syar.g_02586	Prav.g_00329
OG0000631	Syar.g_02579	Prav.g_00388
OG0000632	Syar.g_02578	Prav.g_00389
OG0000633	Syar.g_02576	Prav.g_00390
OG0000634	Syar.g_02635	Prav.g_00393
OG0000635	Syar.g_02636	Prav.g_00394
OG0000636	Syar.g_02638	Prav.g_00396
OG0000637	Syar.g_02640	Prav.g_00398
OG0000638	Syar.g_02641	Prav.g_00399
OG0000639	Syar.g_02642	Prav.g_00400
OG0000640	Syar.g_02643	Prav.g_00401
OG0000641	Syar.g_02648	Prav.g_00405
OG0000642	Syar.g_02649	Prav.g_00406
OG0000643	Syar.g_02650	Prav.g_00407
OG0000644	Syar.g_02651	Prav.g_00408
OG0000645	Syar.g_02652	Prav.g_00409
OG0000646	Syar.g_02655	Prav.g_00411
OG0000647	Syar.g_02657	Prav.g_00412
OG0000648	Syar.g_02659	Prav.g_00414
OG0000649	Syar.g_02660	Prav.g_00415
OG0000650	Syar.g_02661	Prav.g_00416
OG0000651	Syar.g_02662	Prav.g_00417
OG0000652	Syar.g_02663	Prav.g_00418
OG0000653	Syar.g_02665	Prav.g_00420
OG0000654	Syar.g_02666	Prav.g_00421
OG0000655	Syar.g_02667	Prav.g_00422
OG0000656	Syar.g_02479	Prav.g_00425
OG0000657	Syar.g_01812	Prav.g_00432
OG0000658	Syar.g_01815	Prav.g_00433
OG0000659	Syar.g_01816	Prav.g_00434
OG0000660	Syar.g_01820	Prav.g_00438
OG0000661	Syar.g_03175, Syar.g_01822	Prav.g_00440
OG0000662	Syar.g_01829	Prav.g_00442
OG0000663	Syar.g_01832	Prav.g_00444
OG0000664	Syar.g_01837	Prav.g_00445
OG0000665	Syar.g_02774	Prav.g_00449
OG0000666	Syar.g_01241	Prav.g_00450
OG0000667	Syar.g_02346	Prav.g_00454
OG0000668	Syar.g_01802	Prav.g_00483
OG0000669	Syar.g_01627	Prav.g_00490
OG0000670	Syar.g_01624	Prav.g_00492
OG0000671	Syar.g_01622	Prav.g_00494
OG0000672	Syar.g_01619	Prav.g_00497
OG0000673	Syar.g_01615	Prav.g_00500
OG0000674	Syar.g_01613	Prav.g_00502
OG0000675	Syar.g_01612	Prav.g_00503
OG0000676	Syar.g_01608	Prav.g_00505
OG0000677	Syar.g_01607	Prav.g_00506
OG0000678	Syar.g_02037	Prav.g_00508
OG0000679	Syar.g_02606	Prav.g_00512
OG0000680	Syar.g_02607	Prav.g_00513
OG0000681	Syar.g_02610	Prav.g_00515
OG0000682	Syar.g_02611	Prav.g_00516
OG0000683	Syar.g_02612	Prav.g_00517
OG0000684	Syar.g_02615	Prav.g_00519
OG0000685	Syar.g_02617	Prav.g_00521
OG0000686	Syar.g_02618	Prav.g_00522
OG0000687	Syar.g_02619	Prav.g_00523
OG0000688	Syar.g_02624	Prav.g_00526
OG0000689	Syar.g_02626	Prav.g_00527
OG0000690	Syar.g_02627	Prav.g_00528
OG0000691	Syar.g_02628	Prav.g_00529
OG0000692	Syar.g_02629	Prav.g_00530
OG0000693	Syar.g_02631	Prav.g_00531
OG0000694	Syar.g_02632	Prav.g_00532
OG0000695	Syar.g_02573	Prav.g_00534
OG0000696	Syar.g_02572	Prav.g_00535
OG0000697	Syar.g_02570	Prav.g_00536
OG0000698	Syar.g_02567	Prav.g_00539
OG0000699	Syar.g_02566	Prav.g_00540
OG0000700	Syar.g_02565	Prav.g_00541
OG0000701	Syar.g_02564	Prav.g_00542
OG0000702	Syar.g_02559	Prav.g_00544
OG0000703	Syar.g_02557	Prav.g_00545
OG0000704	Syar.g_02555	Prav.g_00546
OG0000705	Syar.g_02547	Prav.g_00550
OG0000706	Syar.g_02546	Prav.g_00551
OG0000707	Syar.g_02545	Prav.g_00552
OG0000708	Syar.g_02542	Prav.g_00553
OG0000709	Syar.g_02534	Prav.g_00557
OG0000710	Syar.g_02528	Prav.g_00560
OG0000711	Syar.g_02499	Prav.g_00577
OG0000712	Syar.g_02497	Prav.g_00579
OG0000713	Syar.g_02496	Prav.g_00580
OG0000714	Syar.g_02494	Prav.g_00581
OG0000715	Syar.g_02492	Prav.g_00583
OG0000716	Syar.g_02488	Prav.g_00585
OG0000717	Syar.g_02487	Prav.g_00586
OG0000718	Syar.g_02483	Prav.g_00902
OG0000719	Syar.g_01804	Prav.g_00904
OG0000720	Syar.g_01790	Prav.g_00913
OG0000721	Syar.g_01788	Prav.g_00915
OG0000722	Syar.g_01787	Prav.g_00916
OG0000723	Syar.g_01560	Prav.g_00919
OG0000724	Syar.g_01367, Syar.g_02120	Prav.g_00928
OG0000725	Syar.g_01934	Prav.g_00934
OG0000726	Syar.g_01935	Prav.g_00935
OG0000727	Syar.g_01936	Prav.g_00936
OG0000728	Syar.g_01938	Prav.g_00938
OG0000729	Syar.g_00593	Prav.g_00263
OG0000730	Syar.g_01115	Prav.g_00004
OG0000731	Syar.g_01127	Prav.g_00008
OG0000732	Syar.g_00522	Prav.g_00016
OG0000733	Syar.g_02234	Prav.g_00034
OG0000734	Syar.g_03128	Prav.g_00050
OG0000735	Syar.g_01522	Prav.g_00052
OG0000736	Syar.g_01523	Prav.g_00053
OG0000737	Syar.g_01524	Prav.g_00054
OG0000738	Syar.g_01530	Prav.g_00058
OG0000739	Syar.g_01531	Prav.g_00059
OG0000740	Syar.g_01532	Prav.g_00060
OG0000741	Syar.g_01535	Prav.g_00061
OG0000742	Syar.g_01538	Prav.g_00064
OG0000743	Syar.g_01541	Prav.g_00066
OG0000744	Syar.g_01542	Prav.g_00067
OG0000745	Syar.g_01545	Prav.g_00068
OG0000746	Syar.g_01549	Prav.g_00070
OG0000747	Syar.g_01551	Prav.g_00071
OG0000748	Syar.g_01945	Prav.g_00074
OG0000749	Syar.g_01946	Prav.g_00075
OG0000750	Syar.g_01947	Prav.g_00076
OG0000751	Syar.g_01952	Prav.g_01868
OG0000752	Syar.g_01954	Prav.g_01866
OG0000753	Syar.g_01957	Prav.g_01863
OG0000754	Syar.g_01963	Prav.g_01860
OG0000755	Syar.g_01974	Prav.g_01857
OG0000756	Syar.g_01975	Prav.g_01856
OG0000757	Syar.g_01984	Prav.g_01850
OG0000758	Syar.g_01985	Prav.g_01849
OG0000759	Syar.g_01986	Prav.g_01848
OG0000760	Syar.g_01987	Prav.g_01847
OG0000761	Syar.g_01988	Prav.g_01846
OG0000762	Syar.g_01992	Prav.g_01845
OG0000763	Syar.g_01699	Prav.g_01843
OG0000764	Syar.g_01700	Prav.g_01842
OG0000765	Syar.g_01718	Prav.g_01833
OG0000766	Syar.g_01719	Prav.g_01832
OG0000767	Syar.g_01721	Prav.g_01830
OG0000768	Syar.g_01722	Prav.g_01829
OG0000769	Syar.g_01724	Prav.g_01827
OG0000770	Syar.g_01727	Prav.g_01825
OG0000771	Syar.g_01373	Prav.g_02003
OG0000772	Syar.g_00746	Prav.g_01409
OG0000773	Syar.g_02694	Prav.g_01429
OG0000774	Syar.g_02771	Prav.g_01431
OG0000775	Syar.g_02773	Prav.g_01433
OG0000776	Syar.g_01755	Prav.g_01434
OG0000777	Syar.g_01754	Prav.g_01435
OG0000778	Syar.g_01753	Prav.g_01436
OG0000779	Syar.g_02779	Prav.g_01440
OG0000780	Syar.g_02781	Prav.g_01441
OG0000781	Syar.g_02785	Prav.g_01444
OG0000782	Syar.g_02786	Prav.g_01445
OG0000783	Syar.g_02787	Prav.g_01446
OG0000784	Syar.g_02788	Prav.g_01447
OG0000785	Syar.g_02791	Prav.g_01449
OG0000786	Syar.g_02795	Prav.g_01451
OG0000787	Syar.g_02796	Prav.g_01452
OG0000788	Syar.g_02331	Prav.g_01460
OG0000789	Syar.g_02040	Prav.g_01463
OG0000790	Syar.g_01456	Prav.g_01478
OG0000791	Syar.g_01454	Prav.g_01480
OG0000792	Syar.g_01453	Prav.g_01481
OG0000793	Syar.g_01243	Prav.g_01484
OG0000794	Syar.g_01242	Prav.g_01485
OG0000795	Syar.g_01240	Prav.g_01486
OG0000796	Syar.g_01236	Prav.g_01490
OG0000797	Syar.g_01235	Prav.g_01491
OG0000798	Syar.g_02701	Prav.g_01556
OG0000799	Syar.g_02844	Prav.g_01560
OG0000800	Syar.g_02843	Prav.g_01561
OG0000801	Syar.g_02842	Prav.g_01562
OG0000802	Syar.g_02825	Prav.g_01564
OG0000803	Syar.g_02822	Prav.g_01566
OG0000804	Syar.g_02819	Prav.g_01567
OG0000805	Syar.g_02817	Prav.g_01569
OG0000806	Syar.g_02815	Prav.g_01571
OG0000807	Syar.g_02814	Prav.g_01572
OG0000808	Syar.g_02813	Prav.g_01573
OG0000809	Syar.g_02811	Prav.g_01576
OG0000810	Syar.g_02810	Prav.g_01577
OG0000811	Syar.g_02805	Prav.g_01581
OG0000812	Syar.g_02803	Prav.g_01583
OG0000813	Syar.g_02802	Prav.g_01584
OG0000814	Syar.g_02800	Prav.g_01586
OG0000815	Syar.g_02799	Prav.g_01587
OG0000816	Syar.g_02797	Prav.g_01589
OG0000817	Syar.g_02861	Prav.g_01590
OG0000818	Syar.g_01418	Prav.g_01595
OG0000819	Syar.g_01417	Prav.g_01596
OG0000820	Syar.g_01416	Prav.g_01597
OG0000821	Syar.g_01410	Prav.g_01601
OG0000822	Syar.g_01408	Prav.g_01602
OG0000823	Syar.g_00017, Syar.g_01407	Prav.g_01603
OG0000824	Syar.g_01402	Prav.g_01606
OG0000825	Syar.g_01401	Prav.g_01607
OG0000826	Syar.g_01400	Prav.g_01608
OG0000827	Syar.g_01399	Prav.g_01609
OG0000828	Syar.g_01396	Prav.g_01612
OG0000829	Syar.g_01395	Prav.g_01613
OG0000830	Syar.g_01394	Prav.g_01614
OG0000831	Syar.g_01391	Prav.g_01616
OG0000832	Syar.g_01213	Prav.g_01622
OG0000833	Syar.g_02877	Prav.g_01630
OG0000834	Syar.g_02878	Prav.g_01631
OG0000835	Syar.g_02879	Prav.g_01632
OG0000836	Syar.g_02881	Prav.g_01633
OG0000837	Syar.g_02882	Prav.g_01634
OG0000838	Syar.g_02886	Prav.g_01636
OG0000839	Syar.g_02887	Prav.g_01637
OG0000840	Syar.g_02888	Prav.g_01638
OG0000841	Syar.g_02889	Prav.g_01639
OG0000842	Syar.g_02890	Prav.g_01640
OG0000843	Syar.g_02891	Prav.g_01641
OG0000844	Syar.g_02893	Prav.g_01642
OG0000845	Syar.g_02894	Prav.g_01643
OG0000846	Syar.g_02895	Prav.g_01644
OG0000847	Syar.g_02896	Prav.g_01645
OG0000848	Syar.g_02898	Prav.g_01646
OG0000849	Syar.g_02899	Prav.g_01647
OG0000850	Syar.g_02902	Prav.g_01649
OG0000851	Syar.g_02905	Prav.g_01650
OG0000852	Syar.g_02906	Prav.g_01651
OG0000853	Syar.g_02910	Prav.g_01655
OG0000854	Syar.g_02912	Prav.g_01657
OG0000855	Syar.g_02913	Prav.g_01658
OG0000856	Syar.g_02243	Prav.g_01671
OG0000857	Syar.g_02656	Prav.g_01699
OG0000858	Syar.g_02920	Prav.g_01755
OG0000859	Syar.g_02921	Prav.g_01756
OG0000860	Syar.g_02931	Prav.g_01763
OG0000861	Syar.g_02932	Prav.g_01764
OG0000862	Syar.g_02942	Prav.g_01765
OG0000863	Syar.g_02944	Prav.g_01767
OG0000864	Syar.g_02945	Prav.g_01768
OG0000865	Syar.g_02946	Prav.g_01769
OG0000866	Syar.g_02947	Prav.g_01770
OG0000867	Syar.g_02948	Prav.g_01771
OG0000868	Syar.g_02950	Prav.g_01772
OG0000869	Syar.g_02955	Prav.g_01776
OG0000870	Syar.g_02960	Prav.g_01781
OG0000871	Syar.g_02961	Prav.g_01782
OG0000872	Syar.g_02967	Prav.g_01783
OG0000873	Syar.g_02970	Prav.g_01786
OG0000874	Syar.g_02974	Prav.g_01789
OG0000875	Syar.g_02975	Prav.g_01790
OG0000876	Syar.g_01828	Prav.g_01791
OG0000877	Syar.g_02977	Prav.g_01793
OG0000878	Syar.g_02978	Prav.g_01794
OG0000879	Syar.g_02979	Prav.g_01795
OG0000880	Syar.g_02980	Prav.g_01796
OG0000881	Syar.g_02984	Prav.g_01800
OG0000882	Syar.g_02989	Prav.g_01805
OG0000883	Syar.g_02992	Prav.g_01807
OG0000884	Syar.g_02994	Prav.g_01809
OG0000885	Syar.g_02995	Prav.g_01810
OG0000886	Syar.g_02996	Prav.g_01811
OG0000887	Syar.g_02998	Prav.g_01812
OG0000888	Syar.g_03000	Prav.g_01814
OG0000889	Syar.g_03002	Prav.g_01816
OG0000890	Syar.g_03005	Prav.g_01817
OG0000891	Syar.g_03006	Prav.g_01818
OG0000892	Syar.g_03008	Prav.g_00264
OG0000893	Syar.g_00150	Prav.g_00268
OG0000894	Syar.g_00145	Prav.g_00270
OG0000895	Syar.g_00141	Prav.g_00273
OG0000896	Syar.g_00140	Prav.g_00274
OG0000897	Syar.g_00138	Prav.g_00276
OG0000898	Syar.g_00137	Prav.g_00277
OG0000899	Syar.g_00136	Prav.g_00278
OG0000900	Syar.g_00135	Prav.g_00279
OG0000901	Syar.g_00130	Prav.g_00282
OG0000902	Syar.g_01013	Prav.g_00284
OG0000903	Syar.g_01026	Prav.g_00287
OG0000904	Syar.g_01021	Prav.g_00289
OG0000905	Syar.g_01018	Prav.g_00294
OG0000906	Syar.g_01015	Prav.g_00295
OG0000907	Syar.g_01028	Prav.g_00590
OG0000908	Syar.g_01031	Prav.g_00593
OG0000909	Syar.g_01032	Prav.g_00594
OG0000910	Syar.g_01033	Prav.g_00595
OG0000911	Syar.g_01035	Prav.g_00597
OG0000912	Syar.g_01036	Prav.g_00598
OG0000913	Syar.g_01037	Prav.g_00599
OG0000914	Syar.g_01038	Prav.g_00600
OG0000915	Syar.g_01040	Prav.g_00601
OG0000916	Syar.g_01041	Prav.g_00602
OG0000917	Syar.g_01042	Prav.g_00603
OG0000918	Syar.g_01043	Prav.g_00604
OG0000919	Syar.g_01044	Prav.g_00605
OG0000920	Syar.g_01045	Prav.g_00606
OG0000921	Syar.g_01046	Prav.g_00607
OG0000922	Syar.g_01047	Prav.g_00608
OG0000923	Syar.g_01051	Prav.g_00612
OG0000924	Syar.g_01052	Prav.g_00613
OG0000925	Syar.g_01053	Prav.g_00614
OG0000926	Syar.g_01054	Prav.g_00615
OG0000927	Syar.g_01056	Prav.g_00617
OG0000928	Syar.g_01057	Prav.g_00618
OG0000929	Syar.g_01058	Prav.g_00619
OG0000930	Syar.g_01059	Prav.g_00620
OG0000931	Syar.g_01060	Prav.g_00621
OG0000932	Syar.g_01061	Prav.g_00622
OG0000933	Syar.g_01066	Prav.g_00626
OG0000934	Syar.g_01068	Prav.g_00628
OG0000935	Syar.g_01069	Prav.g_00629
OG0000936	Syar.g_01070	Prav.g_00630
OG0000937	Syar.g_01071	Prav.g_00631
OG0000938	Syar.g_01074	Prav.g_00633
OG0000939	Syar.g_01075	Prav.g_00634
OG0000940	Syar.g_01081	Prav.g_00641
OG0000941	Syar.g_01083	Prav.g_00643
OG0000942	Syar.g_01085	Prav.g_00645
OG0000943	Syar.g_01086	Prav.g_00646
OG0000944	Syar.g_01088	Prav.g_00647
OG0000945	Syar.g_01089	Prav.g_00648
OG0000946	Syar.g_01095	Prav.g_00653
OG0000947	Syar.g_01098	Prav.g_00655
OG0000948	Syar.g_01099	Prav.g_00656
OG0000949	Syar.g_00283	Prav.g_00659
OG0000950	Syar.g_00661	Prav.g_00664
OG0000951	Syar.g_00656	Prav.g_00668
OG0000952	Syar.g_00651	Prav.g_00672
OG0000953	Syar.g_00248	Prav.g_00675
OG0000954	Syar.g_00258	Prav.g_00679
OG0000955	Syar.g_00259	Prav.g_00680
OG0000956	Syar.g_00261	Prav.g_00682
OG0000957	Syar.g_00610	Prav.g_00687
OG0000958	Syar.g_00609	Prav.g_00688
OG0000959	Syar.g_00605	Prav.g_00692
OG0000960	Syar.g_00604	Prav.g_00693
OG0000961	Syar.g_00094	Prav.g_00695
OG0000962	Syar.g_00594	Prav.g_00697
OG0000963	Syar.g_00590	Prav.g_00701
OG0000964	Syar.g_00589	Prav.g_00702
OG0000965	Syar.g_00588	Prav.g_00703
OG0000966	Syar.g_00549	Prav.g_00710
OG0000967	Syar.g_00545	Prav.g_00714
OG0000968	Syar.g_00542	Prav.g_00716
OG0000969	Syar.g_00540	Prav.g_00717
OG0000970	Syar.g_00539	Prav.g_00718
OG0000971	Syar.g_00537	Prav.g_00719
OG0000972	Syar.g_00536	Prav.g_00720
OG0000973	Syar.g_00535	Prav.g_00721
OG0000974	Syar.g_00534	Prav.g_00722
OG0000975	Syar.g_00533	Prav.g_00723
OG0000976	Syar.g_00532	Prav.g_00724
OG0000977	Syar.g_00530	Prav.g_00725
OG0000978	Syar.g_00529	Prav.g_00726
OG0000979	Syar.g_00526	Prav.g_00729
OG0000980	Syar.g_00523	Prav.g_00731
OG0000981	Syar.g_00520	Prav.g_00733
OG0000982	Syar.g_00331	Prav.g_00735
OG0000983	Syar.g_00332	Prav.g_00736
OG0000984	Syar.g_00333	Prav.g_00737
OG0000985	Syar.g_00337	Prav.g_00740
OG0000986	Syar.g_00344	Prav.g_00742
OG0000987	Syar.g_00346	Prav.g_00743
OG0000988	Syar.g_00352	Prav.g_00746
OG0000989	Syar.g_00377	Prav.g_00750
OG0000990	Syar.g_00697	Prav.g_00753
OG0000991	Syar.g_00700	Prav.g_00754
OG0000992	Syar.g_00704	Prav.g_00756
OG0000993	Syar.g_00705	Prav.g_00757
OG0000994	Syar.g_00708	Prav.g_00758
OG0000995	Syar.g_03212, Syar.g_00624	Prav.g_00762
OG0000996	Syar.g_00861	Prav.g_00763
OG0000997	Syar.g_00437	Prav.g_00764
OG0000998	Syar.g_00439	Prav.g_00766
OG0000999	Syar.g_00440	Prav.g_00767
OG0001000	Syar.g_00955, Syar.g_00444	Prav.g_00770
OG0001001	Syar.g_00450	Prav.g_00772
OG0001002	Syar.g_00457	Prav.g_00776
OG0001003	Syar.g_00459	Prav.g_00778
OG0001004	Syar.g_00460	Prav.g_00779
OG0001005	Syar.g_00461	Prav.g_00780
OG0001006	Syar.g_00468	Prav.g_00784
OG0001007	Syar.g_00470	Prav.g_00786
OG0001008	Syar.g_01178, Syar.g_03274	Prav.g_01036
OG0001009	Syar.g_00500	Prav.g_00095
OG0001010	Syar.g_00501	Prav.g_00096
OG0001011	Syar.g_00503	Prav.g_00097
OG0001013	Syar.g_00906	Prav.g_00119
OG0001014	Syar.g_00914	Prav.g_00122
OG0001015	Syar.g_00915	Prav.g_00123
OG0001017	Syar.g_03050	Prav.g_00142
OG0001018	Syar.g_03052	Prav.g_00145
OG0001019	Syar.g_03086	Prav.g_00154
OG0001020	Syar.g_03092	Prav.g_00155
OG0001021	Syar.g_03098	Prav.g_00156
OG0001022	Syar.g_03102	Prav.g_00159
OG0001023	Syar.g_03103	Prav.g_00160
OG0001024	Syar.g_02276	Prav.g_00163
OG0001025	Syar.g_03115	Prav.g_00169
OG0001026	Syar.g_03131	Prav.g_00176
OG0001027	Syar.g_00031	Prav.g_00177
OG0001028	Syar.g_00034	Prav.g_00179
OG0001029	Syar.g_00036	Prav.g_00180
OG0001030	Syar.g_00058	Prav.g_00195
OG0001031	Syar.g_00129	Prav.g_00852
OG0001032	Syar.g_01011	Prav.g_00851
OG0001033	Syar.g_00962	Prav.g_00830
OG0001034	Syar.g_03022	Prav.g_00802
OG0001035	Syar.g_00171	Prav.g_01901
OG0001036	Syar.g_00193	Prav.g_01906
OG0001037	Syar.g_00195	Prav.g_01907
OG0001038	Syar.g_00223	Prav.g_01924
OG0001039	Syar.g_00226	Prav.g_01927
OG0001040	Syar.g_00229	Prav.g_01929
OG0001041	Syar.g_00234	Prav.g_01933
OG0001042	Syar.g_00831	Prav.g_01950
OG0001043	Syar.g_00826	Prav.g_01951
OG0001044	Syar.g_01117	Prav.g_01979
OG0001045	Syar.g_01130	Prav.g_01988
OG0001046	Syar.g_02514	Prav.g_00996
OG0001047	Syar.g_01180	Prav.g_01038
OG0001048	Syar.g_01181	Prav.g_01039
OG0001049	Syar.g_02872	Prav.g_01041
OG0001050	Syar.g_02871	Prav.g_01042
OG0001051	Syar.g_02870	Prav.g_01043
OG0001052	Syar.g_01269	Prav.g_01069
OG0001053	Syar.g_01472	Prav.g_01081
OG0001054	Syar.g_01492	Prav.g_01096
OG0001055	Syar.g_01513	Prav.g_01115
OG0001056	Syar.g_02349	Prav.g_01134
OG0001057	Syar.g_02341	Prav.g_01139
OG0001058	Syar.g_02324	Prav.g_01147
OG0001059	Syar.g_00422	Prav.g_01151
OG0001060	Syar.g_02315	Prav.g_01158
OG0001061	Syar.g_02297	Prav.g_01171
OG0001062	Syar.g_02294	Prav.g_01173
OG0001063	Syar.g_02209	Prav.g_01175
OG0001064	Syar.g_02208	Prav.g_01176
OG0001065	Syar.g_02207	Prav.g_01177
OG0001066	Syar.g_02206	Prav.g_01178
OG0001067	Syar.g_02205	Prav.g_01179
OG0001068	Syar.g_02204	Prav.g_01180
OG0001069	Syar.g_02203	Prav.g_01181
OG0001070	Syar.g_02200	Prav.g_01184
OG0001071	Syar.g_02199	Prav.g_01185
OG0001072	Syar.g_02195	Prav.g_01186
OG0001073	Syar.g_02182	Prav.g_01200
OG0001074	Syar.g_02031	Prav.g_01211
OG0001075	Syar.g_02215	Prav.g_01212
OG0001076	Syar.g_02253	Prav.g_01222
OG0001077	Syar.g_02240	Prav.g_01226
OG0001078	Syar.g_02419	Prav.g_01234
OG0001079	Syar.g_02431	Prav.g_01245
OG0001080	Syar.g_02442	Prav.g_01251
OG0001081	Syar.g_02444	Prav.g_01253
OG0001082	Syar.g_02445	Prav.g_01254
OG0001083	Syar.g_02473	Prav.g_01259
OG0001084	Syar.g_02474	Prav.g_01260
OG0001085	Syar.g_01688	Prav.g_01268
OG0001086	Syar.g_01686	Prav.g_01269
OG0001087	Syar.g_02347	Prav.g_01286
OG0001088	Syar.g_00431	Prav.g_01287
OG0001089	Syar.g_01942	Prav.g_01295
OG0001090	Syar.g_01582	Prav.g_00307
OG0001091	Syar.g_01580	Prav.g_00309
OG0001092	Syar.g_01578	Prav.g_00310
OG0001093	Syar.g_01572	Prav.g_00315
OG0001094	Syar.g_02633	Prav.g_00391
OG0001095	Syar.g_02653	Prav.g_00410
OG0001096	Syar.g_02476	Prav.g_00423
OG0001097	Syar.g_01823	Prav.g_00441
OG0001098	Syar.g_01672	Prav.g_00456
OG0001099	Syar.g_00035	Prav.g_00487
OG0001100	Syar.g_01625	Prav.g_00491
OG0001101	Syar.g_01623	Prav.g_00493
OG0001102	Syar.g_01620	Prav.g_00496
OG0001103	Syar.g_01618	Prav.g_00498
OG0001104	Syar.g_02616	Prav.g_00520
OG0001105	Syar.g_02620	Prav.g_00524
OG0001106	Syar.g_02553	Prav.g_00547
OG0001107	Syar.g_02541	Prav.g_00554
OG0001109	Syar.g_02529	Prav.g_00559
OG0001110	Syar.g_02527	Prav.g_00561
OG0001111	Syar.g_02525	Prav.g_00562
OG0001112	Syar.g_02523	Prav.g_00563
OG0001113	Syar.g_02522	Prav.g_00564
OG0001114	Syar.g_02521	Prav.g_00565
OG0001115	Syar.g_02519	Prav.g_00567
OG0001116	Syar.g_02517	Prav.g_00568
OG0001117	Syar.g_02516	Prav.g_00569
OG0001118	Syar.g_02515	Prav.g_00570
OG0001119	Syar.g_02513	Prav.g_00571
OG0001120	Syar.g_02507	Prav.g_00573
OG0001122	Syar.g_01803	Prav.g_00905
OG0001123	Syar.g_01796	Prav.g_00909
OG0001124	Syar.g_01793	Prav.g_00911
OG0001125	Syar.g_01791	Prav.g_00912
OG0001126	Syar.g_01375	Prav.g_00922
OG0001127	Syar.g_01374	Prav.g_00923
OG0001128	Syar.g_01371	Prav.g_00925
OG0001129	Syar.g_01369	Prav.g_00926
OG0001130	Syar.g_01368	Prav.g_00927
OG0001131	Syar.g_02448	Prav.g_00242
OG0001132	Syar.g_00684	Prav.g_00252
OG0001133	Syar.g_02249	Prav.g_00019
OG0001134	Syar.g_02235	Prav.g_00033
OG0001135	Syar.g_02232	Prav.g_00036
OG0001136	Syar.g_01536	Prav.g_00062
