Orthogroup	Syar	Prav
OG0000071	Syar.g_02777	Prav.g_01438
OG0000072	Syar.g_00107, Syar.g_01140	Prav.g_00867
OG0000073	Syar.g_01364, Syar.g_01493	Prav.g_01097
OG0000075	Syar.g_03065, Syar.g_00659	Prav.g_00665
OG0000076	Syar.g_00608	Prav.g_00689
OG0000077	Syar.g_03051	Prav.g_00143
OG0000078	Syar.g_03265, Syar.g_03018, Syar.g_01366	Prav.g_00799
OG0000079	Syar.g_00166	Prav.g_01899
OG0000081	Syar.g_01898	Prav.g_01129
OG0000082	Syar.g_02202	Prav.g_01182
OG0000085	Syar.g_02919	Prav.g_01754
OG0000086	Syar.g_03085	Prav.g_00153
OG0000087	Syar.g_03192, Syar.g_00068	Prav.g_00204
OG0000088	Syar.g_00101	Prav.g_00872
OG0000089	Syar.g_01162	Prav.g_00975
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prav.g_01131
OG0000091	Syar.g_01891, Syar.g_02426	Prav.g_01240
OG0000092	Syar.g_01960	Prav.g_01735
OG0000093	Syar.g_00819	Prav.g_01497
OG0000093	Syar.g_02623	Prav.g_00525
OG0000094	Syar.g_01789	Prav.g_00914
OG0000095	Syar.g_01932	Prav.g_00933
OG0000097	Syar.g_01706, Syar.g_00364	Prav.g_01840
OG0000098	Syar.g_02343	Prav.g_01455
OG0000099	Syar.g_00715	Prav.g_01514
OG0000100	Syar.g_02477	Prav.g_01652
OG0000101	Syar.g_01073, Syar.g_03154	Prav.g_00632
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prav.g_00694
OG0000103	Syar.g_00014, Syar.g_00452	Prav.g_00773
OG0000104	Syar.g_00466	Prav.g_00782
OG0000105	Syar.g_00218	Prav.g_01920
OG0000106	Syar.g_01748	Prav.g_00989
OG0000107	Syar.g_03290, Syar.g_00149	Prav.g_01001
OG0000108	Syar.g_01469	Prav.g_01078
OG0000109	Syar.g_03310, Syar.g_01485	Prav.g_01092
OG0000110	Syar.g_02295	Prav.g_01172
OG0000111	Syar.g_01940, Syar.g_00005	Prav.g_01297
OG0000112	Syar.g_03195, Syar.g_02548	Prav.g_00364
OG0000113	Syar.g_02664	Prav.g_00419
OG0000114	Syar.g_01616	Prav.g_00499
OG0000115	Syar.g_02854, Syar.g_01415	Prav.g_00010
OG0000116	Syar.g_01525, Syar.g_02255	Prav.g_00055
OG0000117	Syar.g_01969	Prav.g_01390
OG0000118	Syar.g_02793	Prav.g_01450
OG0000120	Syar.g_00713	Prav.g_01513
OG0000121	Syar.g_02806	Prav.g_01580
