Orthogroup	Prad	Prbm
OG0000047	Prad.g_01661	Prbm.g_00390
OG0000047	Prad.g_00683	Prbm.g_00428
OG0000048	Prad.g_00735	Prbm.g_00329
OG0000050	Prad.g_01291	Prbm.g_01485
OG0000050	Prad.g_00985	Prbm.g_00118
OG0000052	Prad.g_00571	Prbm.g_00114
OG0000053	Prad.g_00494	Prbm.g_01729
OG0000054	Prad.g_01395	Prbm.g_00637
OG0000055	Prad.g_01126	Prbm.g_00778, Prbm.g_01921
OG0000057	Prad.g_01272	Prbm.g_00735
OG0000058	Prad.g_00565	Prbm.g_00881
OG0000059	Prad.g_00855	Prbm.g_01973
OG0000061	Prad.g_01496	Prbm.g_01549
OG0000062	Prad.g_00436	Prbm.g_01792
OG0000063	Prad.g_01953, Prad.g_00081	Prbm.g_01947
OG0000065	Prad.g_01886	Prbm.g_00164
OG0000066	Prad.g_00090	Prbm.g_00572
OG0000067	Prad.g_01146	Prbm.g_00814
OG0000068	Prad.g_00594	Prbm.g_01660
OG0000069	Prad.g_00952, Prad.g_00400	Prbm.g_01414, Prbm.g_01387, Prbm.g_01753, Prbm.g_00772
OG0000070	Prad.g_00057	Prbm.g_00460
OG0000071	Prad.g_00628	Prbm.g_00468, Prbm.g_01611
OG0000072	Prad.g_01820	Prbm.g_00230
OG0000073	Prad.g_00130	Prbm.g_00533
OG0000074	Prad.g_01256	Prbm.g_00717, Prbm.g_00912, Prbm.g_01099
OG0000075	Prad.g_00775	Prbm.g_02069
OG0000076	Prad.g_01631	Prbm.g_02094
OG0000077	Prad.g_01915	Prbm.g_00135
OG0000078	Prad.g_01752	Prbm.g_00300
OG0000079	Prad.g_01739	Prbm.g_00311
OG0000081	Prad.g_00098	Prbm.g_00564
OG0000082	Prad.g_01374	Prbm.g_01900
OG0000083	Prad.g_01082, Prad.g_00345, Prad.g_01075	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000084	Prad.g_00519	Prbm.g_01706
OG0000085	Prad.g_00948	Prbm.g_01834
OG0000086	Prad.g_01905	Prbm.g_00145
OG0000087	Prad.g_01854	Prbm.g_00198
OG0000088	Prad.g_01825	Prbm.g_00225
OG0000089	Prad.g_00755	Prbm.g_00423
OG0000090	Prad.g_00096	Prbm.g_00566
OG0000091	Prad.g_01431	Prbm.g_00673
OG0000092	Prad.g_00240	Prbm.g_00934
OG0000093	Prad.g_00218	Prbm.g_00799
OG0000094	Prad.g_01038	Prbm.g_00888
OG0000095	Prad.g_01018	Prbm.g_01064
OG0000096	Prad.g_00650, Prad.g_00330	Prbm.g_01359
OG0000097	Prad.g_01454	Prbm.g_01502
OG0000098	Prad.g_00612	Prbm.g_01630
OG0000099	Prad.g_00566	Prbm.g_00394
OG0000100	Prad.g_00440	Prbm.g_01787
OG0000101	Prad.g_00807	Prbm.g_02033
OG0000102	Prad.g_01626	Prbm.g_02099
OG0000103	Prad.g_01548	Prbm.g_02218
OG0000104	Prad.g_01540	Prbm.g_02229
OG0000105	Prad.g_01717	Prbm.g_00331
OG0000106	Prad.g_00739	Prbm.g_01172, Prbm.g_01237
OG0000107	Prad.g_00724	Prbm.g_01949
OG0000108	Prad.g_00027	Prbm.g_00506
OG0000109	Prad.g_00013	Prbm.g_00519
OG0000110	Prad.g_01364	Prbm.g_00607
OG0000111	Prad.g_01273	Prbm.g_00736
OG0000112	Prad.g_01109	Prbm.g_00980
OG0000113	Prad.g_01168	Prbm.g_00838, Prbm.g_01191
OG0000114	Prad.g_00245	Prbm.g_00929
OG0000115	Prad.g_00641	Prbm.g_01803
OG0000116	Prad.g_01506	Prbm.g_01560
OG0000117	Prad.g_01214	Prbm.g_01522
OG0000118	Prad.g_00616	Prbm.g_01622
OG0000119	Prad.g_00598	Prbm.g_01653
OG0000120	Prad.g_00564	Prbm.g_00707
OG0000121	Prad.g_00513	Prbm.g_01712
OG0000122	Prad.g_00474	Prbm.g_01751
OG0000123	Prad.g_00800	Prbm.g_02040
OG0000124	Prad.g_01616	Prbm.g_02111
OG0000125	Prad.g_01580	Prbm.g_02176
OG0000126	Prad.g_01541	Prbm.g_02228
OG0000128	Prad.g_01975	Prbm.g_00011
OG0000129	Prad.g_01943	Prbm.g_00053
OG0000130	Prad.g_01924	Prbm.g_00126
OG0000131	Prad.g_01846	Prbm.g_00204
OG0000132	Prad.g_01827	Prbm.g_00223
OG0000133	Prad.g_01669	Prbm.g_00377
OG0000134	Prad.g_00754	Prbm.g_00425
OG0000135	Prad.g_00727	Prbm.g_01389
OG0000136	Prad.g_00066	Prbm.g_00451
OG0000137	Prad.g_00032	Prbm.g_00500
OG0000138	Prad.g_00012	Prbm.g_00520
OG0000139	Prad.g_00092	Prbm.g_00570
OG0000140	Prad.g_00091	Prbm.g_00571
OG0000141	Prad.g_01396	Prbm.g_00638
OG0000142	Prad.g_01424	Prbm.g_00666
OG0000143	Prad.g_01428	Prbm.g_00670
OG0000144	Prad.g_01226	Prbm.g_00683
OG0000145	Prad.g_01107	Prbm.g_01094
OG0000146	Prad.g_01110	Prbm.g_00979
OG0000147	Prad.g_01111	Prbm.g_00978
OG0000148	Prad.g_01162	Prbm.g_00832
OG0000149	Prad.g_00301	Prbm.g_00862
OG0000150	Prad.g_00293	Prbm.g_00870
OG0000151	Prad.g_00235	Prbm.g_00940
OG0000152	Prad.g_00186	Prbm.g_00988
OG0000153	Prad.g_00167	Prbm.g_01006
OG0000154	Prad.g_00139	Prbm.g_01035
OG0000155	Prad.g_01476	Prbm.g_01527
OG0000156	Prad.g_00359	Prbm.g_01600
OG0000157	Prad.g_00360	Prbm.g_01601
OG0000158	Prad.g_00567	Prbm.g_02077
OG0000159	Prad.g_00563	Prbm.g_02133, Prbm.g_02115
OG0000160	Prad.g_00514	Prbm.g_01711
OG0000161	Prad.g_00508	Prbm.g_01717
OG0000162	Prad.g_00502	Prbm.g_01723
OG0000163	Prad.g_00467	Prbm.g_01759
OG0000164	Prad.g_00917	Prbm.g_01863
OG0000165	Prad.g_00910	Prbm.g_01871
OG0000166	Prad.g_00843	Prbm.g_01996
OG0000167	Prad.g_00777	Prbm.g_02067
OG0000168	Prad.g_00767	Prbm.g_02078
OG0000169	Prad.g_01637	Prbm.g_02088
OG0000170	Prad.g_01635	Prbm.g_02090
OG0000171	Prad.g_01617	Prbm.g_02110
OG0000172	Prad.g_01609	Prbm.g_02146
OG0000173	Prad.g_01594	Prbm.g_02161
OG0000174	Prad.g_01566	Prbm.g_02192
OG0000175	Prad.g_01556	Prbm.g_02209
OG0000176	Prad.g_01532	Prbm.g_00004
OG0000177	Prad.g_01531	Prbm.g_00005
OG0000178	Prad.g_01530	Prbm.g_00006
OG0000179	Prad.g_01970	Prbm.g_00016
OG0000180	Prad.g_01969	Prbm.g_00017
OG0000181	Prad.g_01968	Prbm.g_00018
OG0000182	Prad.g_01967	Prbm.g_00019
OG0000183	Prad.g_01963	Prbm.g_00023
OG0000184	Prad.g_01940	Prbm.g_00055
OG0000185	Prad.g_01937	Prbm.g_00058
OG0000186	Prad.g_01929	Prbm.g_00121
OG0000187	Prad.g_01928	Prbm.g_00122
OG0000188	Prad.g_01911	Prbm.g_00139
OG0000189	Prad.g_01897	Prbm.g_00153
OG0000190	Prad.g_01896	Prbm.g_00154
OG0000191	Prad.g_01876	Prbm.g_00177
OG0000192	Prad.g_01872	Prbm.g_00181
OG0000193	Prad.g_01845	Prbm.g_00205
OG0000194	Prad.g_01842	Prbm.g_00208
OG0000195	Prad.g_01840	Prbm.g_00210
OG0000196	Prad.g_01830	Prbm.g_00220
OG0000197	Prad.g_01829	Prbm.g_00221
OG0000198	Prad.g_01828	Prbm.g_00222
OG0000199	Prad.g_01821	Prbm.g_00229
OG0000200	Prad.g_01807	Prbm.g_00243
OG0000201	Prad.g_01799	Prbm.g_00252
OG0000202	Prad.g_01798	Prbm.g_00253
OG0000203	Prad.g_01797	Prbm.g_00254
OG0000204	Prad.g_01796	Prbm.g_00255
OG0000205	Prad.g_01789	Prbm.g_00262
OG0000206	Prad.g_01784	Prbm.g_00266
OG0000207	Prad.g_01782	Prbm.g_00268
OG0000208	Prad.g_01781	Prbm.g_00269
OG0000209	Prad.g_01772	Prbm.g_00278
OG0000210	Prad.g_01771	Prbm.g_00279
OG0000211	Prad.g_01758	Prbm.g_00293
OG0000212	Prad.g_01751	Prbm.g_00301
OG0000213	Prad.g_01734	Prbm.g_00317
OG0000214	Prad.g_01724	Prbm.g_00325
OG0000215	Prad.g_01699	Prbm.g_00349
OG0000216	Prad.g_01697	Prbm.g_00350
OG0000217	Prad.g_01694	Prbm.g_00353
OG0000218	Prad.g_01692	Prbm.g_00355
OG0000219	Prad.g_01691	Prbm.g_00356
OG0000220	Prad.g_01690	Prbm.g_00357
OG0000221	Prad.g_01689	Prbm.g_00358
OG0000222	Prad.g_01681	Prbm.g_00366
