Orthogroup	Praj	Praq
OG0000028	Praj.g_01123	Praq.g_00092
OG0000029	Praj.g_00733, Praj.g_01842	Praq.g_00650
OG0000030	Praj.g_00976, Praj.g_01335, Praj.g_00975, Praj.g_01051, Praj.g_01316	Praq.g_00651
OG0000031	Praj.g_02020	Praq.g_00770
OG0000032	Praj.g_01867	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000033	Praj.g_01070, Praj.g_01084	Praq.g_00381, Praq.g_00610
OG0000034	Praj.g_01632	Praq.g_00294
OG0000035	Praj.g_01276, Praj.g_01675	Praq.g_00018, Praq.g_00056
OG0000036	Praj.g_01025	Praq.g_01281
OG0000040	Praj.g_01187, Praj.g_01323	Praq.g_00110
OG0000041	Praj.g_01066	Praq.g_00979
OG0000043	Praj.g_01395	Praq.g_01475
OG0000045	Praj.g_01827	Praq.g_01018
OG0000046	Praj.g_01189	Praq.g_00635
OG0000047	Praj.g_01461	Praq.g_01333
OG0000049	Praj.g_00839	Praq.g_00218, Praq.g_00271
OG0000050	Praj.g_00206	Praq.g_01836
OG0000051	Praj.g_01329, Praj.g_01365	Praq.g_01184
OG0000053	Praj.g_00698	Praq.g_00583
OG0000055	Praj.g_02012	Praq.g_01243, Praq.g_00763
OG0000056	Praj.g_00031	Praq.g_01234
OG0000057	Praj.g_00197	Praq.g_01845, Praq.g_00554
OG0000058	Praj.g_01156, Praj.g_01282	Praq.g_01173
OG0000059	Praj.g_00530	Praq.g_01063
OG0000062	Praj.g_00793, Praj.g_01176	Praq.g_01420
OG0000063	Praj.g_00043	Praq.g_01289
OG0000065	Praj.g_00277	Praq.g_01765
OG0000066	Praj.g_00467	Praq.g_00526
OG0000067	Praj.g_01313, Praj.g_00691	Praq.g_00827
OG0000068	Praj.g_01170	Praq.g_00548, Praq.g_00857, Praq.g_00083
OG0000069	Praj.g_01563	Praq.g_01298
OG0000070	Praj.g_01024	Praq.g_01619
OG0000071	Praj.g_01355	Praq.g_00084
OG0000072	Praj.g_01528	Praq.g_00133
OG0000073	Praj.g_01228, Praj.g_01377	Praq.g_00154
OG0000074	Praj.g_00664	Praq.g_00208
OG0000075	Praj.g_01952	Praq.g_00879
OG0000077	Praj.g_00011	Praq.g_00437
OG0000078	Praj.g_00357	Praq.g_01680
OG0000079	Praj.g_01279	Praq.g_01160
OG0000080	Praj.g_00659	Praq.g_00798
OG0000081	Praj.g_00684	Praq.g_00820
OG0000082	Praj.g_00776	Praq.g_00677
OG0000083	Praj.g_00864, Praj.g_01157	Praq.g_01469
OG0000084	Praj.g_00946, Praj.g_01601	Praq.g_01548
OG0000085	Praj.g_01196	Praq.g_01667
OG0000086	Praj.g_01832	Praq.g_01300
OG0000088	Praj.g_01260	Praq.g_00089
OG0000090	Praj.g_00372	Praq.g_00216
OG0000091	Praj.g_01640	Praq.g_00302
OG0000092	Praj.g_01166	Praq.g_00052
OG0000093	Praj.g_01892	Praq.g_00927
OG0000094	Praj.g_01948	Praq.g_00882
OG0000095	Praj.g_01985	Praq.g_00737
OG0000096	Praj.g_02083	Praq.g_00710
OG0000098	Praj.g_00003	Praq.g_00429
OG0000099	Praj.g_00023	Praq.g_01226
OG0000101	Praj.g_00053	Praq.g_01265
OG0000102	Praj.g_00153	Praq.g_01890
OG0000103	Praj.g_00162	Praq.g_01882
OG0000104	Praj.g_00179	Praq.g_01864
OG0000105	Praj.g_00210	Praq.g_01832
OG0000106	Praj.g_00223	Praq.g_01818
OG0000107	Praj.g_00232	Praq.g_01810
OG0000108	Praj.g_00242	Praq.g_01800
OG0000109	Praj.g_00280	Praq.g_01763
OG0000110	Praj.g_00290	Praq.g_01751
OG0000111	Praj.g_00310	Praq.g_01729
OG0000112	Praj.g_00320	Praq.g_01718
OG0000113	Praj.g_00332	Praq.g_01705
OG0000114	Praj.g_00360	Praq.g_01677
OG0000115	Praj.g_00466	Praq.g_00525
OG0000116	Praj.g_00468	Praq.g_00527
OG0000117	Praj.g_00473	Praq.g_00531
OG0000118	Praj.g_00491	Praq.g_01103
OG0000119	Praj.g_00523	Praq.g_01070
OG0000120	Praj.g_00524	Praq.g_01069
OG0000121	Praj.g_00534	Praq.g_01059
OG0000122	Praj.g_00543	Praq.g_01050
OG0000123	Praj.g_00573	Praq.g_01019
OG0000124	Praj.g_00639	Praq.g_00780
OG0000125	Praj.g_00640	Praq.g_00781
OG0000126	Praj.g_00641	Praq.g_00782
OG0000127	Praj.g_00679	Praq.g_00815
OG0000128	Praj.g_00700	Praq.g_00585
OG0000129	Praj.g_00722	Praq.g_00605
OG0000130	Praj.g_00909	Praq.g_00654
OG0000131	Praj.g_00767	Praq.g_00668
OG0000132	Praj.g_00804	Praq.g_01431
OG0000133	Praj.g_00905	Praq.g_01506
OG0000134	Praj.g_00754	Praq.g_01516
OG0000135	Praj.g_00950	Praq.g_01552
OG0000136	Praj.g_01021	Praq.g_01616
OG0000137	Praj.g_01835	Praq.g_01303
OG0000138	Praj.g_01466	Praq.g_01328
OG0000139	Praj.g_01455	Praq.g_01339
OG0000140	Praj.g_01402	Praq.g_01390
OG0000141	Praj.g_01014	Praq.g_00257
OG0000142	Praj.g_01540	Praq.g_00145
OG0000143	Praj.g_01575	Praq.g_00175
OG0000144	Praj.g_01618	Praq.g_00281
OG0000145	Praj.g_01633	Praq.g_00295
OG0000146	Praj.g_01667	Praq.g_00331
OG0000147	Praj.g_01713	Praq.g_00371
OG0000148	Praj.g_01714	Praq.g_00372
OG0000149	Praj.g_01766	Praq.g_01954, Praq.g_00499
OG0000150	Praj.g_01803	Praq.g_00461
OG0000151	Praj.g_01805	Praq.g_00458
OG0000152	Praj.g_01825	Praq.g_00956
OG0000153	Praj.g_01910	Praq.g_00920
OG0000154	Praj.g_01946	Praq.g_00884
OG0000155	Praj.g_01965	Praq.g_00867
OG0000156	Praj.g_01997	Praq.g_00748
OG0000157	Praj.g_02034	Praq.g_00683
OG0000158	Praj.g_02128	Praq.g_00409
OG0000160	Praj.g_00001	Praq.g_00427
OG0000161	Praj.g_00002	Praq.g_00428
OG0000162	Praj.g_00004	Praq.g_00430
OG0000163	Praj.g_00005	Praq.g_00431
OG0000164	Praj.g_00006	Praq.g_00432
OG0000165	Praj.g_00007	Praq.g_00433
OG0000166	Praj.g_00008	Praq.g_00434
OG0000167	Praj.g_00009	Praq.g_00435
OG0000168	Praj.g_00010	Praq.g_00436
OG0000169	Praj.g_00012	Praq.g_00438
OG0000170	Praj.g_00014	Praq.g_01217
OG0000171	Praj.g_00015	Praq.g_01218
OG0000172	Praj.g_00016	Praq.g_01219
OG0000173	Praj.g_00017	Praq.g_01220
OG0000174	Praj.g_00018	Praq.g_01221
OG0000175	Praj.g_00019	Praq.g_01222
OG0000176	Praj.g_00020	Praq.g_01223
OG0000177	Praj.g_00021	Praq.g_01224
OG0000178	Praj.g_00022	Praq.g_01225
OG0000179	Praj.g_00024	Praq.g_01227
OG0000180	Praj.g_00025	Praq.g_01228
OG0000181	Praj.g_00026	Praq.g_01229
OG0000182	Praj.g_00027	Praq.g_01230
OG0000183	Praj.g_00028	Praq.g_01231
OG0000184	Praj.g_00029	Praq.g_01232
OG0000185	Praj.g_00032	Praq.g_01235
OG0000186	Praj.g_00034	Praq.g_01239
OG0000187	Praj.g_00035	Praq.g_01240
OG0000188	Praj.g_00036	Praq.g_01241
OG0000189	Praj.g_00044	Praq.g_01255
OG0000190	Praj.g_00046	Praq.g_01257
OG0000191	Praj.g_00047	Praq.g_01258
OG0000192	Praj.g_00048	Praq.g_01259
OG0000193	Praj.g_00049	Praq.g_01261
OG0000194	Praj.g_00050	Praq.g_01262
OG0000195	Praj.g_00051	Praq.g_01263
OG0000196	Praj.g_00052	Praq.g_01264
OG0000197	Praj.g_00054	Praq.g_01266
OG0000198	Praj.g_00055	Praq.g_01267
OG0000199	Praj.g_00056	Praq.g_01268
OG0000200	Praj.g_00102	Praq.g_01939
OG0000201	Praj.g_00103	Praq.g_01938
OG0000202	Praj.g_00104	Praq.g_01937
OG0000203	Praj.g_00107	Praq.g_01934
OG0000204	Praj.g_00108	Praq.g_01933
OG0000205	Praj.g_00111	Praq.g_01930
OG0000206	Praj.g_00113	Praq.g_01928
OG0000207	Praj.g_00115	Praq.g_01926
OG0000208	Praj.g_00116	Praq.g_01925
OG0000209	Praj.g_00117	Praq.g_01924
OG0000210	Praj.g_00118	Praq.g_01923
OG0000211	Praj.g_00119	Praq.g_01922
OG0000212	Praj.g_00120	Praq.g_01921
OG0000213	Praj.g_00121	Praq.g_01920
OG0000214	Praj.g_00122	Praq.g_01919
OG0000215	Praj.g_00123	Praq.g_01918
OG0000216	Praj.g_00124	Praq.g_01917
OG0000217	Praj.g_00126	Praq.g_01915
OG0000218	Praj.g_00127	Praq.g_01914
OG0000219	Praj.g_00128	Praq.g_01913
OG0000220	Praj.g_00129	Praq.g_01912
OG0000221	Praj.g_00132	Praq.g_01909
OG0000222	Praj.g_00133	Praq.g_01908
OG0000223	Praj.g_00134	Praq.g_01907
OG0000224	Praj.g_00135	Praq.g_01906
OG0000225	Praj.g_00136	Praq.g_01905
OG0000226	Praj.g_00137	Praq.g_01904
OG0000227	Praj.g_00139	Praq.g_01903
OG0000228	Praj.g_00140	Praq.g_01902
OG0000229	Praj.g_00141	Praq.g_01901
OG0000230	Praj.g_00142	Praq.g_01900
OG0000231	Praj.g_00143	Praq.g_01899
OG0000232	Praj.g_00144	Praq.g_01897
OG0000233	Praj.g_00145	Praq.g_01896
OG0000234	Praj.g_00146	Praq.g_01895
OG0000235	Praj.g_00147	Praq.g_01894
OG0000236	Praj.g_00150	Praq.g_01893
OG0000237	Praj.g_00151	Praq.g_01892
OG0000238	Praj.g_00152	Praq.g_01891
OG0000239	Praj.g_00154	Praq.g_01889
OG0000240	Praj.g_00156	Praq.g_01888
OG0000241	Praj.g_00157	Praq.g_01887
OG0000242	Praj.g_00158	Praq.g_01886
OG0000243	Praj.g_00160	Praq.g_01883
OG0000244	Praj.g_00163	Praq.g_01881
OG0000245	Praj.g_00164	Praq.g_01880
OG0000246	Praj.g_00165	Praq.g_01879
OG0000247	Praj.g_00168	Praq.g_01876
OG0000248	Praj.g_00170	Praq.g_01874
OG0000249	Praj.g_00172	Praq.g_01873
OG0000250	Praj.g_00173	Praq.g_01872
OG0000251	Praj.g_00174	Praq.g_01871
OG0000252	Praj.g_00175	Praq.g_01870
OG0000253	Praj.g_00176	Praq.g_01869
OG0000254	Praj.g_01057	Praq.g_01867
OG0000255	Praj.g_00177	Praq.g_01866
OG0000256	Praj.g_00180	Praq.g_01863
OG0000257	Praj.g_00183	Praq.g_01861
OG0000258	Praj.g_00185	Praq.g_01857
OG0000259	Praj.g_00186	Praq.g_01856
OG0000260	Praj.g_00187	Praq.g_01855
OG0000261	Praj.g_00188	Praq.g_01854
OG0000262	Praj.g_00189	Praq.g_01853
OG0000263	Praj.g_00191	Praq.g_01851
OG0000264	Praj.g_00192	Praq.g_01850
OG0000265	Praj.g_00193	Praq.g_01849
OG0000266	Praj.g_00194	Praq.g_01848
