Orthogroup	Prae	Syab
OG0000345	Prae.g_01812	Syab.g_00117
OG0000346	Prae.g_01816	Syab.g_00112
OG0000347	Prae.g_01832	Syab.g_00087
OG0000348	Prae.g_01841	Syab.g_00076
OG0000349	Prae.g_01858	Syab.g_00054
OG0000350	Prae.g_01877	Syab.g_00382
OG0000351	Prae.g_01894	Syab.g_02879
OG0000352	Prae.g_01895	Syab.g_02880
OG0000353	Prae.g_01910	Syab.g_02913
OG0000354	Prae.g_00689	Syab.g_00020
OG0000355	Prae.g_00001	Syab.g_00001
OG0000356	Prae.g_00002	Syab.g_00002
OG0000357	Prae.g_00003	Syab.g_00003
OG0000358	Prae.g_00007	Syab.g_00007
OG0000359	Prae.g_00008	Syab.g_00009
OG0000360	Prae.g_00009	Syab.g_00010
OG0000361	Prae.g_00010	Syab.g_00011
OG0000362	Prae.g_00012	Syab.g_00013
OG0000363	Prae.g_00014	Syab.g_00015
OG0000364	Prae.g_00015	Syab.g_00016
OG0000365	Prae.g_00020	Syab.g_00026
OG0000366	Prae.g_00021	Syab.g_00027
OG0000367	Prae.g_00022	Syab.g_00028
OG0000368	Prae.g_00024	Syab.g_00030
OG0000369	Prae.g_00025	Syab.g_00031
OG0000370	Prae.g_00026	Syab.g_00032
OG0000371	Prae.g_00032	Syab.g_00711, Syab.g_00039
OG0000372	Prae.g_00035	Syab.g_00045
OG0000373	Prae.g_00036	Syab.g_00046
OG0000374	Prae.g_00037	Syab.g_00047
OG0000375	Prae.g_00042	Syab.g_00050
OG0000376	Prae.g_00044	Syab.g_00052
OG0000377	Prae.g_00047	Syab.g_02748
OG0000378	Prae.g_00049	Syab.g_02717
OG0000379	Prae.g_00052	Syab.g_02714
OG0000380	Prae.g_00066	Syab.g_02432
OG0000381	Prae.g_00070	Syab.g_02435
OG0000382	Prae.g_00081	Syab.g_02453
OG0000383	Prae.g_00083	Syab.g_02459
OG0000384	Prae.g_00084	Syab.g_02460
OG0000385	Prae.g_00085	Syab.g_02461
OG0000386	Prae.g_00086	Syab.g_02462
OG0000387	Prae.g_00099	Syab.g_02491
OG0000388	Prae.g_00102	Syab.g_02495
OG0000389	Prae.g_00105	Syab.g_02499
OG0000390	Prae.g_00112	Syab.g_02516
OG0000391	Prae.g_00116	Syab.g_02521
OG0000392	Prae.g_00120	Syab.g_02527
OG0000393	Prae.g_00122	Syab.g_02530
OG0000394	Prae.g_00123	Syab.g_02531
OG0000395	Prae.g_00124	Syab.g_02532
OG0000396	Prae.g_00127	Syab.g_02535
OG0000397	Prae.g_00129	Syab.g_02537
OG0000398	Prae.g_00131	Syab.g_02542
OG0000399	Prae.g_00132	Syab.g_02543
OG0000400	Prae.g_00133	Syab.g_02544
OG0000401	Prae.g_00134	Syab.g_02545
OG0000402	Prae.g_00136	Syab.g_02547
OG0000403	Prae.g_00137	Syab.g_02548
OG0000404	Prae.g_00138	Syab.g_02550
OG0000405	Prae.g_00142	Syab.g_02562
OG0000406	Prae.g_00150	Syab.g_02566
OG0000407	Prae.g_00151	Syab.g_02567
OG0000408	Prae.g_00153	Syab.g_02569
OG0000409	Prae.g_00155	Syab.g_02571
OG0000410	Prae.g_00156	Syab.g_02572
OG0000411	Prae.g_00157	Syab.g_02573
OG0000412	Prae.g_00158	Syab.g_02574
OG0000413	Prae.g_00159	Syab.g_02576
OG0000414	Prae.g_00160	Syab.g_02577
OG0000415	Prae.g_00161	Syab.g_02578
OG0000416	Prae.g_00162	Syab.g_02579
OG0000417	Prae.g_00163	Syab.g_02580
OG0000418	Prae.g_00168	Syab.g_02585
OG0000419	Prae.g_00170	Syab.g_02587
OG0000420	Prae.g_00171	Syab.g_02589
OG0000421	Prae.g_00176	Syab.g_02595
OG0000422	Prae.g_00177	Syab.g_02596
OG0000423	Prae.g_00178	Syab.g_02597
OG0000424	Prae.g_00179	Syab.g_02598
