Orthogroup	Prae	Prbc
OG0000035	Prae.g_01459	Prbc.g_00709
OG0000037	Prae.g_00108	Prbc.g_00464
OG0000038	Prae.g_01865	Prbc.g_00995
OG0000039	Prae.g_00660	Prbc.g_01768
OG0000040	Prae.g_01597	Prbc.g_00811
OG0000041	Prae.g_01669	Prbc.g_00877
OG0000042	Prae.g_01822	Prbc.g_00203
OG0000043	Prae.g_00876	Prbc.g_01953
OG0000045	Prae.g_00371	Prbc.g_02137
OG0000047	Prae.g_00331	Prbc.g_01227
OG0000048	Prae.g_00374	Prbc.g_01165
OG0000050	Prae.g_01077	Prbc.g_00513
OG0000051	Prae.g_01602	Prbc.g_00095
OG0000053	Prae.g_01479	Prbc.g_00728
OG0000054	Prae.g_00580	Prbc.g_01683
OG0000055	Prae.g_00787	Prbc.g_01822
OG0000057	Prae.g_00672	Prbc.g_01780, Prbc.g_00055
OG0000058	Prae.g_01417, Prae.g_01406	Prbc.g_01928
OG0000059	Prae.g_01710	Prbc.g_00958
OG0000061	Prae.g_01422, Prae.g_01163	Prbc.g_01446
OG0000062	Prae.g_01537	Prbc.g_00790
OG0000063	Prae.g_00033	Prbc.g_00932
OG0000065	Prae.g_00106	Prbc.g_00466
OG0000066	Prae.g_00514	Prbc.g_01618
OG0000067	Prae.g_00806	Prbc.g_01858
OG0000068	Prae.g_01368	Prbc.g_00657
OG0000069	Prae.g_01573	Prbc.g_02181, Prbc.g_00752
OG0000070	Prae.g_00424	Prbc.g_01511
OG0000071	Prae.g_01329	Prbc.g_00566
OG0000072	Prae.g_00174	Prbc.g_00400
OG0000073	Prae.g_00473	Prbc.g_01579
OG0000074	Prae.g_00656	Prbc.g_01763
OG0000075	Prae.g_01791	Prbc.g_00236
OG0000076	Prae.g_01815	Prbc.g_00211
OG0000077	Prae.g_00078	Prbc.g_00495
OG0000078	Prae.g_00242	Prbc.g_00330
OG0000079	Prae.g_00255	Prbc.g_01148
OG0000081	Prae.g_00505	Prbc.g_01610
OG0000082	Prae.g_00559	Prbc.g_00891
OG0000083	Prae.g_00742, Prae.g_01297, Prae.g_00735	Prbc.g_02193, Prbc.g_01233
OG0000084	Prae.g_01455	Prbc.g_00705
OG0000085	Prae.g_01616	Prbc.g_00826
OG0000086	Prae.g_00088	Prbc.g_00485
OG0000087	Prae.g_00139	Prbc.g_00432
OG0000088	Prae.g_00169	Prbc.g_00405
OG0000089	Prae.g_00355	Prbc.g_01268
OG0000090	Prae.g_00508	Prbc.g_01612
OG0000091	Prae.g_00616	Prbc.g_01719
OG0000092	Prae.g_00913	Prbc.g_01982
OG0000093	Prae.g_00933	Prbc.g_01843
OG0000094	Prae.g_01021	Prbc.g_01935
OG0000095	Prae.g_01040	Prbc.g_02113
OG0000096	Prae.g_01110, Prae.g_01283	Prbc.g_01323
OG0000097	Prae.g_01204	Prbc.g_01400
OG0000098	Prae.g_01350	Prbc.g_00585
OG0000099	Prae.g_01390	Prbc.g_01229
OG0000100	Prae.g_01533	Prbc.g_00785
OG0000101	Prae.g_01758	Prbc.g_00284
OG0000102	Prae.g_01820	Prbc.g_00206
OG0000103	Prae.g_01899	Prbc.g_01053
OG0000104	Prae.g_01907	Prbc.g_01065
OG0000105	Prae.g_01440	Prbc.g_01167
OG0000106	Prae.g_00370	Prbc.g_00134, Prbc.g_00641
OG0000107	Prae.g_00385	Prbc.g_00934
OG0000108	Prae.g_00454	Prbc.g_01540
OG0000109	Prae.g_00468	Prbc.g_01553
OG0000110	Prae.g_00549	Prbc.g_01654
OG0000111	Prae.g_00673	Prbc.g_01781
OG0000112	Prae.g_00770	Prbc.g_02028
OG0000113	Prae.g_00828	Prbc.g_01882, Prbc.g_00153
OG0000114	Prae.g_00908	Prbc.g_01977
OG0000115	Prae.g_01102	Prbc.g_00801
OG0000116	Prae.g_01153	Prbc.g_01457
OG0000117	Prae.g_01263	Prbc.g_00102
OG0000118	Prae.g_01341	Prbc.g_00577
OG0000119	Prae.g_01364	Prbc.g_00650
