Orthogroup	Prar	Syaa
OG0000559	Prar.g_01381	Syaa.g_01949
OG0000560	Prar.g_01384	Syaa.g_01946
OG0000561	Prar.g_01385	Syaa.g_01945
OG0000562	Prar.g_01386	Syaa.g_01944
OG0000563	Prar.g_01387	Syaa.g_01943
OG0000564	Prar.g_01388	Syaa.g_01942
OG0000565	Prar.g_01391	Syaa.g_01939
OG0000566	Prar.g_01393	Syaa.g_01935
OG0000567	Prar.g_01397	Syaa.g_01931
OG0000568	Prar.g_01398	Syaa.g_01928
OG0000569	Prar.g_01399	Syaa.g_01925
OG0000570	Prar.g_01400	Syaa.g_01924
OG0000571	Prar.g_01402	Syaa.g_01920
OG0000572	Prar.g_01415	Syaa.g_01904
OG0000573	Prar.g_01422	Syaa.g_01896
OG0000574	Prar.g_01423	Syaa.g_01895
OG0000575	Prar.g_01427	Syaa.g_01891
OG0000576	Prar.g_01429	Syaa.g_01889
OG0000577	Prar.g_01430	Syaa.g_01888
OG0000578	Prar.g_01431	Syaa.g_01887
OG0000579	Prar.g_01432	Syaa.g_01886
OG0000580	Prar.g_01433	Syaa.g_01885
OG0000581	Prar.g_01435	Syaa.g_01879
OG0000582	Prar.g_01438	Syaa.g_01687
OG0000583	Prar.g_01439	Syaa.g_01686
OG0000584	Prar.g_01440	Syaa.g_01685
OG0000585	Prar.g_01442	Syaa.g_01683
OG0000586	Prar.g_01443	Syaa.g_01682
OG0000587	Prar.g_01444	Syaa.g_01680
OG0000588	Prar.g_01448	Syaa.g_01666
OG0000589	Prar.g_01451	Syaa.g_01662
OG0000590	Prar.g_01452	Syaa.g_01661
OG0000591	Prar.g_01455	Syaa.g_01653
OG0000592	Prar.g_01456	Syaa.g_01652
OG0000593	Prar.g_01462	Syaa.g_01638
OG0000594	Prar.g_01463	Syaa.g_01637
OG0000595	Prar.g_01464	Syaa.g_01636
OG0000596	Prar.g_01468	Syaa.g_01630
OG0000597	Prar.g_01470	Syaa.g_01627
OG0000598	Prar.g_01471	Syaa.g_01626
OG0000599	Prar.g_01474	Syaa.g_01623
OG0000600	Prar.g_01475	Syaa.g_01622
OG0000601	Prar.g_01476	Syaa.g_01621
OG0000602	Prar.g_01478	Syaa.g_01616
OG0000603	Prar.g_01479	Syaa.g_01615
OG0000604	Prar.g_01480	Syaa.g_01612
OG0000605	Prar.g_01481	Syaa.g_01447
OG0000606	Prar.g_01484	Syaa.g_01055
OG0000607	Prar.g_01487	Syaa.g_01058
OG0000608	Prar.g_01488	Syaa.g_01059
OG0000609	Prar.g_01489	Syaa.g_01061
OG0000610	Prar.g_01494	Syaa.g_01068
OG0000611	Prar.g_01497	Syaa.g_01071
OG0000612	Prar.g_01498	Syaa.g_01072
OG0000613	Prar.g_01503	Syaa.g_00199
OG0000614	Prar.g_01522	Syaa.g_00906
OG0000615	Prar.g_01530	Syaa.g_01113
OG0000616	Prar.g_01534	Syaa.g_02742
OG0000617	Prar.g_01605	Syaa.g_01244
OG0000618	Prar.g_01606	Syaa.g_01245
OG0000619	Prar.g_01607	Syaa.g_01246
OG0000620	Prar.g_01610	Syaa.g_01259
OG0000621	Prar.g_01611	Syaa.g_01260
OG0000622	Prar.g_01612	Syaa.g_01261
OG0000623	Prar.g_01613	Syaa.g_01262
OG0000624	Prar.g_01614	Syaa.g_01264
OG0000625	Prar.g_01615	Syaa.g_01265
OG0000626	Prar.g_01616	Syaa.g_01266
OG0000627	Prar.g_01617	Syaa.g_01414
OG0000628	Prar.g_01618	Syaa.g_01413
OG0000629	Prar.g_01619	Syaa.g_01410
OG0000630	Prar.g_01622	Syaa.g_01406
OG0000631	Prar.g_01675	Syaa.g_01400
OG0000632	Prar.g_01676	Syaa.g_01399
OG0000633	Prar.g_01677	Syaa.g_01397
OG0000634	Prar.g_01680	Syaa.g_01150
OG0000635	Prar.g_01681	Syaa.g_01151
OG0000636	Prar.g_01683	Syaa.g_01153
OG0000637	Prar.g_01685	Syaa.g_01155
OG0000638	Prar.g_01686	Syaa.g_01156
OG0000639	Prar.g_01687	Syaa.g_01157
OG0000640	Prar.g_01688	Syaa.g_01158
OG0000641	Prar.g_01692	Syaa.g_01162
OG0000642	Prar.g_01693	Syaa.g_01163
OG0000643	Prar.g_01694	Syaa.g_01165
OG0000644	Prar.g_01695	Syaa.g_01166
OG0000645	Prar.g_01696	Syaa.g_01184
OG0000646	Prar.g_01698	Syaa.g_01187
OG0000647	Prar.g_01699	Syaa.g_01189
OG0000648	Prar.g_01701	Syaa.g_01191
OG0000649	Prar.g_01702	Syaa.g_01192
OG0000650	Prar.g_01703	Syaa.g_01193
OG0000651	Prar.g_01704	Syaa.g_01194
OG0000652	Prar.g_01705	Syaa.g_01195
OG0000653	Prar.g_01707	Syaa.g_01197
OG0000654	Prar.g_01708	Syaa.g_01198
OG0000655	Prar.g_01709	Syaa.g_01199
OG0000656	Prar.g_01712	Syaa.g_01202
OG0000657	Prar.g_01719	Syaa.g_00838
OG0000658	Prar.g_01720	Syaa.g_00836
OG0000659	Prar.g_01721	Syaa.g_00835
OG0000660	Prar.g_01725	Syaa.g_00831
OG0000661	Prar.g_01727	Syaa.g_00829
OG0000662	Prar.g_01729	Syaa.g_00827
OG0000663	Prar.g_01731	Syaa.g_00824
OG0000664	Prar.g_01732	Syaa.g_00823
OG0000665	Prar.g_01736	Syaa.g_01442
OG0000666	Prar.g_01737	Syaa.g_01448
OG0000668	Prar.g_01759	Syaa.g_01300
OG0000669	Prar.g_01767	Syaa.g_01084
OG0000670	Prar.g_01769	Syaa.g_01087
OG0000671	Prar.g_01771	Syaa.g_01089
OG0000672	Prar.g_01774	Syaa.g_01092
OG0000673	Prar.g_01777	Syaa.g_01095
OG0000674	Prar.g_01779	Syaa.g_01097
OG0000675	Prar.g_01780	Syaa.g_01098
OG0000676	Prar.g_01782	Syaa.g_01100
OG0000677	Prar.g_01783	Syaa.g_01101
OG0000678	Prar.g_01785	Syaa.g_01106
OG0000679	Prar.g_01789	Syaa.g_01116
OG0000680	Prar.g_01790	Syaa.g_01117
OG0000681	Prar.g_01792	Syaa.g_01120
OG0000682	Prar.g_01793	Syaa.g_01121
OG0000683	Prar.g_01794	Syaa.g_01122
OG0000684	Prar.g_01795	Syaa.g_01132
OG0000685	Prar.g_01797	Syaa.g_01134
OG0000686	Prar.g_01798	Syaa.g_01135
OG0000687	Prar.g_01799	Syaa.g_01136
OG0000688	Prar.g_01802	Syaa.g_01140
OG0000689	Prar.g_01803	Syaa.g_01142
OG0000690	Prar.g_01804	Syaa.g_01143
OG0000691	Prar.g_01805	Syaa.g_01144
OG0000692	Prar.g_01807	Syaa.g_01145
OG0000693	Prar.g_01808	Syaa.g_01146
OG0000694	Prar.g_01809	Syaa.g_01147
OG0000695	Prar.g_01811	Syaa.g_01395
OG0000696	Prar.g_01812	Syaa.g_01394
OG0000697	Prar.g_01813	Syaa.g_01392
OG0000698	Prar.g_01816	Syaa.g_01389
OG0000699	Prar.g_01817	Syaa.g_01387
OG0000700	Prar.g_01818	Syaa.g_01386
OG0000701	Prar.g_01819	Syaa.g_01385
OG0000702	Prar.g_01821	Syaa.g_01376
OG0000703	Prar.g_01822	Syaa.g_01375
OG0000704	Prar.g_01823	Syaa.g_01373
OG0000705	Prar.g_01827	Syaa.g_01365
OG0000706	Prar.g_01828	Syaa.g_01364
OG0000707	Prar.g_01829	Syaa.g_01363
OG0000708	Prar.g_01830	Syaa.g_01360
OG0000709	Prar.g_01834	Syaa.g_01351
OG0000710	Prar.g_01837	Syaa.g_01348
OG0000711	Prar.g_01853	Syaa.g_01320
OG0000712	Prar.g_01855	Syaa.g_01318
OG0000713	Prar.g_01856	Syaa.g_01317
OG0000714	Prar.g_01857	Syaa.g_01315
OG0000715	Prar.g_01859	Syaa.g_01313
OG0000716	Prar.g_01861	Syaa.g_01309
OG0000717	Prar.g_01862	Syaa.g_01308
OG0000718	Prar.g_01873	Syaa.g_01304
OG0000719	Prar.g_01875	Syaa.g_01302
OG0000720	Prar.g_01884	Syaa.g_01289
OG0000721	Prar.g_01886	Syaa.g_01287
OG0000722	Prar.g_01887	Syaa.g_01286
OG0000723	Prar.g_01890	Syaa.g_01268
OG0000724	Prar.g_01899	Syaa.g_00872
OG0000725	Prar.g_01905	Syaa.g_00882
OG0000726	Prar.g_01906	Syaa.g_00883
OG0000727	Prar.g_01907	Syaa.g_00884
OG0000728	Prar.g_01909	Syaa.g_00886
OG0000729	Prar.g_01955	Syaa.g_00100
OG0000730	Prar.g_01324	Syaa.g_02185
OG0000731	Prar.g_01320	Syaa.g_02173
OG0000732	Prar.g_01314	Syaa.g_00054
OG0000733	Prar.g_01295	Syaa.g_02621
OG0000734	Prar.g_01278	Syaa.g_02388
OG0000735	Prar.g_01276	Syaa.g_00754
OG0000736	Prar.g_01275	Syaa.g_00755
OG0000737	Prar.g_01274	Syaa.g_00756
OG0000738	Prar.g_01270	Syaa.g_00761
OG0000739	Prar.g_01269	Syaa.g_00762
OG0000740	Prar.g_01268	Syaa.g_00763
OG0000741	Prar.g_01267	Syaa.g_00766
OG0000742	Prar.g_01264	Syaa.g_00769
OG0000743	Prar.g_01262	Syaa.g_00771
OG0000744	Prar.g_01261	Syaa.g_00772
OG0000745	Prar.g_01260	Syaa.g_00774
OG0000746	Prar.g_01258	Syaa.g_00776
OG0000747	Prar.g_01257	Syaa.g_00777
OG0000748	Prar.g_01254	Syaa.g_00787
OG0000749	Prar.g_01253	Syaa.g_00789
OG0000750	Prar.g_01252	Syaa.g_00790
OG0000751	Prar.g_01250	Syaa.g_00797
OG0000752	Prar.g_01248	Syaa.g_00799
OG0000753	Prar.g_01245	Syaa.g_00802
OG0000754	Prar.g_01242	Syaa.g_01025
OG0000755	Prar.g_01239	Syaa.g_01005
OG0000756	Prar.g_01238	Syaa.g_01004
OG0000757	Prar.g_01232	Syaa.g_00996
OG0000758	Prar.g_01231	Syaa.g_00995
OG0000759	Prar.g_01230	Syaa.g_00994
OG0000760	Prar.g_01229	Syaa.g_00993
OG0000761	Prar.g_01228	Syaa.g_00992
OG0000762	Prar.g_01227	Syaa.g_00988
OG0000763	Prar.g_01225	Syaa.g_00986
OG0000764	Prar.g_01224	Syaa.g_00985
OG0000765	Prar.g_01215	Syaa.g_00968
OG0000766	Prar.g_01214	Syaa.g_00967
OG0000767	Prar.g_01212	Syaa.g_00965
OG0000768	Prar.g_01211	Syaa.g_00964
OG0000769	Prar.g_01209	Syaa.g_00962
OG0000770	Prar.g_01207	Syaa.g_00959
OG0000771	Prar.g_00376	Syaa.g_00866
OG0000772	Prar.g_00976	Syaa.g_01526
OG0000773	Prar.g_00964	Syaa.g_00749
OG0000774	Prar.g_00962	Syaa.g_00745
OG0000775	Prar.g_00960	Syaa.g_00742
OG0000776	Prar.g_00959	Syaa.g_00741
OG0000777	Prar.g_00958	Syaa.g_00740
OG0000778	Prar.g_00957	Syaa.g_00739
OG0000779	Prar.g_00953	Syaa.g_00733
OG0000780	Prar.g_00952	Syaa.g_00730
OG0000781	Prar.g_00949	Syaa.g_00726
OG0000782	Prar.g_00948	Syaa.g_00725
OG0000783	Prar.g_00947	Syaa.g_00724
OG0000784	Prar.g_00946	Syaa.g_00723
OG0000785	Prar.g_00944	Syaa.g_00721
OG0000786	Prar.g_00942	Syaa.g_01875
OG0000787	Prar.g_00941	Syaa.g_01876
OG0000788	Prar.g_00924	Syaa.g_01620
OG0000789	Prar.g_00921	Syaa.g_01434
OG0000790	Prar.g_00906	Syaa.g_02064
OG0000791	Prar.g_00904	Syaa.g_02066
OG0000792	Prar.g_00903	Syaa.g_02067
OG0000793	Prar.g_00900	Syaa.g_02072
OG0000794	Prar.g_00899	Syaa.g_02073
OG0000795	Prar.g_00898	Syaa.g_02074
OG0000796	Prar.g_00894	Syaa.g_02078
OG0000797	Prar.g_00893	Syaa.g_02079
OG0000798	Prar.g_00866	Syaa.g_00265, Syaa.g_00494
OG0000799	Prar.g_00357	Syaa.g_01743
OG0000800	Prar.g_00356	Syaa.g_01747
OG0000801	Prar.g_00355	Syaa.g_01748
OG0000802	Prar.g_00353	Syaa.g_01753
OG0000803	Prar.g_00351	Syaa.g_01758
OG0000804	Prar.g_00350	Syaa.g_01761
OG0000805	Prar.g_00348	Syaa.g_01763
OG0000806	Prar.g_00346	Syaa.g_01765
OG0000807	Prar.g_00345	Syaa.g_01767
OG0000808	Prar.g_00344	Syaa.g_01768
OG0000809	Prar.g_00341	Syaa.g_01771
OG0000810	Prar.g_00340	Syaa.g_01772
OG0000811	Prar.g_00336	Syaa.g_01778
OG0000812	Prar.g_00842	Syaa.g_01780
OG0000813	Prar.g_00841	Syaa.g_01781
OG0000814	Prar.g_00839	Syaa.g_01783
OG0000815	Prar.g_00838	Syaa.g_01784
OG0000816	Prar.g_00836	Syaa.g_01785
OG0000817	Prar.g_00835	Syaa.g_01786
OG0000818	Prar.g_00830	Syaa.g_01792
OG0000819	Prar.g_00829	Syaa.g_01793
OG0000820	Prar.g_00828	Syaa.g_01794
OG0000821	Prar.g_00824	Syaa.g_01800
OG0000822	Prar.g_00823	Syaa.g_01802
OG0000823	Prar.g_00822	Syaa.g_01803
OG0000824	Prar.g_00819	Syaa.g_01807
OG0000825	Prar.g_00818	Syaa.g_01808
OG0000826	Prar.g_00817	Syaa.g_01809
OG0000827	Prar.g_00816	Syaa.g_01810
OG0000828	Prar.g_00813	Syaa.g_01813
OG0000829	Prar.g_00812	Syaa.g_01814
OG0000830	Prar.g_00811	Syaa.g_01815
OG0000831	Prar.g_00809	Syaa.g_01817
OG0000832	Prar.g_00803	Syaa.g_00627
OG0000833	Prar.g_00795	Syaa.g_00611
OG0000834	Prar.g_00794	Syaa.g_00608
OG0000835	Prar.g_00793	Syaa.g_00607
OG0000836	Prar.g_00792	Syaa.g_00603
OG0000837	Prar.g_00791	Syaa.g_00601
OG0000838	Prar.g_00789	Syaa.g_00597
OG0000839	Prar.g_00788	Syaa.g_00596
OG0000840	Prar.g_00787	Syaa.g_00595
OG0000841	Prar.g_00786	Syaa.g_00594
OG0000842	Prar.g_00785	Syaa.g_00593
OG0000843	Prar.g_00784	Syaa.g_00592
OG0000844	Prar.g_00783	Syaa.g_00590
OG0000845	Prar.g_00782	Syaa.g_00589
OG0000846	Prar.g_00781	Syaa.g_00588
OG0000847	Prar.g_00780	Syaa.g_00587
OG0000848	Prar.g_00779	Syaa.g_00585
OG0000849	Prar.g_00778	Syaa.g_00584
OG0000850	Prar.g_00776	Syaa.g_00582
OG0000851	Prar.g_00775	Syaa.g_00577
OG0000852	Prar.g_00774	Syaa.g_00576
OG0000853	Prar.g_00770	Syaa.g_00572
OG0000854	Prar.g_00768	Syaa.g_00570
OG0000855	Prar.g_00767	Syaa.g_00569
OG0000856	Prar.g_00753	Syaa.g_01650
OG0000857	Prar.g_00725	Syaa.g_01188
OG0000858	Prar.g_01149	Syaa.g_00563
OG0000859	Prar.g_01148	Syaa.g_00562
OG0000860	Prar.g_01141	Syaa.g_00549
OG0000861	Prar.g_01140	Syaa.g_00548
OG0000862	Prar.g_01139	Syaa.g_00547
OG0000863	Prar.g_01137	Syaa.g_00543
OG0000864	Prar.g_01136	Syaa.g_00542
OG0000865	Prar.g_01135	Syaa.g_00541
OG0000866	Prar.g_01134	Syaa.g_00540
OG0000867	Prar.g_01133	Syaa.g_00539
OG0000868	Prar.g_01132	Syaa.g_00536
OG0000869	Prar.g_01128	Syaa.g_00531
OG0000870	Prar.g_01123	Syaa.g_00526
OG0000871	Prar.g_01122	Syaa.g_00525
OG0000872	Prar.g_01121	Syaa.g_00511
OG0000873	Prar.g_01965	Syaa.g_00497
OG0000874	Prar.g_01968	Syaa.g_00519
OG0000875	Prar.g_01969	Syaa.g_00438
OG0000876	Prar.g_01970	Syaa.g_00682
OG0000877	Prar.g_01963	Syaa.g_00679
OG0000878	Prar.g_01962	Syaa.g_00678
OG0000879	Prar.g_01961	Syaa.g_00677
OG0000880	Prar.g_01960	Syaa.g_00676
OG0000881	Prar.g_00595, Prar.g_01956	Syaa.g_00671
OG0000882	Prar.g_00600	Syaa.g_00666
OG0000883	Prar.g_00601	Syaa.g_00661
OG0000884	Prar.g_00603	Syaa.g_00659
OG0000885	Prar.g_00604	Syaa.g_00658
OG0000886	Prar.g_00605	Syaa.g_00657
OG0000887	Prar.g_00606	Syaa.g_00656
OG0000888	Prar.g_00608	Syaa.g_00654
OG0000889	Prar.g_00610	Syaa.g_00652
OG0000890	Prar.g_00611	Syaa.g_00644
OG0000891	Prar.g_00612	Syaa.g_00643
OG0000892	Prar.g_01119	Syaa.g_00640
OG0000893	Prar.g_01114	Syaa.g_02352
OG0000894	Prar.g_01112	Syaa.g_02349
OG0000895	Prar.g_01109	Syaa.g_02345
OG0000896	Prar.g_01108	Syaa.g_02344
OG0000897	Prar.g_01106	Syaa.g_02342
OG0000898	Prar.g_01105	Syaa.g_02341
OG0000899	Prar.g_01104	Syaa.g_02340
OG0000900	Prar.g_01103	Syaa.g_02339
OG0000901	Prar.g_01100	Syaa.g_02334
OG0000902	Prar.g_01098	Syaa.g_02332
OG0000903	Prar.g_01095	Syaa.g_02313
OG0000904	Prar.g_01093	Syaa.g_02318
OG0000905	Prar.g_01088	Syaa.g_02324
OG0000906	Prar.g_01087	Syaa.g_02327
OG0000907	Prar.g_01069	Syaa.g_02295
OG0000908	Prar.g_01066	Syaa.g_02292
OG0000909	Prar.g_01065	Syaa.g_02291
OG0000910	Prar.g_01064	Syaa.g_02290
OG0000911	Prar.g_01062	Syaa.g_02288
OG0000912	Prar.g_01061	Syaa.g_02287
OG0000913	Prar.g_01060	Syaa.g_02286
OG0000914	Prar.g_01059	Syaa.g_02285
OG0000915	Prar.g_01058	Syaa.g_02283
OG0000916	Prar.g_01057	Syaa.g_02282
OG0000917	Prar.g_01056	Syaa.g_02281
OG0000918	Prar.g_01055	Syaa.g_02280
OG0000919	Prar.g_01054	Syaa.g_02279
OG0000920	Prar.g_01053	Syaa.g_02278
OG0000921	Prar.g_01052	Syaa.g_02277
OG0000922	Prar.g_01051	Syaa.g_02276
OG0000923	Prar.g_01047	Syaa.g_02272
OG0000924	Prar.g_01046	Syaa.g_02271
OG0000925	Prar.g_01045	Syaa.g_02270
OG0000926	Prar.g_01044	Syaa.g_02269
OG0000927	Prar.g_01042	Syaa.g_02267
OG0000928	Prar.g_01041	Syaa.g_02266
OG0000929	Prar.g_01040	Syaa.g_02265
OG0000930	Prar.g_01039	Syaa.g_02264
OG0000931	Prar.g_01038	Syaa.g_02263
OG0000932	Prar.g_01037	Syaa.g_02262
OG0000933	Prar.g_01033	Syaa.g_02256
OG0000934	Prar.g_01031	Syaa.g_02254
OG0000935	Prar.g_01030	Syaa.g_02253
OG0000936	Prar.g_01029	Syaa.g_02252
OG0000937	Prar.g_01028	Syaa.g_02251
OG0000938	Prar.g_01026	Syaa.g_02248
OG0000939	Prar.g_01025	Syaa.g_02247
OG0000940	Prar.g_01019	Syaa.g_02240
OG0000941	Prar.g_01017	Syaa.g_02238
OG0000942	Prar.g_01015	Syaa.g_02236
OG0000943	Prar.g_01014	Syaa.g_02235
OG0000944	Prar.g_01013	Syaa.g_02233
OG0000945	Prar.g_01012	Syaa.g_02231
OG0000946	Prar.g_00617	Syaa.g_02225
OG0000947	Prar.g_00619	Syaa.g_02222
OG0000948	Prar.g_00620	Syaa.g_02221
OG0000949	Prar.g_00623	Syaa.g_00172
OG0000950	Prar.g_00628	Syaa.g_00159
OG0000951	Prar.g_00632	Syaa.g_00153
OG0000952	Prar.g_00636	Syaa.g_00149
OG0000953	Prar.g_00639	Syaa.g_00143
OG0000954	Prar.g_00643	Syaa.g_00138
OG0000955	Prar.g_00644	Syaa.g_00137
OG0000956	Prar.g_00646	Syaa.g_00135
OG0000957	Prar.g_00651	Syaa.g_00125
OG0000958	Prar.g_00652	Syaa.g_00124
OG0000959	Prar.g_00656	Syaa.g_00120
OG0000960	Prar.g_00657	Syaa.g_00119
OG0000961	Prar.g_00659	Syaa.g_00106
OG0000962	Prar.g_00661	Syaa.g_00102
OG0000963	Prar.g_00664	Syaa.g_00097
OG0000964	Prar.g_00665	Syaa.g_00096
OG0000965	Prar.g_00666	Syaa.g_00095
OG0000966	Prar.g_00673	Syaa.g_00083
OG0000967	Prar.g_00677	Syaa.g_00074
OG0000968	Prar.g_00679	Syaa.g_00078
OG0000969	Prar.g_00680	Syaa.g_00077
OG0000970	Prar.g_00681	Syaa.g_00076
OG0000971	Prar.g_00682	Syaa.g_00069
OG0000972	Prar.g_00683	Syaa.g_00068
OG0000973	Prar.g_00684	Syaa.g_00067
OG0000974	Prar.g_00685	Syaa.g_00066
OG0000975	Prar.g_00686	Syaa.g_00065
OG0000976	Prar.g_00687	Syaa.g_00064
OG0000977	Prar.g_00688	Syaa.g_00062
OG0000978	Prar.g_00689	Syaa.g_00061
OG0000979	Prar.g_00692	Syaa.g_00058
OG0000980	Prar.g_00694	Syaa.g_00055
OG0000981	Prar.g_00696	Syaa.g_00052
OG0000982	Prar.g_00698	Syaa.g_02593
OG0000983	Prar.g_00699	Syaa.g_02594
OG0000984	Prar.g_00700	Syaa.g_02595
OG0000985	Prar.g_00703	Syaa.g_02597
OG0000986	Prar.g_00705	Syaa.g_02601
OG0000987	Prar.g_00706	Syaa.g_02603
OG0000988	Prar.g_00709	Syaa.g_02608
OG0000989	Prar.g_00073	Syaa.g_02616
OG0000990	Prar.g_00070	Syaa.g_02647
OG0000991	Prar.g_00069	Syaa.g_02650
OG0000992	Prar.g_00067	Syaa.g_02653
OG0000993	Prar.g_00066	Syaa.g_02654
OG0000994	Prar.g_00065	Syaa.g_02657
OG0000995	Prar.g_00061	Syaa.g_02662
OG0000996	Prar.g_00060	Syaa.g_02705
OG0000997	Prar.g_00059	Syaa.g_02725
OG0000998	Prar.g_00057	Syaa.g_02727
OG0000999	Prar.g_00056	Syaa.g_02728
OG0001000	Prar.g_00053	Syaa.g_02732
OG0001001	Prar.g_00051	Syaa.g_02738
OG0001002	Prar.g_00047	Syaa.g_02745
OG0001003	Prar.g_00046	Syaa.g_02747
OG0001004	Prar.g_00045	Syaa.g_02748
OG0001005	Prar.g_00044	Syaa.g_02749
OG0001006	Prar.g_00040	Syaa.g_02756
OG0001007	Prar.g_00038	Syaa.g_02758
OG0001008	Prar.g_00485	Syaa.g_00704
OG0001009	Prar.g_00011	Syaa.g_00034
OG0001010	Prar.g_00010	Syaa.g_00035
OG0001011	Prar.g_00009	Syaa.g_00037
OG0001012	Prar.g_00577	Syaa.g_02589
OG0001013	Prar.g_00571	Syaa.g_02576
OG0001014	Prar.g_00568	Syaa.g_02572
OG0001015	Prar.g_00567	Syaa.g_02571
OG0001016	Prar.g_00255	Syaa.g_00348
OG0001017	Prar.g_00251	Syaa.g_00342
OG0001018	Prar.g_00248	Syaa.g_00340
OG0001019	Prar.g_00239	Syaa.g_00323
OG0001020	Prar.g_00238	Syaa.g_02355
OG0001021	Prar.g_00237	Syaa.g_02359
OG0001022	Prar.g_00234	Syaa.g_02365
OG0001023	Prar.g_00233	Syaa.g_02366
OG0001024	Prar.g_00230	Syaa.g_02370
OG0001025	Prar.g_00224	Syaa.g_02377
OG0001026	Prar.g_00217	Syaa.g_02390
OG0001027	Prar.g_00216	Syaa.g_02397
OG0001028	Prar.g_00214	Syaa.g_02399
OG0001029	Prar.g_00213	Syaa.g_02401
OG0001030	Prar.g_00198	Syaa.g_02422
OG0001031	Prar.g_00141	Syaa.g_02500
OG0001032	Prar.g_00140	Syaa.g_02502
OG0001033	Prar.g_00119	Syaa.g_02539
OG0001034	Prar.g_00091	Syaa.g_02108
OG0001035	Prar.g_00333	Syaa.g_00298
OG0001036	Prar.g_00328	Syaa.g_00293
OG0001037	Prar.g_00327	Syaa.g_00291
OG0001038	Prar.g_00309	Syaa.g_00264
OG0001039	Prar.g_00306	Syaa.g_00261
OG0001040	Prar.g_00304	Syaa.g_00258
OG0001041	Prar.g_00300	Syaa.g_00253
OG0001042	Prar.g_00283	Syaa.g_00227
OG0001043	Prar.g_00282	Syaa.g_00223
OG0001044	Prar.g_00393	Syaa.g_02183
OG0001045	Prar.g_00402	Syaa.g_02170
OG0001046	Prar.g_00440	Syaa.g_01332
OG0001047	Prar.g_00487	Syaa.g_00706
OG0001048	Prar.g_00488	Syaa.g_00707
OG0001049	Prar.g_00490	Syaa.g_00710
OG0001050	Prar.g_00491	Syaa.g_00711
OG0001051	Prar.g_00492	Syaa.g_00712
OG0001052	Prar.g_00521	Syaa.g_01846
OG0001053	Prar.g_00533	Syaa.g_02048
OG0001054	Prar.g_01329	Syaa.g_02031
OG0001055	Prar.g_01347	Syaa.g_02010
OG0001056	Prar.g_01366	Syaa.g_01975
OG0001057	Prar.g_01371	Syaa.g_01966
OG0001058	Prar.g_01379	Syaa.g_01951
OG0001059	Prar.g_01383	Syaa.g_01947
OG0001060	Prar.g_01390	Syaa.g_01941
OG0001061	Prar.g_01403	Syaa.g_01919
OG0001062	Prar.g_01405	Syaa.g_01917
OG0001063	Prar.g_01407	Syaa.g_01912
OG0001064	Prar.g_01408	Syaa.g_01911
OG0001065	Prar.g_01409	Syaa.g_01910
OG0001066	Prar.g_01410	Syaa.g_01909
OG0001067	Prar.g_01411	Syaa.g_01908
OG0001068	Prar.g_01412	Syaa.g_01907
OG0001069	Prar.g_01413	Syaa.g_01906
OG0001070	Prar.g_01416	Syaa.g_01903
OG0001071	Prar.g_01417	Syaa.g_01902
OG0001072	Prar.g_01419	Syaa.g_01898
OG0001073	Prar.g_01434	Syaa.g_01884
OG0001074	Prar.g_01445	Syaa.g_01678
OG0001075	Prar.g_01446	Syaa.g_01676
OG0001076	Prar.g_01454	Syaa.g_01659
OG0001077	Prar.g_01458	Syaa.g_01647
OG0001078	Prar.g_01466	Syaa.g_01632
OG0001079	Prar.g_01477	Syaa.g_01619
OG0001080	Prar.g_01483	Syaa.g_01443
OG0001081	Prar.g_01485	Syaa.g_01056
OG0001082	Prar.g_01486	Syaa.g_01057
OG0001083	Prar.g_01491	Syaa.g_01064
OG0001084	Prar.g_01492	Syaa.g_01065
OG0001085	Prar.g_01500	Syaa.g_01075
OG0001086	Prar.g_01501	Syaa.g_01077
OG0001087	Prar.g_01518	Syaa.g_00920
OG0001088	Prar.g_01519	Syaa.g_00916
OG0001089	Prar.g_01527	Syaa.g_00890
OG0001090	Prar.g_01600	Syaa.g_01237
OG0001091	Prar.g_01602	Syaa.g_01239
OG0001092	Prar.g_01603	Syaa.g_01242
OG0001093	Prar.g_01608	Syaa.g_01248
OG0001094	Prar.g_01678	Syaa.g_01148
OG0001095	Prar.g_01697	Syaa.g_01185
OG0001096	Prar.g_01710	Syaa.g_01200
OG0001097	Prar.g_01728	Syaa.g_00828
OG0001098	Prar.g_01744	Syaa.g_01441
OG0001099	Prar.g_01764	Syaa.g_02400
OG0001100	Prar.g_01768	Syaa.g_01086
OG0001101	Prar.g_01770	Syaa.g_01088
OG0001102	Prar.g_01773	Syaa.g_01091
OG0001103	Prar.g_01775	Syaa.g_01093
OG0001104	Prar.g_01796	Syaa.g_01133
OG0001105	Prar.g_01800	Syaa.g_01137
OG0001106	Prar.g_01824	Syaa.g_01372
OG0001107	Prar.g_01831	Syaa.g_01359
OG0001108	Prar.g_01835	Syaa.g_01350
OG0001109	Prar.g_01836	Syaa.g_01349
OG0001110	Prar.g_01838	Syaa.g_01347
OG0001111	Prar.g_01839	Syaa.g_01345
OG0001112	Prar.g_01840	Syaa.g_01343
OG0001113	Prar.g_01841	Syaa.g_01342
OG0001114	Prar.g_01842	Syaa.g_01341
OG0001115	Prar.g_01844	Syaa.g_01337
OG0001116	Prar.g_01845	Syaa.g_01335
OG0001117	Prar.g_01846	Syaa.g_01334
