Orthogroup	Prar	Syaa
OG0000076	Prar.g_00592, Prar.g_00653	Syaa.g_00123
OG0000077	Prar.g_00250	Syaa.g_00341
OG0000078	Prar.g_00088	Syaa.g_02103
OG0000081	Prar.g_01361	Syaa.g_02089, Syaa.g_01694
OG0000082	Prar.g_01414	Syaa.g_01905
OG0000084	Prar.g_00343	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Prar.g_01150	Syaa.g_00564
OG0000086	Prar.g_00240	Syaa.g_00324
OG0000087	Prar.g_00189	Syaa.g_02433
OG0000088	Prar.g_00161	Syaa.g_02474
OG0000089	Prar.g_00416	Syaa.g_02149
OG0000090	Prar.g_01363	Syaa.g_01980
OG0000091	Prar.g_01472	Syaa.g_01625
OG0000093	Prar.g_01801	Syaa.g_01139
OG0000094	Prar.g_01885	Syaa.g_01288
OG0000095	Prar.g_01904	Syaa.g_00879
OG0000097	Prar.g_01222	Syaa.g_00979
OG0000098	Prar.g_00929	Syaa.g_01970
OG0000099	Prar.g_00872	Syaa.g_00202
OG0000100	Prar.g_00773	Syaa.g_01201
OG0000101	Prar.g_01027	Syaa.g_02249
OG0000102	Prar.g_00658	Syaa.g_00118
OG0000103	Prar.g_00050	Syaa.g_02740
OG0000104	Prar.g_00042	Syaa.g_02754
OG0000105	Prar.g_00313	Syaa.g_00270
OG0000106	Prar.g_00431	Syaa.g_01439
OG0000107	Prar.g_00446	Syaa.g_02351
OG0000108	Prar.g_00530	Syaa.g_02051
OG0000109	Prar.g_00544	Syaa.g_02036
OG0000110	Prar.g_01404	Syaa.g_01918
OG0000111	Prar.g_01529	Syaa.g_00888
OG0000112	Prar.g_01652	Syaa.g_01366
OG0000113	Prar.g_01706	Syaa.g_01196
OG0000114	Prar.g_01776	Syaa.g_01094
OG0000115	Prar.g_01318	Syaa.g_01795
OG0000116	Prar.g_01273	Syaa.g_00757
OG0000117	Prar.g_01003	Syaa.g_01009
OG0000118	Prar.g_00943	Syaa.g_01874
OG0000119	Prar.g_00915	Syaa.g_00785
OG0000120	Prar.g_00880	Syaa.g_00201
OG0000121	Prar.g_00337	Syaa.g_01777
OG0000122	Prar.g_00807	Syaa.g_01598
OG0000123	Prar.g_01021	Syaa.g_02242
OG0000124	Prar.g_00668	Syaa.g_00092
OG0000125	Prar.g_00704	Syaa.g_02598
OG0000126	Prar.g_00043	Syaa.g_02752
OG0000128	Prar.g_00027	Syaa.g_00012
OG0000129	Prar.g_00576	Syaa.g_02586
OG0000130	Prar.g_00549	Syaa.g_00354
OG0000131	Prar.g_00182	Syaa.g_02448
OG0000132	Prar.g_00163	Syaa.g_02472
OG0000133	Prar.g_00265	Syaa.g_01361
OG0000134	Prar.g_00417	Syaa.g_02146
OG0000135	Prar.g_00444	Syaa.g_02649
OG0000136	Prar.g_00489	Syaa.g_00708
OG0000137	Prar.g_00525	Syaa.g_01842
OG0000138	Prar.g_00545	Syaa.g_02035
OG0000139	Prar.g_01367	Syaa.g_01974
OG0000140	Prar.g_01368	Syaa.g_01971
OG0000141	Prar.g_01437	Syaa.g_01689
OG0000142	Prar.g_01465	Syaa.g_01633
OG0000143	Prar.g_01469	Syaa.g_01629
OG0000144	Prar.g_01482	Syaa.g_01446
OG0000145	Prar.g_01651	Syaa.g_02029
OG0000146	Prar.g_01653	Syaa.g_01367
OG0000147	Prar.g_01654	Syaa.g_01368
OG0000148	Prar.g_01700	Syaa.g_01190
OG0000149	Prar.g_01730	Syaa.g_00826
OG0000150	Prar.g_01738	Syaa.g_01688
OG0000151	Prar.g_01786	Syaa.g_01107
OG0000152	Prar.g_01833	Syaa.g_01357
OG0000153	Prar.g_01852	Syaa.g_01324
OG0000154	Prar.g_01878	Syaa.g_01298
OG0000155	Prar.g_01243	Syaa.g_00804
OG0000156	Prar.g_00966	Syaa.g_00751
OG0000157	Prar.g_00965	Syaa.g_00750
OG0000158	Prar.g_00375	Syaa.g_00148
OG0000160	Prar.g_00338	Syaa.g_01776
OG0000161	Prar.g_00840	Syaa.g_01782
OG0000162	Prar.g_00834	Syaa.g_01788
OG0000163	Prar.g_00800	Syaa.g_00624
OG0000164	Prar.g_01964	Syaa.g_00507
OG0000165	Prar.g_01971	Syaa.g_00681
OG0000166	Prar.g_01063	Syaa.g_02289
OG0000167	Prar.g_00627	Syaa.g_00160
OG0000168	Prar.g_00637	Syaa.g_00145
OG0000169	Prar.g_00647	Syaa.g_00134
OG0000170	Prar.g_00649	Syaa.g_00128
OG0000171	Prar.g_00667	Syaa.g_00093
OG0000172	Prar.g_00675	Syaa.g_00079
OG0000173	Prar.g_00690	Syaa.g_00060
OG0000174	Prar.g_00068	Syaa.g_02651
OG0000175	Prar.g_00058	Syaa.g_02726
OG0000176	Prar.g_00034	Syaa.g_00004
OG0000177	Prar.g_00033	Syaa.g_00005
OG0000178	Prar.g_00032	Syaa.g_00006
OG0000179	Prar.g_00022	Syaa.g_00023
OG0000180	Prar.g_00021	Syaa.g_00024
OG0000181	Prar.g_00020	Syaa.g_00025
OG0000182	Prar.g_00019	Syaa.g_00026
OG0000183	Prar.g_00015	Syaa.g_00030
OG0000184	Prar.g_00573	Syaa.g_02578
OG0000185	Prar.g_00570	Syaa.g_02575
OG0000186	Prar.g_00554	Syaa.g_00359
OG0000187	Prar.g_00553	Syaa.g_00358
OG0000188	Prar.g_00246	Syaa.g_00334
OG0000189	Prar.g_00232	Syaa.g_02367
OG0000190	Prar.g_00231	Syaa.g_02369
OG0000191	Prar.g_00211	Syaa.g_02404
OG0000192	Prar.g_00207	Syaa.g_02410
OG0000193	Prar.g_00181	Syaa.g_02449
OG0000194	Prar.g_00178	Syaa.g_02452
OG0000195	Prar.g_00176	Syaa.g_02459
OG0000196	Prar.g_00166	Syaa.g_02469
OG0000197	Prar.g_00165	Syaa.g_02470
OG0000198	Prar.g_00164	Syaa.g_02471
OG0000199	Prar.g_00157	Syaa.g_02479
OG0000200	Prar.g_00143	Syaa.g_02496
OG0000201	Prar.g_00135	Syaa.g_02521
OG0000202	Prar.g_00134	Syaa.g_02522
OG0000203	Prar.g_00133	Syaa.g_02523
OG0000204	Prar.g_00132	Syaa.g_02524
OG0000205	Prar.g_00125	Syaa.g_02531
OG0000206	Prar.g_00120	Syaa.g_02538
OG0000207	Prar.g_00118	Syaa.g_02540
OG0000208	Prar.g_00117	Syaa.g_02541
OG0000209	Prar.g_00108	Syaa.g_02556
OG0000210	Prar.g_00107	Syaa.g_02557
OG0000211	Prar.g_00094	Syaa.g_02113
OG0000212	Prar.g_00087	Syaa.g_02102
OG0000213	Prar.g_00330	Syaa.g_00295
OG0000214	Prar.g_00320	Syaa.g_00279
OG0000215	Prar.g_00295	Syaa.g_00248
OG0000216	Prar.g_00293	Syaa.g_00244
OG0000217	Prar.g_01154, Prar.g_00290	Syaa.g_00240
OG0000218	Prar.g_00288	Syaa.g_00238
OG0000219	Prar.g_00287	Syaa.g_00237
OG0000220	Prar.g_00286	Syaa.g_00236
OG0000221	Prar.g_00285	Syaa.g_00229
OG0000222	Prar.g_00277	Syaa.g_00215
OG0000223	Prar.g_00264	Syaa.g_00192
OG0000224	Prar.g_00262	Syaa.g_00183
OG0000225	Prar.g_00406	Syaa.g_02166
OG0000226	Prar.g_00410	Syaa.g_02162
OG0000227	Prar.g_00412	Syaa.g_02160
OG0000228	Prar.g_00415	Syaa.g_02150
OG0000229	Prar.g_00484	Syaa.g_00703
OG0000230	Prar.g_00486	Syaa.g_00705
OG0000231	Prar.g_00497	Syaa.g_00717
OG0000232	Prar.g_00506	Syaa.g_01858
OG0000233	Prar.g_00512	Syaa.g_01853
OG0000234	Prar.g_00526	Syaa.g_01841
OG0000235	Prar.g_00529	Syaa.g_02052
OG0000236	Prar.g_00543	Syaa.g_02037
OG0000237	Prar.g_01337	Syaa.g_02020
OG0000238	Prar.g_01343	Syaa.g_02015
OG0000239	Prar.g_01355	Syaa.g_01996
OG0000240	Prar.g_01356	Syaa.g_01995
OG0000241	Prar.g_01360	Syaa.g_01644
OG0000242	Prar.g_01362	Syaa.g_01982
OG0000243	Prar.g_01373	Syaa.g_01960
OG0000244	Prar.g_01376	Syaa.g_01954
OG0000245	Prar.g_01378	Syaa.g_01952
OG0000246	Prar.g_01382	Syaa.g_01948
OG0000247	Prar.g_01392	Syaa.g_01937
OG0000248	Prar.g_01394	Syaa.g_01934
OG0000249	Prar.g_01396	Syaa.g_01932
OG0000250	Prar.g_01401	Syaa.g_01922
OG0000251	Prar.g_01420	Syaa.g_01897
OG0000252	Prar.g_01424	Syaa.g_01894
OG0000253	Prar.g_01425	Syaa.g_01893
OG0000254	Prar.g_01441	Syaa.g_01684
OG0000255	Prar.g_01447	Syaa.g_01668
OG0000256	Prar.g_01457	Syaa.g_01651
OG0000257	Prar.g_01460	Syaa.g_01645
OG0000258	Prar.g_01473	Syaa.g_01624
OG0000259	Prar.g_01490	Syaa.g_01063
OG0000260	Prar.g_01493	Syaa.g_01066
OG0000261	Prar.g_01495	Syaa.g_01069
OG0000262	Prar.g_01499	Syaa.g_01074
OG0000263	Prar.g_01511	Syaa.g_00989
OG0000264	Prar.g_01521	Syaa.g_00910
OG0000265	Prar.g_01599	Syaa.g_00931, Syaa.g_01498
OG0000266	Prar.g_01609	Syaa.g_01257, Syaa.g_01258
OG0000267	Prar.g_01620	Syaa.g_01409
OG0000268	Prar.g_01621	Syaa.g_01408
OG0000269	Prar.g_01679	Syaa.g_01149
OG0000270	Prar.g_01682	Syaa.g_01152
OG0000271	Prar.g_01690	Syaa.g_01160
OG0000272	Prar.g_01691	Syaa.g_01161
OG0000273	Prar.g_01714	Syaa.g_00844
OG0000274	Prar.g_01715	Syaa.g_00843
OG0000275	Prar.g_01717	Syaa.g_00840
OG0000276	Prar.g_01722	Syaa.g_00834
OG0000277	Prar.g_01723	Syaa.g_00833
OG0000278	Prar.g_01726	Syaa.g_00830
OG0000279	Prar.g_01733	Syaa.g_00822
OG0000280	Prar.g_01734	Syaa.g_00815
OG0000282	Prar.g_01778	Syaa.g_01096
OG0000283	Prar.g_01810	Syaa.g_01396
OG0000284	Prar.g_01815	Syaa.g_01390
OG0000285	Prar.g_01820	Syaa.g_01377
OG0000286	Prar.g_01832	Syaa.g_01358
