Orthogroup	Prai	Prbb
OG0000029	Prai.g_00890	Prbb.g_01800
OG0000030	Prai.g_01848	Prbb.g_02073
OG0000031	Prai.g_01444	Prbb.g_00387
OG0000033	Prai.g_00180	Prbb.g_00226
OG0000034	Prai.g_01345	Prbb.g_01596
OG0000035	Prai.g_01463	Prbb.g_01686
OG0000037	Prai.g_00109	Prbb.g_00164
OG0000038	Prai.g_01890	Prbb.g_02129
OG0000039	Prai.g_00715	Prbb.g_00692
OG0000041	Prai.g_01684	Prbb.g_01868
OG0000042	Prai.g_01845	Prbb.g_02069
OG0000043	Prai.g_01064	Prbb.g_00909
OG0000043	Prai.g_00910	Prbb.g_01198
OG0000045	Prai.g_01274	Prbb.g_01347
OG0000045	Prai.g_00384	Prbb.g_01094
OG0000047	Prai.g_00424	Prbb.g_00421
OG0000047	Prai.g_00343	Prbb.g_00386
OG0000048	Prai.g_00387	Prbb.g_00325
OG0000050	Prai.g_01233	Prbb.g_01452
OG0000050	Prai.g_01093	Prbb.g_00116
OG0000051	Prai.g_01263	Prbb.g_01391
OG0000053	Prai.g_01483	Prbb.g_01705
OG0000054	Prai.g_00634	Prbb.g_00607
OG0000055	Prai.g_00866	Prbb.g_00747
OG0000057	Prai.g_00727	Prbb.g_00706, Prbb.g_01359
OG0000058	Prai.g_01859	Prbb.g_00851
OG0000059	Prai.g_01725, Prai.g_01425	Prbb.g_01946
OG0000061	Prai.g_01171	Prbb.g_01517, Prbb.g_00874
OG0000062	Prai.g_01540	Prbb.g_01768
OG0000063	Prai.g_00033, Prai.g_01261	Prbb.g_01921
OG0000065	Prai.g_00107	Prbb.g_00162
OG0000066	Prai.g_00567	Prbb.g_00542
OG0000067	Prai.g_00848	Prbb.g_00783
OG0000068	Prai.g_01370	Prbb.g_01639
OG0000069	Prai.g_01579	Prbb.g_01324, Prbb.g_01729
OG0000070	Prai.g_00481	Prbb.g_00455
OG0000071	Prai.g_01335	Prbb.g_01586
OG0000072	Prai.g_00182	Prbb.g_00228
OG0000073	Prai.g_00529	Prbb.g_00503
OG0000074	Prai.g_00711	Prbb.g_00687
OG0000075	Prai.g_01814	Prbb.g_02036
OG0000076	Prai.g_01838	Prbb.g_02061
OG0000077	Prai.g_00078	Prbb.g_00133
OG0000078	Prai.g_00250	Prbb.g_00297
OG0000079	Prai.g_00265	Prbb.g_00308
OG0000081	Prai.g_00559	Prbb.g_00534
OG0000082	Prai.g_00613	Prbb.g_01882
OG0000083	Prai.g_01313, Prai.g_00441	Prbb.g_00425
OG0000084	Prai.g_01459	Prbb.g_01683
OG0000085	Prai.g_01631	Prbb.g_01816
OG0000086	Prai.g_00088	Prbb.g_00143
OG0000087	Prai.g_00139	Prbb.g_00196
OG0000088	Prai.g_00177	Prbb.g_00223
OG0000089	Prai.g_00368	Prbb.g_00416
OG0000090	Prai.g_00561	Prbb.g_00536
OG0000091	Prai.g_00671	Prbb.g_00643
OG0000092	Prai.g_01041	Prbb.g_00937
OG0000093	Prai.g_01021	Prbb.g_00768
OG0000094	Prai.g_00937	Prbb.g_00892
OG0000095	Prai.g_00918	Prbb.g_01070
OG0000096	Prai.g_01588	Prbb.g_01294
OG0000097	Prai.g_01214	Prbb.g_01470
OG0000098	Prai.g_01353	Prbb.g_01608
OG0000099	Prai.g_01393	Prbb.g_00388
OG0000100	Prai.g_01536	Prbb.g_01763
OG0000101	Prai.g_01782	Prbb.g_02001
OG0000102	Prai.g_01843	Prbb.g_02066
OG0000103	Prai.g_01923	Prbb.g_02174
OG0000104	Prai.g_01932	Prbb.g_02185
OG0000105	Prai.g_00286, Prai.g_00287	Prbb.g_00327
OG0000106	Prai.g_00383	Prbb.g_01197, Prbb.g_01329
OG0000107	Prai.g_00397	Prbb.g_01923
OG0000108	Prai.g_00510	Prbb.g_00484, Prbb.g_00485
OG0000109	Prai.g_00524	Prbb.g_00498
OG0000110	Prai.g_00603	Prbb.g_00578
OG0000111	Prai.g_00728	Prbb.g_00707
OG0000112	Prai.g_00882	Prbb.g_00983
OG0000113	Prai.g_00825	Prbb.g_00807, Prbb.g_01218
OG0000114	Prai.g_01046	Prbb.g_00932
OG0000115	Prai.g_01119	Prbb.g_01780
OG0000116	Prai.g_01162	Prbb.g_01528
OG0000117	Prai.g_01273	Prbb.g_01399
OG0000118	Prai.g_01347	Prbb.g_01598
OG0000119	Prai.g_01366	Prbb.g_01632
OG0000120	Prai.g_01443	Prbb.g_00678
OG0000121	Prai.g_01465	Prbb.g_01688
OG0000123	Prai.g_01789	Prbb.g_02008
OG0000124	Prai.g_01854	Prbb.g_02079
OG0000125	Prai.g_01892	Prbb.g_02131
OG0000126	Prai.g_01931	Prbb.g_02183
OG0000128	Prai.g_00011	Prbb.g_00012
OG0000129	Prai.g_00051	Prbb.g_00059
OG0000130	Prai.g_00069	Prbb.g_00124
OG0000131	Prai.g_00156	Prbb.g_00202
OG0000132	Prai.g_00175	Prbb.g_00221
OG0000133	Prai.g_00335	Prbb.g_00373
OG0000134	Prai.g_00369	Prbb.g_00418
OG0000135	Prai.g_00393	Prbb.g_01326
OG0000136	Prai.g_00472	Prbb.g_00446
OG0000137	Prai.g_00505	Prbb.g_00478
OG0000138	Prai.g_00525	Prbb.g_00499
OG0000139	Prai.g_00565	Prbb.g_00540
OG0000140	Prai.g_00566	Prbb.g_00541
OG0000141	Prai.g_00635	Prbb.g_00608
OG0000142	Prai.g_00664	Prbb.g_00636
OG0000143	Prai.g_00668	Prbb.g_00640
OG0000144	Prai.g_00681	Prbb.g_00653
OG0000145	Prai.g_00883	Prbb.g_01099
OG0000146	Prai.g_00881	Prbb.g_00982
OG0000147	Prai.g_00880	Prbb.g_00981
OG0000148	Prai.g_00831	Prbb.g_00801
OG0000149	Prai.g_00800	Prbb.g_00832
OG0000150	Prai.g_00792	Prbb.g_00840
OG0000151	Prai.g_01036	Prbb.g_00943
OG0000152	Prai.g_00989	Prbb.g_00991
OG0000153	Prai.g_00970	Prbb.g_01009
OG0000154	Prai.g_00943	Prbb.g_01040
OG0000155	Prai.g_01191	Prbb.g_01495
OG0000156	Prai.g_01323	Prbb.g_01575
OG0000157	Prai.g_01324	Prbb.g_01576
OG0000158	Prai.g_01392	Prbb.g_02044
OG0000159	Prai.g_01321	Prbb.g_02093
OG0000160	Prai.g_01464	Prbb.g_01687
OG0000161	Prai.g_01470	Prbb.g_01693
OG0000162	Prai.g_01476	Prbb.g_01699
OG0000163	Prai.g_01509	Prbb.g_01735
OG0000164	Prai.g_01662	Prbb.g_01845
OG0000165	Prai.g_01669	Prbb.g_01853
OG0000166	Prai.g_01740	Prbb.g_01964
OG0000167	Prai.g_01812	Prbb.g_02034
OG0000168	Prai.g_01822	Prbb.g_02045
OG0000169	Prai.g_01832	Prbb.g_02055
OG0000170	Prai.g_01834	Prbb.g_02057
OG0000171	Prai.g_01853	Prbb.g_02078
OG0000172	Prai.g_01863	Prbb.g_02101
OG0000173	Prai.g_01878	Prbb.g_02116
OG0000174	Prai.g_01905	Prbb.g_02147
OG0000175	Prai.g_01915	Prbb.g_02165
OG0000176	Prai.g_00004	Prbb.g_00004
OG0000177	Prai.g_00005	Prbb.g_00005
OG0000178	Prai.g_00006	Prbb.g_00007, Prbb.g_00006
OG0000179	Prai.g_00016	Prbb.g_00017
OG0000180	Prai.g_00017	Prbb.g_00018
OG0000181	Prai.g_00018	Prbb.g_00019
OG0000182	Prai.g_00019	Prbb.g_00020
OG0000183	Prai.g_00023	Prbb.g_00024
OG0000184	Prai.g_00053	Prbb.g_00061
OG0000185	Prai.g_00056	Prbb.g_00064
OG0000186	Prai.g_00064	Prbb.g_00119
OG0000187	Prai.g_00065	Prbb.g_00120
OG0000188	Prai.g_00082	Prbb.g_00137
OG0000189	Prai.g_00096	Prbb.g_00151
OG0000190	Prai.g_00097	Prbb.g_00152
OG0000191	Prai.g_00117	Prbb.g_00175
OG0000192	Prai.g_00121	Prbb.g_00179
OG0000193	Prai.g_00157	Prbb.g_00203
OG0000194	Prai.g_00160	Prbb.g_00206
OG0000195	Prai.g_00162	Prbb.g_00208
OG0000196	Prai.g_00172	Prbb.g_00218
OG0000197	Prai.g_00173	Prbb.g_00219
