Orthogroup	Prai	Syad
OG0000144	Prai.g_00681	Syad.g_02024
OG0000145	Prai.g_00883	Syad.g_00927
OG0000146	Prai.g_00881	Syad.g_01767
OG0000147	Prai.g_00880	Syad.g_01768
OG0000148	Prai.g_00831	Syad.g_01861
OG0000149	Prai.g_00800	Syad.g_01221
OG0000150	Prai.g_00792	Syad.g_02207, Syad.g_00989
OG0000151	Prai.g_01036	Syad.g_01956
OG0000152	Prai.g_00989	Syad.g_01757
OG0000153	Prai.g_00970	Syad.g_01713
OG0000154	Prai.g_00943	Syad.g_01686
OG0000155	Prai.g_01191	Syad.g_01189
OG0000156	Prai.g_01323	Syad.g_01116
OG0000157	Prai.g_01324	Syad.g_01115
OG0000158	Prai.g_01392	Syad.g_00374
OG0000160	Prai.g_01464	Syad.g_02279
OG0000161	Prai.g_01470	Syad.g_02287
OG0000162	Prai.g_01476	Syad.g_02293
OG0000163	Prai.g_01509	Syad.g_02542
OG0000164	Prai.g_01662	Syad.g_02659
OG0000165	Prai.g_01669	Syad.g_02476
OG0000166	Prai.g_01740	Syad.g_00654
OG0000167	Prai.g_01812	Syad.g_00419
OG0000168	Prai.g_01822	Syad.g_00371
OG0000169	Prai.g_01832	Syad.g_00360
OG0000170	Prai.g_01834	Syad.g_00353
OG0000171	Prai.g_01853	Syad.g_00321
OG0000172	Prai.g_01863	Syad.g_00244
OG0000173	Prai.g_01878	Syad.g_00220
OG0000174	Prai.g_01905	Syad.g_00065
OG0000175	Prai.g_01915	Syad.g_00129
OG0000176	Prai.g_00004	Syad.g_00166
OG0000177	Prai.g_00005	Syad.g_00167
OG0000178	Prai.g_00006	Syad.g_00168
OG0000179	Prai.g_00016	Syad.g_00183
OG0000180	Prai.g_00017	Syad.g_00184
OG0000181	Prai.g_00018	Syad.g_00185
OG0000182	Prai.g_00019	Syad.g_00186
OG0000183	Prai.g_00023	Syad.g_00190
OG0000184	Prai.g_00053	Syad.g_03018
OG0000185	Prai.g_00056	Syad.g_03006
OG0000186	Prai.g_00064	Syad.g_02722
OG0000187	Prai.g_00065	Syad.g_02724
OG0000188	Prai.g_00082	Syad.g_02759
OG0000189	Prai.g_00096	Syad.g_02788
OG0000190	Prai.g_00097	Syad.g_02790
OG0000191	Prai.g_00117	Syad.g_02824
OG0000192	Prai.g_00121	Syad.g_02834
OG0000193	Prai.g_00157	Syad.g_02877
OG0000194	Prai.g_00160	Syad.g_02880
OG0000195	Prai.g_00162	Syad.g_02884
OG0000196	Prai.g_00172	Syad.g_02894
OG0000197	Prai.g_00173	Syad.g_02895
OG0000198	Prai.g_00174	Syad.g_02896
OG0000199	Prai.g_00181	Syad.g_02904
OG0000200	Prai.g_00195	Syad.g_02921
OG0000201	Prai.g_00203	Syad.g_02937
OG0000202	Prai.g_00204	Syad.g_02938
OG0000203	Prai.g_00205	Syad.g_02939
OG0000204	Prai.g_00206	Syad.g_02940
OG0000205	Prai.g_00213	Syad.g_02948
OG0000206	Prai.g_00218	Syad.g_02955
OG0000207	Prai.g_00220	Syad.g_02957
OG0000208	Prai.g_00221	Syad.g_02958
OG0000209	Prai.g_00230	Syad.g_02981
OG0000210	Prai.g_00231	Syad.g_02982
OG0000212	Prai.g_00251	Syad.g_00825
OG0000213	Prai.g_00270	Syad.g_00556
OG0000214	Prai.g_00280	Syad.g_00538
OG0000215	Prai.g_00305	Syad.g_00508
OG0000216	Prai.g_00307	Syad.g_00504, Syad.g_00285
OG0000217	Prai.g_00310	Syad.g_00500
OG0000218	Prai.g_00312	Syad.g_00498
OG0000219	Prai.g_00313	Syad.g_00497
OG0000220	Prai.g_00314	Syad.g_00496
OG0000221	Prai.g_00315	Syad.g_00488
OG0000222	Prai.g_00323	Syad.g_00473
OG0000223	Prai.g_00336	Syad.g_00451
OG0000224	Prai.g_00338	Syad.g_00444
OG0000225	Prai.g_00358	Syad.g_00777
OG0000226	Prai.g_00362	Syad.g_00781
OG0000227	Prai.g_00364	Syad.g_00783
OG0000228	Prai.g_00367	Syad.g_00784
OG0000229	Prai.g_00467	Syad.g_02450
OG0000230	Prai.g_00469	Syad.g_02448
OG0000231	Prai.g_00480	Syad.g_02436
OG0000232	Prai.g_00489	Syad.g_02392
OG0000233	Prai.g_00494	Syad.g_02382
OG0000234	Prai.g_00506	Syad.g_02351
OG0000235	Prai.g_00509	Syad.g_00903
OG0000236	Prai.g_00523	Syad.g_00918
OG0000237	Prai.g_00536	Syad.g_00936
OG0000238	Prai.g_00542	Syad.g_00941
OG0000239	Prai.g_00553	Syad.g_00957
OG0000240	Prai.g_00554	Syad.g_00958
OG0000241	Prai.g_00558	Syad.g_02160
OG0000242	Prai.g_00560	Syad.g_00975
OG0000243	Prai.g_00571	Syad.g_01000
OG0000244	Prai.g_00574	Syad.g_01012
OG0000245	Prai.g_00576	Syad.g_01014
OG0000246	Prai.g_00580	Syad.g_01017
OG0000247	Prai.g_00590	Syad.g_01029
OG0000248	Prai.g_00593	Syad.g_01032
OG0000249	Prai.g_00595	Syad.g_01034
OG0000250	Prai.g_00600	Syad.g_01044
OG0000251	Prai.g_00619	Syad.g_01071
OG0000252	Prai.g_00622	Syad.g_01078
OG0000253	Prai.g_00623	Syad.g_01081
OG0000254	Prai.g_00639	Syad.g_02203
OG0000255	Prai.g_00645	Syad.g_02185
OG0000256	Prai.g_00656	Syad.g_02167
OG0000257	Prai.g_00659	Syad.g_02161
OG0000258	Prai.g_00672	Syad.g_02143
OG0000259	Prai.g_00689	Syad.g_01576
OG0000260	Prai.g_00692	Syad.g_01587
OG0000261	Prai.g_00694	Syad.g_01590
OG0000262	Prai.g_00698	Syad.g_01595
OG0000263	Prai.g_00710	Syad.g_01475
OG0000264	Prai.g_00720	Syad.g_01360
OG0000265	Prai.g_00748	Syad.g_01383
OG0000266	Prai.g_00758	Syad.g_01804
OG0000267	Prai.g_00769	Syad.g_01645
OG0000268	Prai.g_00770	Syad.g_01646
OG0000269	Prai.g_00853	Syad.g_01894
OG0000270	Prai.g_00850	Syad.g_01891
