Orthogroup	Praw	Prbb
OG0000044	Praw.g_00234	Prbb.g_01517
OG0000046	Praw.g_00508	Prbb.g_01816
OG0000047	Praw.g_00039	Prbb.g_02061
OG0000048	Praw.g_00032	Prbb.g_02069
OG0000050	Praw.g_01397	Prbb.g_00032
OG0000051	Praw.g_01278	Prbb.g_00214
OG0000052	Praw.g_00762	Prbb.g_01197, Prbb.g_01329
OG0000053	Praw.g_00609	Prbb.g_00542
OG0000055	Praw.g_01675	Prbb.g_00807, Prbb.g_01218
OG0000056	Praw.g_00189	Prbb.g_00054
OG0000057	Praw.g_01198	Prbb.g_00294
OG0000058	Praw.g_00672	Prbb.g_00478
OG0000059	Praw.g_01824	Prbb.g_01359, Prbb.g_00706
OG0000061	Praw.g_00199, Praw.g_01519	Prbb.g_01627
OG0000062	Praw.g_00201	Prbb.g_01887
OG0000063	Praw.g_00926	Prbb.g_01399
OG0000065	Praw.g_00981	Prbb.g_01586
OG0000066	Praw.g_01050	Prbb.g_00678
OG0000068	Praw.g_00096	Prbb.g_02001
OG0000069	Praw.g_01043	Prbb.g_01723
OG0000071	Praw.g_01125	Prbb.g_00012
OG0000072	Praw.g_00812	Prbb.g_00373
OG0000073	Praw.g_01853	Prbb.g_00673
OG0000074	Praw.g_01831	Prbb.g_00697, Prbb.g_00698
OG0000075	Praw.g_01690	Prbb.g_00790
OG0000076	Praw.g_01467	Prbb.g_01070
OG0000078	Praw.g_01051	Prbb.g_00388
OG0000079	Praw.g_00415	Prbb.g_01768
OG0000080	Praw.g_00464	Prbb.g_01208
OG0000081	Praw.g_00066	Prbb.g_02034
OG0000083	Praw.g_01133	Prbb.g_00003
OG0000084	Praw.g_01130	Prbb.g_00006, Prbb.g_00007
OG0000085	Praw.g_01405	Prbb.g_00024
OG0000086	Praw.g_01389, Praw.g_00735	Prbb.g_01195
OG0000087	Praw.g_01379	Prbb.g_00064
OG0000088	Praw.g_01322	Prbb.g_00170
OG0000089	Praw.g_01314	Prbb.g_00179
OG0000090	Praw.g_01296	Prbb.g_00196
OG0000091	Praw.g_01266	Prbb.g_00226
OG0000092	Praw.g_01265	Prbb.g_00227
OG0000093	Praw.g_01251	Prbb.g_00240
OG0000094	Praw.g_01233	Prbb.g_00259
OG0000095	Praw.g_01228	Prbb.g_00263
OG0000096	Praw.g_00882	Prbb.g_00307
OG0000097	Praw.g_00860	Prbb.g_00327
OG0000098	Praw.g_00850	Prbb.g_00336
OG0000099	Praw.g_00840	Prbb.g_00345
OG0000100	Praw.g_00837	Prbb.g_00348
OG0000101	Praw.g_00775	Prbb.g_00418
OG0000102	Praw.g_00751	Prbb.g_01326
OG0000103	Praw.g_00671	Prbb.g_00479
OG0000104	Praw.g_00667	Prbb.g_00484, Prbb.g_00485
OG0000105	Praw.g_00649	Prbb.g_00503
OG0000106	Praw.g_00616	Prbb.g_00535
OG0000107	Praw.g_00615	Prbb.g_00536
OG0000108	Praw.g_00605	Prbb.g_00546
OG0000109	Praw.g_00596	Prbb.g_00556
OG0000110	Praw.g_00580	Prbb.g_00572
OG0000111	Praw.g_01871	Prbb.g_00652
OG0000112	Praw.g_01870	Prbb.g_00653
OG0000113	Praw.g_01787	Prbb.g_00737
OG0000114	Praw.g_01699	Prbb.g_00781
OG0000115	Praw.g_01539	Prbb.g_00991
OG0000116	Praw.g_01535	Prbb.g_00995
OG0000117	Praw.g_01470	Prbb.g_01067
OG0000118	Praw.g_01418	Prbb.g_01238
OG0000119	Praw.g_00204	Prbb.g_01890
OG0000120	Praw.g_00240	Prbb.g_01510
OG0000121	Praw.g_00259	Prbb.g_01487
OG0000122	Praw.g_00278	Prbb.g_01467
OG0000123	Praw.g_00291	Prbb.g_01456
OG0000124	Praw.g_00904	Prbb.g_01060
OG0000125	Praw.g_00993	Prbb.g_01598
OG0000126	Praw.g_01016	Prbb.g_01639
OG0000127	Praw.g_01096	Prbb.g_01673
OG0000128	Praw.g_01079, Praw.g_01080	Prbb.g_01687
OG0000129	Praw.g_00374	Prbb.g_01721
OG0000130	Praw.g_00513	Prbb.g_01821
OG0000131	Praw.g_00551	Prbb.g_01858
OG0000132	Praw.g_00554	Prbb.g_01860
OG0000133	Praw.g_00137	Prbb.g_01959
OG0000134	Praw.g_00101	Prbb.g_01995
OG0000135	Praw.g_00099	Prbb.g_01997
OG0000136	Praw.g_00055	Prbb.g_02046
OG0000137	Praw.g_00022	Prbb.g_02082
OG0000138	Praw.g_01180	Prbb.g_02131
OG0000139	Praw.g_01153	Prbb.g_02168
OG0000140	Praw.g_01135	Prbb.g_00001
OG0000141	Praw.g_01134	Prbb.g_00002
OG0000142	Praw.g_01132	Prbb.g_00004
OG0000143	Praw.g_01131	Prbb.g_00005
OG0000144	Praw.g_01129	Prbb.g_00008
OG0000145	Praw.g_01128	Prbb.g_00009
OG0000146	Praw.g_01127	Prbb.g_00010
OG0000147	Praw.g_01126	Prbb.g_00011
OG0000148	Praw.g_01124	Prbb.g_00013
OG0000149	Praw.g_01414	Prbb.g_00015
OG0000150	Praw.g_01413	Prbb.g_00016
OG0000151	Praw.g_01412	Prbb.g_00017
OG0000152	Praw.g_01411	Prbb.g_00018
OG0000153	Praw.g_01410	Prbb.g_00019
OG0000154	Praw.g_01409	Prbb.g_00020
OG0000155	Praw.g_01408	Prbb.g_00021
OG0000156	Praw.g_01407	Prbb.g_00022
OG0000157	Praw.g_01406	Prbb.g_00023
OG0000158	Praw.g_01404	Prbb.g_00025
OG0000159	Praw.g_01403	Prbb.g_00026
