Orthogroup	Praw	Prbb
OG0000540	Praw.g_00150	Prbb.g_00615
OG0000541	Praw.g_00151	Prbb.g_00616
OG0000542	Praw.g_00152	Prbb.g_00617
OG0000543	Praw.g_00153	Prbb.g_00618
OG0000544	Praw.g_00154	Prbb.g_00619
OG0000545	Praw.g_00157	Prbb.g_00622
OG0000546	Praw.g_00158	Prbb.g_00623
OG0000547	Praw.g_00160	Prbb.g_00624
OG0000548	Praw.g_00161	Prbb.g_00626
OG0000549	Praw.g_00162	Prbb.g_00627
OG0000550	Praw.g_00163	Prbb.g_00628
OG0000551	Praw.g_00164	Prbb.g_00629
OG0000552	Praw.g_00165	Prbb.g_00630
OG0000553	Praw.g_00166	Prbb.g_00631
OG0000554	Praw.g_00167	Prbb.g_00632
OG0000555	Praw.g_00168	Prbb.g_00633
OG0000556	Praw.g_00169	Prbb.g_00634
OG0000557	Praw.g_01888	Prbb.g_00635
OG0000558	Praw.g_01887	Prbb.g_00636
OG0000559	Praw.g_01886	Prbb.g_00637
OG0000560	Praw.g_01884	Prbb.g_00639
OG0000561	Praw.g_01883	Prbb.g_00640
OG0000562	Praw.g_01882	Prbb.g_00641
OG0000563	Praw.g_01881	Prbb.g_00642
OG0000564	Praw.g_01880	Prbb.g_00643
OG0000565	Praw.g_01879	Prbb.g_00644
OG0000566	Praw.g_01878	Prbb.g_00645
OG0000567	Praw.g_01877	Prbb.g_00646
OG0000568	Praw.g_01876	Prbb.g_00647
OG0000569	Praw.g_01875	Prbb.g_00648
OG0000570	Praw.g_01874	Prbb.g_00649
OG0000571	Praw.g_01873	Prbb.g_00650
OG0000572	Praw.g_01872	Prbb.g_00651
OG0000573	Praw.g_01869	Prbb.g_00654
OG0000574	Praw.g_01868	Prbb.g_00655
OG0000575	Praw.g_01867	Prbb.g_00656
OG0000576	Praw.g_01866	Prbb.g_00657
OG0000577	Praw.g_01865	Prbb.g_00658
OG0000578	Praw.g_01864	Prbb.g_00659
OG0000579	Praw.g_01863	Prbb.g_00660
OG0000580	Praw.g_01862	Prbb.g_00661
OG0000581	Praw.g_01861	Prbb.g_00662
OG0000582	Praw.g_01860	Prbb.g_00664
OG0000583	Praw.g_01859	Prbb.g_00665
OG0000584	Praw.g_01858	Prbb.g_00667
OG0000585	Praw.g_01857	Prbb.g_00668
OG0000586	Praw.g_01855	Prbb.g_00670
OG0000587	Praw.g_01854	Prbb.g_00671
OG0000588	Praw.g_01852	Prbb.g_00674
OG0000589	Praw.g_01851	Prbb.g_00675
OG0000590	Praw.g_01849	Prbb.g_00677
OG0000591	Praw.g_01843	Prbb.g_00684
OG0000592	Praw.g_01842	Prbb.g_00685
OG0000593	Praw.g_01841	Prbb.g_00686
OG0000594	Praw.g_01839	Prbb.g_00689
OG0000595	Praw.g_01838	Prbb.g_00690
OG0000596	Praw.g_01837	Prbb.g_00691
OG0000597	Praw.g_01835	Prbb.g_00693
OG0000598	Praw.g_01834	Prbb.g_00694
OG0000599	Praw.g_01833	Prbb.g_00695
OG0000600	Praw.g_01832	Prbb.g_00696
OG0000601	Praw.g_01830	Prbb.g_00700
OG0000602	Praw.g_01829	Prbb.g_00701
OG0000603	Praw.g_01828	Prbb.g_00702
OG0000604	Praw.g_01827	Prbb.g_01450
OG0000605	Praw.g_01826	Prbb.g_00703
OG0000606	Praw.g_01825	Prbb.g_00705
OG0000607	Praw.g_01823	Prbb.g_00707
OG0000608	Praw.g_01822	Prbb.g_00708
OG0000609	Praw.g_01818	Prbb.g_02176
OG0000610	Praw.g_01817	Prbb.g_01260
OG0000611	Praw.g_01808	Prbb.g_00714
OG0000612	Praw.g_01807	Prbb.g_00715
OG0000613	Praw.g_01806	Prbb.g_00716
OG0000614	Praw.g_01805	Prbb.g_00717
OG0000615	Praw.g_01803	Prbb.g_00719
OG0000616	Praw.g_01802	Prbb.g_00720
OG0000617	Praw.g_01801	Prbb.g_00721
OG0000618	Praw.g_01800	Prbb.g_00722
OG0000619	Praw.g_01799	Prbb.g_00723
OG0000620	Praw.g_01798	Prbb.g_00724
OG0000621	Praw.g_01797	Prbb.g_00725
OG0000622	Praw.g_01796	Prbb.g_00726
OG0000623	Praw.g_01795	Prbb.g_00727
OG0000624	Praw.g_01794	Prbb.g_00729
OG0000625	Praw.g_01793	Prbb.g_00730
OG0000626	Praw.g_01792	Prbb.g_00731
OG0000627	Praw.g_01791	Prbb.g_00733
OG0000628	Praw.g_01790	Prbb.g_00734
OG0000629	Praw.g_01789	Prbb.g_00735
OG0000630	Praw.g_01788	Prbb.g_00736
OG0000631	Praw.g_01786	Prbb.g_00738
OG0000632	Praw.g_01763	Prbb.g_01175
OG0000633	Praw.g_01759	Prbb.g_00108
OG0000634	Praw.g_01745	Prbb.g_01099
OG0000635	Praw.g_01732	Prbb.g_00983
OG0000636	Praw.g_01731	Prbb.g_00982
OG0000637	Praw.g_01730	Prbb.g_00981
OG0000638	Praw.g_01719	Prbb.g_00389
OG0000639	Praw.g_01710	Prbb.g_00958
OG0000640	Praw.g_01708	Prbb.g_00960
OG0000641	Praw.g_01706	Prbb.g_00962
OG0000642	Praw.g_01705	Prbb.g_00963
OG0000643	Praw.g_01704	Prbb.g_00964
OG0000644	Praw.g_01703	Prbb.g_00777
OG0000645	Praw.g_01702	Prbb.g_00778
OG0000646	Praw.g_01701	Prbb.g_00779
OG0000647	Praw.g_01700	Prbb.g_00780
OG0000648	Praw.g_01698	Prbb.g_00782
OG0000649	Praw.g_01697	Prbb.g_00783
OG0000650	Praw.g_01696	Prbb.g_00784
OG0000651	Praw.g_01695	Prbb.g_00785
OG0000652	Praw.g_01694	Prbb.g_00786
OG0000653	Praw.g_01693	Prbb.g_00787
OG0000654	Praw.g_01691	Prbb.g_00789
OG0000655	Praw.g_01689	Prbb.g_00791
OG0000656	Praw.g_01688	Prbb.g_00792
OG0000657	Praw.g_01687	Prbb.g_00793
OG0000658	Praw.g_01686	Prbb.g_00794
OG0000659	Praw.g_01685	Prbb.g_00795
OG0000660	Praw.g_01684	Prbb.g_00796
OG0000661	Praw.g_01683	Prbb.g_00798
OG0000662	Praw.g_01682	Prbb.g_00800
OG0000663	Praw.g_01681	Prbb.g_00801
OG0000664	Praw.g_01680	Prbb.g_00802
OG0000665	Praw.g_01679	Prbb.g_00803
OG0000666	Praw.g_01678	Prbb.g_00804
OG0000667	Praw.g_01677	Prbb.g_00805
OG0000668	Praw.g_01676	Prbb.g_00806
OG0000669	Praw.g_01674	Prbb.g_00808
OG0000670	Praw.g_01673	Prbb.g_00809
OG0000671	Praw.g_01672	Prbb.g_00810
OG0000672	Praw.g_01671	Prbb.g_00811
OG0000673	Praw.g_01670	Prbb.g_00812
OG0000674	Praw.g_01669	Prbb.g_00813
OG0000675	Praw.g_01668	Prbb.g_00814
OG0000676	Praw.g_01667	Prbb.g_00815
OG0000677	Praw.g_01665	Prbb.g_00817
OG0000678	Praw.g_01663	Prbb.g_00819
OG0000679	Praw.g_01662	Prbb.g_00821
OG0000680	Praw.g_01661	Prbb.g_00822
OG0000681	Praw.g_01660	Prbb.g_00823
OG0000682	Praw.g_01659	Prbb.g_00824
OG0000683	Praw.g_01657	Prbb.g_00827
OG0000684	Praw.g_01656	Prbb.g_00828
OG0000685	Praw.g_01655	Prbb.g_00829
OG0000686	Praw.g_01654	Prbb.g_00830
OG0000687	Praw.g_01653	Prbb.g_00831
OG0000688	Praw.g_01652	Prbb.g_00832
OG0000689	Praw.g_01651	Prbb.g_00833
OG0000690	Praw.g_01650	Prbb.g_00834
OG0000691	Praw.g_01649	Prbb.g_00835
OG0000692	Praw.g_01647	Prbb.g_00837
OG0000693	Praw.g_01646	Prbb.g_00838
OG0000694	Praw.g_01645	Prbb.g_00839
OG0000695	Praw.g_01644	Prbb.g_00840
OG0000696	Praw.g_01643	Prbb.g_00841
OG0000697	Praw.g_01641	Prbb.g_00843
OG0000698	Praw.g_01639	Prbb.g_00847
OG0000699	Praw.g_01638	Prbb.g_00848
OG0000700	Praw.g_01611	Prbb.g_00914
OG0000701	Praw.g_01608	Prbb.g_00917
OG0000702	Praw.g_01605	Prbb.g_00922
OG0000703	Praw.g_01604	Prbb.g_00924
OG0000704	Praw.g_01603	Prbb.g_00925
OG0000705	Praw.g_01602	Prbb.g_00926
OG0000706	Praw.g_01601	Prbb.g_00927
OG0000707	Praw.g_01600	Prbb.g_00929
OG0000708	Praw.g_01599	Prbb.g_00930
OG0000709	Praw.g_01597	Prbb.g_00932
OG0000710	Praw.g_01596	Prbb.g_00933
OG0000711	Praw.g_01595	Prbb.g_00934
OG0000712	Praw.g_01594	Prbb.g_00935
OG0000713	Praw.g_01593	Prbb.g_00936
OG0000714	Praw.g_01591	Prbb.g_00938
OG0000715	Praw.g_01590	Prbb.g_00939
OG0000716	Praw.g_01588	Prbb.g_00942
OG0000717	Praw.g_01587	Prbb.g_00943
OG0000718	Praw.g_01586	Prbb.g_00944
OG0000719	Praw.g_01584	Prbb.g_00946
OG0000720	Praw.g_01583	Prbb.g_00947
OG0000721	Praw.g_01581	Prbb.g_00950
OG0000722	Praw.g_01580	Prbb.g_00951
OG0000723	Praw.g_01579	Prbb.g_00952
OG0000724	Praw.g_01577	Prbb.g_00762
OG0000725	Praw.g_01576	Prbb.g_00763
OG0000726	Praw.g_01575	Prbb.g_00764
OG0000727	Praw.g_01574	Prbb.g_00765
OG0000728	Praw.g_01573	Prbb.g_00766
OG0000729	Praw.g_01572	Prbb.g_00767
OG0000730	Praw.g_01571	Prbb.g_00768
OG0000731	Praw.g_01570	Prbb.g_00769
OG0000732	Praw.g_01569	Prbb.g_00770
OG0000733	Praw.g_01568	Prbb.g_00771
OG0000734	Praw.g_01567	Prbb.g_00772
OG0000735	Praw.g_01565	Prbb.g_00774
OG0000736	Praw.g_01564	Prbb.g_00775
OG0000737	Praw.g_01563	Prbb.g_00776
OG0000738	Praw.g_01562	Prbb.g_00965
OG0000739	Praw.g_01561	Prbb.g_00966
OG0000740	Praw.g_01560	Prbb.g_00967
OG0000741	Praw.g_01559	Prbb.g_00968
OG0000742	Praw.g_01557	Prbb.g_00970
OG0000743	Praw.g_01556	Prbb.g_00971
OG0000744	Praw.g_01555	Prbb.g_00972
OG0000745	Praw.g_01554	Prbb.g_00973
OG0000746	Praw.g_01553	Prbb.g_00974
OG0000747	Praw.g_01552	Prbb.g_00975
OG0000748	Praw.g_01551	Prbb.g_00976
OG0000749	Praw.g_01550	Prbb.g_00977
OG0000750	Praw.g_01549	Prbb.g_00978
OG0000751	Praw.g_01548	Prbb.g_00979
OG0000752	Praw.g_01547	Prbb.g_00893
OG0000753	Praw.g_01545	Prbb.g_00984
OG0000754	Praw.g_01544	Prbb.g_00985
OG0000755	Praw.g_01543	Prbb.g_00986
OG0000756	Praw.g_01542	Prbb.g_00988
OG0000757	Praw.g_01541	Prbb.g_00989
OG0000758	Praw.g_01540	Prbb.g_00990
OG0000759	Praw.g_01538	Prbb.g_00992
OG0000760	Praw.g_01537	Prbb.g_00993
OG0000761	Praw.g_01536	Prbb.g_00994
OG0000762	Praw.g_01534	Prbb.g_00996
OG0000763	Praw.g_01533	Prbb.g_00997
OG0000764	Praw.g_01532	Prbb.g_00998
OG0000765	Praw.g_01531	Prbb.g_00999
OG0000766	Praw.g_01530	Prbb.g_01000
OG0000767	Praw.g_01528	Prbb.g_01002
OG0000768	Praw.g_01527	Prbb.g_01003
OG0000769	Praw.g_01526	Prbb.g_01004
OG0000770	Praw.g_01525	Prbb.g_01005
OG0000771	Praw.g_01524	Prbb.g_01006
OG0000772	Praw.g_01523	Prbb.g_00101
OG0000773	Praw.g_01522	Prbb.g_01007
OG0000774	Praw.g_01521	Prbb.g_01008
OG0000775	Praw.g_01520	Prbb.g_01009
OG0000776	Praw.g_01518	Prbb.g_01010
OG0000777	Praw.g_01516	Prbb.g_01012
OG0000778	Praw.g_01515	Prbb.g_01013
OG0000779	Praw.g_01514	Prbb.g_01014
OG0000780	Praw.g_01512	Prbb.g_01016
OG0000781	Praw.g_01510	Prbb.g_01017
OG0000782	Praw.g_01509	Prbb.g_01018
OG0000783	Praw.g_01498	Prbb.g_01036
OG0000784	Praw.g_01496	Prbb.g_01037
OG0000785	Praw.g_01495	Prbb.g_01038
OG0000786	Praw.g_01494	Prbb.g_01039
OG0000787	Praw.g_01493	Prbb.g_01040
OG0000788	Praw.g_01489	Prbb.g_01045
OG0000789	Praw.g_01487	Prbb.g_01048
OG0000790	Praw.g_01486	Prbb.g_00892
OG0000791	Praw.g_01485	Prbb.g_01049
OG0000792	Praw.g_01484	Prbb.g_01050
OG0000793	Praw.g_01483	Prbb.g_01051
OG0000794	Praw.g_01481	Prbb.g_01054
OG0000795	Praw.g_01478	Prbb.g_01058
OG0000796	Praw.g_01477	Prbb.g_01059
OG0000797	Praw.g_01475	Prbb.g_01062
OG0000798	Praw.g_01474	Prbb.g_01063
OG0000799	Praw.g_01473	Prbb.g_01064
OG0000800	Praw.g_01472	Prbb.g_01065
OG0000801	Praw.g_01469	Prbb.g_01068
OG0000802	Praw.g_01468	Prbb.g_01069
OG0000803	Praw.g_01466	Prbb.g_00891
OG0000804	Praw.g_01465	Prbb.g_00890
OG0000805	Praw.g_01464	Prbb.g_00889
OG0000806	Praw.g_01462	Prbb.g_00887
OG0000807	Praw.g_01437	Prbb.g_00897
OG0000808	Praw.g_01427	Prbb.g_01108
OG0000809	Praw.g_01424	Prbb.g_01090
OG0000810	Praw.g_01423	Prbb.g_01783
OG0000811	Praw.g_01416	Prbb.g_02071
OG0000812	Praw.g_00172	Prbb.g_00392
OG0000813	Praw.g_00176	Prbb.g_00400
OG0000814	Praw.g_00178	Prbb.g_01780
OG0000815	Praw.g_00187	Prbb.g_01085
OG0000816	Praw.g_00202	Prbb.g_01888
OG0000817	Praw.g_00203	Prbb.g_01889
OG0000818	Praw.g_00208	Prbb.g_01126
OG0000819	Praw.g_00215	Prbb.g_01539
OG0000820	Praw.g_00219	Prbb.g_01533
OG0000821	Praw.g_00221	Prbb.g_01531
OG0000822	Praw.g_00222	Prbb.g_01530
OG0000823	Praw.g_00223	Prbb.g_01529
OG0000824	Praw.g_00224	Prbb.g_01528
OG0000825	Praw.g_00225	Prbb.g_01527
OG0000826	Praw.g_00226	Prbb.g_01526
OG0000827	Praw.g_00227	Prbb.g_01525
OG0000828	Praw.g_00228	Prbb.g_01524
OG0000829	Praw.g_00229	Prbb.g_01523
OG0000830	Praw.g_00230	Prbb.g_01521
OG0000831	Praw.g_00233	Prbb.g_01518
OG0000832	Praw.g_00235	Prbb.g_01516
OG0000833	Praw.g_00236	Prbb.g_01515
OG0000834	Praw.g_00237	Prbb.g_01513
OG0000835	Praw.g_00238	Prbb.g_01512
OG0000836	Praw.g_00239	Prbb.g_01511
OG0000837	Praw.g_00241	Prbb.g_01508
OG0000838	Praw.g_00242	Prbb.g_01507
OG0000839	Praw.g_00243	Prbb.g_01506
OG0000840	Praw.g_00244	Prbb.g_01505
OG0000841	Praw.g_00245	Prbb.g_01504
OG0000842	Praw.g_00246	Prbb.g_01502
OG0000843	Praw.g_00247	Prbb.g_01501
OG0000844	Praw.g_00248	Prbb.g_01500
OG0000845	Praw.g_00249	Prbb.g_01499
OG0000846	Praw.g_00252	Prbb.g_01497
OG0000847	Praw.g_00254	Prbb.g_01495
OG0000848	Praw.g_00255	Prbb.g_01493
OG0000849	Praw.g_00256	Prbb.g_01491
OG0000850	Praw.g_00257	Prbb.g_01490
OG0000851	Praw.g_00258	Prbb.g_01488
OG0000852	Praw.g_00260	Prbb.g_01486
OG0000853	Praw.g_00261	Prbb.g_01484
OG0000854	Praw.g_00263	Prbb.g_01482
OG0000855	Praw.g_00264	Prbb.g_01481
OG0000856	Praw.g_00265	Prbb.g_01480
OG0000857	Praw.g_00266	Prbb.g_01479
OG0000858	Praw.g_00267	Prbb.g_01478
OG0000859	Praw.g_00268	Prbb.g_01477
OG0000860	Praw.g_00269	Prbb.g_01476
OG0000861	Praw.g_00270	Prbb.g_01475
OG0000862	Praw.g_00271	Prbb.g_01474
OG0000863	Praw.g_00272	Prbb.g_01473
OG0000864	Praw.g_00273	Prbb.g_01472
OG0000865	Praw.g_00274	Prbb.g_01471
OG0000866	Praw.g_00275	Prbb.g_01470
OG0000867	Praw.g_00276	Prbb.g_01469
OG0000868	Praw.g_00277	Prbb.g_01468
OG0000869	Praw.g_00279	Prbb.g_01465
OG0000870	Praw.g_00280	Prbb.g_01464
OG0000871	Praw.g_00282	Prbb.g_01463
OG0000872	Praw.g_00283	Prbb.g_01462
OG0000873	Praw.g_00285	Prbb.g_01461
OG0000874	Praw.g_00286	Prbb.g_01460
OG0000875	Praw.g_00287	Prbb.g_01459
OG0000876	Praw.g_00288	Prbb.g_01458
OG0000877	Praw.g_00290	Prbb.g_01457
OG0000878	Praw.g_00954	Prbb.g_01291
OG0000879	Praw.g_00968	Prbb.g_01575
OG0000880	Praw.g_00969	Prbb.g_01576
OG0000881	Praw.g_00970	Prbb.g_01577
OG0000882	Praw.g_00971	Prbb.g_01578
OG0000883	Praw.g_00972	Prbb.g_01580
OG0000884	Praw.g_00976	Prbb.g_01581
OG0000885	Praw.g_00977	Prbb.g_01582
OG0000886	Praw.g_00978	Prbb.g_01583
OG0000887	Praw.g_00979	Prbb.g_01584
OG0000888	Praw.g_00980	Prbb.g_01585
OG0000889	Praw.g_00983	Prbb.g_01588
OG0000890	Praw.g_00984	Prbb.g_01589
OG0000891	Praw.g_00985	Prbb.g_01590
OG0000892	Praw.g_00987	Prbb.g_01592
OG0000893	Praw.g_00988	Prbb.g_01593
OG0000894	Praw.g_00989	Prbb.g_01594
OG0000895	Praw.g_00990	Prbb.g_01595
OG0000896	Praw.g_00991	Prbb.g_01596
OG0000897	Praw.g_00992	Prbb.g_01597
OG0000898	Praw.g_00994	Prbb.g_01600
OG0000899	Praw.g_00995	Prbb.g_01601
OG0000900	Praw.g_00997	Prbb.g_01608
OG0000901	Praw.g_01001	Prbb.g_01612
OG0000902	Praw.g_01002	Prbb.g_00746
OG0000903	Praw.g_01003	Prbb.g_01541
OG0000904	Praw.g_01006	Prbb.g_01057
OG0000905	Praw.g_01008	Prbb.g_01789
OG0000906	Praw.g_01010	Prbb.g_01637
OG0000907	Praw.g_01011	Prbb.g_00845
OG0000908	Praw.g_01014	Prbb.g_01201
OG0000909	Praw.g_01018	Prbb.g_01641
OG0000910	Praw.g_01019	Prbb.g_01642
OG0000911	Praw.g_01020	Prbb.g_01643
OG0000912	Praw.g_01021	Prbb.g_01644
OG0000913	Praw.g_01022	Prbb.g_01645
OG0000914	Praw.g_01023	Prbb.g_01646
OG0000915	Praw.g_01024	Prbb.g_01647
OG0000916	Praw.g_01025	Prbb.g_01648
OG0000917	Praw.g_01026	Prbb.g_01649
OG0000918	Praw.g_01027	Prbb.g_01650
OG0000919	Praw.g_01028	Prbb.g_01651
OG0000920	Praw.g_01029	Prbb.g_01652
OG0000921	Praw.g_01030	Prbb.g_01653
OG0000922	Praw.g_01031	Prbb.g_01654
OG0000923	Praw.g_01032	Prbb.g_01655
OG0000924	Praw.g_01033	Prbb.g_01656
OG0000925	Praw.g_01034	Prbb.g_01657
OG0000926	Praw.g_01052	Prbb.g_02044
OG0000927	Praw.g_01101	Prbb.g_01668
OG0000928	Praw.g_01100	Prbb.g_01669
OG0000929	Praw.g_01099	Prbb.g_01670
OG0000930	Praw.g_01098	Prbb.g_01671
OG0000931	Praw.g_01097	Prbb.g_01672
OG0000932	Praw.g_01095	Prbb.g_01674
OG0000933	Praw.g_01094	Prbb.g_01675
OG0000934	Praw.g_01093	Prbb.g_01676
OG0000935	Praw.g_01092	Prbb.g_01677
OG0000936	Praw.g_01091	Prbb.g_01678
OG0000937	Praw.g_01090	Prbb.g_01679
OG0000938	Praw.g_01089	Prbb.g_01680
OG0000939	Praw.g_01088	Prbb.g_01681
OG0000940	Praw.g_01087	Prbb.g_01683
OG0000941	Praw.g_01085	Prbb.g_01684
OG0000942	Praw.g_01084	Prbb.g_01685
OG0000943	Praw.g_01078	Prbb.g_01688
OG0000944	Praw.g_01077	Prbb.g_01689
OG0000945	Praw.g_01076	Prbb.g_01690
OG0000946	Praw.g_01075	Prbb.g_01691
OG0000947	Praw.g_00343	Prbb.g_01692
OG0000948	Praw.g_00344	Prbb.g_01693
OG0000949	Praw.g_00345	Prbb.g_01694
OG0000950	Praw.g_00346	Prbb.g_01695
OG0000951	Praw.g_00347	Prbb.g_01696
OG0000952	Praw.g_00348	Prbb.g_01697
OG0000953	Praw.g_00349	Prbb.g_01698
OG0000954	Praw.g_00350	Prbb.g_01699
OG0000955	Praw.g_00351	Prbb.g_01700
OG0000956	Praw.g_00352	Prbb.g_01701
OG0000957	Praw.g_00353	Prbb.g_00465
OG0000958	Praw.g_00354	Prbb.g_01702
OG0000959	Praw.g_00355	Prbb.g_01703
OG0000960	Praw.g_00356	Prbb.g_01704
OG0000961	Praw.g_00359	Prbb.g_01707
OG0000962	Praw.g_00360	Prbb.g_01708
OG0000963	Praw.g_00361	Prbb.g_01709
OG0000964	Praw.g_00363	Prbb.g_01711
OG0000965	Praw.g_00364	Prbb.g_01712
OG0000966	Praw.g_00365	Prbb.g_01713
OG0000967	Praw.g_00366	Prbb.g_01714
OG0000968	Praw.g_00367	Prbb.g_01715
OG0000969	Praw.g_00368	Prbb.g_01716
OG0000970	Praw.g_00370	Prbb.g_01717
OG0000971	Praw.g_00371	Prbb.g_01718
OG0000972	Praw.g_00372	Prbb.g_01719
OG0000973	Praw.g_00373	Prbb.g_01720
OG0000974	Praw.g_00375	Prbb.g_01722
OG0000975	Praw.g_00378	Prbb.g_01728
OG0000976	Praw.g_00380	Prbb.g_01731
OG0000977	Praw.g_00381	Prbb.g_01732
OG0000978	Praw.g_00382	Prbb.g_01733
OG0000979	Praw.g_00384	Prbb.g_01735
OG0000980	Praw.g_00385	Prbb.g_01736
OG0000981	Praw.g_00386	Prbb.g_01737
OG0000982	Praw.g_00387	Prbb.g_01738
OG0000983	Praw.g_00389	Prbb.g_01740
OG0000984	Praw.g_00390	Prbb.g_01741
OG0000985	Praw.g_00391	Prbb.g_01742
OG0000986	Praw.g_00392	Prbb.g_01744
OG0000987	Praw.g_00393	Prbb.g_01745
OG0000988	Praw.g_00394	Prbb.g_01746
OG0000989	Praw.g_00395	Prbb.g_01747
OG0000990	Praw.g_00396	Prbb.g_01748
OG0000991	Praw.g_00397	Prbb.g_01749
OG0000992	Praw.g_00398	Prbb.g_01750
OG0000993	Praw.g_00399	Prbb.g_01751
OG0000994	Praw.g_00400	Prbb.g_01752
OG0000995	Praw.g_00401	Prbb.g_01753
OG0000996	Praw.g_00402	Prbb.g_01754
OG0000997	Praw.g_00403	Prbb.g_01755
OG0000998	Praw.g_00404	Prbb.g_01756
OG0000999	Praw.g_00405	Prbb.g_01757
OG0001000	Praw.g_00406	Prbb.g_01758
OG0001001	Praw.g_00408	Prbb.g_01760
OG0001002	Praw.g_00409	Prbb.g_01761
OG0001003	Praw.g_00410	Prbb.g_01762
OG0001004	Praw.g_00411	Prbb.g_01763
OG0001005	Praw.g_00412	Prbb.g_01765
OG0001006	Praw.g_00413	Prbb.g_01766
OG0001007	Praw.g_00414	Prbb.g_01767
OG0001008	Praw.g_00416	Prbb.g_01769
OG0001009	Praw.g_00417	Prbb.g_01770
OG0001010	Praw.g_00423	Prbb.g_01555
OG0001011	Praw.g_00430	Prbb.g_01659
OG0001012	Praw.g_00458	Prbb.g_00799
OG0001013	Praw.g_00509	Prbb.g_01817
OG0001014	Praw.g_00510	Prbb.g_01818
OG0001015	Praw.g_00516	Prbb.g_01824
OG0001016	Praw.g_00517	Prbb.g_01825
OG0001017	Praw.g_00518	Prbb.g_01826
OG0001018	Praw.g_00519	Prbb.g_01827
OG0001019	Praw.g_00521	Prbb.g_01828
OG0001020	Praw.g_00522	Prbb.g_01829
OG0001021	Praw.g_00523	Prbb.g_01830
OG0001022	Praw.g_00524	Prbb.g_01831
OG0001023	Praw.g_00525	Prbb.g_01832
OG0001024	Praw.g_00526	Prbb.g_01833
OG0001025	Praw.g_00527	Prbb.g_01834
OG0001026	Praw.g_00529	Prbb.g_01835
OG0001027	Praw.g_00530	Prbb.g_01836
OG0001028	Praw.g_00531	Prbb.g_01837
OG0001029	Praw.g_00532	Prbb.g_01838
OG0001030	Praw.g_00533	Prbb.g_01839
OG0001031	Praw.g_00534	Prbb.g_01840
OG0001032	Praw.g_00535	Prbb.g_01841
OG0001033	Praw.g_00536	Prbb.g_01842
OG0001034	Praw.g_00537	Prbb.g_01843
OG0001035	Praw.g_00539	Prbb.g_01845
OG0001036	Praw.g_00540	Prbb.g_01846
OG0001037	Praw.g_00541	Prbb.g_01847
OG0001038	Praw.g_00542	Prbb.g_01848
OG0001039	Praw.g_00543	Prbb.g_01849
OG0001040	Praw.g_00544	Prbb.g_01851
OG0001041	Praw.g_00545	Prbb.g_01852
OG0001042	Praw.g_00546	Prbb.g_01853
OG0001043	Praw.g_00547	Prbb.g_01854
OG0001044	Praw.g_00548	Prbb.g_01855
OG0001045	Praw.g_00549	Prbb.g_01856
OG0001046	Praw.g_00550	Prbb.g_01857
OG0001047	Praw.g_00553	Prbb.g_01859
OG0001048	Praw.g_00555	Prbb.g_01861
OG0001049	Praw.g_00556	Prbb.g_01862
OG0001050	Praw.g_00557	Prbb.g_01863
OG0001051	Praw.g_00558	Prbb.g_01864
OG0001052	Praw.g_00559	Prbb.g_01865
OG0001053	Praw.g_00561	Prbb.g_01867
OG0001054	Praw.g_00563	Prbb.g_01869
OG0001055	Praw.g_00564	Prbb.g_01870
OG0001056	Praw.g_00565	Prbb.g_01871
OG0001057	Praw.g_00566	Prbb.g_01872
OG0001058	Praw.g_00567	Prbb.g_01873
OG0001059	Praw.g_00568	Prbb.g_01874
OG0001060	Praw.g_00569	Prbb.g_01875
OG0001061	Praw.g_00570	Prbb.g_01876
OG0001062	Praw.g_00571	Prbb.g_01877
OG0001063	Praw.g_00572	Prbb.g_01878
OG0001064	Praw.g_01921	Prbb.g_01880
OG0001065	Praw.g_01917	Prbb.g_01922
OG0001066	Praw.g_01916	Prbb.g_01924
OG0001067	Praw.g_01915	Prbb.g_01925
OG0001068	Praw.g_01913	Prbb.g_01927
OG0001069	Praw.g_01912	Prbb.g_01928
OG0001070	Praw.g_01911	Prbb.g_01929
OG0001071	Praw.g_01910	Prbb.g_01930
OG0001072	Praw.g_01909	Prbb.g_01931
OG0001073	Praw.g_01908	Prbb.g_01932
OG0001074	Praw.g_01907	Prbb.g_01933
OG0001075	Praw.g_01906	Prbb.g_01934
OG0001076	Praw.g_01905	Prbb.g_01935
OG0001077	Praw.g_01904	Prbb.g_01936
OG0001078	Praw.g_01903	Prbb.g_01937
OG0001079	Praw.g_01902	Prbb.g_01938
OG0001080	Praw.g_01901	Prbb.g_01939
OG0001081	Praw.g_01898	Prbb.g_01948
OG0001082	Praw.g_01897	Prbb.g_01947
OG0001083	Praw.g_01896	Prbb.g_01943
OG0001084	Praw.g_01895	Prbb.g_01945
OG0001085	Praw.g_01894	Prbb.g_01946
OG0001086	Praw.g_01893	Prbb.g_01942
OG0001087	Praw.g_01892	Prbb.g_01941
OG0001088	Praw.g_01891	Prbb.g_01940
OG0001089	Praw.g_00138	Prbb.g_01958
OG0001090	Praw.g_00136	Prbb.g_01960
OG0001091	Praw.g_00135	Prbb.g_01961
OG0001092	Praw.g_00134	Prbb.g_01962
OG0001093	Praw.g_00133	Prbb.g_01963
OG0001094	Praw.g_00132	Prbb.g_01964
OG0001095	Praw.g_00131	Prbb.g_01965
OG0001096	Praw.g_00130	Prbb.g_01966
OG0001097	Praw.g_00129	Prbb.g_01967
OG0001098	Praw.g_00128	Prbb.g_01968
