Orthogroup	Prba	Prbk
OG0000186	Prba.g_01852	Prbk.g_01326
OG0000187	Prba.g_01853	Prbk.g_01324
OG0000188	Prba.g_01870	Prbk.g_01303
OG0000189	Prba.g_01884	Prbk.g_00024
OG0000190	Prba.g_01885	Prbk.g_00022
OG0000191	Prba.g_01905	Prbk.g_00197
OG0000192	Prba.g_01909	Prbk.g_00206
OG0000193	Prba.g_01934	Prbk.g_00752
OG0000194	Prba.g_01937	Prbk.g_00755
OG0000195	Prba.g_01939	Prbk.g_00757
OG0000196	Prba.g_01949	Prbk.g_00768
OG0000197	Prba.g_01950	Prbk.g_00769
OG0000198	Prba.g_01951	Prbk.g_00770
OG0000199	Prba.g_00626	Prbk.g_00777
OG0000200	Prba.g_00640	Prbk.g_01280
OG0000201	Prba.g_00648	Prbk.g_01261
OG0000202	Prba.g_00649	Prbk.g_01260
OG0000203	Prba.g_00650	Prbk.g_01259
OG0000204	Prba.g_00651	Prbk.g_01258
OG0000205	Prba.g_00658	Prbk.g_01251
OG0000206	Prba.g_00663	Prbk.g_00632
OG0000207	Prba.g_00665	Prbk.g_00686
OG0000208	Prba.g_00666	Prbk.g_00685
OG0000209	Prba.g_00675	Prbk.g_00658
OG0000210	Prba.g_00439	Prbk.g_00657
OG0000211	Prba.g_00452	Prbk.g_01368
OG0000212	Prba.g_00459	Prbk.g_01514
OG0000213	Prba.g_00476	Prbk.g_00374
OG0000214	Prba.g_00485	Prbk.g_00401
OG0000215	Prba.g_00509	Prbk.g_00431
OG0000216	Prba.g_00510	Prbk.g_00434
OG0000217	Prba.g_00513	Prbk.g_00438
OG0000218	Prba.g_00515	Prbk.g_00442
OG0000219	Prba.g_00516	Prbk.g_00443
OG0000220	Prba.g_00517	Prbk.g_00444
OG0000221	Prba.g_00518	Prbk.g_00449
OG0000222	Prba.g_00526	Prbk.g_00458
OG0000223	Prba.g_00539	Prbk.g_00481
OG0000224	Prba.g_00541	Prbk.g_00492
OG0000225	Prba.g_00562	Prbk.g_00889
OG0000226	Prba.g_00221	Prbk.g_00893
OG0000227	Prba.g_00223	Prbk.g_00895
OG0000228	Prba.g_00849	Prbk.g_00365
OG0000229	Prba.g_01025	Prbk.g_00328
OG0000230	Prba.g_01023	Prbk.g_00326
OG0000231	Prba.g_01012	Prbk.g_00311
OG0000232	Prba.g_01003	Prbk.g_00295
OG0000233	Prba.g_00998	Prbk.g_02092
OG0000234	Prba.g_00985	Prbk.g_02114
OG0000235	Prba.g_00982	Prbk.g_02060
OG0000236	Prba.g_00968	Prbk.g_02076
OG0000237	Prba.g_00955	Prbk.g_01047
OG0000238	Prba.g_00949	Prbk.g_01051
OG0000239	Prba.g_00936	Prbk.g_01067
OG0000240	Prba.g_00935	Prbk.g_01068
OG0000241	Prba.g_00931	Prbk.g_01965
OG0000242	Prba.g_00929	Prbk.g_01078
OG0000243	Prba.g_01772	Prbk.g_02684
OG0000244	Prba.g_01769	Prbk.g_01897
OG0000245	Prba.g_01767	Prbk.g_01894
OG0000246	Prba.g_01763	Prbk.g_01890
OG0000247	Prba.g_01753	Prbk.g_01879
OG0000248	Prba.g_01751	Prbk.g_01876
OG0000249	Prba.g_01749	Prbk.g_01874
OG0000250	Prba.g_01744	Prbk.g_01106
OG0000251	Prba.g_01726	Prbk.g_01130
OG0000252	Prba.g_01723	Prbk.g_01133
OG0000253	Prba.g_01722	Prbk.g_01139
OG0000254	Prba.g_01706	Prbk.g_01158
OG0000255	Prba.g_01700	Prbk.g_02604
OG0000256	Prba.g_01690	Prbk.g_02618
OG0000257	Prba.g_01687	Prbk.g_02624
OG0000258	Prba.g_01674	Prbk.g_02647
OG0000259	Prba.g_01657	Prbk.g_00720
OG0000260	Prba.g_01654	Prbk.g_00717
OG0000261	Prba.g_01652	Prbk.g_00714
OG0000262	Prba.g_01648	Prbk.g_00709
OG0000263	Prba.g_01636	Prbk.g_00672
OG0000264	Prba.g_01626	Prbk.g_01815
OG0000265	Prba.g_01594	Prbk.g_01835, Prbk.g_00619
OG0000266	Prba.g_01584	Prbk.g_00608
OG0000267	Prba.g_01573	Prbk.g_02371
OG0000268	Prba.g_01572	Prbk.g_02370
OG0000269	Prba.g_01504	Prbk.g_02463
OG0000270	Prba.g_01501	Prbk.g_02466
OG0000271	Prba.g_01493	Prbk.g_02474
OG0000272	Prba.g_01492	Prbk.g_02475
OG0000273	Prba.g_01469	Prbk.g_02526
OG0000274	Prba.g_01468	Prbk.g_02527
OG0000275	Prba.g_01465	Prbk.g_02530
OG0000276	Prba.g_01460	Prbk.g_02536
OG0000277	Prba.g_01459	Prbk.g_02537
