Orthogroup	Syat	Prag
OG0000048	Syat.g_02046	Prag.g_01658, Prag.g_00368
OG0000053	Syat.g_01330	Prag.g_01510
OG0000057	Syat.g_00817	Prag.g_00676
OG0000060	Syat.g_01047	Prag.g_00760
OG0000061	Syat.g_03260	Prag.g_01153
OG0000063	Syat.g_02303	Prag.g_00033
OG0000065	Syat.g_01571	Prag.g_00100
OG0000066	Syat.g_03283	Prag.g_00518
OG0000067	Syat.g_00479	Prag.g_00806
OG0000068	Syat.g_00085, Syat.g_01295	Prag.g_01389
OG0000070	Syat.g_01032, Syat.g_01040	Prag.g_00429
OG0000072	Syat.g_02856, Syat.g_01597	Prag.g_00164
OG0000073	Syat.g_03201	Prag.g_00478
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prag.g_01836
OG0000076	Syat.g_02206	Prag.g_01861
OG0000078	Syat.g_00184	Prag.g_00232
OG0000081	Syat.g_00980	Prag.g_00510
OG0000082	Syat.g_00035	Prag.g_00563
OG0000085	Syat.g_03113	Prag.g_01662
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prag.g_00082
OG0000087	Syat.g_02912	Prag.g_00132
OG0000088	Syat.g_02862	Prag.g_00159
OG0000089	Syat.g_02953	Prag.g_00350
OG0000090	Syat.g_03270	Prag.g_00512
OG0000091	Syat.g_00939, Syat.g_00862	Prag.g_00620
OG0000092	Syat.g_00825	Prag.g_00911
OG0000094	Syat.g_00698, Syat.g_01034	Prag.g_01017
OG0000097	Syat.g_00907, Syat.g_00535	Prag.g_01194
OG0000098	Syat.g_03281	Prag.g_01371
OG0000099	Syat.g_02130	Prag.g_01424
OG0000100	Syat.g_00517	Prag.g_01564
OG0000101	Syat.g_01661	Prag.g_01804
OG0000102	Syat.g_00974	Prag.g_01866
OG0000103	Syat.g_02399	Prag.g_01945
OG0000104	Syat.g_02385	Prag.g_01953
OG0000105	Syat.g_02052	Prag.g_00265
OG0000106	Syat.g_00957	Prag.g_00364
OG0000107	Syat.g_01862	Prag.g_00378
OG0000108	Syat.g_03170	Prag.g_00459
OG0000109	Syat.g_03187	Prag.g_00473
OG0000110	Syat.g_00049	Prag.g_00553
OG0000111	Syat.g_00816	Prag.g_00677
OG0000112	Syat.g_00593	Prag.g_00771
OG0000113	Syat.g_00509	Prag.g_00828
OG0000114	Syat.g_00426	Prag.g_00906
OG0000115	Syat.g_01328	Prag.g_01097
OG0000116	Syat.g_02641	Prag.g_01143
OG0000117	Syat.g_00224	Prag.g_01298
OG0000118	Syat.g_01168	Prag.g_01367
OG0000119	Syat.g_00309	Prag.g_01385
OG0000120	Syat.g_02132	Prag.g_01423
OG0000121	Syat.g_01223	Prag.g_01492
OG0000123	Syat.g_01653	Prag.g_01811
OG0000124	Syat.g_02231	Prag.g_01877
OG0000125	Syat.g_02684	Prag.g_01913
OG0000126	Syat.g_00976	Prag.g_01952
OG0000128	Syat.g_02331	Prag.g_00011
OG0000129	Syat.g_02693, Syat.g_02694	Prag.g_00044
OG0000130	Syat.g_01469	Prag.g_00063
OG0000131	Syat.g_02898	Prag.g_00138
OG0000132	Syat.g_02864	Prag.g_00157
OG0000133	Syat.g_00588	Prag.g_00313
OG0000134	Syat.g_02956	Prag.g_00351
OG0000135	Syat.g_02501	Prag.g_00375
OG0000136	Syat.g_01292	Prag.g_00420
OG0000137	Syat.g_01371	Prag.g_00454
OG0000138	Syat.g_03188	Prag.g_00474
OG0000140	Syat.g_03280	Prag.g_00517
OG0000141	Syat.g_03398	Prag.g_00585
OG0000142	Syat.g_00117	Prag.g_00613
OG0000143	Syat.g_00130	Prag.g_00617
OG0000144	Syat.g_00369	Prag.g_00630
OG0000145	Syat.g_03202	Prag.g_00758
OG0000146	Syat.g_00594	Prag.g_00772
OG0000147	Syat.g_00595	Prag.g_00773
OG0000148	Syat.g_00503	Prag.g_00822
OG0000149	Syat.g_00747	Prag.g_00851
OG0000150	Syat.g_03399	Prag.g_00859
OG0000151	Syat.g_00801, Syat.g_00440	Prag.g_00916
OG0000152	Syat.g_00578	Prag.g_00964
OG0000153	Syat.g_00542	Prag.g_00983
OG0000154	Syat.g_00708	Prag.g_01010
OG0000155	Syat.g_00287	Prag.g_01173
OG0000156	Syat.g_03228	Prag.g_01342
OG0000157	Syat.g_02012, Syat.g_03227	Prag.g_01343
OG0000158	Syat.g_02163	Prag.g_01425
OG0000159	Syat.g_01187	Prag.g_01427
OG0000160	Syat.g_01224	Prag.g_01491
OG0000161	Syat.g_01180	Prag.g_01497
OG0000162	Syat.g_01281	Prag.g_01503
OG0000163	Syat.g_02979	Prag.g_01537
OG0000164	Syat.g_03040	Prag.g_01693
OG0000165	Syat.g_03033	Prag.g_01700
OG0000166	Syat.g_01822	Prag.g_01768
OG0000167	Syat.g_02148	Prag.g_01834
OG0000168	Syat.g_02164	Prag.g_01844
OG0000169	Syat.g_02192	Prag.g_01854
OG0000170	Syat.g_02201	Prag.g_01856
OG0000171	Syat.g_02230	Prag.g_01876
OG0000172	Syat.g_02260	Prag.g_01884
OG0000173	Syat.g_02284	Prag.g_01899
OG0000174	Syat.g_02504	Prag.g_01927
OG0000175	Syat.g_02416	Prag.g_01937
OG0000176	Syat.g_02372	Prag.g_00004
OG0000177	Syat.g_02338	Prag.g_00005
OG0000178	Syat.g_02337	Prag.g_00006
OG0000179	Syat.g_02322	Prag.g_00016
OG0000180	Syat.g_02321	Prag.g_00017
OG0000181	Syat.g_02320	Prag.g_00018
OG0000182	Syat.g_02319	Prag.g_00019
OG0000183	Syat.g_02315	Prag.g_00023
OG0000184	Syat.g_02704	Prag.g_00046
OG0000185	Syat.g_02719	Prag.g_00049
OG0000186	Syat.g_01463	Prag.g_00058
OG0000187	Syat.g_01467	Prag.g_00059
OG0000188	Syat.g_01489	Prag.g_00076
OG0000189	Syat.g_01557	Prag.g_00089
OG0000190	Syat.g_00330	Prag.g_00090
OG0000191	Syat.g_03344, Syat.g_02939	Prag.g_00110
OG0000192	Syat.g_02933	Prag.g_00114
OG0000193	Syat.g_02897	Prag.g_00139
OG0000194	Syat.g_02894	Prag.g_00142
OG0000195	Syat.g_02892	Prag.g_00144
OG0000196	Syat.g_02867	Prag.g_00154
OG0000197	Syat.g_02866	Prag.g_00155
OG0000198	Syat.g_02865	Prag.g_00156
OG0000199	Syat.g_02857	Prag.g_00163
OG0000200	Syat.g_02840	Prag.g_00177
OG0000201	Syat.g_02821	Prag.g_00185
OG0000202	Syat.g_02820	Prag.g_00186
OG0000203	Syat.g_02819	Prag.g_00187
OG0000204	Syat.g_02818	Prag.g_00188
OG0000205	Syat.g_02809	Prag.g_00195
OG0000206	Syat.g_02785	Prag.g_00200
OG0000207	Syat.g_02778	Prag.g_00202
OG0000208	Syat.g_02777	Prag.g_00203
OG0000209	Syat.g_02735	Prag.g_00212
OG0000210	Syat.g_02734	Prag.g_00213
OG0000211	Syat.g_01452	Prag.g_00226
OG0000212	Syat.g_01442	Prag.g_00233
OG0000213	Syat.g_01889	Prag.g_00249
OG0000214	Syat.g_02042	Prag.g_00258
OG0000215	Syat.g_02075	Prag.g_00283
OG0000216	Syat.g_02079	Prag.g_00285
OG0000217	Syat.g_02085	Prag.g_00288
OG0000218	Syat.g_02087	Prag.g_00290
OG0000219	Syat.g_02088	Prag.g_00291
OG0000220	Syat.g_02089	Prag.g_00292
OG0000221	Syat.g_02095	Prag.g_00293
OG0000222	Syat.g_02109	Prag.g_00301
OG0000223	Syat.g_02570	Prag.g_00314
OG0000224	Syat.g_02139	Prag.g_00316
OG0000225	Syat.g_01595	Prag.g_00340
OG0000226	Syat.g_01588	Prag.g_00344
OG0000228	Syat.g_02952	Prag.g_00349
OG0000229	Syat.g_02970	Prag.g_00415
OG0000230	Syat.g_02972	Prag.g_00417
OG0000231	Syat.g_01283	Prag.g_00428
OG0000232	Syat.g_01313	Prag.g_00437
OG0000233	Syat.g_01407	Prag.g_00442
OG0000234	Syat.g_01369	Prag.g_00455
OG0000235	Syat.g_03169	Prag.g_00458
OG0000236	Syat.g_03186	Prag.g_00472
OG0000237	Syat.g_03214	Prag.g_00485
OG0000238	Syat.g_03219	Prag.g_00491
OG0000239	Syat.g_01105	Prag.g_00504
OG0000240	Syat.g_01104	Prag.g_00505
OG0000241	Syat.g_00111	Prag.g_00509
OG0000242	Syat.g_01077	Prag.g_00511
OG0000243	Syat.g_00092	Prag.g_00522
OG0000244	Syat.g_00082	Prag.g_00525
OG0000245	Syat.g_00080	Prag.g_00527
OG0000246	Syat.g_00076	Prag.g_00531
OG0000247	Syat.g_00065	Prag.g_00541
OG0000248	Syat.g_00062	Prag.g_00543
OG0000249	Syat.g_00060	Prag.g_00545
OG0000250	Syat.g_00053	Prag.g_00550
OG0000251	Syat.g_00027	Prag.g_00569
OG0000252	Syat.g_00022	Prag.g_00572
OG0000253	Syat.g_00021	Prag.g_00573
OG0000254	Syat.g_03407	Prag.g_00589
OG0000255	Syat.g_02405	Prag.g_00595
OG0000256	Syat.g_03306	Prag.g_00605
OG0000257	Syat.g_00109	Prag.g_00608
OG0000258	Syat.g_00382	Prag.g_00621
OG0000259	Syat.g_00342	Prag.g_00638
OG0000260	Syat.g_00392	Prag.g_00641
OG0000261	Syat.g_00400	Prag.g_00643
OG0000262	Syat.g_00407	Prag.g_00647
OG0000263	Syat.g_00200	Prag.g_00659
OG0000266	Syat.g_00671	Prag.g_00702
OG0000267	Syat.g_00636	Prag.g_00713
OG0000268	Syat.g_00634	Prag.g_00714
OG0000269	Syat.g_00474, Syat.g_00126	Prag.g_00801
OG0000270	Syat.g_00477	Prag.g_00804
OG0000271	Syat.g_00485	Prag.g_00812
OG0000272	Syat.g_00486	Prag.g_00813
OG0000273	Syat.g_00520	Prag.g_00835
OG0000274	Syat.g_00521	Prag.g_00836
OG0000275	Syat.g_00718	Prag.g_00838
OG0000276	Syat.g_00725	Prag.g_00843
OG0000277	Syat.g_00738	Prag.g_00844
OG0000278	Syat.g_00741	Prag.g_00847
OG0000279	Syat.g_00755	Prag.g_00854
OG0000280	Syat.g_01669	Prag.g_00855
OG0000281	Syat.g_00960	Prag.g_00860
OG0000282	Syat.g_00431	Prag.g_00908
OG0000283	Syat.g_00620	Prag.g_00941
OG0000284	Syat.g_00614	Prag.g_00946
OG0000285	Syat.g_00607	Prag.g_00951
OG0000286	Syat.g_00579	Prag.g_00963
OG0000287	Syat.g_00550	Prag.g_00980
OG0000288	Syat.g_00709	Prag.g_01009
OG0000289	Syat.g_00695	Prag.g_01020
OG0000290	Syat.g_00805	Prag.g_01033
OG0000292	Syat.g_02388	Prag.g_01085
OG0000293	Syat.g_03241	Prag.g_01144
OG0000294	Syat.g_03248	Prag.g_01145
OG0000295	Syat.g_00297	Prag.g_01165
OG0000296	Syat.g_00295	Prag.g_01167
OG0000299	Syat.g_00910	Prag.g_01193
OG0000300	Syat.g_00904	Prag.g_01196
OG0000301	Syat.g_00903	Prag.g_01197
OG0000302	Syat.g_00901	Prag.g_01199
OG0000303	Syat.g_00892	Prag.g_01206
OG0000304	Syat.g_00885	Prag.g_01210
OG0000305	Syat.g_00809	Prag.g_01381
OG0000306	Syat.g_01704	Prag.g_01384
OG0000307	Syat.g_01304	Prag.g_01398
OG0000308	Syat.g_01306	Prag.g_01399
OG0000309	Syat.g_01417	Prag.g_01403
OG0000310	Syat.g_01246	Prag.g_01473
OG0000311	Syat.g_01242	Prag.g_01475
OG0000312	Syat.g_01237	Prag.g_01478
OG0000313	Syat.g_01183	Prag.g_01494
OG0000314	Syat.g_01341	Prag.g_01516
OG0000315	Syat.g_01351	Prag.g_01527
OG0000316	Syat.g_03082	Prag.g_01547
OG0000317	Syat.g_03120	Prag.g_01667
OG0000318	Syat.g_03125	Prag.g_01670
OG0000319	Syat.g_03055	Prag.g_01683
OG0000320	Syat.g_03053	Prag.g_01685
OG0000321	Syat.g_03052	Prag.g_01686
OG0000322	Syat.g_03051	Prag.g_01687
OG0000323	Syat.g_03038	Prag.g_01696
OG0000324	Syat.g_02998	Prag.g_01723
OG0000325	Syat.g_01861	Prag.g_01733
OG0000326	Syat.g_01854	Prag.g_01739
OG0000327	Syat.g_01827	Prag.g_01763
OG0000328	Syat.g_01826	Prag.g_01764
OG0000329	Syat.g_01808	Prag.g_01781
OG0000330	Syat.g_01807	Prag.g_01782
OG0000331	Syat.g_01806	Prag.g_01783
OG0000332	Syat.g_01790	Prag.g_01797
OG0000333	Syat.g_01787	Prag.g_01799
OG0000334	Syat.g_01657	Prag.g_01807
OG0000335	Syat.g_01652	Prag.g_01812
OG0000336	Syat.g_01648	Prag.g_01816
OG0000337	Syat.g_02144	Prag.g_01832
OG0000338	Syat.g_02146	Prag.g_01833
OG0000339	Syat.g_02155, Syat.g_01055	Prag.g_01837
OG0000340	Syat.g_02165	Prag.g_01845
OG0000341	Syat.g_02167	Prag.g_01847
OG0000342	Syat.g_02168	Prag.g_01848
OG0000343	Syat.g_02185	Prag.g_01849
OG0000344	Syat.g_02189	Prag.g_01852
OG0000345	Syat.g_02202	Prag.g_01857
OG0000346	Syat.g_02207	Prag.g_01862
OG0000347	Syat.g_02234	Prag.g_01878
OG0000348	Syat.g_02264	Prag.g_01887
OG0000349	Syat.g_02291	Prag.g_01904
OG0000350	Syat.g_01847	Prag.g_01923
OG0000351	Syat.g_02411	Prag.g_01940
OG0000352	Syat.g_02410	Prag.g_01941
OG0000353	Syat.g_00955, Syat.g_02377	Prag.g_01956
OG0000354	Syat.g_02325	Prag.g_01282
OG0000355	Syat.g_02375	Prag.g_00001
OG0000356	Syat.g_02374	Prag.g_00002
OG0000357	Syat.g_02373	Prag.g_00003
OG0000358	Syat.g_02336	Prag.g_00007
OG0000359	Syat.g_02334	Prag.g_00008
OG0000360	Syat.g_02333	Prag.g_00009
OG0000361	Syat.g_02332	Prag.g_00010
OG0000362	Syat.g_02330	Prag.g_00012
OG0000363	Syat.g_02328	Prag.g_00014
OG0000364	Syat.g_03122	Prag.g_00015
OG0000365	Syat.g_02318	Prag.g_00020
OG0000366	Syat.g_02317	Prag.g_00021
OG0000367	Syat.g_02316	Prag.g_00022
OG0000368	Syat.g_02314	Prag.g_00024
OG0000369	Syat.g_02313	Prag.g_00025
OG0000370	Syat.g_02312	Prag.g_00026
OG0000371	Syat.g_02304	Prag.g_00032
OG0000372	Syat.g_02298	Prag.g_00035
OG0000373	Syat.g_02297	Prag.g_00036
OG0000374	Syat.g_02296	Prag.g_00037
OG0000375	Syat.g_02295	Prag.g_00040
OG0000376	Syat.g_02293	Prag.g_00042
OG0000377	Syat.g_02695	Prag.g_00045
OG0000378	Syat.g_02715	Prag.g_00047
OG0000379	Syat.g_02720	Prag.g_00050
OG0000380	Syat.g_01468	Prag.g_00060
OG0000381	Syat.g_01470	Prag.g_00064
OG0000382	Syat.g_01488	Prag.g_00075
OG0000383	Syat.g_01521	Prag.g_00077
OG0000384	Syat.g_01522	Prag.g_00078
OG0000385	Syat.g_01523	Prag.g_00079
OG0000386	Syat.g_01524	Prag.g_00080
OG0000387	Syat.g_01561	Prag.g_00092
OG0000388	Syat.g_01565	Prag.g_00095
OG0000389	Syat.g_01569	Prag.g_00099
OG0000390	Syat.g_02945	Prag.g_00106
OG0000391	Syat.g_02940	Prag.g_00109
OG0000392	Syat.g_02934	Prag.g_00113
OG0000393	Syat.g_02931	Prag.g_00115
OG0000394	Syat.g_02930	Prag.g_00116
OG0000395	Syat.g_02929	Prag.g_00117
OG0000396	Syat.g_02927	Prag.g_00120
OG0000397	Syat.g_02925	Prag.g_00122
OG0000398	Syat.g_02920	Prag.g_00124
OG0000399	Syat.g_02919	Prag.g_00125
OG0000400	Syat.g_02918	Prag.g_00126
OG0000401	Syat.g_02917	Prag.g_00127
OG0000402	Syat.g_02915	Prag.g_00129
OG0000403	Syat.g_02914	Prag.g_00130
OG0000404	Syat.g_02913	Prag.g_00131
OG0000405	Syat.g_02900	Prag.g_00135
OG0000406	Syat.g_02896	Prag.g_00140
OG0000407	Syat.g_02895	Prag.g_00141
OG0000408	Syat.g_02893	Prag.g_00143
OG0000409	Syat.g_02891	Prag.g_00145
OG0000410	Syat.g_02890	Prag.g_00146
OG0000411	Syat.g_02889	Prag.g_00147
OG0000412	Syat.g_02888	Prag.g_00148
OG0000413	Syat.g_02886	Prag.g_00149
OG0000414	Syat.g_02885	Prag.g_00150
OG0000415	Syat.g_02884	Prag.g_00151
OG0000416	Syat.g_02883	Prag.g_00152
OG0000417	Syat.g_02868	Prag.g_00153
OG0000418	Syat.g_02863	Prag.g_00158
OG0000419	Syat.g_02861	Prag.g_00160
OG0000420	Syat.g_02859	Prag.g_00161
OG0000421	Syat.g_02855	Prag.g_00166
OG0000422	Syat.g_02854	Prag.g_00167
OG0000423	Syat.g_02853	Prag.g_00168
OG0000424	Syat.g_02852	Prag.g_00169
OG0000425	Syat.g_02851	Prag.g_00170
OG0000426	Syat.g_02850	Prag.g_00171
OG0000427	Syat.g_02849	Prag.g_00172
OG0000428	Syat.g_02846	Prag.g_00174
OG0000429	Syat.g_02843	Prag.g_00175
OG0000430	Syat.g_02841	Prag.g_00176
OG0000431	Syat.g_02838	Prag.g_00178
OG0000432	Syat.g_02832	Prag.g_00181
OG0000433	Syat.g_02829	Prag.g_00182
OG0000434	Syat.g_02828	Prag.g_00183
OG0000435	Syat.g_02824	Prag.g_00184
OG0000436	Syat.g_02817	Prag.g_00189
OG0000437	Syat.g_02558	Prag.g_00190
OG0000438	Syat.g_02813	Prag.g_00191
OG0000439	Syat.g_02811	Prag.g_00193
OG0000440	Syat.g_02810	Prag.g_00194
OG0000441	Syat.g_02807	Prag.g_00197
OG0000442	Syat.g_02797	Prag.g_00198
