Orthogroup	Syat	Prag
OG0000608	Syat.g_00363	Prag.g_00636
OG0000609	Syat.g_00344	Prag.g_00637
OG0000610	Syat.g_00399	Prag.g_00642
OG0000611	Syat.g_00402	Prag.g_00645
OG0000612	Syat.g_00403	Prag.g_00646
OG0000613	Syat.g_02129	Prag.g_00651
OG0000614	Syat.g_01084	Prag.g_00670
OG0000615	Syat.g_00442	Prag.g_00678
OG0000616	Syat.g_02397	Prag.g_00682
OG0000617	Syat.g_00665	Prag.g_00698
OG0000618	Syat.g_00666	Prag.g_00699
OG0000619	Syat.g_00667	Prag.g_00700
OG0000620	Syat.g_02591	Prag.g_00703
OG0000621	Syat.g_02590	Prag.g_00704
OG0000622	Syat.g_02572	Prag.g_00705
OG0000623	Syat.g_00672	Prag.g_00706
OG0000624	Syat.g_00673	Prag.g_00707
OG0000625	Syat.g_00674	Prag.g_00708
OG0000626	Syat.g_00675	Prag.g_00709
OG0000627	Syat.g_00641	Prag.g_00710
OG0000628	Syat.g_00640	Prag.g_00711
OG0000629	Syat.g_00637	Prag.g_00712
OG0000630	Syat.g_00631	Prag.g_00715
OG0000631	Syat.g_00624	Prag.g_00797
OG0000632	Syat.g_00623	Prag.g_00798
OG0000633	Syat.g_00622	Prag.g_00799
OG0000634	Syat.g_00475	Prag.g_00802
OG0000635	Syat.g_00476	Prag.g_00803
OG0000636	Syat.g_00478	Prag.g_00805
OG0000637	Syat.g_00480	Prag.g_00807
OG0000638	Syat.g_00481	Prag.g_00808
OG0000639	Syat.g_00482	Prag.g_00809
OG0000640	Syat.g_00483	Prag.g_00810
OG0000641	Syat.g_00488	Prag.g_00814
OG0000642	Syat.g_00489	Prag.g_00815
OG0000643	Syat.g_00494	Prag.g_00816
OG0000644	Syat.g_00495	Prag.g_00817
OG0000645	Syat.g_00496	Prag.g_00818
OG0000646	Syat.g_00499	Prag.g_00820
OG0000647	Syat.g_00501	Prag.g_00821
OG0000648	Syat.g_00504	Prag.g_00823
OG0000649	Syat.g_00505	Prag.g_00824
OG0000650	Syat.g_00506	Prag.g_00825
OG0000651	Syat.g_00507	Prag.g_00826
OG0000652	Syat.g_00508	Prag.g_00827
OG0000653	Syat.g_00510	Prag.g_00829
OG0000654	Syat.g_00514	Prag.g_00830
OG0000655	Syat.g_00515	Prag.g_00831
OG0000656	Syat.g_00518	Prag.g_00834
OG0000657	Syat.g_00720	Prag.g_00840
OG0000658	Syat.g_00723	Prag.g_00841
OG0000659	Syat.g_00724	Prag.g_00842
OG0000660	Syat.g_00740	Prag.g_00846
OG0000661	Syat.g_00742	Prag.g_00848
OG0000662	Syat.g_00746	Prag.g_00850
OG0000663	Syat.g_00749	Prag.g_00852
OG0000664	Syat.g_00752	Prag.g_00853
OG0000665	Syat.g_03302	Prag.g_00857
OG0000666	Syat.g_01415	Prag.g_00858
OG0000667	Syat.g_00958, Syat.g_03278	Prag.g_00862
OG0000668	Syat.g_00710	Prag.g_00892
OG0000669	Syat.g_00416	Prag.g_00898
OG0000670	Syat.g_00419	Prag.g_00900
OG0000671	Syat.g_00421	Prag.g_00902
OG0000672	Syat.g_00424	Prag.g_00904
OG0000673	Syat.g_00430	Prag.g_00907
OG0000674	Syat.g_00432	Prag.g_00909
OG0000675	Syat.g_00433	Prag.g_00910
OG0000676	Syat.g_00436	Prag.g_00912
OG0000677	Syat.g_00437	Prag.g_00913
OG0000678	Syat.g_00439	Prag.g_00915
OG0000679	Syat.g_00448	Prag.g_00919
OG0000680	Syat.g_00449	Prag.g_00920
OG0000681	Syat.g_00452	Prag.g_00922
OG0000682	Syat.g_00453	Prag.g_00923
OG0000683	Syat.g_00454	Prag.g_00924
OG0000684	Syat.g_00457	Prag.g_00926
OG0000685	Syat.g_02571	Prag.g_00928
OG0000686	Syat.g_00459	Prag.g_00929
OG0000687	Syat.g_00460	Prag.g_00930
OG0000688	Syat.g_00463	Prag.g_00933
OG0000689	Syat.g_00465	Prag.g_00934
OG0000690	Syat.g_00466	Prag.g_00935
OG0000691	Syat.g_00467	Prag.g_00936
OG0000692	Syat.g_00469	Prag.g_00938
OG0000693	Syat.g_00471	Prag.g_00939
OG0000694	Syat.g_00472	Prag.g_00940
OG0000695	Syat.g_00619	Prag.g_00942
OG0000696	Syat.g_00618	Prag.g_00943
OG0000697	Syat.g_00616	Prag.g_00944
OG0000698	Syat.g_00613	Prag.g_00947
OG0000699	Syat.g_00611	Prag.g_00948
OG0000700	Syat.g_00610	Prag.g_00949
OG0000701	Syat.g_00609	Prag.g_00950
OG0000702	Syat.g_00606	Prag.g_00952
OG0000703	Syat.g_00601	Prag.g_00953
OG0000704	Syat.g_00599	Prag.g_00954
OG0000705	Syat.g_00592	Prag.g_00958
OG0000706	Syat.g_00591	Prag.g_00959
OG0000707	Syat.g_00590	Prag.g_00960
OG0000708	Syat.g_00587	Prag.g_00961
OG0000709	Syat.g_00573	Prag.g_00965
OG0000710	Syat.g_00567	Prag.g_00968
OG0000711	Syat.g_00539	Prag.g_00985
OG0000712	Syat.g_00537	Prag.g_00987
OG0000713	Syat.g_00536	Prag.g_00988
OG0000714	Syat.g_00532	Prag.g_00989
OG0000715	Syat.g_00530	Prag.g_00991
OG0000716	Syat.g_00527	Prag.g_00993
OG0000717	Syat.g_00526	Prag.g_00994
OG0000718	Syat.g_00522	Prag.g_01005
OG0000719	Syat.g_00712	Prag.g_01007
OG0000720	Syat.g_00699	Prag.g_01016
OG0000721	Syat.g_00697	Prag.g_01018
OG0000722	Syat.g_00696	Prag.g_01019
OG0000723	Syat.g_00686	Prag.g_01022
OG0000724	Syat.g_00782	Prag.g_01031
OG0000725	Syat.g_00810	Prag.g_01037
OG0000726	Syat.g_00811	Prag.g_01038
OG0000727	Syat.g_00812	Prag.g_01039
OG0000728	Syat.g_00814	Prag.g_01041
OG0000729	Syat.g_02224	Prag.g_01087
OG0000730	Syat.g_01617	Prag.g_01091
OG0000731	Syat.g_01605	Prag.g_01095
OG0000732	Syat.g_02290	Prag.g_01102
OG0000733	Syat.g_03285	Prag.g_01121
OG0000734	Syat.g_01579	Prag.g_01138
OG0000735	Syat.g_03235	Prag.g_01140
OG0000736	Syat.g_03236	Prag.g_01141
OG0000737	Syat.g_03237	Prag.g_01142
OG0000738	Syat.g_03251	Prag.g_01146
OG0000739	Syat.g_03252	Prag.g_01147
OG0000740	Syat.g_03253	Prag.g_01148
OG0000741	Syat.g_03256	Prag.g_01149
OG0000742	Syat.g_03259	Prag.g_01152
OG0000743	Syat.g_03262	Prag.g_01154
OG0000744	Syat.g_03263	Prag.g_01155
OG0000745	Syat.g_03266	Prag.g_01156
OG0000746	Syat.g_00314	Prag.g_01158
OG0000747	Syat.g_00313	Prag.g_01159
OG0000748	Syat.g_00305	Prag.g_01162
OG0000749	Syat.g_00303	Prag.g_01163
OG0000750	Syat.g_00302	Prag.g_01164
OG0000751	Syat.g_00296	Prag.g_01166
OG0000752	Syat.g_00294	Prag.g_01168
OG0000753	Syat.g_00291	Prag.g_01171
OG0000754	Syat.g_00250	Prag.g_01174
OG0000755	Syat.g_00217	Prag.g_01177
OG0000756	Syat.g_00216	Prag.g_01178
OG0000757	Syat.g_00205	Prag.g_01184
OG0000758	Syat.g_00204	Prag.g_01185
OG0000759	Syat.g_00203	Prag.g_01186
OG0000760	Syat.g_00202	Prag.g_01187
OG0000761	Syat.g_00201	Prag.g_01188
OG0000762	Syat.g_00199	Prag.g_01189
OG0000763	Syat.g_00924	Prag.g_01191
OG0000764	Syat.g_00923	Prag.g_01192
OG0000765	Syat.g_00897	Prag.g_01201
OG0000766	Syat.g_00896	Prag.g_01202
OG0000767	Syat.g_00894	Prag.g_01204
OG0000768	Syat.g_00893	Prag.g_01205
OG0000769	Syat.g_00891	Prag.g_01207
OG0000770	Syat.g_00886	Prag.g_01209
OG0000771	Syat.g_00788	Prag.g_01219
OG0000772	Syat.g_01768	Prag.g_01328
OG0000773	Syat.g_01114	Prag.g_01344
OG0000774	Syat.g_01146	Prag.g_01346
OG0000775	Syat.g_01148	Prag.g_01350
OG0000776	Syat.g_01149	Prag.g_01351
OG0000777	Syat.g_01150	Prag.g_01352
OG0000778	Syat.g_01151	Prag.g_01353
OG0000779	Syat.g_01154	Prag.g_01357
OG0000780	Syat.g_01157	Prag.g_01358
OG0000781	Syat.g_01161	Prag.g_01361
OG0000782	Syat.g_01162	Prag.g_01362
OG0000783	Syat.g_01163	Prag.g_01363
OG0000784	Syat.g_01164	Prag.g_01364
OG0000785	Syat.g_01166	Prag.g_01366
OG0000786	Syat.g_01170	Prag.g_01368
OG0000787	Syat.g_01171	Prag.g_01369
OG0000788	Syat.g_00087	Prag.g_01376
OG0000789	Syat.g_00845	Prag.g_01379
OG0000790	Syat.g_01300	Prag.g_01394
OG0000791	Syat.g_01302	Prag.g_01396
OG0000792	Syat.g_01303	Prag.g_01397
OG0000793	Syat.g_01412	Prag.g_01400
OG0000794	Syat.g_01414	Prag.g_01401
OG0000795	Syat.g_01416	Prag.g_01402
OG0000796	Syat.g_01422	Prag.g_01406
OG0000797	Syat.g_01423	Prag.g_01407
OG0000798	Syat.g_02057, Syat.g_01214	Prag.g_01430
OG0000799	Syat.g_01256	Prag.g_01470
OG0000800	Syat.g_01255	Prag.g_01471
OG0000801	Syat.g_01253	Prag.g_01472
OG0000802	Syat.g_01245	Prag.g_01474
OG0000803	Syat.g_01241	Prag.g_01476
OG0000804	Syat.g_01238	Prag.g_01477
OG0000805	Syat.g_01236	Prag.g_01479
OG0000806	Syat.g_01234	Prag.g_01481
OG0000807	Syat.g_01233	Prag.g_01482
OG0000808	Syat.g_01232	Prag.g_01483
OG0000809	Syat.g_01229	Prag.g_01486
OG0000810	Syat.g_01228	Prag.g_01487
OG0000811	Syat.g_01186	Prag.g_01493
OG0000812	Syat.g_01182	Prag.g_01495
OG0000813	Syat.g_01181	Prag.g_01496
OG0000814	Syat.g_01179	Prag.g_01498
OG0000815	Syat.g_01177	Prag.g_01499
OG0000816	Syat.g_01175	Prag.g_01501
OG0000817	Syat.g_01279	Prag.g_01502
OG0000818	Syat.g_01325	Prag.g_01507
OG0000819	Syat.g_01326	Prag.g_01508
OG0000820	Syat.g_01327	Prag.g_01509
OG0000821	Syat.g_01333	Prag.g_01512
OG0000822	Syat.g_01335	Prag.g_01513
OG0000823	Syat.g_01336	Prag.g_01514
OG0000824	Syat.g_01342	Prag.g_01517
OG0000825	Syat.g_01343	Prag.g_01518
OG0000826	Syat.g_01344	Prag.g_01519
OG0000827	Syat.g_01345	Prag.g_01520
OG0000828	Syat.g_01348	Prag.g_01524
OG0000829	Syat.g_01349	Prag.g_01525
OG0000830	Syat.g_01350	Prag.g_01526
OG0000831	Syat.g_01353	Prag.g_01528
OG0000832	Syat.g_02982	Prag.g_01534
OG0000833	Syat.g_03072	Prag.g_01542
OG0000834	Syat.g_03073	Prag.g_01543
OG0000835	Syat.g_03075	Prag.g_01544
OG0000836	Syat.g_03078	Prag.g_01545
OG0000837	Syat.g_03079	Prag.g_01546
OG0000838	Syat.g_03083	Prag.g_01548
OG0000839	Syat.g_03084	Prag.g_01549
OG0000840	Syat.g_03085	Prag.g_01550
OG0000841	Syat.g_03086	Prag.g_01551
OG0000842	Syat.g_03087	Prag.g_01552
OG0000843	Syat.g_03088	Prag.g_01553
OG0000844	Syat.g_03090	Prag.g_01554
OG0000845	Syat.g_03091	Prag.g_01555
OG0000846	Syat.g_03092	Prag.g_01556
OG0000847	Syat.g_03093	Prag.g_01557
OG0000848	Syat.g_03095	Prag.g_01558
OG0000849	Syat.g_03096	Prag.g_01559
OG0000850	Syat.g_03098	Prag.g_01561
OG0000851	Syat.g_03101	Prag.g_01562
OG0000852	Syat.g_03102	Prag.g_01563
OG0000853	Syat.g_03106	Prag.g_01567
OG0000854	Syat.g_03108	Prag.g_01569
OG0000855	Syat.g_03109	Prag.g_01570
OG0000856	Syat.g_03305	Prag.g_01583
OG0000857	Syat.g_00500	Prag.g_01611
OG0000858	Syat.g_03114	Prag.g_01663
OG0000859	Syat.g_03115	Prag.g_01664
OG0000860	Syat.g_03126	Prag.g_01671
OG0000861	Syat.g_03127	Prag.g_01672
OG0000862	Syat.g_03136	Prag.g_01673
OG0000863	Syat.g_03138	Prag.g_01675
OG0000864	Syat.g_03139	Prag.g_01676
OG0000865	Syat.g_03140	Prag.g_01677
OG0000866	Syat.g_03141	Prag.g_01678
OG0000867	Syat.g_03142	Prag.g_01679
OG0000868	Syat.g_03067	Prag.g_01680
OG0000869	Syat.g_03054	Prag.g_01684
OG0000870	Syat.g_03049	Prag.g_01689
OG0000871	Syat.g_03048	Prag.g_01690
OG0000872	Syat.g_03042	Prag.g_01691
OG0000873	Syat.g_03039	Prag.g_01694
OG0000874	Syat.g_03037	Prag.g_01697
OG0000875	Syat.g_03035	Prag.g_01698
OG0000876	Syat.g_00745	Prag.g_01699
OG0000877	Syat.g_03024	Prag.g_01701
OG0000878	Syat.g_03023	Prag.g_01702
OG0000879	Syat.g_03022	Prag.g_01703
OG0000880	Syat.g_03021	Prag.g_01704
OG0000881	Syat.g_03016	Prag.g_01708
OG0000882	Syat.g_03011	Prag.g_01713
OG0000883	Syat.g_03007	Prag.g_01715
OG0000884	Syat.g_03005	Prag.g_01717
OG0000885	Syat.g_03004	Prag.g_01718
OG0000886	Syat.g_03003	Prag.g_01719
OG0000887	Syat.g_03002	Prag.g_01720
OG0000888	Syat.g_03000	Prag.g_01722
OG0000889	Syat.g_02997	Prag.g_01724
OG0000890	Syat.g_02994	Prag.g_01725
OG0000891	Syat.g_02993	Prag.g_01726
OG0000892	Syat.g_02992	Prag.g_01728
OG0000893	Syat.g_01864	Prag.g_01732
OG0000894	Syat.g_01860	Prag.g_01734
OG0000895	Syat.g_01856	Prag.g_01737
OG0000896	Syat.g_01855	Prag.g_01738
OG0000897	Syat.g_01853	Prag.g_01740
OG0000898	Syat.g_01852	Prag.g_01741
OG0000899	Syat.g_01851	Prag.g_01742
OG0000900	Syat.g_01850	Prag.g_01743
OG0000901	Syat.g_01845	Prag.g_01746
OG0000902	Syat.g_01843	Prag.g_01748
OG0000903	Syat.g_01830	Prag.g_01751
OG0000904	Syat.g_01834	Prag.g_01753
OG0000905	Syat.g_01839	Prag.g_01757
OG0000906	Syat.g_01841	Prag.g_01758
OG0000907	Syat.g_01828	Prag.g_01762
OG0000908	Syat.g_01825	Prag.g_01765
OG0000909	Syat.g_01824	Prag.g_01766
OG0000910	Syat.g_01823	Prag.g_01767
OG0000911	Syat.g_01821	Prag.g_01769
OG0000912	Syat.g_01820	Prag.g_01770
OG0000913	Syat.g_01819	Prag.g_01771
OG0000914	Syat.g_01818	Prag.g_01772
OG0000915	Syat.g_01816	Prag.g_01773
OG0000916	Syat.g_01815	Prag.g_01774
OG0000917	Syat.g_01814	Prag.g_01775
OG0000918	Syat.g_01813	Prag.g_01776
OG0000919	Syat.g_01812	Prag.g_01777
OG0000920	Syat.g_01811	Prag.g_01778
OG0000921	Syat.g_01810	Prag.g_01779
OG0000922	Syat.g_01809	Prag.g_01780
OG0000923	Syat.g_01805	Prag.g_01784
OG0000924	Syat.g_01804	Prag.g_01785
OG0000925	Syat.g_01803	Prag.g_01786
OG0000926	Syat.g_01802	Prag.g_01787
OG0000927	Syat.g_01800	Prag.g_01789
OG0000928	Syat.g_01799	Prag.g_01790
OG0000929	Syat.g_01798	Prag.g_01791
OG0000930	Syat.g_01797	Prag.g_01792
OG0000931	Syat.g_01796	Prag.g_01793
OG0000932	Syat.g_01794	Prag.g_01794
OG0000933	Syat.g_01788	Prag.g_01798
OG0000934	Syat.g_01786	Prag.g_01800
OG0000935	Syat.g_01665	Prag.g_01801
OG0000936	Syat.g_01664	Prag.g_01802
OG0000937	Syat.g_01663	Prag.g_01803
OG0000938	Syat.g_01659	Prag.g_01805
OG0000939	Syat.g_01658	Prag.g_01806
OG0000940	Syat.g_01651	Prag.g_01813
OG0000941	Syat.g_01649	Prag.g_01815
OG0000942	Syat.g_01647	Prag.g_01817
OG0000943	Syat.g_01646	Prag.g_01818
OG0000944	Syat.g_01644	Prag.g_01819
OG0000945	Syat.g_01643	Prag.g_01820
OG0000946	Syat.g_01633	Prag.g_01824
OG0000947	Syat.g_01630	Prag.g_01826
OG0000948	Syat.g_01629	Prag.g_01827
OG0000949	Syat.g_02142	Prag.g_01830
OG0000950	Syat.g_02152	Prag.g_01835
OG0000951	Syat.g_02157	Prag.g_01839
OG0000952	Syat.g_02162	Prag.g_01843
OG0000953	Syat.g_02166	Prag.g_01846
OG0000954	Syat.g_02187	Prag.g_01850
OG0000955	Syat.g_02188	Prag.g_01851
OG0000956	Syat.g_02191	Prag.g_01853
OG0000957	Syat.g_02204	Prag.g_01859
OG0000958	Syat.g_02205	Prag.g_01860
OG0000959	Syat.g_02212	Prag.g_01864
OG0000960	Syat.g_02213	Prag.g_01865
OG0000961	Syat.g_02873	Prag.g_01867
OG0000962	Syat.g_02223	Prag.g_01869
OG0000963	Syat.g_02226	Prag.g_01873
OG0000964	Syat.g_02227	Prag.g_01874
OG0000965	Syat.g_02228	Prag.g_01875
OG0000966	Syat.g_02259	Prag.g_01882
OG0000967	Syat.g_02263	Prag.g_01886
OG0000968	Syat.g_02269	Prag.g_01888
OG0000969	Syat.g_02271	Prag.g_01889
OG0000970	Syat.g_02272	Prag.g_01890
OG0000971	Syat.g_02274	Prag.g_01891
OG0000972	Syat.g_02275	Prag.g_01892
OG0000973	Syat.g_02276	Prag.g_01893
OG0000974	Syat.g_02277	Prag.g_01894
OG0000975	Syat.g_02278	Prag.g_01895
OG0000976	Syat.g_02279	Prag.g_01896
OG0000977	Syat.g_02281	Prag.g_01897
OG0000978	Syat.g_02283	Prag.g_01898
OG0000979	Syat.g_02286	Prag.g_01901
OG0000980	Syat.g_02289	Prag.g_01903
OG0000981	Syat.g_02292	Prag.g_01905
OG0000982	Syat.g_02691	Prag.g_01907
OG0000983	Syat.g_02690	Prag.g_01908
OG0000984	Syat.g_02689	Prag.g_01909
OG0000985	Syat.g_02685	Prag.g_01912
OG0000986	Syat.g_02680	Prag.g_01914
OG0000987	Syat.g_02678	Prag.g_01915
OG0000988	Syat.g_02672	Prag.g_01918
OG0000989	Syat.g_02657	Prag.g_01922
OG0000990	Syat.g_02500	Prag.g_01925
OG0000991	Syat.g_02503	Prag.g_01926
OG0000992	Syat.g_02507	Prag.g_01928
OG0000993	Syat.g_02508	Prag.g_01929
OG0000994	Syat.g_02512	Prag.g_01930
OG0000995	Syat.g_02517	Prag.g_01934
OG0000996	Syat.g_02446	Prag.g_01935
OG0000997	Syat.g_02417	Prag.g_01936
OG0000998	Syat.g_02415	Prag.g_01938
OG0000999	Syat.g_02414	Prag.g_01939
OG0001001	Syat.g_02400	Prag.g_01944
OG0001002	Syat.g_02394	Prag.g_01948
OG0001003	Syat.g_02392	Prag.g_01949
OG0001004	Syat.g_02391	Prag.g_01950
OG0001005	Syat.g_02390	Prag.g_01951
OG0001006	Syat.g_02378	Prag.g_01955
OG0001007	Syat.g_02376	Prag.g_01957
OG0001008	Syat.g_02971	Prag.g_00416
OG0001009	Syat.g_02311	Prag.g_00027
OG0001010	Syat.g_02310	Prag.g_00028
OG0001011	Syat.g_02308	Prag.g_00029
OG0001012	Syat.g_01004	Prag.g_00043
OG0001013	Syat.g_02716	Prag.g_00048
OG0001014	Syat.g_02721	Prag.g_00051
OG0001015	Syat.g_02722	Prag.g_00052
OG0001016	Syat.g_01474	Prag.g_00067
OG0001017	Syat.g_01480	Prag.g_00071
OG0001018	Syat.g_01482	Prag.g_00074
OG0001019	Syat.g_01532	Prag.g_00083
OG0001020	Syat.g_01539	Prag.g_00084
OG0001021	Syat.g_01552	Prag.g_00085
OG0001022	Syat.g_01555	Prag.g_00087
OG0001023	Syat.g_01556	Prag.g_00088
OG0001024	Syat.g_01560	Prag.g_00091
OG0001025	Syat.g_01566	Prag.g_00097
OG0001026	Syat.g_01582	Prag.g_00104
OG0001027	Syat.g_02947	Prag.g_00105
OG0001028	Syat.g_02944	Prag.g_00107
OG0001029	Syat.g_02942	Prag.g_00108
OG0001030	Syat.g_02922	Prag.g_00123
OG0001031	Syat.g_02836	Prag.g_00179
OG0001032	Syat.g_02834	Prag.g_00180
OG0001033	Syat.g_02784	Prag.g_00201
OG0001034	Syat.g_01448	Prag.g_00229
OG0001035	Syat.g_01885	Prag.g_00246
OG0001036	Syat.g_01939	Prag.g_00250
OG0001037	Syat.g_01941	Prag.g_00251
OG0001038	Syat.g_02058	Prag.g_00269
OG0001039	Syat.g_02061	Prag.g_00272
OG0001040	Syat.g_02064	Prag.g_00274
OG0001041	Syat.g_02070	Prag.g_00278
OG0001042	Syat.g_02100	Prag.g_00295
OG0001043	Syat.g_02103	Prag.g_00296
OG0001044	Syat.g_01615	Prag.g_00328
OG0001045	Syat.g_01602	Prag.g_00337
OG0001046	Syat.g_00552	Prag.g_00372
OG0001047	Syat.g_02973	Prag.g_00418
OG0001048	Syat.g_02974	Prag.g_00419
OG0001049	Syat.g_01290	Prag.g_00421
OG0001050	Syat.g_01289	Prag.g_00422
OG0001051	Syat.g_01288	Prag.g_00423
OG0001052	Syat.g_01375	Prag.g_00450
OG0001053	Syat.g_03173	Prag.g_00462
OG0001054	Syat.g_03192	Prag.g_00477
OG0001055	Syat.g_03224	Prag.g_00496
OG0001056	Syat.g_03275	Prag.g_00515
OG0001057	Syat.g_00102	Prag.g_00520
OG0001058	Syat.g_00079	Prag.g_00528
OG0001059	Syat.g_00075	Prag.g_00532
OG0001061	Syat.g_00051	Prag.g_00552
OG0001062	Syat.g_00048	Prag.g_00554
OG0001063	Syat.g_00042	Prag.g_00556
OG0001064	Syat.g_00041	Prag.g_00557
OG0001065	Syat.g_00040	Prag.g_00558
OG0001066	Syat.g_00039	Prag.g_00559
OG0001067	Syat.g_00038	Prag.g_00560
OG0001068	Syat.g_00037	Prag.g_00561
OG0001069	Syat.g_00036	Prag.g_00562
OG0001070	Syat.g_00032	Prag.g_00565
OG0001071	Syat.g_00031	Prag.g_00566
OG0001072	Syat.g_00028	Prag.g_00568
OG0001073	Syat.g_00009	Prag.g_00582
OG0001074	Syat.g_01015	Prag.g_00593
OG0001075	Syat.g_01037	Prag.g_00594
OG0001076	Syat.g_03315	Prag.g_00602
OG0001077	Syat.g_03290	Prag.g_00606
OG0001078	Syat.g_00118	Prag.g_00614
OG0001079	Syat.g_00378	Prag.g_00625
OG0001080	Syat.g_00368	Prag.g_00631
OG0001081	Syat.g_00366	Prag.g_00633
OG0001082	Syat.g_00365	Prag.g_00634
OG0001083	Syat.g_00390	Prag.g_00639
OG0001084	Syat.g_00391	Prag.g_00640
OG0001085	Syat.g_00408	Prag.g_00648
OG0001086	Syat.g_00410	Prag.g_00649
OG0001087	Syat.g_03277	Prag.g_00666
OG0001088	Syat.g_02496	Prag.g_00667
OG0001089	Syat.g_00818	Prag.g_00675
OG0001090	Syat.g_00659	Prag.g_00693
OG0001091	Syat.g_00661	Prag.g_00695
OG0001092	Syat.g_00663	Prag.g_00696
OG0001093	Syat.g_00669	Prag.g_00701
OG0001094	Syat.g_00473	Prag.g_00800
OG0001095	Syat.g_00497	Prag.g_00819
OG0001096	Syat.g_00516	Prag.g_00832
OG0001097	Syat.g_00743	Prag.g_00849
OG0001098	Syat.g_01672	Prag.g_00864
OG0001099	Syat.g_02943	Prag.g_00895
OG0001100	Syat.g_00418	Prag.g_00899
OG0001101	Syat.g_00420	Prag.g_00901
OG0001102	Syat.g_00423	Prag.g_00903
OG0001103	Syat.g_00425	Prag.g_00905
OG0001104	Syat.g_00458	Prag.g_00927
OG0001105	Syat.g_00461	Prag.g_00931
OG0001106	Syat.g_00598	Prag.g_00955
OG0001107	Syat.g_00580	Prag.g_00962
OG0001108	Syat.g_00570	Prag.g_00966
OG0001109	Syat.g_00568	Prag.g_00967
OG0001110	Syat.g_00566	Prag.g_00969
OG0001111	Syat.g_00564	Prag.g_00970
OG0001112	Syat.g_00562	Prag.g_00971
OG0001113	Syat.g_00561	Prag.g_00972
OG0001114	Syat.g_00560	Prag.g_00973
OG0001115	Syat.g_00557	Prag.g_00975
OG0001116	Syat.g_00555	Prag.g_00976
OG0001117	Syat.g_00554	Prag.g_00977
OG0001118	Syat.g_00553	Prag.g_00978
OG0001119	Syat.g_00551	Prag.g_00979
OG0001120	Syat.g_00546	Prag.g_00981
OG0001122	Syat.g_00711	Prag.g_01008
OG0001123	Syat.g_00704	Prag.g_01012
OG0001124	Syat.g_00702	Prag.g_01014
OG0001125	Syat.g_00700	Prag.g_01015
OG0001126	Syat.g_00790	Prag.g_01025
OG0001127	Syat.g_00789	Prag.g_01026
OG0001128	Syat.g_00786	Prag.g_01028
OG0001129	Syat.g_00784	Prag.g_01029
OG0001130	Syat.g_00783	Prag.g_01030
OG0001131	Syat.g_01674	Prag.g_01066
OG0001132	Syat.g_00965	Prag.g_01076
OG0001133	Syat.g_03311	Prag.g_01106
OG0001136	Syat.g_03257	Prag.g_01150
OG0001137	Syat.g_00306	Prag.g_01161
OG0001138	Syat.g_00214	Prag.g_01179
OG0001139	Syat.g_00209	Prag.g_01180
OG0001140	Syat.g_00208	Prag.g_01181
OG0001141	Syat.g_00207	Prag.g_01182
OG0001142	Syat.g_00206	Prag.g_01183
OG0001143	Syat.g_00925	Prag.g_01190
OG0001144	Syat.g_00906	Prag.g_01195
OG0001145	Syat.g_01117	Prag.g_01345
OG0001146	Syat.g_01158	Prag.g_01359
OG0001147	Syat.g_01368	Prag.g_01375
OG0001148	Syat.g_01297	Prag.g_01391
OG0001149	Syat.g_01298	Prag.g_01392
OG0001150	Syat.g_01299	Prag.g_01393
OG0001151	Syat.g_01420	Prag.g_01404
OG0001152	Syat.g_01421	Prag.g_01405
OG0001153	Syat.g_01346	Prag.g_01521
OG0001154	Syat.g_01347	Prag.g_01523
OG0001155	Syat.g_02774	Prag.g_01535
OG0001156	Syat.g_02978	Prag.g_01538
OG0001157	Syat.g_02977	Prag.g_01539
OG0001158	Syat.g_02976	Prag.g_01540
OG0001159	Syat.g_02975	Prag.g_01541
OG0001160	Syat.g_03104	Prag.g_01565
OG0001161	Syat.g_02384	Prag.g_01576
OG0001162	Syat.g_01528	Prag.g_01587
OG0001163	Syat.g_03112	Prag.g_01661
OG0001164	Syat.g_03116	Prag.g_01665
OG0001165	Syat.g_03121	Prag.g_01668
OG0001166	Syat.g_03050	Prag.g_01688
OG0001167	Syat.g_03019	Prag.g_01705
OG0001168	Syat.g_03017	Prag.g_01707
OG0001169	Syat.g_03015	Prag.g_01709
OG0001170	Syat.g_03013	Prag.g_01711
OG0001171	Syat.g_03001	Prag.g_01721
OG0001172	Syat.g_01858	Prag.g_01735
OG0001173	Syat.g_01857	Prag.g_01736
OG0001174	Syat.g_01849	Prag.g_01744
OG0001175	Syat.g_01848	Prag.g_01745
OG0001176	Syat.g_01831	Prag.g_01752
OG0001178	Syat.g_03137	Prag.g_01759
OG0001180	Syat.g_01654	Prag.g_01810
OG0001181	Syat.g_01650	Prag.g_01814
OG0001182	Syat.g_01642	Prag.g_01821
OG0001183	Syat.g_01632	Prag.g_01825
OG0001184	Syat.g_02160	Prag.g_01841
OG0001185	Syat.g_02200	Prag.g_01855
OG0001186	Syat.g_02235	Prag.g_01879
OG0001187	Syat.g_02256	Prag.g_01883
OG0001188	Syat.g_02261	Prag.g_01885
OG0001189	Syat.g_02287	Prag.g_01902
OG0001190	Syat.g_02692	Prag.g_01906
OG0001191	Syat.g_02675	Prag.g_01916
OG0001192	Syat.g_02663	Prag.g_01921
OG0001193	Syat.g_02513	Prag.g_01931
OG0001194	Syat.g_02515	Prag.g_01932
OG0001195	Syat.g_02516	Prag.g_01933
