Orthogroup	Syat	Syam
OG0000128	Syat.g_02331	Syam.g_00012
OG0000129	Syat.g_02693, Syat.g_02694	Syam.g_02307
OG0000130	Syat.g_01469	Syam.g_02062
OG0000131	Syat.g_02898	Syam.g_02191
OG0000132	Syat.g_02864	Syam.g_02211
OG0000133	Syat.g_00588	Syam.g_01120
OG0000134	Syat.g_02956	Syam.g_00492
OG0000135	Syat.g_02501	Syam.g_02347
OG0000136	Syat.g_01292	Syam.g_01857
OG0000137	Syat.g_01371	Syam.g_01668
OG0000138	Syat.g_03188	Syam.g_00599
OG0000140	Syat.g_03280	Syam.g_00659
OG0000141	Syat.g_03398	Syam.g_01514
OG0000142	Syat.g_00117	Syam.g_01468
OG0000143	Syat.g_00130	Syam.g_01464
OG0000144	Syat.g_00369	Syam.g_01032
OG0000145	Syat.g_03202	Syam.g_00605
OG0000146	Syat.g_00594	Syam.g_01114
OG0000147	Syat.g_00595	Syam.g_01113
OG0000148	Syat.g_00503	Syam.g_01270
OG0000149	Syat.g_00747	Syam.g_00725
OG0000150	Syat.g_03399	Syam.g_00660
OG0000151	Syat.g_00801, Syat.g_00440	Syam.g_01338
OG0000152	Syat.g_00578	Syam.g_01124
OG0000153	Syat.g_00542	Syam.g_01160
OG0000154	Syat.g_00708	Syam.g_01187
OG0000155	Syat.g_00287	Syam.g_01763
OG0000156	Syat.g_03228	Syam.g_01814
OG0000157	Syat.g_02012, Syat.g_03227	Syam.g_01815
OG0000158	Syat.g_02163	Syam.g_00139
OG0000160	Syat.g_01224	Syam.g_01614
OG0000161	Syat.g_01180	Syam.g_01620
OG0000162	Syat.g_01281	Syam.g_01627
OG0000163	Syat.g_02979	Syam.g_01927
OG0000165	Syat.g_03033	Syam.g_01879, Syam.g_01878
OG0000166	Syat.g_01822	Syam.g_00330
OG0000167	Syat.g_02148	Syam.g_00151
OG0000168	Syat.g_02164	Syam.g_00138
OG0000169	Syat.g_02192	Syam.g_00127
OG0000170	Syat.g_02201	Syam.g_00120
OG0000171	Syat.g_02230	Syam.g_00097
OG0000172	Syat.g_02260	Syam.g_00075
OG0000173	Syat.g_02284	Syam.g_00057
OG0000174	Syat.g_02504	Syam.g_02349
OG0000175	Syat.g_02416	Syam.g_02417
OG0000176	Syat.g_02372	Syam.g_00004
OG0000177	Syat.g_02338	Syam.g_00005
OG0000178	Syat.g_02337	Syam.g_00006
OG0000179	Syat.g_02322	Syam.g_00021
OG0000180	Syat.g_02321	Syam.g_00022
OG0000181	Syat.g_02320	Syam.g_00023
OG0000182	Syat.g_02319	Syam.g_00024
OG0000183	Syat.g_02315	Syam.g_00028
OG0000184	Syat.g_02704	Syam.g_02298
OG0000185	Syat.g_02719	Syam.g_02295
OG0000186	Syat.g_01463	Syam.g_02058
OG0000187	Syat.g_01467	Syam.g_02059
OG0000188	Syat.g_01489	Syam.g_02081
OG0000189	Syat.g_01557	Syam.g_02108
OG0000190	Syat.g_00330	Syam.g_02110
OG0000191	Syat.g_03344, Syat.g_02939	Syam.g_02142
OG0000192	Syat.g_02933	Syam.g_02148
OG0000193	Syat.g_02897	Syam.g_02192
OG0000194	Syat.g_02894	Syam.g_02195
OG0000196	Syat.g_02867	Syam.g_02208
OG0000197	Syat.g_02866	Syam.g_02209
