Orthogroup	Prai	Prab
OG0000042	Prai.g_01892	Prab.g_01910
OG0000043	Prai.g_01097	Prab.g_01134
OG0000043	Prai.g_01059	Prab.g_01082
OG0000045	Prai.g_00613	Prab.g_00589
OG0000046	Prai.g_00885	Prab.g_00782
OG0000047	Prai.g_01171	Prab.g_01219
OG0000048	Prai.g_00154	Prab.g_01423
OG0000049	Prai.g_01859	Prab.g_01393
OG0000050	Prai.g_00177	Prab.g_00157
OG0000051	Prai.g_00373	Prab.g_00348
OG0000052	Prai.g_00448	Prab.g_00425
OG0000053	Prai.g_00748	Prab.g_00723
OG0000054	Prai.g_01631	Prab.g_01662
OG0000055	Prai.g_01838	Prab.g_01857
OG0000056	Prai.g_00031	Prab.g_00031
OG0000057	Prai.g_00168	Prab.g_00148
OG0000058	Prai.g_00383	Prab.g_00359
OG0000059	Prai.g_00567	Prab.g_00543
OG0000060	Prai.g_00761	Prab.g_00736
OG0000061	Prai.g_00909	Prab.g_00775, Prab.g_00803
OG0000062	Prai.g_00825	Prab.g_00862
OG0000063	Prai.g_01132	Prab.g_01171
OG0000065	Prai.g_00248	Prab.g_00228
OG0000066	Prai.g_00505	Prab.g_00479
OG0000067	Prai.g_00727	Prab.g_00703
OG0000068	Prai.g_00431	Prab.g_01297
OG0000069	Prai.g_01141	Prab.g_01184
OG0000069	Prai.g_00969	Prab.g_00990
OG0000070	Prai.g_00918	Prab.g_01299, Prab.g_00929
OG0000071	Prai.g_01273	Prab.g_00717
OG0000072	Prai.g_01335	Prab.g_01637, Prab.g_01326
OG0000074	Prai.g_01443	Prab.g_01447
OG0000075	Prai.g_01782	Prab.g_01802
OG0000077	Prai.g_00011	Prab.g_00011
OG0000078	Prai.g_00335	Prab.g_00310
OG0000079	Prai.g_00393	Prab.g_00371
OG0000080	Prai.g_00698	Prab.g_00674
OG0000081	Prai.g_00720	Prab.g_00696
OG0000082	Prai.g_00841, Prai.g_00840	Prab.g_00847
OG0000083	Prai.g_01064	Prab.g_01100
OG0000084	Prai.g_00989	Prab.g_01010
OG0000085	Prai.g_01107	Prab.g_01144
OG0000086	Prai.g_01143	Prab.g_01186
OG0000088	Prai.g_01233	Prab.g_01635, Prab.g_00394, Prab.g_01645
OG0000089	Prai.g_01594	Prab.g_00720
OG0000090	Prai.g_01393	Prab.g_01394
OG0000091	Prai.g_01471	Prab.g_01474, Prab.g_01413
OG0000092	Prai.g_01270	Prab.g_00922, Prab.g_01290
OG0000093	Prai.g_01725	Prab.g_01754
OG0000094	Prai.g_01779	Prab.g_01799
OG0000095	Prai.g_01812	Prab.g_01832
OG0000096	Prai.g_01884	Prab.g_01902
OG0000097	Prai.g_01901	Prab.g_01920
OG0000098	Prai.g_00003	Prab.g_00003
OG0000099	Prai.g_00023	Prab.g_00023
OG0000100	Prai.g_00046	Prab.g_00038
OG0000101	Prai.g_00056	Prab.g_00048
OG0000102	Prai.g_00113	Prab.g_00104
OG0000103	Prai.g_00121	Prab.g_00112
OG0000104	Prai.g_00139	Prab.g_00129
OG0000105	Prai.g_00181	Prab.g_00161
OG0000106	Prai.g_00195	Prab.g_00175
OG0000107	Prai.g_00203	Prab.g_00183
OG0000108	Prai.g_00213	Prab.g_00193
OG0000109	Prai.g_00250	Prab.g_00229
OG0000110	Prai.g_00264	Prab.g_00241
OG0000111	Prai.g_00286	Prab.g_00262
OG0000112	Prai.g_00297	Prab.g_00272
OG0000113	Prai.g_00310	Prab.g_00285
OG0000114	Prai.g_00338	Prab.g_00313
OG0000115	Prai.g_00504	Prab.g_00478
OG0000116	Prai.g_00506	Prab.g_00480
OG0000117	Prai.g_00510	Prab.g_00484
OG0000118	Prai.g_00529	Prab.g_00503
OG0000119	Prai.g_00560	Prab.g_00536
OG0000120	Prai.g_00561	Prab.g_00537
OG0000121	Prai.g_00571	Prab.g_00547
OG0000122	Prai.g_00580	Prab.g_00556
OG0000123	Prai.g_00612	Prab.g_00588
OG0000124	Prai.g_00680	Prab.g_00656
OG0000125	Prai.g_00681	Prab.g_00657
OG0000126	Prai.g_00682	Prab.g_00658
OG0000127	Prai.g_00715	Prab.g_00691
OG0000128	Prai.g_00750	Prab.g_00725
OG0000129	Prai.g_00770	Prab.g_00745
OG0000130	Prai.g_00862	Prab.g_00825
OG0000131	Prai.g_00850	Prab.g_00838
OG0000132	Prai.g_00813	Prab.g_00873
OG0000133	Prai.g_01030	Prab.g_01052
OG0000134	Prai.g_01021	Prab.g_01042
OG0000135	Prai.g_00985	Prab.g_01006
OG0000136	Prai.g_00921	Prab.g_00932
OG0000137	Prai.g_01146	Prab.g_01189
OG0000138	Prai.g_01167	Prab.g_01214
OG0000139	Prai.g_01177	Prab.g_01225
OG0000140	Prai.g_01230	Prab.g_01276
OG0000141	Prai.g_01238	Prab.g_01284
OG0000142	Prai.g_01347	Prab.g_01338
OG0000143	Prai.g_01370	Prab.g_01360
OG0000144	Prai.g_01450	Prab.g_01453
OG0000145	Prai.g_01464	Prab.g_01467
OG0000146	Prai.g_01499	Prab.g_01503
OG0000147	Prai.g_01539, Prai.g_00415	Prab.g_01543
OG0000148	Prai.g_01540	Prab.g_01544
OG0000149	Prai.g_01636	Prab.g_01667
OG0000150	Prai.g_01674	Prab.g_01705
OG0000151	Prai.g_01677	Prab.g_01708
OG0000152	Prai.g_01696	Prab.g_01727
OG0000153	Prai.g_01735	Prab.g_01761
OG0000154	Prai.g_01777	Prab.g_01797
OG0000155	Prai.g_01795	Prab.g_01815
OG0000156	Prai.g_01823	Prab.g_01842
OG0000157	Prai.g_01855	Prab.g_01874
OG0000158	Prai.g_01918	Prab.g_01937
OG0000160	Prai.g_00001	Prab.g_00001
OG0000161	Prai.g_00002	Prab.g_00002
OG0000162	Prai.g_00004	Prab.g_00004
OG0000163	Prai.g_00005	Prab.g_00005
OG0000164	Prai.g_00006	Prab.g_00006
OG0000165	Prai.g_00007	Prab.g_00007
OG0000166	Prai.g_00008	Prab.g_00008
OG0000167	Prai.g_00009	Prab.g_00009
OG0000168	Prai.g_00010	Prab.g_00010
OG0000169	Prai.g_00012	Prab.g_00012
OG0000170	Prai.g_00014	Prab.g_00014
OG0000171	Prai.g_00015	Prab.g_00015
OG0000172	Prai.g_00016	Prab.g_00016
OG0000173	Prai.g_00017	Prab.g_00017
OG0000174	Prai.g_00018	Prab.g_00018
OG0000175	Prai.g_00019	Prab.g_00019
OG0000176	Prai.g_00020	Prab.g_00020
OG0000177	Prai.g_00021	Prab.g_00021
OG0000178	Prai.g_00022	Prab.g_00022
OG0000179	Prai.g_00024	Prab.g_00024
OG0000180	Prai.g_00025	Prab.g_00025
OG0000181	Prai.g_00026	Prab.g_00026
OG0000182	Prai.g_00027	Prab.g_00027
OG0000183	Prai.g_00028	Prab.g_00028
OG0000184	Prai.g_00029	Prab.g_00029
OG0000185	Prai.g_00032	Prab.g_00032
OG0000186	Prai.g_00035	Prab.g_00035
OG0000187	Prai.g_00036	Prab.g_00036
OG0000188	Prai.g_00037	Prab.g_00037
OG0000189	Prai.g_00047	Prab.g_00039
OG0000190	Prai.g_00049	Prab.g_00041
OG0000191	Prai.g_00050	Prab.g_00042
OG0000192	Prai.g_00051	Prab.g_00043
OG0000193	Prai.g_00052	Prab.g_00044
OG0000194	Prai.g_00053	Prab.g_00045
OG0000195	Prai.g_00054	Prab.g_00046
OG0000196	Prai.g_00055	Prab.g_00047
OG0000197	Prai.g_00057	Prab.g_00049
OG0000198	Prai.g_00058	Prab.g_00050
OG0000199	Prai.g_00059	Prab.g_00051
OG0000200	Prai.g_00064	Prab.g_00056
OG0000201	Prai.g_00065	Prab.g_00057
OG0000202	Prai.g_00066	Prab.g_00058
OG0000203	Prai.g_00069	Prab.g_00061
OG0000204	Prai.g_00070	Prab.g_00062
OG0000205	Prai.g_00073	Prab.g_00065
OG0000206	Prai.g_00075	Prab.g_00067
OG0000207	Prai.g_00077	Prab.g_00069
OG0000208	Prai.g_00078	Prab.g_00070
OG0000209	Prai.g_00079	Prab.g_00071
OG0000210	Prai.g_00080	Prab.g_00072
OG0000211	Prai.g_00081	Prab.g_00073
OG0000212	Prai.g_00082	Prab.g_00074
OG0000213	Prai.g_00083	Prab.g_00075
OG0000214	Prai.g_00084	Prab.g_00076
OG0000215	Prai.g_00085	Prab.g_00077
OG0000216	Prai.g_00086	Prab.g_00078
OG0000217	Prai.g_00088	Prab.g_00080
OG0000218	Prai.g_00089	Prab.g_00081
OG0000219	Prai.g_00090	Prab.g_00082
OG0000220	Prai.g_00091	Prab.g_00083
OG0000221	Prai.g_00094	Prab.g_00085
OG0000222	Prai.g_00095	Prab.g_00086
OG0000223	Prai.g_00096	Prab.g_00087
OG0000224	Prai.g_00097	Prab.g_00088
OG0000225	Prai.g_00098	Prab.g_00089
OG0000226	Prai.g_00099	Prab.g_00090
OG0000227	Prai.g_00100	Prab.g_00091
OG0000228	Prai.g_00101	Prab.g_00092
OG0000229	Prai.g_00102	Prab.g_00093
OG0000230	Prai.g_00103	Prab.g_00094
OG0000231	Prai.g_00104	Prab.g_00095
OG0000232	Prai.g_00106	Prab.g_00097
OG0000233	Prai.g_00107	Prab.g_00098
OG0000234	Prai.g_00108	Prab.g_00099
OG0000235	Prai.g_00109	Prab.g_00100
OG0000236	Prai.g_00110	Prab.g_00101
OG0000237	Prai.g_00111	Prab.g_00102
OG0000238	Prai.g_00112	Prab.g_00103
OG0000239	Prai.g_00114	Prab.g_00105
OG0000240	Prai.g_00115	Prab.g_00106
OG0000241	Prai.g_00116	Prab.g_00107
OG0000242	Prai.g_00117	Prab.g_00108
OG0000243	Prai.g_00120	Prab.g_00111
OG0000244	Prai.g_00122	Prab.g_00113
OG0000245	Prai.g_00123	Prab.g_00114
OG0000246	Prai.g_00124	Prab.g_00115
OG0000247	Prai.g_00127	Prab.g_00117
OG0000248	Prai.g_00129	Prab.g_00119
OG0000249	Prai.g_00130	Prab.g_00120
OG0000250	Prai.g_00131	Prab.g_00121
OG0000251	Prai.g_00132	Prab.g_00122
OG0000252	Prai.g_00133	Prab.g_00123
OG0000253	Prai.g_00134	Prab.g_00124
OG0000254	Prai.g_00136	Prab.g_00126
OG0000255	Prai.g_00137	Prab.g_00127
OG0000256	Prai.g_00140	Prab.g_00130
OG0000257	Prai.g_00142	Prab.g_00132
OG0000258	Prai.g_00156	Prab.g_00136
OG0000259	Prai.g_00157	Prab.g_00137
OG0000260	Prai.g_00158	Prab.g_00138
OG0000261	Prai.g_00159	Prab.g_00139
OG0000262	Prai.g_00160	Prab.g_00140
OG0000263	Prai.g_00162	Prab.g_00142
OG0000264	Prai.g_00163	Prab.g_00143
OG0000265	Prai.g_00164	Prab.g_00144
OG0000266	Prai.g_00165	Prab.g_00145
OG0000267	Prai.g_00166	Prab.g_00146
OG0000268	Prai.g_00167	Prab.g_00147
OG0000269	Prai.g_00169	Prab.g_00149
OG0000270	Prai.g_00170	Prab.g_00150
OG0000271	Prai.g_00171	Prab.g_00151
OG0000272	Prai.g_00172	Prab.g_00152
OG0000273	Prai.g_00173	Prab.g_00153
OG0000274	Prai.g_00174	Prab.g_00154
OG0000275	Prai.g_00175	Prab.g_00155
OG0000276	Prai.g_00176	Prab.g_00156
OG0000277	Prai.g_00178	Prab.g_00158
OG0000278	Prai.g_00179	Prab.g_00159
OG0000279	Prai.g_00180	Prab.g_00160
OG0000280	Prai.g_00182	Prab.g_00162
OG0000281	Prai.g_00184	Prab.g_00164
OG0000282	Prai.g_00185	Prab.g_00165
OG0000283	Prai.g_00186	Prab.g_00166
OG0000284	Prai.g_00187	Prab.g_00167
OG0000285	Prai.g_00188	Prab.g_00168
OG0000286	Prai.g_00189	Prab.g_00169
OG0000287	Prai.g_00190	Prab.g_00170
OG0000288	Prai.g_00192	Prab.g_00172
OG0000289	Prai.g_00193	Prab.g_00173
OG0000290	Prai.g_00194	Prab.g_00174
OG0000291	Prai.g_00196	Prab.g_00176
OG0000292	Prai.g_00197	Prab.g_00177
OG0000293	Prai.g_00198	Prab.g_00178
OG0000294	Prai.g_00199	Prab.g_00179
OG0000295	Prai.g_00200	Prab.g_00180
OG0000296	Prai.g_00201	Prab.g_00181
OG0000297	Prai.g_00202	Prab.g_00182
OG0000298	Prai.g_00204	Prab.g_00184
OG0000299	Prai.g_00205	Prab.g_00185
OG0000300	Prai.g_00206	Prab.g_00186
OG0000301	Prai.g_00207	Prab.g_00187
OG0000302	Prai.g_00208	Prab.g_00188
OG0000303	Prai.g_00209	Prab.g_00189
OG0000304	Prai.g_00211	Prab.g_00191
OG0000305	Prai.g_00212	Prab.g_00192
OG0000306	Prai.g_00215	Prab.g_00195
OG0000307	Prai.g_00216	Prab.g_00196
OG0000308	Prai.g_00217	Prab.g_00197
OG0000309	Prai.g_00218	Prab.g_00198
OG0000310	Prai.g_00219	Prab.g_00199
OG0000311	Prai.g_00220	Prab.g_00200
OG0000312	Prai.g_00221	Prab.g_00201
OG0000313	Prai.g_00222	Prab.g_00202
OG0000314	Prai.g_00223	Prab.g_00203
OG0000315	Prai.g_00224	Prab.g_00204
OG0000316	Prai.g_00225	Prab.g_00205
OG0000317	Prai.g_00226	Prab.g_00206
OG0000318	Prai.g_00227	Prab.g_00207
OG0000319	Prai.g_00228	Prab.g_00208
OG0000320	Prai.g_00229	Prab.g_00209
OG0000321	Prai.g_00230	Prab.g_00210
OG0000322	Prai.g_00231	Prab.g_00211
OG0000323	Prai.g_00232	Prab.g_00212
OG0000324	Prai.g_00233	Prab.g_00213
OG0000325	Prai.g_00234	Prab.g_00214
OG0000326	Prai.g_00235	Prab.g_00215
OG0000327	Prai.g_00236	Prab.g_00216
OG0000328	Prai.g_00237	Prab.g_00217
OG0000329	Prai.g_00238	Prab.g_00218
OG0000330	Prai.g_00239	Prab.g_00219
OG0000331	Prai.g_00240	Prab.g_00220
OG0000332	Prai.g_00241	Prab.g_00221
OG0000333	Prai.g_00242	Prab.g_00222
OG0000334	Prai.g_00243	Prab.g_00223
OG0000335	Prai.g_00244	Prab.g_00224
OG0000336	Prai.g_00246	Prab.g_00226
OG0000337	Prai.g_00247	Prab.g_00227
OG0000338	Prai.g_00251	Prab.g_00230
OG0000339	Prai.g_00255	Prab.g_00232
OG0000340	Prai.g_00257	Prab.g_00234
OG0000341	Prai.g_00258	Prab.g_00235
OG0000342	Prai.g_00259	Prab.g_00236
OG0000343	Prai.g_00260	Prab.g_00237
OG0000344	Prai.g_00263	Prab.g_00240
OG0000345	Prai.g_00266	Prab.g_00243
OG0000346	Prai.g_00267	Prab.g_00244
OG0000347	Prai.g_00270	Prab.g_00247
OG0000348	Prai.g_00272	Prab.g_00248
OG0000349	Prai.g_00273	Prab.g_00249
OG0000350	Prai.g_00275	Prab.g_00251
OG0000351	Prai.g_00276	Prab.g_00252
OG0000352	Prai.g_00277	Prab.g_00253
OG0000353	Prai.g_00278	Prab.g_00254
OG0000354	Prai.g_00279	Prab.g_00255
OG0000355	Prai.g_00280	Prab.g_00256
OG0000356	Prai.g_00281	Prab.g_00257
OG0000357	Prai.g_00282	Prab.g_00258
OG0000358	Prai.g_00283	Prab.g_00259
OG0000359	Prai.g_00284	Prab.g_00260
OG0000360	Prai.g_00288	Prab.g_00263
OG0000361	Prai.g_00289	Prab.g_00264
OG0000362	Prai.g_00290	Prab.g_00265
OG0000363	Prai.g_00291	Prab.g_00266
OG0000364	Prai.g_00295	Prab.g_00270
OG0000365	Prai.g_00296	Prab.g_00271
OG0000366	Prai.g_00298	Prab.g_00273
OG0000367	Prai.g_00299	Prab.g_00274
OG0000368	Prai.g_00300	Prab.g_00275
OG0000369	Prai.g_00301	Prab.g_00276
OG0000370	Prai.g_00302	Prab.g_00277
OG0000371	Prai.g_00303	Prab.g_00278
OG0000372	Prai.g_00304	Prab.g_00279
OG0000373	Prai.g_00305	Prab.g_00280
OG0000374	Prai.g_00307	Prab.g_00282
OG0000375	Prai.g_00308	Prab.g_00283
OG0000376	Prai.g_00311	Prab.g_00286
OG0000377	Prai.g_00312	Prab.g_00287
OG0000378	Prai.g_00313	Prab.g_00288
OG0000379	Prai.g_00314	Prab.g_00289
OG0000380	Prai.g_00315	Prab.g_00290
OG0000381	Prai.g_00316	Prab.g_00291
OG0000382	Prai.g_00317	Prab.g_00292
OG0000383	Prai.g_00318	Prab.g_00293
OG0000384	Prai.g_00321	Prab.g_00296
OG0000385	Prai.g_00322	Prab.g_00297
OG0000386	Prai.g_00323	Prab.g_00298
OG0000387	Prai.g_00324	Prab.g_00299
OG0000388	Prai.g_00325	Prab.g_00300
OG0000389	Prai.g_00326	Prab.g_00301
OG0000390	Prai.g_00327	Prab.g_00302
OG0000391	Prai.g_00328	Prab.g_00303
OG0000392	Prai.g_00329	Prab.g_00304
OG0000393	Prai.g_00330	Prab.g_00305
OG0000394	Prai.g_00331	Prab.g_00306
OG0000395	Prai.g_00332	Prab.g_00307
OG0000396	Prai.g_00334	Prab.g_00309
OG0000397	Prai.g_00336	Prab.g_00311
OG0000398	Prai.g_00337	Prab.g_00312
OG0000399	Prai.g_00340	Prab.g_00315
OG0000400	Prai.g_00341	Prab.g_00316
OG0000401	Prai.g_00342	Prab.g_00317
OG0000402	Prai.g_00347	Prab.g_00322
OG0000403	Prai.g_00348	Prab.g_00323
OG0000404	Prai.g_00349	Prab.g_00324
OG0000405	Prai.g_00351	Prab.g_00325
OG0000406	Prai.g_00354	Prab.g_00328
OG0000407	Prai.g_00355	Prab.g_00329
OG0000408	Prai.g_00357	Prab.g_00332
OG0000409	Prai.g_00358	Prab.g_00333
OG0000410	Prai.g_00359	Prab.g_00334
OG0000411	Prai.g_00360	Prab.g_00335
OG0000412	Prai.g_00361	Prab.g_00336
OG0000413	Prai.g_00362	Prab.g_00337
OG0000414	Prai.g_00363	Prab.g_00338
OG0000415	Prai.g_00364	Prab.g_00339
OG0000416	Prai.g_00367	Prab.g_00342
OG0000417	Prai.g_00368	Prab.g_00343
OG0000418	Prai.g_00369	Prab.g_00344
OG0000419	Prai.g_00370	Prab.g_00345
OG0000420	Prai.g_00372	Prab.g_00347
OG0000421	Prai.g_00384	Prab.g_00360
OG0000422	Prai.g_00390	Prab.g_00367
OG0000423	Prai.g_00392	Prab.g_00368
OG0000424	Prai.g_00397	Prab.g_00375
OG0000425	Prai.g_00462	Prab.g_00434
OG0000426	Prai.g_00463	Prab.g_00435
OG0000427	Prai.g_00464	Prab.g_00436
OG0000428	Prai.g_00466	Prab.g_00438
OG0000429	Prai.g_00467	Prab.g_00439
OG0000430	Prai.g_00469	Prab.g_00441
OG0000431	Prai.g_00470	Prab.g_00442
OG0000432	Prai.g_00471	Prab.g_00443
OG0000433	Prai.g_00472	Prab.g_00444
OG0000434	Prai.g_00473	Prab.g_00445
OG0000435	Prai.g_00474	Prab.g_00446
OG0000436	Prai.g_00475	Prab.g_00447
OG0000437	Prai.g_00476	Prab.g_00448
OG0000438	Prai.g_00477	Prab.g_00449
OG0000439	Prai.g_00478	Prab.g_00450
OG0000440	Prai.g_00479	Prab.g_00454
OG0000441	Prai.g_00480	Prab.g_00455
OG0000442	Prai.g_00481	Prab.g_00456
OG0000443	Prai.g_00482	Prab.g_00457
OG0000444	Prai.g_00483	Prab.g_00458
OG0000445	Prai.g_00484	Prab.g_00459
OG0000446	Prai.g_00486	Prab.g_00460
OG0000447	Prai.g_00487	Prab.g_00461
OG0000448	Prai.g_00489	Prab.g_00463
OG0000449	Prai.g_00492	Prab.g_00466
OG0000450	Prai.g_00493	Prab.g_00467
OG0000451	Prai.g_00494	Prab.g_00468
OG0000452	Prai.g_00495	Prab.g_00469
OG0000453	Prai.g_00496	Prab.g_00470
OG0000454	Prai.g_00501	Prab.g_00475
OG0000455	Prai.g_00503	Prab.g_00477
OG0000456	Prai.g_00507	Prab.g_00481
OG0000457	Prai.g_00508	Prab.g_00482
OG0000458	Prai.g_00509	Prab.g_00483
OG0000459	Prai.g_00511	Prab.g_00485
OG0000460	Prai.g_00513	Prab.g_00487
OG0000461	Prai.g_00514	Prab.g_00488
OG0000462	Prai.g_00515	Prab.g_00489
OG0000463	Prai.g_00517	Prab.g_00491
OG0000464	Prai.g_00518	Prab.g_00492
OG0000465	Prai.g_00519	Prab.g_00493
OG0000466	Prai.g_00520	Prab.g_00494
OG0000467	Prai.g_00521	Prab.g_00495
OG0000468	Prai.g_00522	Prab.g_00496
OG0000469	Prai.g_00523	Prab.g_00497
OG0000470	Prai.g_00524	Prab.g_00498
OG0000471	Prai.g_00525	Prab.g_00499
OG0000472	Prai.g_00530	Prab.g_00504
OG0000473	Prai.g_00531	Prab.g_00505
OG0000474	Prai.g_00532	Prab.g_00506
OG0000475	Prai.g_00533	Prab.g_00507
OG0000476	Prai.g_00535	Prab.g_00509
OG0000477	Prai.g_00536	Prab.g_00510
OG0000478	Prai.g_00537	Prab.g_00511
OG0000479	Prai.g_00538	Prab.g_00512
OG0000480	Prai.g_00540	Prab.g_00514
OG0000481	Prai.g_00542	Prab.g_00516
OG0000482	Prai.g_00543	Prab.g_00517
OG0000483	Prai.g_00544	Prab.g_00519
OG0000484	Prai.g_00545	Prab.g_00520
OG0000485	Prai.g_00546	Prab.g_00521
OG0000486	Prai.g_00547	Prab.g_00522
OG0000487	Prai.g_00552	Prab.g_00527
OG0000488	Prai.g_00553	Prab.g_00529
OG0000489	Prai.g_00554	Prab.g_00530
OG0000490	Prai.g_00555	Prab.g_00531
OG0000491	Prai.g_00556	Prab.g_00532
OG0000492	Prai.g_00557	Prab.g_00533
OG0000493	Prai.g_00558	Prab.g_00534
OG0000494	Prai.g_00559	Prab.g_00535
OG0000495	Prai.g_00562	Prab.g_00538
OG0000496	Prai.g_00563	Prab.g_00539
OG0000497	Prai.g_00564	Prab.g_00540
OG0000498	Prai.g_00565	Prab.g_00541
OG0000499	Prai.g_00566	Prab.g_00542
OG0000500	Prai.g_00568	Prab.g_00544
OG0000501	Prai.g_00569	Prab.g_00545
OG0000502	Prai.g_00570	Prab.g_00546
OG0000503	Prai.g_00572	Prab.g_00548
OG0000504	Prai.g_00573	Prab.g_00549
OG0000505	Prai.g_00574	Prab.g_00550
OG0000506	Prai.g_00575	Prab.g_00551
OG0000507	Prai.g_00576	Prab.g_00552
OG0000508	Prai.g_00577	Prab.g_00553
OG0000509	Prai.g_00578	Prab.g_00554
OG0000510	Prai.g_00579	Prab.g_00555
OG0000511	Prai.g_00581	Prab.g_00557
OG0000512	Prai.g_00582	Prab.g_00558
OG0000513	Prai.g_00583	Prab.g_00559
OG0000514	Prai.g_00584	Prab.g_00560
OG0000515	Prai.g_00585	Prab.g_00561
OG0000516	Prai.g_00586	Prab.g_00562
OG0000517	Prai.g_00588	Prab.g_00564
OG0000518	Prai.g_00589	Prab.g_00565
OG0000519	Prai.g_00590	Prab.g_00566
OG0000520	Prai.g_00592	Prab.g_00568
OG0000521	Prai.g_00593	Prab.g_00569
OG0000522	Prai.g_00594	Prab.g_00570
OG0000523	Prai.g_00595	Prab.g_00571
OG0000524	Prai.g_00596	Prab.g_00572
OG0000525	Prai.g_00597	Prab.g_00573
OG0000526	Prai.g_00598	Prab.g_00574
OG0000527	Prai.g_00599	Prab.g_00575
OG0000528	Prai.g_00600	Prab.g_00576
OG0000529	Prai.g_00601	Prab.g_00577
OG0000530	Prai.g_00602	Prab.g_00578
OG0000531	Prai.g_00603	Prab.g_00579
OG0000532	Prai.g_00604	Prab.g_00580
OG0000533	Prai.g_00606	Prab.g_00582
OG0000534	Prai.g_00607	Prab.g_00583
OG0000535	Prai.g_00608	Prab.g_00584
OG0000536	Prai.g_00609	Prab.g_00585
OG0000537	Prai.g_00610	Prab.g_00586
OG0000538	Prai.g_00611	Prab.g_00587
OG0000539	Prai.g_00614	Prab.g_00590
OG0000540	Prai.g_00615	Prab.g_00591
OG0000541	Prai.g_00616	Prab.g_00592
OG0000542	Prai.g_00619	Prab.g_00595
OG0000543	Prai.g_00620	Prab.g_00596
OG0000544	Prai.g_00621	Prab.g_00597
OG0000545	Prai.g_00622	Prab.g_00598
OG0000546	Prai.g_00623	Prab.g_00599
OG0000547	Prai.g_00624	Prab.g_00600
OG0000548	Prai.g_00625	Prab.g_00601
OG0000549	Prai.g_00627	Prab.g_00603
OG0000550	Prai.g_00628	Prab.g_00604
OG0000551	Prai.g_00629	Prab.g_00605
OG0000552	Prai.g_00630	Prab.g_00606
OG0000553	Prai.g_00631	Prab.g_00607
OG0000554	Prai.g_00632	Prab.g_00608
OG0000555	Prai.g_00633	Prab.g_00609
OG0000556	Prai.g_00634	Prab.g_00610
OG0000557	Prai.g_00635	Prab.g_00611
