Orthogroup	Syac	Prai
OG0000055	Syac.g_00859	Prai.g_00866
OG0000057	Syac.g_00894	Prai.g_00727
OG0000058	Syac.g_00226	Prai.g_01859
OG0000059	Syac.g_02142	Prai.g_01725, Prai.g_01425
OG0000061	Syac.g_00769	Prai.g_01171
OG0000063	Syac.g_00037	Prai.g_00033, Prai.g_01261
OG0000065	Syac.g_00490, Syac.g_00396	Prai.g_00107
OG0000066	Syac.g_01827	Prai.g_00567
OG0000067	Syac.g_01341	Prai.g_00848
OG0000068	Syac.g_01916	Prai.g_01370
OG0000069	Syac.g_01272	Prai.g_01579
OG0000070	Syac.g_00711	Prai.g_00481
OG0000071	Syac.g_00729	Prai.g_01335
OG0000072	Syac.g_00302	Prai.g_00182
OG0000073	Syac.g_01883	Prai.g_00529
OG0000075	Syac.g_00191	Prai.g_01814
OG0000076	Syac.g_00156	Prai.g_01838
OG0000077	Syac.g_00439	Prai.g_00078
OG0000079	Syac.g_02211	Prai.g_00265
OG0000081	Syac.g_01954	Prai.g_00559
OG0000082	Syac.g_01766	Prai.g_00613
OG0000084	Syac.g_01627	Prai.g_01459
OG0000085	Syac.g_00560	Prai.g_01631
OG0000086	Syac.g_00423	Prai.g_00088
OG0000087	Syac.g_00343	Prai.g_00139
OG0000088	Syac.g_00308	Prai.g_00177
OG0000089	Syac.g_01988, Syac.g_01543	Prai.g_00368
OG0000090	Syac.g_01836	Prai.g_00561
OG0000091	Syac.g_00987	Prai.g_00671
OG0000094	Syac.g_01251	Prai.g_00937
OG0000097	Syac.g_01507	Prai.g_01214
OG0000098	Syac.g_02157	Prai.g_01353
OG0000099	Syac.g_00234	Prai.g_01393
OG0000100	Syac.g_01309	Prai.g_01536
OG0000101	Syac.g_02094	Prai.g_01782
OG0000102	Syac.g_00151	Prai.g_01843
OG0000103	Syac.g_02476	Prai.g_01923
OG0000104	Syac.g_02490	Prai.g_01932
OG0000105	Syac.g_02245	Prai.g_00286, Prai.g_00287
OG0000106	Syac.g_01098	Prai.g_00383
OG0000107	Syac.g_02191	Prai.g_00397
OG0000108	Syac.g_01904	Prai.g_00510
OG0000109	Syac.g_01889	Prai.g_00524
OG0000110	Syac.g_01778	Prai.g_00603
OG0000112	Syac.g_01173	Prai.g_00882
OG0000113	Syac.g_01314	Prai.g_00825
OG0000114	Syac.g_01394	Prai.g_01046
OG0000115	Syac.g_01655	Prai.g_01119
OG0000116	Syac.g_00753	Prai.g_01162
OG0000117	Syac.g_01477	Prai.g_01273
OG0000118	Syac.g_01728	Prai.g_01347
OG0000120	Syac.g_00233	Prai.g_01443
OG0000121	Syac.g_01635	Prai.g_01465
OG0000123	Syac.g_02086	Prai.g_01789
OG0000124	Syac.g_00135	Prai.g_01854
OG0000125	Syac.g_02360	Prai.g_01892
OG0000126	Syac.g_02488	Prai.g_01931
OG0000128	Syac.g_00012	Prai.g_00011
OG0000129	Syac.g_02349	Prai.g_00051
OG0000130	Syac.g_00450	Prai.g_00069
OG0000131	Syac.g_00330	Prai.g_00156
OG0000132	Syac.g_00310	Prai.g_00175
OG0000133	Syac.g_01178	Prai.g_00335
OG0000134	Syac.g_01985	Prai.g_00369
OG0000135	Syac.g_02398	Prai.g_00393
OG0000136	Syac.g_00701	Prai.g_00472
OG0000137	Syac.g_01700	Prai.g_00505
OG0000138	Syac.g_01888	Prai.g_00525
OG0000139	Syac.g_01830	Prai.g_00565
OG0000140	Syac.g_01829	Prai.g_00566
OG0000141	Syac.g_00934	Prai.g_00635
OG0000142	Syac.g_00979	Prai.g_00664
OG0000143	Syac.g_00983	Prai.g_00668
OG0000144	Syac.g_01090	Prai.g_00681
OG0000145	Syac.g_01882	Prai.g_00883
OG0000146	Syac.g_01172	Prai.g_00881
OG0000147	Syac.g_01171	Prai.g_00880
OG0000148	Syac.g_01320	Prai.g_00831
OG0000149	Syac.g_00832	Prai.g_00800
OG0000150	Syac.g_00935	Prai.g_00792
OG0000151	Syac.g_01383	Prai.g_01036
OG0000152	Syac.g_01182	Prai.g_00989
OG0000153	Syac.g_01217	Prai.g_00970
OG0000154	Syac.g_01241	Prai.g_00943
OG0000155	Syac.g_00804	Prai.g_01191
OG0000156	Syac.g_00743	Prai.g_01323
OG0000157	Syac.g_00742	Prai.g_01324
OG0000158	Syac.g_00182	Prai.g_01392
OG0000160	Syac.g_01633	Prai.g_01464
OG0000161	Syac.g_01641	Prai.g_01470
OG0000162	Syac.g_01648	Prai.g_01476
OG0000163	Syac.g_00619	Prai.g_01509
OG0000164	Syac.g_00508	Prai.g_01662
OG0000165	Syac.g_00674	Prai.g_01669
OG0000166	Syac.g_02132	Prai.g_01740
OG0000167	Syac.g_00194	Prai.g_01812
OG0000168	Syac.g_00179	Prai.g_01822
OG0000169	Syac.g_00168	Prai.g_01832
OG0000170	Syac.g_00161	Prai.g_01834
OG0000171	Syac.g_00136	Prai.g_01853
OG0000172	Syac.g_00084	Prai.g_01863
OG0000173	Syac.g_00057	Prai.g_01878
OG0000174	Syac.g_02401	Prai.g_01905
OG0000175	Syac.g_02465	Prai.g_01915
OG0000176	Syac.g_00004	Prai.g_00004
OG0000177	Syac.g_00005	Prai.g_00005
OG0000178	Syac.g_00006	Prai.g_00006
OG0000179	Syac.g_00019	Prai.g_00016
OG0000180	Syac.g_00020	Prai.g_00017
OG0000181	Syac.g_00021	Prai.g_00018
OG0000182	Syac.g_00022	Prai.g_00019
OG0000183	Syac.g_00026	Prai.g_00023
OG0000184	Syac.g_02339	Prai.g_00053
OG0000185	Syac.g_02336	Prai.g_00056
OG0000186	Syac.g_00454	Prai.g_00064
OG0000187	Syac.g_00453	Prai.g_00065
OG0000188	Syac.g_00433	Prai.g_00082
OG0000189	Syac.g_00408	Prai.g_00096
OG0000190	Syac.g_00406	Prai.g_00097
OG0000191	Syac.g_00373	Prai.g_00117
OG0000192	Syac.g_00368	Prai.g_00121
OG0000193	Syac.g_00329	Prai.g_00157
OG0000194	Syac.g_00326	Prai.g_00160
OG0000195	Syac.g_00324	Prai.g_00162
OG0000196	Syac.g_00313	Prai.g_00172
OG0000197	Syac.g_00312	Prai.g_00173
OG0000198	Syac.g_00311	Prai.g_00174
OG0000199	Syac.g_00303	Prai.g_00181
OG0000200	Syac.g_02261	Prai.g_00195
OG0000202	Syac.g_02279	Prai.g_00204
OG0000203	Syac.g_02280	Prai.g_00205
OG0000204	Syac.g_02281	Prai.g_00206
OG0000205	Syac.g_02288	Prai.g_00213
OG0000206	Syac.g_02297	Prai.g_00218
OG0000207	Syac.g_02300	Prai.g_00220
OG0000208	Syac.g_02301	Prai.g_00221
OG0000209	Syac.g_02316	Prai.g_00230
OG0000210	Syac.g_02317	Prai.g_00231
OG0000212	Syac.g_01963	Prai.g_00251
OG0000213	Syac.g_02219	Prai.g_00270
OG0000214	Syac.g_02236	Prai.g_00280
OG0000215	Syac.g_00281	Prai.g_00305
OG0000216	Syac.g_00277	Prai.g_00307
OG0000217	Syac.g_00273	Prai.g_00310
OG0000218	Syac.g_00271	Prai.g_00312
OG0000219	Syac.g_00270	Prai.g_00313
OG0000220	Syac.g_00269	Prai.g_00314
OG0000221	Syac.g_00261	Prai.g_00315
OG0000222	Syac.g_00247	Prai.g_00323
OG0000223	Syac.g_00225	Prai.g_00336
OG0000224	Syac.g_00217	Prai.g_00338
OG0000225	Syac.g_02004	Prai.g_00358
OG0000226	Syac.g_02000	Prai.g_00362
OG0000227	Syac.g_01998	Prai.g_00364
OG0000228	Syac.g_01989	Prai.g_00367
OG0000229	Syac.g_00692	Prai.g_00467
OG0000230	Syac.g_00694	Prai.g_00469
OG0000231	Syac.g_00710	Prai.g_00480
OG0000232	Syac.g_01717	Prai.g_00489
OG0000233	Syac.g_01713	Prai.g_00494
OG0000234	Syac.g_01699	Prai.g_00506
OG0000235	Syac.g_01905	Prai.g_00509
OG0000236	Syac.g_01890	Prai.g_00523
OG0000237	Syac.g_01873	Prai.g_00536
OG0000238	Syac.g_01868	Prai.g_00542
OG0000239	Syac.g_01852	Prai.g_00553
OG0000240	Syac.g_01851	Prai.g_00554
OG0000241	Syac.g_00970	Prai.g_00558
OG0000242	Syac.g_01839	Prai.g_00560
