Orthogroup	Prbc	Praj
OG0000072	Prbc.g_00566	Praj.g_01528
OG0000073	Prbc.g_00123	Praj.g_01146
OG0000073	Prbc.g_01300	Praj.g_01228
OG0000073	Prbc.g_00040	Praj.g_01377
OG0000074	Prbc.g_01753	Praj.g_00664
OG0000075	Prbc.g_00284	Praj.g_01952
OG0000076	Prbc.g_00746	Praj.g_01669
OG0000077	Prbc.g_01081	Praj.g_00011
OG0000078	Prbc.g_01214	Praj.g_00357
OG0000079	Prbc.g_02183	Praj.g_01279
OG0000080	Prbc.g_01748	Praj.g_00659
OG0000081	Prbc.g_01773	Praj.g_00684
OG0000082	Prbc.g_01865	Praj.g_00776
OG0000083	Prbc.g_01953	Praj.g_00864
OG0000083	Prbc.g_00135	Praj.g_01157
OG0000084	Prbc.g_02036	Praj.g_00946
OG0000085	Prbc.g_00173	Praj.g_01196
OG0000086	Prbc.g_00896	Praj.g_01832
OG0000087	Prbc.g_00807	Praj.g_01310
OG0000087	Prbc.g_02166, Prbc.g_00105	Praj.g_00416, Praj.g_01273
OG0000088	Prbc.g_01334	Praj.g_01260
OG0000090	Prbc.g_01229	Praj.g_00372
OG0000091	Prbc.g_00717	Praj.g_01640
OG0000092	Prbc.g_00144	Praj.g_01166
OG0000093	Prbc.g_00958	Praj.g_01892
OG0000094	Prbc.g_00288	Praj.g_01948
OG0000095	Prbc.g_00238	Praj.g_01985
OG0000096	Prbc.g_00989	Praj.g_02083
OG0000097	Prbc.g_01009	Praj.g_02103
OG0000098	Prbc.g_01073	Praj.g_00003
OG0000099	Prbc.g_01093	Praj.g_00023
OG0000100	Prbc.g_00132	Praj.g_01154
OG0000101	Prbc.g_01127	Praj.g_00053
OG0000102	Prbc.g_00458	Praj.g_00153
OG0000103	Prbc.g_00449	Praj.g_00162
OG0000104	Prbc.g_00432	Praj.g_00179
OG0000105	Prbc.g_00401	Praj.g_00210
OG0000106	Prbc.g_00388	Praj.g_00223
OG0000107	Prbc.g_00379	Praj.g_00232
OG0000108	Prbc.g_00369	Praj.g_00242
OG0000109	Prbc.g_00330	Praj.g_00280
OG0000110	Prbc.g_01147	Praj.g_00290
OG0000111	Prbc.g_01167	Praj.g_00310
OG0000112	Prbc.g_01177	Praj.g_00320
OG0000113	Prbc.g_01189	Praj.g_00332
OG0000114	Prbc.g_01217	Praj.g_00360
OG0000115	Prbc.g_01533	Praj.g_00466
OG0000116	Prbc.g_01535	Praj.g_00468
OG0000117	Prbc.g_01540	Praj.g_00473
OG0000118	Prbc.g_01579	Praj.g_00491
OG0000119	Prbc.g_01611	Praj.g_00523
OG0000120	Prbc.g_01612	Praj.g_00524
OG0000121	Prbc.g_01622	Praj.g_00534
OG0000122	Prbc.g_01632	Praj.g_00543
OG0000123	Prbc.g_01662	Praj.g_00573
OG0000124	Prbc.g_01728	Praj.g_00639
OG0000125	Prbc.g_01729	Praj.g_00640
OG0000126	Prbc.g_01730	Praj.g_00641
OG0000127	Prbc.g_01768	Praj.g_00679
OG0000128	Prbc.g_01789	Praj.g_00700
OG0000129	Prbc.g_01811	Praj.g_00722
OG0000130	Prbc.g_01999	Praj.g_00909
OG0000131	Prbc.g_01856	Praj.g_00767
OG0000132	Prbc.g_01893	Praj.g_00804
OG0000133	Prbc.g_01995	Praj.g_00905
OG0000134	Prbc.g_01843	Praj.g_00754
OG0000135	Prbc.g_02040	Praj.g_00950
OG0000136	Prbc.g_02110	Praj.g_01021
OG0000137	Prbc.g_00899	Praj.g_01835
OG0000138	Prbc.g_01452	Praj.g_01466
OG0000139	Prbc.g_01439	Praj.g_01455
OG0000140	Prbc.g_01387	Praj.g_01402
OG0000141	Prbc.g_02103	Praj.g_01014
OG0000142	Prbc.g_00577	Praj.g_01540
OG0000143	Prbc.g_00657	Praj.g_01575
OG0000144	Prbc.g_00695	Praj.g_01618
OG0000145	Prbc.g_00710	Praj.g_01633
OG0000146	Prbc.g_00744	Praj.g_01667
OG0000147	Prbc.g_00789	Praj.g_01713
OG0000148	Prbc.g_00790	Praj.g_01714
OG0000149	Prbc.g_00830	Praj.g_01766
OG0000150	Prbc.g_00867	Praj.g_01803
OG0000151	Prbc.g_00869	Praj.g_01805
OG0000152	Prbc.g_00889	Praj.g_01825
OG0000153	Prbc.g_00326	Praj.g_01910
OG0000154	Prbc.g_00290	Praj.g_01946
OG0000155	Prbc.g_00271	Praj.g_01965
OG0000156	Prbc.g_00226	Praj.g_01997
OG0000157	Prbc.g_00190	Praj.g_02034
OG0000158	Prbc.g_01047	Praj.g_02128
OG0000159	Prbc.g_02191	Praj.g_02041
OG0000159	Prbc.g_00550	Praj.g_00064, Praj.g_01515, Praj.g_01510, Praj.g_02036, Praj.g_01506, Praj.g_01504, Praj.g_00068, Praj.g_00059, Praj.g_00086, Praj.g_00080, Praj.g_01511, Praj.g_01514, Praj.g_00058, Praj.g_01509, Praj.g_01382
OG0000160	Prbc.g_01071	Praj.g_00001
OG0000161	Prbc.g_01072	Praj.g_00002
OG0000162	Prbc.g_01074	Praj.g_00004
OG0000163	Prbc.g_01075	Praj.g_00005
OG0000164	Prbc.g_01076	Praj.g_00006
OG0000165	Prbc.g_01077	Praj.g_00007
OG0000166	Prbc.g_01078	Praj.g_00008
OG0000167	Prbc.g_01079	Praj.g_00009
OG0000168	Prbc.g_01080	Praj.g_00010
OG0000169	Prbc.g_01082	Praj.g_00012
OG0000170	Prbc.g_01084	Praj.g_00014
OG0000171	Prbc.g_01085	Praj.g_00015
OG0000172	Prbc.g_01086	Praj.g_00016
OG0000173	Prbc.g_01087	Praj.g_00017
OG0000174	Prbc.g_01088	Praj.g_00018
OG0000175	Prbc.g_01089	Praj.g_00019
OG0000176	Prbc.g_01090	Praj.g_00020
