Orthogroup	Prbi	Prak
OG0000069	Prbi.g_01702	Prak.g_00416
OG0000070	Prbi.g_00451	Prak.g_00412
OG0000071	Prbi.g_01391	Prak.g_01277
OG0000072	Prbi.g_00195	Prak.g_00183
OG0000073	Prbi.g_00502	Prak.g_00461
OG0000074	Prbi.g_00685	Prak.g_00809
OG0000075	Prbi.g_01970	Prak.g_01816
OG0000076	Prbi.g_01994	Prak.g_01842
OG0000077	Prbi.g_00085	Prak.g_00083
OG0000078	Prbi.g_00263	Prak.g_00256
OG0000079	Prbi.g_00276	Prak.g_00269
OG0000081	Prbi.g_00534	Prak.g_00490
OG0000082	Prbi.g_00587	Prak.g_00546, Prak.g_01634
OG0000084	Prbi.g_01585	Prak.g_01388
OG0000085	Prbi.g_01780	Prak.g_01637, Prak.g_01516
OG0000086	Prbi.g_00095	Prak.g_00092
OG0000087	Prbi.g_00147	Prak.g_00147
OG0000088	Prbi.g_00190	Prak.g_00178
OG0000089	Prbi.g_00380	Prak.g_00379
OG0000090	Prbi.g_00536	Prak.g_00492
OG0000091	Prbi.g_00645	Prak.g_01100
OG0000092	Prbi.g_00956	Prak.g_00775
OG0000093	Prbi.g_00977	Prak.g_01071
OG0000094	Prbi.g_01067	Prak.g_01022
OG0000095	Prbi.g_01086	Prak.g_00920
OG0000096	Prbi.g_01156, Prbi.g_01352	Prak.g_00702
OG0000097	Prbi.g_01248	Prak.g_01126
OG0000098	Prbi.g_01421	Prak.g_01305
OG0000099	Prbi.g_01462	Prak.g_01352
OG0000100	Prbi.g_01664	Prak.g_01470
OG0000101	Prbi.g_01938	Prak.g_01780
OG0000102	Prbi.g_01999	Prak.g_01847
OG0000103	Prbi.g_02091	Prak.g_01932
OG0000104	Prbi.g_02099	Prak.g_01941
OG0000105	Prbi.g_00298	Prak.g_00292
OG0000106	Prbi.g_00394	Prak.g_00687
OG0000107	Prbi.g_00409	Prak.g_01709
OG0000108	Prbi.g_00483	Prak.g_00441
OG0000109	Prbi.g_00497	Prak.g_00455
OG0000110	Prbi.g_00577	Prak.g_00535
OG0000111	Prbi.g_00703	Prak.g_00830
OG0000112	Prbi.g_00811	Prak.g_00608
OG0000113	Prbi.g_00869	Prak.g_00868
OG0000114	Prbi.g_00951	Prak.g_00770
OG0000115	Prbi.g_01148	Prak.g_01241
OG0000116	Prbi.g_01197	Prak.g_01183
OG0000117	Prbi.g_01330	Prak.g_01145
OG0000118	Prbi.g_01403	Prak.g_01290
OG0000119	Prbi.g_01435	Prak.g_01226, Prak.g_01488
OG0000120	Prbi.g_01460	Prak.g_01349
OG0000121	Prbi.g_01593	Prak.g_01393
OG0000122	Prbi.g_01630	Prak.g_01248, Prak.g_01434
OG0000123	Prbi.g_01945	Prak.g_01787
OG0000124	Prbi.g_02010	Prak.g_01859
OG0000125	Prbi.g_02059	Prak.g_01895
OG0000126	Prbi.g_02098	Prak.g_01940
OG0000128	Prbi.g_00011	Prak.g_00011
OG0000129	Prbi.g_00053	Prak.g_00045
OG0000130	Prbi.g_00076	Prak.g_00074
OG0000131	Prbi.g_00169	Prak.g_00156
OG0000132	Prbi.g_00188	Prak.g_00176
OG0000133	Prbi.g_00346	Prak.g_00339
OG0000134	Prbi.g_00381	Prak.g_00381
OG0000135	Prbi.g_00407	Prak.g_01259
OG0000136	Prbi.g_00442	Prak.g_00403
OG0000137	Prbi.g_00478	Prak.g_00436
OG0000138	Prbi.g_00498	Prak.g_00456
OG0000139	Prbi.g_00540	Prak.g_00496
OG0000140	Prbi.g_00541	Prak.g_00497
OG0000141	Prbi.g_00609	Prak.g_00569
OG0000142	Prbi.g_00638	Prak.g_01108
OG0000143	Prbi.g_00642	Prak.g_01104
OG0000144	Prbi.g_00655	Prak.g_01090
OG0000145	Prbi.g_00807	Prak.g_01261
OG0000146	Prbi.g_00812	Prak.g_00607
OG0000147	Prbi.g_00813	Prak.g_00606
OG0000148	Prbi.g_00863	Prak.g_00862
OG0000149	Prbi.g_00894	Prak.g_00894
OG0000150	Prbi.g_00902	Prak.g_00904
OG0000151	Prbi.g_00961	Prak.g_00780
OG0000152	Prbi.g_01009	Prak.g_00973
OG0000153	Prbi.g_01028	Prak.g_00992
OG0000154	Prbi.g_01060	Prak.g_01012
OG0000155	Prbi.g_01227	Prak.g_01151
OG0000156	Prbi.g_01380	Prak.g_01266
OG0000157	Prbi.g_01381	Prak.g_01267
OG0000158	Prbi.g_01489	Prak.g_01824
OG0000159	Prbi.g_01490	Prak.g_00065
OG0000160	Prbi.g_01592	Prak.g_01392
OG0000161	Prbi.g_01598	Prak.g_01398
OG0000162	Prbi.g_01604	Prak.g_01404
OG0000163	Prbi.g_01637	Prak.g_01443
OG0000164	Prbi.g_01811	Prak.g_01669
OG0000165	Prbi.g_01818	Prak.g_01676
OG0000166	Prbi.g_01902	Prak.g_01743
OG0000167	Prbi.g_01968	Prak.g_01814
OG0000168	Prbi.g_01978	Prak.g_01825
OG0000169	Prbi.g_01988	Prak.g_01835
OG0000170	Prbi.g_01990	Prak.g_01838
OG0000171	Prbi.g_02009	Prak.g_01858
OG0000172	Prbi.g_02030	Prak.g_01865
OG0000173	Prbi.g_02045	Prak.g_01880
OG0000174	Prbi.g_02073	Prak.g_01910
OG0000175	Prbi.g_02083	Prak.g_01923
OG0000176	Prbi.g_00004	Prak.g_00004
OG0000177	Prbi.g_00005	Prak.g_00005
OG0000178	Prbi.g_00006	Prak.g_00006
OG0000179	Prbi.g_00016	Prak.g_00016
OG0000180	Prbi.g_00017	Prak.g_00017
OG0000181	Prbi.g_00018	Prak.g_00018
OG0000182	Prbi.g_00019	Prak.g_00019
OG0000183	Prbi.g_00023	Prak.g_00023
OG0000184	Prbi.g_00057	Prak.g_00049
OG0000185	Prbi.g_00060	Prak.g_00052
OG0000186	Prbi.g_00071	Prak.g_00068
OG0000187	Prbi.g_00072	Prak.g_00069
OG0000188	Prbi.g_00089	Prak.g_00086
OG0000189	Prbi.g_00103	Prak.g_00100
OG0000190	Prbi.g_00104	Prak.g_00102
OG0000191	Prbi.g_00125	Prak.g_00125
OG0000192	Prbi.g_00129	Prak.g_00130
OG0000193	Prbi.g_00170	Prak.g_00157
OG0000194	Prbi.g_00173	Prak.g_00160
OG0000195	Prbi.g_00175	Prak.g_00162
OG0000196	Prbi.g_00185	Prak.g_00173
OG0000197	Prbi.g_00186	Prak.g_00174
OG0000198	Prbi.g_00187	Prak.g_00175
OG0000199	Prbi.g_00194	Prak.g_00182
OG0000200	Prbi.g_00208	Prak.g_00196
OG0000201	Prbi.g_00216	Prak.g_00205
OG0000202	Prbi.g_00217	Prak.g_00206
OG0000203	Prbi.g_00218	Prak.g_00207
OG0000204	Prbi.g_00219	Prak.g_00208
OG0000205	Prbi.g_00226	Prak.g_00215
OG0000206	Prbi.g_00231	Prak.g_00220
OG0000207	Prbi.g_00233	Prak.g_00223
OG0000208	Prbi.g_00234	Prak.g_00224
OG0000209	Prbi.g_00243	Prak.g_00233
OG0000210	Prbi.g_00244	Prak.g_00234
OG0000211	Prbi.g_00257	Prak.g_00249
OG0000212	Prbi.g_00264	Prak.g_00257
OG0000213	Prbi.g_00281	Prak.g_00275
OG0000214	Prbi.g_00291	Prak.g_00285
OG0000215	Prbi.g_00316	Prak.g_00312
OG0000216	Prbi.g_00318	Prak.g_00313
OG0000217	Prbi.g_00321	Prak.g_00316
OG0000218	Prbi.g_00323	Prak.g_00318
OG0000219	Prbi.g_00324	Prak.g_00319
OG0000220	Prbi.g_00325	Prak.g_00320
OG0000221	Prbi.g_00326	Prak.g_00321
OG0000222	Prbi.g_00334	Prak.g_00328
OG0000223	Prbi.g_00347	Prak.g_00340
OG0000224	Prbi.g_00349	Prak.g_00342
OG0000225	Prbi.g_00370	Prak.g_00368
OG0000226	Prbi.g_00374	Prak.g_00372
OG0000227	Prbi.g_00376	Prak.g_00374
OG0000228	Prbi.g_00379	Prak.g_00378
OG0000229	Prbi.g_00437	Prak.g_00398
OG0000230	Prbi.g_00439	Prak.g_00400
OG0000231	Prbi.g_00450	Prak.g_00411
OG0000232	Prbi.g_00459	Prak.g_00422
OG0000233	Prbi.g_00465	Prak.g_00428
OG0000234	Prbi.g_00479	Prak.g_00437
OG0000235	Prbi.g_00482	Prak.g_00440
OG0000236	Prbi.g_00496	Prak.g_00454
OG0000237	Prbi.g_00509	Prak.g_00467
OG0000238	Prbi.g_00515	Prak.g_00473
OG0000239	Prbi.g_00528	Prak.g_00484
OG0000240	Prbi.g_00529	Prak.g_00485
OG0000241	Prbi.g_00533	Prak.g_00489
OG0000242	Prbi.g_00535	Prak.g_00491
OG0000243	Prbi.g_00546	Prak.g_00502
OG0000244	Prbi.g_00549	Prak.g_00506
OG0000245	Prbi.g_00551	Prak.g_00508
OG0000246	Prbi.g_00555	Prak.g_00512
OG0000247	Prbi.g_00565	Prak.g_00522
OG0000248	Prbi.g_00567	Prak.g_00525
OG0000249	Prbi.g_00569	Prak.g_00527
OG0000250	Prbi.g_00574	Prak.g_00532
OG0000251	Prbi.g_00593	Prak.g_00552
OG0000252	Prbi.g_00596	Prak.g_00555
OG0000253	Prbi.g_00597	Prak.g_00556
OG0000254	Prbi.g_00613	Prak.g_00573
OG0000255	Prbi.g_00619	Prak.g_00579
OG0000256	Prbi.g_00629	Prak.g_00589
OG0000257	Prbi.g_00632	Prak.g_01113
OG0000258	Prbi.g_00646	Prak.g_01099
OG0000259	Prbi.g_00663	Prak.g_01082
OG0000260	Prbi.g_00666	Prak.g_01079
OG0000261	Prbi.g_00668	Prak.g_01076
OG0000262	Prbi.g_00672	Prak.g_01072
OG0000263	Prbi.g_00684	Prak.g_00808
OG0000264	Prbi.g_00694	Prak.g_00819
OG0000265	Prbi.g_00745	Prak.g_00837
OG0000266	Prbi.g_00755	Prak.g_01053
OG0000267	Prbi.g_00766	Prak.g_01041
OG0000268	Prbi.g_00767	Prak.g_01040
OG0000269	Prbi.g_00842	Prak.g_00840
OG0000270	Prbi.g_00845	Prak.g_00843
OG0000271	Prbi.g_00853	Prak.g_00851
OG0000272	Prbi.g_00854	Prak.g_00852
OG0000273	Prbi.g_00877	Prak.g_00876
OG0000274	Prbi.g_00878	Prak.g_00877
OG0000275	Prbi.g_00881	Prak.g_00880
OG0000276	Prbi.g_00886	Prak.g_00886
OG0000277	Prbi.g_00887	Prak.g_00887
OG0000278	Prbi.g_00890	Prak.g_00890
OG0000279	Prbi.g_00897	Prak.g_00897
OG0000280	Prbi.g_00898	Prak.g_00898
OG0000281	Prbi.g_00903	Prak.g_00905
OG0000282	Prbi.g_00953	Prak.g_00772
OG0000283	Prbi.g_00986	Prak.g_00949
OG0000284	Prbi.g_00991	Prak.g_00954
OG0000285	Prbi.g_00996	Prak.g_00959
OG0000286	Prbi.g_01008	Prak.g_00972
OG0000287	Prbi.g_01025	Prak.g_01238
OG0000288	Prbi.g_01059	Prak.g_01011
OG0000289	Prbi.g_01070	Prak.g_01027
OG0000290	Prbi.g_01083	Prak.g_00923
OG0000291	Prbi.g_01085	Prak.g_00921
OG0000292	Prbi.g_01136	Prak.g_01217
OG0000293	Prbi.g_01198	Prak.g_01182
OG0000294	Prbi.g_01199	Prak.g_01181
OG0000295	Prbi.g_01219	Prak.g_01158
OG0000296	Prbi.g_01221	Prak.g_01156
OG0000297	Prbi.g_01229	Prak.g_01147
OG0000298	Prbi.g_01230	Prak.g_01146
OG0000299	Prbi.g_01247	Prak.g_01127
