Orthogroup	Prbg	Prbc
OG0000051	Prbg.g_00935	Prbc.g_00414
OG0000052	Prbg.g_00388	Prbc.g_00134, Prbc.g_00641
OG0000053	Prbg.g_00256	Prbc.g_01618
OG0000054	Prbg.g_00359	Prbc.g_01116
OG0000055	Prbg.g_01182	Prbc.g_01882, Prbc.g_00153
OG0000056	Prbg.g_01542	Prbc.g_01117
OG0000057	Prbg.g_01019	Prbc.g_00333
OG0000058	Prbg.g_00194	Prbc.g_01534
OG0000059	Prbg.g_01143	Prbc.g_00055, Prbc.g_01780
OG0000062	Prbg.g_00749	Prbc.g_00896
OG0000063	Prbg.g_01459	Prbc.g_00102
OG0000065	Prbg.g_00477	Prbc.g_00566
OG0000066	Prbg.g_00549	Prbc.g_01753
OG0000067	Prbg.g_00415	Prbc.g_00616, Prbc.g_00066
OG0000068	Prbg.g_01785	Prbc.g_00284
OG0000069	Prbg.g_00630	Prbc.g_00746
OG0000071	Prbg.g_00778	Prbc.g_01081
OG0000072	Prbg.g_00100	Prbc.g_01214
OG0000073	Prbg.g_01386	Prbc.g_01748
OG0000074	Prbg.g_01133	Prbc.g_01773
OG0000075	Prbg.g_01166	Prbc.g_01865
OG0000076	Prbg.g_01234	Prbc.g_02113
OG0000077	Prbg.g_01566	Prbc.g_00105, Prbc.g_02166, Prbc.g_00807
OG0000078	Prbg.g_00552	Prbc.g_01229
OG0000079	Prbg.g_00676	Prbc.g_00790
OG0000080	Prbg.g_00414	Prbc.g_00144
OG0000081	Prbg.g_01819	Prbc.g_00238
OG0000082	Prbg.g_00419	Prbc.g_01009
OG0000083	Prbg.g_00770	Prbc.g_01073
OG0000084	Prbg.g_00773	Prbc.g_01076
OG0000085	Prbg.g_00851	Prbc.g_01093
OG0000087	Prbg.g_00822	Prbc.g_01127
OG0000088	Prbg.g_00887	Prbc.g_00458
OG0000089	Prbg.g_00896	Prbc.g_00449
OG0000090	Prbg.g_00913	Prbc.g_00432
OG0000091	Prbg.g_00947	Prbc.g_00402
OG0000092	Prbg.g_00948	Prbc.g_00401
OG0000093	Prbg.g_00962	Prbc.g_00388
OG0000094	Prbg.g_00981	Prbc.g_00369
OG0000095	Prbg.g_00986	Prbc.g_00365
OG0000096	Prbg.g_01034	Prbc.g_01147
OG0000097	Prbg.g_00053	Prbc.g_01167
OG0000098	Prbg.g_00064	Prbc.g_01177
OG0000099	Prbg.g_00074	Prbc.g_01186
OG0000100	Prbg.g_00077	Prbc.g_01189
OG0000101	Prbg.g_00139	Prbc.g_01270
OG0000102	Prbg.g_00459	Prbc.g_02183
OG0000103	Prbg.g_00195	Prbc.g_01535
OG0000104	Prbg.g_00199	Prbc.g_01540
OG0000105	Prbg.g_00219	Prbc.g_01579
OG0000106	Prbg.g_00249	Prbc.g_01611
OG0000107	Prbg.g_00250	Prbc.g_01612
OG0000108	Prbg.g_00260	Prbc.g_01622
OG0000109	Prbg.g_00270	Prbc.g_01632
OG0000110	Prbg.g_00287	Prbc.g_01648
OG0000111	Prbg.g_01405	Prbc.g_01728
