Orthogroup	Prbc	Prav
OG0000192	Prbc.g_00449	Prav.g_00186
OG0000193	Prbc.g_00425	Prav.g_00213
OG0000194	Prbc.g_00422	Prav.g_00216
OG0000195	Prbc.g_00420	Prav.g_00887
OG0000196	Prbc.g_00410	Prav.g_00877
OG0000197	Prbc.g_00409	Prav.g_00876
OG0000198	Prbc.g_00408	Prav.g_00875
OG0000199	Prbc.g_00401	Prav.g_00868
OG0000200	Prbc.g_00388	Prav.g_00854
OG0000201	Prbc.g_00379	Prav.g_00846
OG0000202	Prbc.g_00378	Prav.g_00845
OG0000203	Prbc.g_00377	Prav.g_00844
OG0000204	Prbc.g_00376	Prav.g_00843
OG0000205	Prbc.g_00369	Prav.g_00836
OG0000206	Prbc.g_00365	Prav.g_00831
OG0000207	Prbc.g_00363	Prav.g_00829
OG0000208	Prbc.g_00362	Prav.g_00828
OG0000209	Prbc.g_00352	Prav.g_00819
OG0000210	Prbc.g_00351	Prav.g_00818
OG0000211	Prbc.g_00337	Prav.g_00805
OG0000212	Prbc.g_00329	Prav.g_00798
OG0000213	Prbc.g_01153	Prav.g_01904
OG0000214	Prbc.g_01161	Prav.g_01914
OG0000215	Prbc.g_01185	Prav.g_01938
OG0000216	Prbc.g_01186	Prav.g_01940
OG0000217	Prbc.g_01189	Prav.g_01943
OG0000218	Prbc.g_01191	Prav.g_01945
OG0000219	Prbc.g_01192	Prav.g_01946
OG0000220	Prbc.g_01193	Prav.g_01947
OG0000221	Prbc.g_01194	Prav.g_01948
OG0000222	Prbc.g_01202	Prav.g_01956
OG0000223	Prbc.g_01215	Prav.g_01969
OG0000224	Prbc.g_01217	Prav.g_01971
OG0000225	Prbc.g_01257	Prav.g_01992
OG0000226	Prbc.g_01261	Prav.g_01996
OG0000227	Prbc.g_01263	Prav.g_01998
OG0000228	Prbc.g_01267	Prav.g_00974
OG0000229	Prbc.g_01497	Prav.g_01035
OG0000230	Prbc.g_01499	Prav.g_01037
OG0000231	Prbc.g_01510	Prav.g_01048
OG0000232	Prbc.g_01518	Prav.g_01056
OG0000233	Prbc.g_01526	Prav.g_01061
OG0000234	Prbc.g_01535	Prav.g_01074
OG0000235	Prbc.g_01539	Prav.g_01077
OG0000236	Prbc.g_01552	Prav.g_01091
OG0000237	Prbc.g_01586	Prav.g_01104
OG0000238	Prbc.g_01592	Prav.g_01110
OG0000239	Prbc.g_01604	Prav.g_01123
OG0000240	Prbc.g_01605	Prav.g_01124
OG0000241	Prbc.g_01609	Prav.g_01128
OG0000242	Prbc.g_01611	Prav.g_01130
OG0000243	Prbc.g_01622	Prav.g_01141, Prav.g_00954
OG0000244	Prbc.g_01626	Prav.g_01144
OG0000245	Prbc.g_01628	Prav.g_01146
OG0000246	Prbc.g_01632	Prav.g_01150
OG0000247	Prbc.g_01642	Prav.g_01160
OG0000248	Prbc.g_01644	Prav.g_01162
OG0000249	Prbc.g_01646	Prav.g_01164
OG0000250	Prbc.g_01651	Prav.g_01169
OG0000251	Prbc.g_01667	Prav.g_01187
OG0000252	Prbc.g_01669	Prav.g_01190
OG0000253	Prbc.g_01671	Prav.g_01191
OG0000254	Prbc.g_01688	Prav.g_01207
OG0000255	Prbc.g_01694	Prav.g_01213
OG0000256	Prbc.g_01704	Prav.g_01225
OG0000257	Prbc.g_01707	Prav.g_01228
OG0000258	Prbc.g_01720	Prav.g_01241
OG0000259	Prbc.g_01737	Prav.g_01258
OG0000260	Prbc.g_01740	Prav.g_01261
OG0000261	Prbc.g_01743	Prav.g_01263
OG0000262	Prbc.g_01748	Prav.g_01267
OG0000263	Prbc.g_01762	Prav.g_01279
OG0000264	Prbc.g_01773	Prav.g_01289
OG0000265	Prbc.g_01787	Prav.g_00306
OG0000266	Prbc.g_01797	Prav.g_00316
OG0000267	Prbc.g_01810	Prav.g_00327
OG0000268	Prbc.g_01811	Prav.g_00328
OG0000269	Prbc.g_01853	Prav.g_00392
OG0000270	Prbc.g_01856	Prav.g_00395
OG0000271	Prbc.g_01864	Prav.g_00403
OG0000272	Prbc.g_01865	Prav.g_00404
OG0000273	Prbc.g_01890	Prav.g_00427
OG0000274	Prbc.g_01891	Prav.g_00428
OG0000275	Prbc.g_01893	Prav.g_00430
OG0000276	Prbc.g_01899	Prav.g_00435
OG0000277	Prbc.g_01900	Prav.g_00436
OG0000278	Prbc.g_01904	Prav.g_00439
OG0000279	Prbc.g_01911	Prav.g_00446
OG0000280	Prbc.g_00068	Prav.g_00447
OG0000281	Prbc.g_01917	Prav.g_00452
OG0000282	Prbc.g_01979	Prav.g_00501
OG0000283	Prbc.g_02010	Prav.g_00533
OG0000284	Prbc.g_02015	Prav.g_00538
OG0000285	Prbc.g_02020	Prav.g_00543
OG0000286	Prbc.g_02035	Prav.g_00555
OG0000287	Prbc.g_02190	Prav.g_00572
OG0000288	Prbc.g_02082	Prav.g_00906
OG0000289	Prbc.g_02094	Prav.g_00917
OG0000290	Prbc.g_02110	Prav.g_00930
OG0000291	Prbc.g_02112	Prav.g_00932
OG0000292	Prbc.g_00173	Prav.g_00261
OG0000293	Prbc.g_01456	Prav.g_00056
OG0000294	Prbc.g_01455	Prav.g_00057
OG0000295	Prbc.g_01431	Prav.g_00077
OG0000296	Prbc.g_01429	Prav.g_01867
OG0000297	Prbc.g_01421	Prav.g_01859
