Orthogroup	Prah	Pram
OG0000057	Prah.g_02295	Pram.g_00142
OG0000058	Prah.g_01660	Pram.g_00677
OG0000060	Prah.g_00873	Pram.g_01017
OG0000061	Prah.g_01812	Pram.g_01517
OG0000062	Prah.g_00641	Pram.g_00832
OG0000063	Prah.g_02425	Pram.g_01191
OG0000065	Prah.g_01778	Pram.g_00224
OG0000066	Prah.g_00312	Pram.g_00411
OG0000067	Prah.g_01027	Pram.g_00792
OG0000070	Prah.g_00915	Pram.g_00888
OG0000071	Prah.g_01257	Pram.g_01112
OG0000072	Prah.g_01364	Pram.g_01230
OG0000074	Prah.g_02192	Pram.g_01446
OG0000075	Prah.g_01995	Pram.g_01770
OG0000076	Prah.g_00358	Pram.g_01339
OG0000077	Prah.g_00013	Pram.g_01949
OG0000078	Prah.g_02187	Pram.g_00310
OG0000079	Prah.g_02538	Pram.g_01589
OG0000080	Prah.g_00445	Pram.g_01039
OG0000081	Prah.g_00974	Pram.g_00782
OG0000082	Prah.g_00660	Pram.g_00816
OG0000083	Prah.g_01190	Pram.g_01161
OG0000084	Prah.g_00796	Pram.g_00943
OG0000085	Prah.g_02597	Pram.g_01185
OG0000086	Prah.g_02524	Pram.g_01546
OG0000090	Prah.g_02191	Pram.g_01445
OG0000091	Prah.g_00398	Pram.g_01370
OG0000092	Prah.g_01609	Pram.g_01554
OG0000093	Prah.g_02043	Pram.g_01719
OG0000094	Prah.g_01999	Pram.g_01766
OG0000095	Prah.g_02230	Pram.g_01805
OG0000096	Prah.g_00052	Pram.g_01878
OG0000097	Prah.g_02533	Pram.g_01898
OG0000098	Prah.g_00004	Pram.g_01941
OG0000099	Prah.g_00029	Pram.g_00010
OG0000101	Prah.g_02458	Pram.g_00036
OG0000102	Prah.g_00194	Pram.g_00099
OG0000103	Prah.g_00176, Prah.g_00180	Pram.g_00108
OG0000104	Prah.g_02268	Pram.g_00125
OG0000105	Prah.g_02308	Pram.g_00155
OG0000106	Prah.g_02324	Pram.g_00168
OG0000107	Prah.g_02352	Pram.g_00177
OG0000108	Prah.g_02362	Pram.g_00187
OG0000109	Prah.g_01773	Pram.g_00227
OG0000110	Prah.g_02089	Pram.g_00239
OG0000111	Prah.g_02126	Pram.g_00262
OG0000112	Prah.g_02139	Pram.g_00273
OG0000113	Prah.g_02155	Pram.g_00286
OG0000114	Prah.g_02207	Pram.g_00313
OG0000115	Prah.g_00311	Pram.g_00410
OG0000116	Prah.g_00313, Prah.g_00314	Pram.g_00412
OG0000117	Prah.g_01566	Pram.g_00416
OG0000118	Prah.g_01544	Pram.g_00437
OG0000119	Prah.g_00108, Prah.g_01503	Pram.g_00470
OG0000120	Prah.g_01501	Pram.g_00471
OG0000121	Prah.g_01476	Pram.g_00480
OG0000122	Prah.g_01465	Pram.g_00489
OG0000123	Prah.g_01428	Pram.g_00522
OG0000124	Prah.g_00474	Pram.g_01059
OG0000125	Prah.g_00473	Pram.g_01058
OG0000126	Prah.g_00472	Pram.g_01057
