Orthogroup	Syaj	Prac
OG0000534	Syaj.g_00082	Prac.g_01055
OG0000535	Syaj.g_00083	Prac.g_01054
OG0000536	Syaj.g_00084	Prac.g_01053
OG0000537	Syaj.g_00085	Prac.g_01052
OG0000538	Syaj.g_00096	Prac.g_00871
OG0000539	Syaj.g_00097	Prac.g_00870
OG0000540	Syaj.g_00098	Prac.g_00869
OG0000541	Syaj.g_00099	Prac.g_00868
OG0000542	Syaj.g_00102	Prac.g_00866
OG0000543	Syaj.g_00104	Prac.g_00864
OG0000544	Syaj.g_00105	Prac.g_00863
OG0000545	Syaj.g_00107	Prac.g_00861
OG0000546	Syaj.g_00109	Prac.g_00858
OG0000547	Syaj.g_00111	Prac.g_00857
OG0000548	Syaj.g_00112	Prac.g_00856
OG0000549	Syaj.g_00118	Prac.g_00854
OG0000550	Syaj.g_00123	Prac.g_00849
OG0000551	Syaj.g_00128	Prac.g_00845
OG0000552	Syaj.g_00129	Prac.g_00844
OG0000553	Syaj.g_00133	Prac.g_00843
OG0000554	Syaj.g_00145	Prac.g_00838
OG0000555	Syaj.g_00163	Prac.g_00830
OG0000556	Syaj.g_00167	Prac.g_00828
OG0000557	Syaj.g_00178	Prac.g_00827
OG0000558	Syaj.g_00181	Prac.g_00825
OG0000559	Syaj.g_00185	Prac.g_00821
OG0000560	Syaj.g_00188	Prac.g_00818
OG0000561	Syaj.g_00189	Prac.g_00817
OG0000562	Syaj.g_00190	Prac.g_00816
