Orthogroup	Pras	Pray
OG0000034	Pras.g_00285	Pray.g_01793
OG0000036	Pras.g_01462	Pray.g_01177
OG0000037	Pras.g_01499	Pray.g_01140
OG0000038	Pras.g_01662	Pray.g_00304
OG0000039	Pras.g_01017	Pray.g_00647
OG0000040	Pras.g_01213	Pray.g_00838
OG0000041	Pras.g_01296	Pray.g_00910
OG0000042	Pras.g_01606	Pray.g_01040
OG0000043	Pras.g_01686	Pray.g_00333
OG0000044	Pras.g_00056	Pray.g_00064
OG0000045	Pras.g_00291	Pray.g_01786
OG0000046	Pras.g_00543	Pray.g_01566
OG0000047	Pras.g_00743	Pray.g_01364
OG0000048	Pras.g_00750	Pray.g_01371
OG0000050	Pras.g_00873	Pray.g_01493
OG0000051	Pras.g_01008	Pray.g_00638
OG0000052	Pras.g_01223	Pray.g_00848
OG0000053	Pras.g_01416	Pray.g_01222
OG0000054	Pras.g_01656	Pray.g_00299
OG0000055	Pras.g_01723	Pray.g_00370
OG0000056	Pras.g_00011	Pray.g_00110
OG0000057	Pras.g_01089	Pray.g_00718
OG0000058	Pras.g_01353	Pray.g_00965
OG0000059	Pras.g_01574	Pray.g_01065
OG0000060	Pras.g_01636	Pray.g_00282
OG0000061	Pras.g_01880	Pray.g_00531
OG0000062	Pras.g_00023	Pray.g_00097
OG0000063	Pras.g_00150	Pray.g_01927
OG0000064	Pras.g_00504	Pray.g_01583
OG0000065	Pras.g_00209	Pray.g_01870
OG0000066	Pras.g_00273, Pras.g_00271, Pras.g_00272, Pras.g_00330	Pray.g_01808
OG0000067	Pras.g_00142	Pray.g_01930
OG0000068	Pras.g_00687	Pray.g_01306
OG0000069	Pras.g_00326	Pray.g_01782
OG0000070	Pras.g_00191, Pras.g_00881	Pray.g_01942
OG0000071	Pras.g_00853	Pray.g_01473
OG0000072	Pras.g_01174	Pray.g_00800
OG0000073	Pras.g_01545	Pray.g_01094
OG0000074	Pras.g_01567	Pray.g_01072
OG0000075	Pras.g_01708	Pray.g_00355
OG0000076	Pras.g_01934	Pray.g_00584
OG0000077	Pras.g_00494	Pray.g_01575
OG0000078	Pras.g_00294	Pray.g_01788
OG0000079	Pras.g_00431	Pray.g_01644
OG0000080	Pras.g_00477	Pray.g_01595
OG0000081	Pras.g_00717	Pray.g_01337
OG0000082	Pras.g_00131, Pras.g_00806	Pray.g_01427
OG0000083	Pras.g_00845	Pray.g_01464
OG0000084	Pras.g_00848	Pray.g_01468
OG0000085	Pras.g_00865	Pray.g_01485
OG0000086	Pras.g_00892	Pray.g_00244
OG0000086	Pras.g_01273	Pray.g_00907
OG0000087	Pras.g_00902	Pray.g_00234
OG0000088	Pras.g_00964	Pray.g_00176
OG0000089	Pras.g_00972	Pray.g_00168
OG0000090	Pras.g_00990	Pray.g_00150
OG0000091	Pras.g_01020	Pray.g_00650
OG0000092	Pras.g_01021	Pray.g_00651
OG0000093	Pras.g_01035	Pray.g_00665
OG0000094	Pras.g_01053	Pray.g_00683
OG0000095	Pras.g_01058, Pras.g_01059	Pray.g_00688
OG0000096	Pras.g_01103	Pray.g_00732
OG0000097	Pras.g_01126	Pray.g_00753
OG0000098	Pras.g_01136	Pray.g_00763
OG0000099	Pras.g_01145	Pray.g_00772
OG0000100	Pras.g_01148	Pray.g_00775
OG0000101	Pras.g_01210	Pray.g_00835
OG0000102	Pras.g_01236	Pray.g_00861
OG0000103	Pras.g_01354	Pray.g_00966
OG0000104	Pras.g_01358	Pray.g_00970
OG0000105	Pras.g_01377	Pray.g_00990
OG0000106	Pras.g_01409	Pray.g_01023
OG0000107	Pras.g_01410	Pray.g_01024, Pray.g_01228
OG0000108	Pras.g_01420	Pray.g_01218
OG0000109	Pras.g_01429	Pray.g_01209
OG0000110	Pras.g_01445	Pray.g_01193
OG0000111	Pras.g_01527	Pray.g_01112
OG0000112	Pras.g_01528	Pray.g_01111
OG0000113	Pras.g_01628	Pray.g_00275
OG0000114	Pras.g_01699	Pray.g_00346
OG0000115	Pras.g_01859	Pray.g_00511
OG0000116	Pras.g_01863	Pray.g_00515
OG0000117	Pras.g_01931	Pray.g_00581
OG0000118	Pras.g_01982	Pray.g_00632
OG0000119	Pras.g_00026	Pray.g_00094
OG0000120	Pras.g_00062	Pray.g_00057
OG0000121	Pras.g_00081	Pray.g_00038
OG0000122	Pras.g_00101	Pray.g_00019
OG0000123	Pras.g_00114	Pray.g_00006
OG0000124	Pras.g_00122	Pray.g_00250
OG0000125	Pras.g_00221, Pras.g_00222	Pray.g_01858
OG0000126	Pras.g_00250	Pray.g_01829
OG0000127	Pras.g_00337	Pray.g_01735
OG0000128	Pras.g_00351	Pray.g_01721
OG0000129	Pras.g_00388	Pray.g_01685
OG0000130	Pras.g_00548	Pray.g_01561
OG0000131	Pras.g_00586	Pray.g_01523
OG0000132	Pras.g_00589	Pray.g_01520
OG0000133	Pras.g_00646	Pray.g_01265
OG0000134	Pras.g_00682	Pray.g_01301
OG0000135	Pras.g_00684	Pray.g_01303
OG0000136	Pras.g_00728	Pray.g_01348
OG0000137	Pras.g_00761	Pray.g_01381
OG0000138	Pras.g_00797	Pray.g_01417
OG0000139	Pras.g_00824	Pray.g_01444
OG0000140	Pras.g_00843	Pray.g_01462
OG0000141	Pras.g_00844	Pray.g_01463
OG0000142	Pras.g_00846	Pray.g_01465
OG0000143	Pras.g_00847	Pray.g_01467
OG0000144	Pras.g_00849	Pray.g_01469
OG0000145	Pras.g_00850	Pray.g_01470
OG0000146	Pras.g_00851	Pray.g_01471
OG0000147	Pras.g_00852	Pray.g_01472
OG0000148	Pras.g_00854	Pray.g_01474
OG0000149	Pras.g_00856	Pray.g_01476
OG0000150	Pras.g_00857	Pray.g_01477
OG0000151	Pras.g_00858	Pray.g_01478
OG0000152	Pras.g_00859	Pray.g_01479
OG0000153	Pras.g_00860	Pray.g_01480
OG0000154	Pras.g_00861	Pray.g_01481
OG0000155	Pras.g_00862	Pray.g_01482
OG0000156	Pras.g_00863	Pray.g_01483
OG0000157	Pras.g_00864	Pray.g_01484
OG0000158	Pras.g_00866	Pray.g_01486
OG0000159	Pras.g_00867	Pray.g_01487
OG0000160	Pras.g_00868	Pray.g_01488
OG0000161	Pras.g_00869	Pray.g_01489
OG0000162	Pras.g_00870	Pray.g_01490
OG0000163	Pras.g_00871	Pray.g_01491
OG0000164	Pras.g_00874	Pray.g_01494
OG0000165	Pras.g_00877	Pray.g_01497
OG0000166	Pras.g_00878	Pray.g_01498
OG0000167	Pras.g_00879	Pray.g_01499
OG0000168	Pras.g_00893	Pray.g_00243
OG0000169	Pras.g_00895	Pray.g_00241
