Orthogroup	Syat	Syak
OG0000042	Syat.g_00223, Syat.g_02222	Syak.g_00843, Syak.g_01681
OG0000045	Syat.g_00935	Syak.g_00317
OG0000046	Syat.g_01626, Syat.g_01026	Syak.g_01276
OG0000048	Syat.g_02046	Syak.g_01446
OG0000052	Syat.g_02140	Syak.g_01549
OG0000053	Syat.g_01330	Syak.g_01068
OG0000054	Syat.g_00987, Syat.g_03390	Syak.g_02744, Syak.g_02321
OG0000055	Syat.g_00693	Syak.g_00766
OG0000057	Syat.g_02055	Syak.g_01676
OG0000058	Syat.g_02133, Syat.g_02238	Syak.g_01530
OG0000059	Syat.g_01832	Syak.g_01355
OG0000060	Syat.g_01384	Syak.g_02572
OG0000060	Syat.g_01047	Syak.g_00844
OG0000061	Syat.g_03260	Syak.g_00898
OG0000062	Syat.g_03107	Syak.g_02434
OG0000063	Syat.g_02303	Syak.g_01752
OG0000064	Syat.g_01568	Syak.g_00254
OG0000065	Syat.g_01571	Syak.g_02192
OG0000066	Syat.g_03283	Syak.g_02653
OG0000068	Syat.g_00085, Syat.g_01295	Syak.g_02565
OG0000070	Syat.g_01032, Syat.g_01040	Syak.g_01174
OG0000071	Syat.g_01153	Syak.g_02322
OG0000072	Syat.g_02856	Syak.g_02099
OG0000073	Syat.g_03201	Syak.g_02597
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syak.g_01564
OG0000076	Syat.g_02206	Syak.g_01650
OG0000077	Syat.g_01481	Syak.g_02243
OG0000078	Syat.g_00184	Syak.g_02310
OG0000079	Syat.g_01879	Syak.g_01417
OG0000080	Syat.g_01200	Syak.g_01612
OG0000081	Syat.g_00980	Syak.g_00115
OG0000082	Syat.g_00035	Syak.g_02711
OG0000085	Syat.g_03113	Syak.g_02427
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syak.g_02219
OG0000087	Syat.g_02912	Syak.g_02141
OG0000088	Syat.g_02862	Syak.g_02106
OG0000089	Syat.g_02953	Syak.g_01215
OG0000090	Syat.g_03270	Syak.g_02640
OG0000091	Syat.g_00939, Syat.g_00862	Syak.g_00043
OG0000092	Syat.g_00825	Syak.g_01126
OG0000094	Syat.g_00698	Syak.g_00656
OG0000095	Syat.g_00808	Syak.g_00736
OG0000098	Syat.g_03281	Syak.g_00345, Syak.g_02651
OG0000099	Syat.g_02130	Syak.g_01527
OG0000100	Syat.g_00517	Syak.g_00622
OG0000102	Syat.g_00974	Syak.g_01661
OG0000104	Syat.g_02385	Syak.g_01799
OG0000105	Syat.g_02052	Syak.g_01451
OG0000106	Syat.g_00957	Syak.g_00096
OG0000107	Syat.g_01862	Syak.g_01392
OG0000108	Syat.g_03170	Syak.g_02574
OG0000109	Syat.g_03187	Syak.g_02590
OG0000110	Syat.g_00049	Syak.g_02698
OG0000111	Syat.g_00816	Syak.g_00725
OG0000112	Syat.g_00593	Syak.g_00512
OG0000113	Syat.g_00509	Syak.g_00461
OG0000114	Syat.g_00426	Syak.g_00065
OG0000115	Syat.g_01328	Syak.g_01066
OG0000116	Syat.g_02641	Syak.g_00911
OG0000117	Syat.g_00224	Syak.g_00846
OG0000118	Syat.g_01168	Syak.g_00954
OG0000119	Syat.g_00309	Syak.g_00917
OG0000120	Syat.g_02132	Syak.g_01526
OG0000121	Syat.g_01223	Syak.g_01044
OG0000123	Syat.g_01653	Syak.g_01299
OG0000124	Syat.g_02231	Syak.g_01692
OG0000125	Syat.g_02684	Syak.g_01934
OG0000126	Syat.g_00976	Syak.g_01801
OG0000127	Syat.g_00175	Syak.g_02269, Syak.g_02544
OG0000128	Syat.g_02331	Syak.g_01782
OG0000129	Syat.g_02693, Syat.g_02694	Syak.g_01947
OG0000130	Syat.g_01469	Syak.g_02255
OG0000131	Syat.g_02898	Syak.g_02128
OG0000132	Syat.g_02864	Syak.g_02108
OG0000133	Syat.g_00588	Syak.g_00507
OG0000134	Syat.g_02956	Syak.g_01212
OG0000135	Syat.g_02501	Syak.g_01897
OG0000136	Syat.g_01292	Syak.g_01186
OG0000137	Syat.g_01371	Syak.g_01118
OG0000138	Syat.g_03188	Syak.g_01062, Syak.g_02591
OG0000139	Syat.g_03276	Syak.g_02646
OG0000140	Syat.g_03280	Syak.g_02650
OG0000141	Syat.g_03398	Syak.g_02746
OG0000142	Syat.g_00117	Syak.g_00035
OG0000143	Syat.g_00130	Syak.g_00039
OG0000144	Syat.g_00369	Syak.g_00260
OG0000145	Syat.g_03202	Syak.g_02598
OG0000146	Syat.g_00594	Syak.g_00514
OG0000147	Syat.g_00595	Syak.g_00515
OG0000148	Syat.g_00503	Syak.g_00455
OG0000149	Syat.g_00747	Syak.g_00596
OG0000150	Syat.g_03399	Syak.g_02747
OG0000151	Syat.g_00801, Syat.g_00440	Syak.g_00387
OG0000152	Syat.g_00578	Syak.g_00503
OG0000153	Syat.g_00542	Syak.g_00470
OG0000154	Syat.g_00708	Syak.g_00645
OG0000155	Syat.g_00287	Syak.g_00855
OG0000156	Syat.g_03228	Syak.g_00919
OG0000157	Syat.g_02012, Syat.g_03227	Syak.g_00920
OG0000158	Syat.g_02163	Syak.g_01624
OG0000159	Syat.g_01187	Syak.g_01580
OG0000160	Syat.g_01224	Syak.g_01043
OG0000161	Syat.g_01180	Syak.g_01050
OG0000162	Syat.g_01281	Syak.g_01058
OG0000163	Syat.g_02979	Syak.g_02478
OG0000164	Syat.g_03040	Syak.g_02384
OG0000165	Syat.g_03033	Syak.g_02374
OG0000166	Syat.g_01822	Syak.g_01345
OG0000167	Syat.g_02148	Syak.g_01561
OG0000168	Syat.g_02164	Syak.g_01625
OG0000169	Syat.g_02192	Syak.g_01637
OG0000170	Syat.g_02201	Syak.g_01644
OG0000171	Syat.g_02230	Syak.g_01691
OG0000172	Syat.g_02260	Syak.g_01713
OG0000173	Syat.g_02284	Syak.g_01733
OG0000174	Syat.g_02504	Syak.g_01895
OG0000175	Syat.g_02416	Syak.g_01827
OG0000176	Syat.g_02372	Syak.g_01790
OG0000177	Syat.g_02338	Syak.g_01789
OG0000178	Syat.g_02337	Syak.g_01788
OG0000179	Syat.g_02322	Syak.g_01773
OG0000180	Syat.g_02321	Syak.g_01772
OG0000181	Syat.g_02320	Syak.g_01771
OG0000182	Syat.g_02319	Syak.g_01770
OG0000183	Syat.g_02315	Syak.g_01766
OG0000184	Syat.g_02704	Syak.g_01955
OG0000185	Syat.g_02719	Syak.g_01971
OG0000186	Syat.g_01463	Syak.g_02258
OG0000187	Syat.g_01467	Syak.g_02257
OG0000188	Syat.g_01489	Syak.g_02235
OG0000189	Syat.g_00386, Syat.g_01557	Syak.g_02203
OG0000190	Syat.g_00330	Syak.g_01575
OG0000191	Syat.g_03344, Syat.g_02939	Syak.g_02171
OG0000192	Syat.g_02933	Syak.g_02165
OG0000193	Syat.g_02897	Syak.g_02127
OG0000194	Syat.g_02894	Syak.g_02124
OG0000196	Syat.g_02867	Syak.g_02111
OG0000197	Syat.g_02866	Syak.g_02110
OG0000198	Syat.g_02865	Syak.g_02109
OG0000199	Syat.g_02857	Syak.g_02100
OG0000200	Syat.g_02840	Syak.g_02083
OG0000201	Syat.g_02821	Syak.g_02068
OG0000202	Syat.g_02820	Syak.g_02067
OG0000203	Syat.g_02819	Syak.g_02066
OG0000204	Syat.g_02818	Syak.g_02065
OG0000205	Syat.g_02809	Syak.g_02058
OG0000206	Syat.g_02785	Syak.g_02038
OG0000207	Syat.g_02778	Syak.g_02025
OG0000208	Syat.g_02777	Syak.g_02024
OG0000209	Syat.g_02735	Syak.g_01995
OG0000210	Syat.g_02734	Syak.g_01994
OG0000211	Syat.g_01452	Syak.g_02300
OG0000212	Syat.g_01442	Syak.g_02311
OG0000213	Syat.g_01889	Syak.g_01425
OG0000214	Syat.g_02042	Syak.g_01442
OG0000215	Syat.g_02075	Syak.g_01474
