Orthogroup	Syat	Syao
OG0000072	Syat.g_02856	Syao.g_02509
OG0000072	Syat.g_01597	Syao.g_01749
OG0000073	Syat.g_03201	Syao.g_00103
OG0000075	Syat.g_02497	Syao.g_02257
OG0000076	Syat.g_02206	Syao.g_01949
OG0000077	Syat.g_01481	Syao.g_02629
OG0000078	Syat.g_00184	Syao.g_01709
OG0000079	Syat.g_01879	Syao.g_02105
OG0000080	Syat.g_01200	Syao.g_02269
OG0000082	Syat.g_00035	Syao.g_01035
OG0000085	Syat.g_03113	Syao.g_01569
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syao.g_01240
OG0000087	Syat.g_02912	Syao.g_02555
OG0000088	Syat.g_02862	Syao.g_02503
OG0000089	Syat.g_02953	Syao.g_01716
OG0000090	Syat.g_03270	Syao.g_01412
OG0000091	Syat.g_00939, Syat.g_00862	Syao.g_00902
OG0000092	Syat.g_00825	Syao.g_00656
OG0000094	Syat.g_00698	Syao.g_00458
OG0000095	Syat.g_00808	Syao.g_00331
OG0000097	Syat.g_00535	Syao.g_00973
OG0000098	Syat.g_03281	Syao.g_01374
OG0000099	Syat.g_02130	Syao.g_02019
OG0000100	Syat.g_00517	Syao.g_00787
OG0000101	Syat.g_01661	Syao.g_01840
OG0000102	Syat.g_00974	Syao.g_01945
OG0000103	Syat.g_02399	Syao.g_02340
OG0000105	Syat.g_02052	Syao.g_02071, Syao.g_02072
OG0000106	Syat.g_00957	Syao.g_01385
OG0000107	Syat.g_01862	Syao.g_01935
OG0000108	Syat.g_03170	Syao.g_00028
OG0000109	Syat.g_03187	Syao.g_00110
OG0000110	Syat.g_00049	Syao.g_01051
OG0000111	Syat.g_00816	Syao.g_00378
OG0000112	Syat.g_00593	Syao.g_00683, Syao.g_00303
OG0000113	Syat.g_00509	Syao.g_00782
OG0000114	Syat.g_00426	Syao.g_00965
OG0000115	Syat.g_01328	Syao.g_01464, Syao.g_00065
OG0000116	Syat.g_02641	Syao.g_00137
OG0000117	Syat.g_00224	Syao.g_00169
OG0000118	Syat.g_01168	Syao.g_01475
OG0000120	Syat.g_02132	Syao.g_02009
OG0000121	Syat.g_01223	Syao.g_01489
OG0000123	Syat.g_01653	Syao.g_01832
OG0000124	Syat.g_02231	Syao.g_02179
OG0000127	Syat.g_00175	Syao.g_02375
OG0000128	Syat.g_02331	Syao.g_02149
OG0000129	Syat.g_02693	Syao.g_02434
OG0000130	Syat.g_01469	Syao.g_02617
OG0000131	Syat.g_02898	Syao.g_02480
OG0000132	Syat.g_02864	Syao.g_02501
OG0000133	Syat.g_00588	Syao.g_00678
OG0000134	Syat.g_02956	Syao.g_01719
OG0000135	Syat.g_02501	Syao.g_00147
OG0000136	Syat.g_01292	Syao.g_01614, Syao.g_01613
OG0000137	Syat.g_01371	Syao.g_02682
OG0000138	Syat.g_03188	Syao.g_00108
OG0000139	Syat.g_03276	Syao.g_01418
OG0000140	Syat.g_03280	Syao.g_01373, Syao.g_01372
OG0000141	Syat.g_03398	Syao.g_01202
OG0000142	Syat.g_00117	Syao.g_00894
OG0000143	Syat.g_00130	Syao.g_00898
OG0000145	Syat.g_03202	Syao.g_00102
OG0000146	Syat.g_00594	Syao.g_00684, Syao.g_00304
OG0000147	Syat.g_00595	Syao.g_00305, Syao.g_00685
OG0000148	Syat.g_00503	Syao.g_00776
OG0000149	Syat.g_00747	Syao.g_00534
OG0000150	Syat.g_03399	Syao.g_01203
OG0000151	Syat.g_00801, Syat.g_00440	Syao.g_00975
OG0000152	Syat.g_00578	Syao.g_00674
OG0000153	Syat.g_00542	Syao.g_00818, Syao.g_01176
OG0000154	Syat.g_00708	Syao.g_00447
OG0000155	Syat.g_00287	Syao.g_00178
OG0000156	Syat.g_03228	Syao.g_00151
OG0000157	Syat.g_02012, Syat.g_03227	Syao.g_00152
OG0000158	Syat.g_02163	Syao.g_02267
OG0000159	Syat.g_01187	Syao.g_02006
OG0000160	Syat.g_01224	Syao.g_01488
OG0000161	Syat.g_01180	Syao.g_01494
OG0000162	Syat.g_01281	Syao.g_01515
OG0000163	Syat.g_02979	Syao.g_01745
OG0000164	Syat.g_03040	Syao.g_01663
OG0000165	Syat.g_03033	Syao.g_01655
OG0000166	Syat.g_01822	Syao.g_01790
OG0000167	Syat.g_02148	Syao.g_01960
OG0000168	Syat.g_02164	Syao.g_02128
OG0000169	Syat.g_02192	Syao.g_02139
OG0000170	Syat.g_02201	Syao.g_02148
OG0000171	Syat.g_02230	Syao.g_02181
OG0000172	Syat.g_02260	Syao.g_02170
OG0000173	Syat.g_02284	Syao.g_02212
OG0000174	Syat.g_02504	Syao.g_02364, Syao.g_02355
OG0000175	Syat.g_02416	Syao.g_02327, Syao.g_00308
OG0000176	Syat.g_02372	Syao.g_02165
OG0000177	Syat.g_02338	Syao.g_02156
OG0000178	Syat.g_02337	Syao.g_02155
OG0000179	Syat.g_02322	Syao.g_02250
OG0000180	Syat.g_02321	Syao.g_02249
OG0000181	Syat.g_02320	Syao.g_02248
OG0000182	Syat.g_02319	Syao.g_02247
OG0000183	Syat.g_02315	Syao.g_02243
OG0000184	Syat.g_02704	Syao.g_02423
OG0000185	Syat.g_02719	Syao.g_02410
OG0000186	Syat.g_01463	Syao.g_02613
OG0000187	Syat.g_01467	Syao.g_02615
OG0000188	Syat.g_01489	Syao.g_02637
OG0000189	Syat.g_00386, Syat.g_01557	Syao.g_02672
OG0000190	Syat.g_00330	Syao.g_01015
OG0000191	Syat.g_03344, Syat.g_02939	Syao.g_02573
OG0000192	Syat.g_02933	Syao.g_02579
OG0000193	Syat.g_02897	Syao.g_02481
OG0000194	Syat.g_02894	Syao.g_02484
OG0000195	Syat.g_02892	Syao.g_02486
OG0000196	Syat.g_02867	Syao.g_02498
OG0000197	Syat.g_02866	Syao.g_02499
OG0000198	Syat.g_02865	Syao.g_02500
OG0000199	Syat.g_02857	Syao.g_02508
OG0000200	Syat.g_02840	Syao.g_02524
OG0000201	Syat.g_02821	Syao.g_02540
OG0000202	Syat.g_02820	Syao.g_02454
OG0000203	Syat.g_02819	Syao.g_02455
OG0000204	Syat.g_02818	Syao.g_02456
OG0000205	Syat.g_02809	Syao.g_02464
OG0000206	Syat.g_02785	Syao.g_02469
OG0000207	Syat.g_02778	Syao.g_02471
OG0000208	Syat.g_02777	Syao.g_02472
OG0000209	Syat.g_02735	Syao.g_02394
OG0000210	Syat.g_02734	Syao.g_02395
OG0000211	Syat.g_01452	Syao.g_01700
OG0000212	Syat.g_01442	Syao.g_01710
OG0000213	Syat.g_01889	Syao.g_02098
OG0000214	Syat.g_02042	Syao.g_02081
OG0000215	Syat.g_02075	Syao.g_02050
OG0000216	Syat.g_02079	Syao.g_02045
OG0000217	Syat.g_02085	Syao.g_02041
OG0000218	Syat.g_02087	Syao.g_02039
OG0000219	Syat.g_02088	Syao.g_02038
OG0000220	Syat.g_02089	Syao.g_02037
OG0000221	Syat.g_02095	Syao.g_02034
OG0000222	Syat.g_02109	Syao.g_02023
OG0000223	Syat.g_02570	Syao.g_00291
OG0000224	Syat.g_02139	Syao.g_01973
OG0000225	Syat.g_01595	Syao.g_01751
OG0000226	Syat.g_01588	Syao.g_01758
OG0000228	Syat.g_02952	Syao.g_01715
OG0000229	Syat.g_02970	Syao.g_01736
OG0000230	Syat.g_02972	Syao.g_01738
OG0000231	Syat.g_01283	Syao.g_01513
OG0000232	Syat.g_01313	Syao.g_00057
OG0000233	Syat.g_01407	Syao.g_02698
OG0000234	Syat.g_01369	Syao.g_02680
OG0000235	Syat.g_03169	Syao.g_00029
OG0000236	Syat.g_03186	Syao.g_00111
OG0000237	Syat.g_03214	Syao.g_00166
OG0000238	Syat.g_03219	Syao.g_00161
OG0000239	Syat.g_01105	Syao.g_01398
OG0000240	Syat.g_01104	Syao.g_01399
OG0000241	Syat.g_00111	Syao.g_00887
OG0000242	Syat.g_01077	Syao.g_01410
OG0000243	Syat.g_00092	Syao.g_00873
OG0000244	Syat.g_00082	Syao.g_00865
OG0000245	Syat.g_00080	Syao.g_00863
OG0000246	Syat.g_00076	Syao.g_00859
OG0000247	Syat.g_00065	Syao.g_00847
OG0000248	Syat.g_00062	Syao.g_00844
OG0000249	Syat.g_00060	Syao.g_00842
OG0000250	Syat.g_00053	Syao.g_00835
OG0000251	Syat.g_00027	Syao.g_01026
OG0000252	Syat.g_00022	Syao.g_01020
OG0000253	Syat.g_00021	Syao.g_01003
OG0000254	Syat.g_03407	Syao.g_01053
OG0000255	Syat.g_02405	Syao.g_01009
OG0000256	Syat.g_03306	Syao.g_01328
OG0000257	Syat.g_00109	Syao.g_00884
OG0000258	Syat.g_00382	Syao.g_00907
OG0000259	Syat.g_00342	Syao.g_00933, Syao.g_00932
OG0000260	Syat.g_00392	Syao.g_00936
OG0000261	Syat.g_00400	Syao.g_00941
OG0000262	Syat.g_00407	Syao.g_00946
OG0000263	Syat.g_00200	Syao.g_00247
OG0000266	Syat.g_00671	Syao.g_00480
OG0000267	Syat.g_00636	Syao.g_00589
OG0000268	Syat.g_00634	Syao.g_00588
OG0000269	Syat.g_00474, Syat.g_00126	Syao.g_00751
OG0000270	Syat.g_00477	Syao.g_00754
OG0000271	Syat.g_00485	Syao.g_00762
OG0000272	Syat.g_00486	Syao.g_00763
OG0000273	Syat.g_00520	Syao.g_00791
OG0000274	Syat.g_00521	Syao.g_00792
OG0000275	Syat.g_00718	Syao.g_00438
OG0000276	Syat.g_00725	Syao.g_00558
OG0000277	Syat.g_00738	Syao.g_00557
OG0000278	Syat.g_00741	Syao.g_00554
OG0000279	Syat.g_00755	Syao.g_00529
OG0000280	Syat.g_01669	Syao.g_00608
OG0000281	Syat.g_00960	Syao.g_01377
OG0000282	Syat.g_00431	Syao.g_00967
OG0000283	Syat.g_00620	Syao.g_00640
OG0000284	Syat.g_00614	Syao.g_00634
OG0000285	Syat.g_00607	Syao.g_00706
OG0000286	Syat.g_00579	Syao.g_00675
OG0000287	Syat.g_00550	Syao.g_00825
OG0000288	Syat.g_00709	Syao.g_00446
OG0000289	Syat.g_00695	Syao.g_00461
OG0000290	Syat.g_00805	Syao.g_00428
OG0000291	Syat.g_00807	Syao.g_00333
OG0000292	Syat.g_02388	Syao.g_02196
OG0000293	Syat.g_03241	Syao.g_00136
OG0000294	Syat.g_03248	Syao.g_00135
OG0000295	Syat.g_00297	Syao.g_00186
OG0000296	Syat.g_00295	Syao.g_00184
OG0000297	Syat.g_00226	Syao.g_00171
OG0000298	Syat.g_00225	Syao.g_00170
OG0000299	Syat.g_00910	Syao.g_00231
OG0000300	Syat.g_00904	Syao.g_00274
OG0000301	Syat.g_00903	Syao.g_00272, Syao.g_00273
OG0000302	Syat.g_00901	Syao.g_00271
OG0000303	Syat.g_00892	Syao.g_00262
OG0000304	Syat.g_00885	Syao.g_00256
OG0000305	Syat.g_00809	Syao.g_00388
OG0000306	Syat.g_01704	Syao.g_01216
OG0000307	Syat.g_01304	Syao.g_00045
OG0000308	Syat.g_01306	Syao.g_00047
OG0000309	Syat.g_01417	Syao.g_02705
OG0000310	Syat.g_01246	Syao.g_01530
OG0000311	Syat.g_01242	Syao.g_01533
OG0000312	Syat.g_01237	Syao.g_01538
OG0000313	Syat.g_01183	Syao.g_01491
OG0000314	Syat.g_01341	Syao.g_00078
OG0000315	Syat.g_01351	Syao.g_00088
OG0000316	Syat.g_03082	Syao.g_01602
OG0000317	Syat.g_03120	Syao.g_01560
OG0000318	Syat.g_03125	Syao.g_01553
OG0000319	Syat.g_03055	Syao.g_01678
OG0000320	Syat.g_03053	Syao.g_01676
OG0000321	Syat.g_03052	Syao.g_01675
OG0000322	Syat.g_03051	Syao.g_01674
OG0000323	Syat.g_03038	Syao.g_01661
OG0000324	Syat.g_02998	Syao.g_01630
OG0000325	Syat.g_01861	Syao.g_01936
OG0000326	Syat.g_01854	Syao.g_01918
OG0000327	Syat.g_01827	Syao.g_01795
OG0000328	Syat.g_01826	Syao.g_01794
OG0000329	Syat.g_01808	Syao.g_01776
OG0000330	Syat.g_01807	Syao.g_01775
OG0000331	Syat.g_01806	Syao.g_01774
OG0000332	Syat.g_01790	Syao.g_01813
OG0000333	Syat.g_01787	Syao.g_01810
OG0000334	Syat.g_01657	Syao.g_01836
OG0000335	Syat.g_01652	Syao.g_01831
OG0000336	Syat.g_01648	Syao.g_01827
OG0000337	Syat.g_02144	Syao.g_01968
OG0000338	Syat.g_02146	Syao.g_01962
OG0000340	Syat.g_02165	Syao.g_02129
OG0000341	Syat.g_02167	Syao.g_02131
OG0000342	Syat.g_02168	Syao.g_02132
OG0000343	Syat.g_02185	Syao.g_02133
OG0000344	Syat.g_02189	Syao.g_02137
OG0000345	Syat.g_02202	Syao.g_01953
OG0000346	Syat.g_02207	Syao.g_01948
OG0000347	Syat.g_02234	Syao.g_02178
OG0000348	Syat.g_02264	Syao.g_02166
OG0000349	Syat.g_02291	Syao.g_02219
OG0000350	Syat.g_01847	Syao.g_01925
OG0000351	Syat.g_02411	Syao.g_02331
OG0000352	Syat.g_02410	Syao.g_02332
OG0000353	Syat.g_00955, Syat.g_02377	Syao.g_02160
OG0000354	Syat.g_03225	Syao.g_00154, Syao.g_00155
OG0000354	Syat.g_02325	Syao.g_02252
OG0000355	Syat.g_02375	Syao.g_02162
OG0000356	Syat.g_02374	Syao.g_02163
OG0000357	Syat.g_02373	Syao.g_02164
OG0000358	Syat.g_02336	Syao.g_02154
OG0000359	Syat.g_02334	Syao.g_02152
OG0000360	Syat.g_02333	Syao.g_02151
OG0000361	Syat.g_02332	Syao.g_02150
OG0000362	Syat.g_02330	Syao.g_01954
OG0000363	Syat.g_02328	Syao.g_02255
