Orthogroup	Syab	Prbd
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Prbd.g_01478
OG0000042	Syab.g_01019, Syab.g_00099	Prbd.g_01328
OG0000043	Syab.g_02802	Prbd.g_01891
OG0000045	Syab.g_01787	Prbd.g_00867
OG0000047	Syab.g_00876	Prbd.g_00909
OG0000048	Syab.g_00308	Prbd.g_00439, Prbd.g_00864
OG0000053	Syab.g_00746	Prbd.g_01669
OG0000054	Syab.g_01932	Prbd.g_00638
OG0000055	Syab.g_01255	Prbd.g_00083
OG0000057	Syab.g_01200	Prbd.g_00546
OG0000059	Syab.g_00397	Prbd.g_01439
OG0000060	Syab.g_00662, Syab.g_02094, Syab.g_01222, Syab.g_00707	Prbd.g_00824
OG0000061	Syab.g_00969	Prbd.g_00468
OG0000062	Syab.g_02234	Prbd.g_01610
OG0000063	Syab.g_00040	Prbd.g_01204
OG0000065	Syab.g_02500, Syab.g_01768	Prbd.g_01137
OG0000066	Syab.g_01516, Syab.g_02031	Prbd.g_00703
OG0000067	Syab.g_01659	Prbd.g_00102
OG0000068	Syab.g_02087	Prbd.g_01764
OG0000070	Syab.g_00614	Prbd.g_00792
OG0000071	Syab.g_00915	Prbd.g_01801
OG0000072	Syab.g_02593	Prbd.g_01069
OG0000073	Syab.g_02119	Prbd.g_00743
OG0000075	Syab.g_00202	Prbd.g_01359
OG0000076	Syab.g_00113	Prbd.g_01335
OG0000077	Syab.g_02446	Prbd.g_01166
OG0000078	Syab.g_02366	Prbd.g_01000
OG0000079	Syab.g_00340	Prbd.g_00987
OG0000081	Syab.g_01793	Prbd.g_00711
OG0000082	Syab.g_01971	Prbd.g_00658
OG0000084	Syab.g_00781	Prbd.g_01693
OG0000085	Syab.g_02243	Prbd.g_01532
OG0000086	Syab.g_02468	Prbd.g_01156
OG0000087	Syab.g_02551	Prbd.g_01104, Prbd.g_01103
OG0000088	Syab.g_02586	Prbd.g_01074
OG0000089	Syab.g_00551	Prbd.g_00883
OG0000090	Syab.g_02041	Prbd.g_00709
OG0000091	Syab.g_01866	Prbd.g_00602
OG0000092	Syab.g_01242, Syab.g_00690	Prbd.g_01193
OG0000093	Syab.g_01582	Prbd.g_00232
OG0000094	Syab.g_01306	Prbd.g_00321
OG0000095	Syab.g_01210	Prbd.g_00340
OG0000097	Syab.g_01051	Prbd.g_00509
OG0000098	Syab.g_01553	Prbd.g_01782
OG0000099	Syab.g_00230	Prbd.g_01734
OG0000100	Syab.g_01694	Prbd.g_01614
OG0000101	Syab.g_00446	Prbd.g_01391
OG0000102	Syab.g_00104	Prbd.g_01330
OG0000103	Syab.g_02895, Syab.g_01296	Prbd.g_01250
OG0000104	Syab.g_02910	Prbd.g_01241
OG0000105	Syab.g_00303	Prbd.g_00965
OG0000106	Syab.g_01817	Prbd.g_00868
OG0000107	Syab.g_00367	Prbd.g_00852
OG0000108	Syab.g_02096	Prbd.g_00762
OG0000109	Syab.g_02112	Prbd.g_00748
OG0000110	Syab.g_01984	Prbd.g_00668
OG0000111	Syab.g_01201	Prbd.g_00545
OG0000112	Syab.g_01392	Prbd.g_00066
OG0000113	Syab.g_01689	Prbd.g_00124
OG0000114	Syab.g_02656, Syab.g_01633	Prbd.g_00206
OG0000115	Syab.g_00748	Prbd.g_00401
OG0000116	Syab.g_00945	Prbd.g_00458
OG0000117	Syab.g_01018	Prbd.g_01895
OG0000118	Syab.g_00897	Prbd.g_01789
OG0000120	Syab.g_00229	Prbd.g_01737
OG0000121	Syab.g_00772	Prbd.g_01687
OG0000122	Syab.g_01839	Prbd.g_01649
OG0000123	Syab.g_00454	Prbd.g_01384
OG0000124	Syab.g_00088	Prbd.g_01318
OG0000125	Syab.g_02763	Prbd.g_01281
OG0000126	Syab.g_02908	Prbd.g_01242
OG0000128	Syab.g_00012	Prbd.g_01226
OG0000129	Syab.g_02749	Prbd.g_01194
OG0000130	Syab.g_02434	Prbd.g_01175
OG0000131	Syab.g_02564	Prbd.g_01095
OG0000132	Syab.g_02584	Prbd.g_01076
OG0000133	Syab.g_01387	Prbd.g_00917
OG0000134	Syab.g_00554	Prbd.g_00882
OG0000135	Syab.g_02815	Prbd.g_00855
OG0000136	Syab.g_00588	Prbd.g_01722, Prbd.g_00801
OG0000137	Syab.g_00697	Prbd.g_00767
OG0000138	Syab.g_02113	Prbd.g_00747
OG0000139	Syab.g_02035	Prbd.g_00705
OG0000140	Syab.g_02033	Prbd.g_00704
OG0000141	Syab.g_01931	Prbd.g_00637
OG0000142	Syab.g_01524, Syab.g_01873	Prbd.g_00609
OG0000143	Syab.g_01870	Prbd.g_00605
OG0000144	Syab.g_01757	Prbd.g_00592
OG0000145	Syab.g_02120	Prbd.g_00062
OG0000146	Syab.g_01393	Prbd.g_00067
OG0000147	Syab.g_01394	Prbd.g_00068
OG0000148	Syab.g_01682, Syab.g_01683	Prbd.g_00118
OG0000149	Syab.g_01720	Prbd.g_00149
OG0000150	Syab.g_01930	Prbd.g_00157
OG0000151	Syab.g_01612	Prbd.g_00216
OG0000152	Syab.g_01383	Prbd.g_00264
OG0000153	Syab.g_01343	Prbd.g_00283
OG0000154	Syab.g_01317	Prbd.g_00314
OG0000155	Syab.g_01009	Prbd.g_00488
OG0000156	Syab.g_00933	Prbd.g_01812
OG0000157	Syab.g_00932	Prbd.g_01811
OG0000158	Syab.g_00161	Prbd.g_01736
OG0000160	Syab.g_00774	Prbd.g_01688
OG0000161	Syab.g_00766	Prbd.g_01682
OG0000162	Syab.g_00755	Prbd.g_01676
OG0000163	Syab.g_02173	Prbd.g_01642
OG0000164	Syab.g_02307	Prbd.g_01501
OG0000165	Syab.g_02316	Prbd.g_01494
OG0000166	Syab.g_00407	Prbd.g_01427
OG0000167	Syab.g_00205	Prbd.g_01361
OG0000168	Syab.g_00136	Prbd.g_01351
OG0000169	Syab.g_00125	Prbd.g_01341
OG0000170	Syab.g_00118	Prbd.g_01339
OG0000171	Syab.g_00089	Prbd.g_01319
OG0000172	Syab.g_00080	Prbd.g_01310
OG0000173	Syab.g_00061	Prbd.g_01295
OG0000174	Syab.g_02819	Prbd.g_01268
OG0000175	Syab.g_02876	Prbd.g_01258
OG0000176	Syab.g_00004	Prbd.g_01233
OG0000177	Syab.g_00005	Prbd.g_01232
OG0000178	Syab.g_00006	Prbd.g_01231
OG0000179	Syab.g_00022	Prbd.g_01221
OG0000180	Syab.g_00023	Prbd.g_01220
OG0000181	Syab.g_00024	Prbd.g_01219
OG0000182	Syab.g_00025	Prbd.g_01218
OG0000183	Syab.g_00029	Prbd.g_01214
OG0000184	Syab.g_02738	Prbd.g_01191
OG0000185	Syab.g_02715	Prbd.g_01188
OG0000186	Syab.g_02430	Prbd.g_01180
OG0000187	Syab.g_02431	Prbd.g_01179
OG0000188	Syab.g_02454	Prbd.g_01162
OG0000189	Syab.g_02487	Prbd.g_01148
OG0000190	Syab.g_00190, Syab.g_00139	Prbd.g_01147
OG0000191	Syab.g_02522	Prbd.g_01126
OG0000192	Syab.g_02528	Prbd.g_01122
OG0000193	Syab.g_02565	Prbd.g_01094
OG0000194	Syab.g_02568	Prbd.g_01091
OG0000195	Syab.g_02570	Prbd.g_01089
OG0000196	Syab.g_02581	Prbd.g_01079
OG0000197	Syab.g_02582	Prbd.g_01078
OG0000198	Syab.g_02583	Prbd.g_01077
OG0000199	Syab.g_02591	Prbd.g_01070
OG0000200	Syab.g_02611	Prbd.g_01056
OG0000201	Syab.g_02628	Prbd.g_01048
OG0000202	Syab.g_02629	Prbd.g_01047
OG0000203	Syab.g_02630	Prbd.g_01046
OG0000204	Syab.g_02631	Prbd.g_01045
OG0000205	Syab.g_02638	Prbd.g_01038
OG0000206	Syab.g_02674	Prbd.g_01033
OG0000207	Syab.g_02677	Prbd.g_01031
OG0000208	Syab.g_02678	Prbd.g_01030
OG0000209	Syab.g_02698	Prbd.g_01021
OG0000210	Syab.g_02699	Prbd.g_01020
OG0000211	Syab.g_02374	Prbd.g_01006
OG0000212	Syab.g_02365	Prbd.g_00999
OG0000213	Syab.g_00332	Prbd.g_00982
OG0000214	Syab.g_00312	Prbd.g_00972
OG0000215	Syab.g_00281	Prbd.g_00947
OG0000216	Syab.g_00277	Prbd.g_00945
OG0000217	Syab.g_00273	Prbd.g_00942
OG0000218	Syab.g_00271	Prbd.g_00940
OG0000219	Syab.g_00270	Prbd.g_00939
OG0000220	Syab.g_00269	Prbd.g_00938
OG0000221	Syab.g_00257	Prbd.g_00937
OG0000222	Syab.g_00244	Prbd.g_00929
OG0000223	Syab.g_00226	Prbd.g_00916
OG0000224	Syab.g_00223	Prbd.g_00914
OG0000225	Syab.g_00538	Prbd.g_00893
OG0000226	Syab.g_00542	Prbd.g_00889
OG0000227	Syab.g_00544	Prbd.g_00887
OG0000228	Syab.g_00550	Prbd.g_00884
OG0000229	Syab.g_00583	Prbd.g_00806
OG0000230	Syab.g_00585	Prbd.g_00804
OG0000231	Syab.g_00613	Prbd.g_00793
OG0000232	Syab.g_00631	Prbd.g_00784
OG0000233	Syab.g_00645	Prbd.g_00779
OG0000234	Syab.g_00699	Prbd.g_00766
OG0000235	Syab.g_02095	Prbd.g_00763
OG0000236	Syab.g_02111	Prbd.g_00749
OG0000237	Syab.g_02129	Prbd.g_00736
OG0000238	Syab.g_02134	Prbd.g_00730
OG0000239	Syab.g_02151	Prbd.g_00717
OG0000240	Syab.g_02152	Prbd.g_00716
OG0000241	Syab.g_01884	Prbd.g_00712
OG0000242	Syab.g_02043	Prbd.g_00710
OG0000243	Syab.g_02025	Prbd.g_00699
OG0000244	Syab.g_02017	Prbd.g_00696
OG0000245	Syab.g_02015	Prbd.g_00694
OG0000246	Syab.g_02011	Prbd.g_00690
OG0000247	Syab.g_01999	Prbd.g_00680
OG0000248	Syab.g_01996	Prbd.g_00678
OG0000249	Syab.g_01994	Prbd.g_00676
OG0000250	Syab.g_01988	Prbd.g_00671
OG0000251	Syab.g_01961	Prbd.g_00653
OG0000252	Syab.g_01958	Prbd.g_00650
OG0000253	Syab.g_01956	Prbd.g_00649
OG0000254	Syab.g_01925	Prbd.g_00633
OG0000255	Syab.g_01912	Prbd.g_00627
OG0000256	Syab.g_01890	Prbd.g_00617
OG0000257	Syab.g_01885	Prbd.g_00614
OG0000258	Syab.g_01861	Prbd.g_00601
OG0000259	Syab.g_01538	Prbd.g_00584
OG0000260	Syab.g_01544	Prbd.g_00581
OG0000261	Syab.g_01556	Prbd.g_00579
OG0000262	Syab.g_01561	Prbd.g_00575
OG0000263	Syab.g_01035	Prbd.g_00563
OG0000264	Syab.g_01173	Prbd.g_00553
OG0000265	Syab.g_01773	Prbd.g_00007
OG0000266	Syab.g_01667	Prbd.g_00017
OG0000267	Syab.g_01433	Prbd.g_00028
OG0000268	Syab.g_01432	Prbd.g_00029
OG0000269	Syab.g_01650	Prbd.g_00097
OG0000270	Syab.g_01657	Prbd.g_00100
OG0000271	Syab.g_01279	Prbd.g_00108
OG0000272	Syab.g_01280	Prbd.g_00109
OG0000273	Syab.g_01699	Prbd.g_00132
OG0000274	Syab.g_01700	Prbd.g_00133
OG0000275	Syab.g_01704	Prbd.g_00136
OG0000276	Syab.g_01712	Prbd.g_00141
OG0000277	Syab.g_01713	Prbd.g_00142
OG0000278	Syab.g_01716	Prbd.g_00145
OG0000279	Syab.g_01724	Prbd.g_00152
OG0000280	Syab.g_01736	Prbd.g_00153
OG0000281	Syab.g_00685, Syab.g_00852, Syab.g_01077, Syab.g_01546	Prbd.g_00158
OG0000282	Syab.g_01631	Prbd.g_00208
OG0000283	Syab.g_01418	Prbd.g_00241
OG0000284	Syab.g_01413	Prbd.g_00246
OG0000285	Syab.g_01402	Prbd.g_00251
OG0000286	Syab.g_01384	Prbd.g_00263
OG0000287	Syab.g_01350	Prbd.g_00280
OG0000288	Syab.g_01318	Prbd.g_00313
OG0000289	Syab.g_01303	Prbd.g_00324
OG0000290	Syab.g_01213	Prbd.g_00337
OG0000291	Syab.g_01211	Prbd.g_00339
OG0000292	Syab.g_02907	Prbd.g_00389
OG0000293	Syab.g_00946	Prbd.g_00459
OG0000294	Syab.g_00947	Prbd.g_00460
OG0000295	Syab.g_01001	Prbd.g_00480
OG0000296	Syab.g_01003	Prbd.g_00482
OG0000297	Syab.g_01016	Prbd.g_00490
OG0000298	Syab.g_01017	Prbd.g_00491
OG0000299	Syab.g_01047	Prbd.g_00508
OG0000300	Syab.g_01054	Prbd.g_00511
OG0000301	Syab.g_01055	Prbd.g_00512
OG0000302	Syab.g_01056	Prbd.g_00514
OG0000303	Syab.g_01149	Prbd.g_00521
OG0000304	Syab.g_01143	Prbd.g_00525
OG0000305	Syab.g_01208	Prbd.g_01772
OG0000306	Syab.g_01819	Prbd.g_01769
OG0000307	Syab.g_02078	Prbd.g_01755
OG0000308	Syab.g_02076	Prbd.g_01754
OG0000309	Syab.g_02071	Prbd.g_01750
OG0000310	Syab.g_00817	Prbd.g_01704
OG0000311	Syab.g_00811	Prbd.g_01702
OG0000312	Syab.g_00793	Prbd.g_01699
OG0000313	Syab.g_00769	Prbd.g_01685
OG0000314	Syab.g_00736	Prbd.g_01662
OG0000315	Syab.g_00726	Prbd.g_01652
OG0000316	Syab.g_02189	Prbd.g_01632
OG0000317	Syab.g_02251	Prbd.g_01527
OG0000318	Syab.g_02257	Prbd.g_01524
OG0000319	Syab.g_02291	Prbd.g_01511
OG0000320	Syab.g_02293	Prbd.g_01509
OG0000321	Syab.g_02294	Prbd.g_01508
OG0000322	Syab.g_02295	Prbd.g_01507
OG0000323	Syab.g_02310	Prbd.g_01498
OG0000324	Syab.g_02341	Prbd.g_01471
OG0000325	Syab.g_00368	Prbd.g_01462
OG0000326	Syab.g_00375	Prbd.g_01456
OG0000327	Syab.g_00402	Prbd.g_01432
OG0000328	Syab.g_00403	Prbd.g_01431
OG0000329	Syab.g_00420	Prbd.g_01414
OG0000330	Syab.g_00421	Prbd.g_01413
OG0000331	Syab.g_00422	Prbd.g_01412
OG0000332	Syab.g_00437	Prbd.g_01398
OG0000333	Syab.g_00440	Prbd.g_01396
OG0000334	Syab.g_00450	Prbd.g_01388
OG0000335	Syab.g_00455	Prbd.g_01383
OG0000336	Syab.g_00459	Prbd.g_01379
OG0000337	Syab.g_00210	Prbd.g_01363
OG0000338	Syab.g_00207	Prbd.g_01362
OG0000339	Syab.g_00201	Prbd.g_01358
OG0000340	Syab.g_00135	Prbd.g_01350
OG0000341	Syab.g_00157, Syab.g_00133	Prbd.g_01348
OG0000342	Syab.g_00132	Prbd.g_01347
OG0000343	Syab.g_00131	Prbd.g_01346
OG0000344	Syab.g_00127, Syab.g_02424	Prbd.g_01343
OG0000345	Syab.g_00117	Prbd.g_01338
OG0000346	Syab.g_00112	Prbd.g_01334
OG0000347	Syab.g_00087	Prbd.g_01317
OG0000348	Syab.g_00076	Prbd.g_01307
OG0000349	Syab.g_00054	Prbd.g_01290
OG0000350	Syab.g_00382	Prbd.g_01272
OG0000351	Syab.g_02879	Prbd.g_01255
OG0000352	Syab.g_02880	Prbd.g_01254
OG0000353	Syab.g_02913	Prbd.g_01238
OG0000355	Syab.g_00001	Prbd.g_01236
OG0000356	Syab.g_00002	Prbd.g_01235
OG0000357	Syab.g_00003	Prbd.g_01234
OG0000358	Syab.g_00007	Prbd.g_01230
OG0000359	Syab.g_00009	Prbd.g_01229
OG0000360	Syab.g_00010	Prbd.g_01228
OG0000361	Syab.g_00011	Prbd.g_01227
OG0000362	Syab.g_00013	Prbd.g_01225
OG0000363	Syab.g_00015	Prbd.g_01223
OG0000364	Syab.g_00016	Prbd.g_01222
OG0000365	Syab.g_00026	Prbd.g_01217
