Orthogroup	Praf	Prbl
OG0000064	Praf.g_00332	Prbl.g_00106
OG0000064	Praf.g_02486	Prbl.g_02178
OG0000064	Praf.g_02526	Prbl.g_00265
OG0000064	Praf.g_01194	Prbl.g_00740
OG0000064	Praf.g_02726, Praf.g_01259	Prbl.g_00261
OG0000066	Praf.g_01907	Prbl.g_01340
OG0000067	Praf.g_01125	Prbl.g_00025
OG0000070	Praf.g_01274	Prbl.g_00927
OG0000071	Praf.g_00919	Prbl.g_01384
OG0000072	Praf.g_00796	Prbl.g_01722
OG0000074	Praf.g_02343	Prbl.g_00892
OG0000075	Praf.g_02119	Prbl.g_01126, Prbl.g_01000
OG0000076	Praf.g_01851	Prbl.g_00712
OG0000076	Praf.g_02346	Prbl.g_00889
OG0000077	Praf.g_00012	Prbl.g_02109
OG0000078	Praf.g_02336	Prbl.g_00897
OG0000079	Praf.g_02705	Prbl.g_02190
OG0000080	Praf.g_01748	Prbl.g_01395
OG0000081	Praf.g_01219, Praf.g_01218	Prbl.g_01859
OG0000082	Praf.g_01537	Prbl.g_02328
OG0000084	Praf.g_01392	Prbl.g_02478
OG0000085	Praf.g_02776	Prbl.g_02128
OG0000086	Praf.g_02690	Prbl.g_02204
OG0000090	Praf.g_02342	Prbl.g_00893
OG0000091	Praf.g_01806	Prbl.g_00226
OG0000092	Praf.g_00549	Prbl.g_00462
OG0000093	Praf.g_02172	Prbl.g_00952
OG0000094	Praf.g_02123	Prbl.g_00996
OG0000095	Praf.g_02382, Praf.g_02380, Praf.g_02378	Prbl.g_00857
OG0000096	Praf.g_00053	Prbl.g_01991
OG0000097	Praf.g_02699	Prbl.g_02195
OG0000098	Praf.g_00003	Prbl.g_02118
OG0000099	Praf.g_00028	Prbl.g_01968
OG0000101	Praf.g_00333, Praf.g_02602	Prbl.g_02273
OG0000102	Praf.g_00224	Prbl.g_01331
OG0000103	Praf.g_00212	Prbl.g_01316
OG0000104	Praf.g_02420	Prbl.g_00810
OG0000105	Praf.g_02468	Prbl.g_00277
OG0000106	Praf.g_02492	Prbl.g_00069
OG0000107	Praf.g_02511	Prbl.g_00088
OG0000108	Praf.g_02521	Prbl.g_00098
OG0000109	Praf.g_00391	Prbl.g_00193
OG0000110	Praf.g_02217	Prbl.g_01506
OG0000111	Praf.g_02271	Prbl.g_01461
OG0000112	Praf.g_02284	Prbl.g_01448
OG0000113	Praf.g_02300	Prbl.g_01432
OG0000114	Praf.g_02358	Prbl.g_00877
OG0000115	Praf.g_01908	Prbl.g_01341
OG0000116	Praf.g_01905	Prbl.g_01339
OG0000117	Praf.g_00595	Prbl.g_00511
OG0000118	Praf.g_00616	Prbl.g_00533
OG0000119	Praf.g_00658	Prbl.g_00768
OG0000120	Praf.g_00660	Prbl.g_00766
OG0000121	Praf.g_00681	Prbl.g_02647
OG0000122	Praf.g_00692	Prbl.g_01886
OG0000123	Praf.g_00730	Prbl.g_01784
OG0000124	Praf.g_01720	Prbl.g_01043
OG0000125	Praf.g_01721	Prbl.g_01042
OG0000126	Praf.g_01722	Prbl.g_01041
OG0000127	Praf.g_00780, Praf.g_00406	Prbl.g_00318
OG0000128	Praf.g_01304	Prbl.g_02564
OG0000129	Praf.g_01435	Prbl.g_02432
OG0000130	Praf.g_00941	Prbl.g_01099
OG0000131	Praf.g_01528	Prbl.g_02337
OG0000132	Praf.g_01590	Prbl.g_01538
OG0000133	Praf.g_00104, Praf.g_01497	Prbl.g_02365
OG0000134	Praf.g_01503	Prbl.g_02359
OG0000135	Praf.g_01384, Praf.g_01383	Prbl.g_02486
OG0000136	Praf.g_01277	Prbl.g_00930
OG0000137	Praf.g_02692	Prbl.g_02202
OG0000138	Praf.g_00833	Prbl.g_02078
OG0000139	Praf.g_00861	Prbl.g_02091
OG0000140	Praf.g_00938	Prbl.g_01102
OG0000141	Praf.g_01285	Prbl.g_00937
OG0000142	Praf.g_00779	Prbl.g_01736
OG0000143	Praf.g_00585, Praf.g_00583	Prbl.g_00502
OG0000144	Praf.g_01778, Praf.g_01776	Prbl.g_00258
OG0000145	Praf.g_01795	Prbl.g_00241
OG0000146	Praf.g_01848	Prbl.g_00709
OG0000147	Praf.g_00502	Prbl.g_00418
OG0000148	Praf.g_00501	Prbl.g_00417
OG0000149	Praf.g_00485	Prbl.g_00399
OG0000150	Praf.g_00437	Prbl.g_00350
OG0000151	Praf.g_00434	Prbl.g_00347
OG0000152	Praf.g_00402	Prbl.g_02620
OG0000153	Praf.g_02162	Prbl.g_00957
OG0000154	Praf.g_02125	Prbl.g_00994
OG0000155	Praf.g_02102	Prbl.g_01141
OG0000156	Praf.g_02396	Prbl.g_00841
OG0000157	Praf.g_00152	Prbl.g_02053
OG0000158	Praf.g_02757	Prbl.g_02147
OG0000160	Praf.g_00001	Prbl.g_02120
OG0000161	Praf.g_00002	Prbl.g_02119
OG0000162	Praf.g_00004	Prbl.g_02117
OG0000163	Praf.g_00005	Prbl.g_02116
OG0000164	Praf.g_00006	Prbl.g_02115
OG0000165	Praf.g_00007	Prbl.g_02114
OG0000166	Praf.g_00009	Prbl.g_02112
OG0000167	Praf.g_00010	Prbl.g_02111
OG0000168	Praf.g_00011	Prbl.g_02110
OG0000169	Praf.g_00013	Prbl.g_02108
OG0000170	Praf.g_00015	Prbl.g_01955
OG0000171	Praf.g_00016	Prbl.g_01956
OG0000172	Praf.g_00021	Prbl.g_01961
OG0000173	Praf.g_00022	Prbl.g_01962
OG0000174	Praf.g_00023	Prbl.g_01963
OG0000175	Praf.g_00024	Prbl.g_01964
OG0000176	Praf.g_00025	Prbl.g_01965
OG0000177	Praf.g_00026	Prbl.g_01966
OG0000178	Praf.g_00027	Prbl.g_01967
OG0000179	Praf.g_00029	Prbl.g_01969
OG0000180	Praf.g_00030	Prbl.g_01970
OG0000181	Praf.g_00031	Prbl.g_01971
OG0000182	Praf.g_00032	Prbl.g_01972
OG0000183	Praf.g_00033	Prbl.g_01973
OG0000184	Praf.g_00035	Prbl.g_01975
OG0000185	Praf.g_00040	Prbl.g_01980
OG0000186	Praf.g_00045	Prbl.g_01985
OG0000187	Praf.g_00046	Prbl.g_01986
OG0000188	Praf.g_00047	Prbl.g_01987
OG0000189	Praf.g_00050	Prbl.g_01988
OG0000190	Praf.g_00052	Prbl.g_01990
OG0000191	Praf.g_02654	Prbl.g_02241
OG0000192	Praf.g_02652	Prbl.g_02243
OG0000193	Praf.g_02618	Prbl.g_02244
OG0000194	Praf.g_02611	Prbl.g_02251
OG0000195	Praf.g_02605	Prbl.g_02258
OG0000196	Praf.g_02603	Prbl.g_02266
OG0000197	Praf.g_02601	Prbl.g_02274
OG0000198	Praf.g_02597	Prbl.g_02275
OG0000199	Praf.g_02596	Prbl.g_02276
OG0000200	Praf.g_00328	Prbl.g_00614
OG0000201	Praf.g_00326	Prbl.g_00613
OG0000202	Praf.g_00325	Prbl.g_00612
OG0000203	Praf.g_00321	Prbl.g_00608
OG0000204	Praf.g_00320	Prbl.g_00607
OG0000205	Praf.g_00316	Prbl.g_00603
OG0000206	Praf.g_00314	Prbl.g_00601
OG0000207	Praf.g_00310	Prbl.g_00597
OG0000208	Praf.g_00309	Prbl.g_00596
OG0000209	Praf.g_00962	Prbl.g_01075
OG0000210	Praf.g_00308	Prbl.g_00595
OG0000211	Praf.g_00304	Prbl.g_00592
OG0000212	Praf.g_00303	Prbl.g_00591
OG0000213	Praf.g_00302	Prbl.g_00590
OG0000214	Praf.g_00301	Prbl.g_00589
OG0000215	Praf.g_00300	Prbl.g_00588
OG0000216	Praf.g_00299	Prbl.g_00587
OG0000217	Praf.g_00297	Prbl.g_00583
OG0000218	Praf.g_00296	Prbl.g_00582
OG0000219	Praf.g_00268	Prbl.g_00576
OG0000220	Praf.g_00264	Prbl.g_00572
OG0000221	Praf.g_00259	Prbl.g_00567
OG0000222	Praf.g_00258	Prbl.g_00566
OG0000223	Praf.g_00257	Prbl.g_00565
OG0000224	Praf.g_00255	Prbl.g_00563
OG0000225	Praf.g_00254	Prbl.g_00562
OG0000226	Praf.g_00253	Prbl.g_00561
OG0000227	Praf.g_00251	Prbl.g_00559
OG0000228	Praf.g_00250	Prbl.g_00558
OG0000229	Praf.g_00249	Prbl.g_00557
OG0000230	Praf.g_00248	Prbl.g_00556
OG0000231	Praf.g_00247	Prbl.g_00555
OG0000232	Praf.g_00245	Prbl.g_00553
OG0000233	Praf.g_00244	Prbl.g_00552
OG0000234	Praf.g_00243	Prbl.g_00551
OG0000235	Praf.g_00240	Prbl.g_00548
OG0000236	Praf.g_00232	Prbl.g_00544
OG0000237	Praf.g_00230	Prbl.g_00542
OG0000238	Praf.g_00225	Prbl.g_01332
OG0000239	Praf.g_00223	Prbl.g_01330
OG0000240	Praf.g_00221	Prbl.g_01328
OG0000241	Praf.g_00219	Prbl.g_01326
OG0000242	Praf.g_00218	Prbl.g_01325
OG0000243	Praf.g_00214	Prbl.g_01320
OG0000244	Praf.g_00209	Prbl.g_01315
OG0000245	Praf.g_00208	Prbl.g_01314
OG0000246	Praf.g_00207	Prbl.g_01313
OG0000247	Praf.g_02403	Prbl.g_00827
OG0000248	Praf.g_02405	Prbl.g_00825
OG0000249	Praf.g_02408	Prbl.g_00822
OG0000250	Praf.g_02410	Prbl.g_00820
OG0000251	Praf.g_02411	Prbl.g_00819
OG0000252	Praf.g_02412	Prbl.g_00818
OG0000253	Praf.g_02413	Prbl.g_00817
OG0000254	Praf.g_02415	Prbl.g_00815
