Orthogroup	Pram	Syan
OG0000415	Pram.g_00143	Syan.g_03022
OG0000416	Pram.g_00144	Syan.g_03023
OG0000417	Pram.g_00145	Syan.g_03025
OG0000418	Pram.g_00150	Syan.g_03030
OG0000419	Pram.g_00152	Syan.g_03033
OG0000420	Pram.g_00153	Syan.g_03035
OG0000421	Pram.g_00157	Syan.g_03040
OG0000422	Pram.g_00158	Syan.g_03041
OG0000423	Pram.g_00159	Syan.g_03042
OG0000424	Pram.g_00160	Syan.g_03043
OG0000425	Pram.g_00161	Syan.g_03044
OG0000426	Pram.g_00162	Syan.g_03045
OG0000427	Pram.g_00163	Syan.g_03046
OG0000428	Pram.g_00165	Syan.g_03049
OG0000429	Pram.g_00166	Syan.g_03051
OG0000430	Pram.g_00167	Syan.g_03053
OG0000431	Pram.g_00169	Syan.g_03058
OG0000432	Pram.g_00173	Syan.g_03065
OG0000433	Pram.g_00174	Syan.g_03068
OG0000434	Pram.g_00175	Syan.g_03069
OG0000435	Pram.g_00176	Syan.g_03071
OG0000436	Pram.g_00181	Syan.g_03079
OG0000437	Pram.g_00182	Syan.g_03080
OG0000438	Pram.g_00183	Syan.g_03083
OG0000439	Pram.g_00185	Syan.g_03085
OG0000440	Pram.g_00186	Syan.g_03086
OG0000441	Pram.g_00189	Syan.g_03089
OG0000442	Pram.g_00190	Syan.g_03090
OG0000443	Pram.g_00191	Syan.g_03094
OG0000444	Pram.g_00196	Syan.g_03102
OG0000445	Pram.g_00197	Syan.g_03103
OG0000446	Pram.g_00198	Syan.g_03105
OG0000447	Pram.g_00199	Syan.g_03111
OG0000448	Pram.g_00200	Syan.g_03112
OG0000449	Pram.g_00201	Syan.g_03113
OG0000450	Pram.g_00202	Syan.g_01518
OG0000451	Pram.g_00203	Syan.g_01519
OG0000452	Pram.g_00206	Syan.g_01523
OG0000453	Pram.g_00207	Syan.g_01524
OG0000454	Pram.g_00208	Syan.g_01525
OG0000455	Pram.g_00209	Syan.g_01526
OG0000456	Pram.g_00210	Syan.g_01527
OG0000457	Pram.g_00212	Syan.g_01529
OG0000458	Pram.g_00213	Syan.g_01530
OG0000459	Pram.g_00214	Syan.g_01531
OG0000460	Pram.g_00222	Syan.g_02423
OG0000461	Pram.g_00230	Syan.g_02099
OG0000462	Pram.g_00232	Syan.g_02096
OG0000463	Pram.g_00233	Syan.g_02095
OG0000464	Pram.g_00234	Syan.g_02094
OG0000465	Pram.g_00235	Syan.g_02092
OG0000466	Pram.g_00238	Syan.g_02087
OG0000467	Pram.g_00239	Syan.g_02086
OG0000468	Pram.g_00242	Syan.g_02063
OG0000469	Pram.g_00250	Syan.g_02046
OG0000470	Pram.g_00252	Syan.g_02044
OG0000471	Pram.g_00253	Syan.g_02043
OG0000472	Pram.g_00254	Syan.g_02041
OG0000473	Pram.g_00256	Syan.g_02039
OG0000474	Pram.g_00257	Syan.g_02038
OG0000475	Pram.g_00258	Syan.g_02037
OG0000476	Pram.g_00260	Syan.g_02035
OG0000477	Pram.g_00263	Syan.g_02029
OG0000478	Pram.g_00264	Syan.g_02028
OG0000479	Pram.g_00265	Syan.g_02027
OG0000480	Pram.g_00270	Syan.g_02020
OG0000481	Pram.g_00273	Syan.g_00975
OG0000482	Pram.g_00274	Syan.g_02018
OG0000483	Pram.g_00277	Syan.g_02014
OG0000484	Pram.g_00278	Syan.g_02013
OG0000485	Pram.g_00280	Syan.g_02012
OG0000486	Pram.g_00281	Syan.g_02011
OG0000487	Pram.g_00284	Syan.g_02005
OG0000488	Pram.g_00287	Syan.g_02000
OG0000489	Pram.g_00292	Syan.g_01993
OG0000490	Pram.g_00296	Syan.g_01985
OG0000491	Pram.g_00297	Syan.g_01983
OG0000492	Pram.g_00299	Syan.g_01980
OG0000493	Pram.g_00300	Syan.g_01979
OG0000494	Pram.g_00301	Syan.g_01978
OG0000495	Pram.g_00302	Syan.g_01977
OG0000496	Pram.g_00303	Syan.g_01976
OG0000497	Pram.g_00304	Syan.g_01975
OG0000498	Pram.g_00305	Syan.g_01974
OG0000499	Pram.g_00306	Syan.g_01973
OG0000500	Pram.g_00307	Syan.g_01972
OG0000501	Pram.g_00309	Syan.g_01969
OG0000502	Pram.g_00312	Syan.g_01961
OG0000503	Pram.g_00328	Syan.g_02144
OG0000504	Pram.g_00330	Syan.g_02142
OG0000505	Pram.g_00331	Syan.g_02141
OG0000506	Pram.g_00332	Syan.g_02139
OG0000507	Pram.g_00336	Syan.g_02133
OG0000508	Pram.g_00340	Syan.g_02998
OG0000509	Pram.g_00342	Syan.g_02993
OG0000510	Pram.g_00343	Syan.g_02992
OG0000511	Pram.g_00344	Syan.g_02991
OG0000512	Pram.g_00346	Syan.g_02989
OG0000513	Pram.g_00355	Syan.g_02320
OG0000514	Pram.g_00366	Syan.g_02326
OG0000515	Pram.g_00367	Syan.g_02327
OG0000516	Pram.g_00368	Syan.g_02389
OG0000517	Pram.g_00370	Syan.g_02395
OG0000518	Pram.g_00381	Syan.g_01336
OG0000519	Pram.g_00382	Syan.g_01335
OG0000520	Pram.g_00383	Syan.g_01334
OG0000521	Pram.g_00393	Syan.g_02805
OG0000522	Pram.g_00395	Syan.g_02803
OG0000523	Pram.g_00396	Syan.g_02802
OG0000524	Pram.g_00400	Syan.g_02878
OG0000525	Pram.g_00404	Syan.g_02853
OG0000526	Pram.g_00406	Syan.g_02852
OG0000527	Pram.g_00409	Syan.g_02848
OG0000528	Pram.g_00414	Syan.g_02767
OG0000529	Pram.g_00417	Syan.g_02763
OG0000530	Pram.g_00420	Syan.g_02760
OG0000531	Pram.g_00421	Syan.g_02759
OG0000532	Pram.g_00423	Syan.g_02756
OG0000533	Pram.g_00424	Syan.g_02754
OG0000534	Pram.g_00425	Syan.g_02753
OG0000535	Pram.g_00426	Syan.g_02752
OG0000536	Pram.g_00427	Syan.g_02751
OG0000537	Pram.g_00428	Syan.g_02750
OG0000538	Pram.g_00438	Syan.g_02738
OG0000539	Pram.g_00439	Syan.g_02737
OG0000540	Pram.g_00440	Syan.g_02736
OG0000541	Pram.g_00441	Syan.g_02735
OG0000542	Pram.g_00442	Syan.g_02732
OG0000543	Pram.g_00444	Syan.g_02730
OG0000544	Pram.g_00445	Syan.g_02729
OG0000545	Pram.g_00447	Syan.g_02727
OG0000546	Pram.g_00450	Syan.g_02725
OG0000547	Pram.g_00452	Syan.g_02723
OG0000548	Pram.g_00453	Syan.g_02722
OG0000549	Pram.g_00456	Syan.g_01194
OG0000550	Pram.g_00461	Syan.g_01189
OG0000551	Pram.g_00464	Syan.g_01184
OG0000552	Pram.g_00465	Syan.g_01183
OG0000553	Pram.g_00466	Syan.g_01179
OG0000554	Pram.g_00472	Syan.g_01165
OG0000555	Pram.g_00479	Syan.g_00839
OG0000556	Pram.g_00481	Syan.g_00842
OG0000557	Pram.g_00482	Syan.g_00847
OG0000558	Pram.g_00484	Syan.g_00849
OG0000559	Pram.g_00488	Syan.g_00853
OG0000560	Pram.g_00491	Syan.g_00856
OG0000561	Pram.g_00492	Syan.g_00857
OG0000562	Pram.g_00493	Syan.g_00858
OG0000563	Pram.g_00494	Syan.g_00859
OG0000564	Pram.g_00495	Syan.g_00860
OG0000565	Pram.g_00498	Syan.g_00864
OG0000566	Pram.g_00502	Syan.g_00868
OG0000567	Pram.g_00506	Syan.g_00872
OG0000568	Pram.g_00507	Syan.g_00874
OG0000569	Pram.g_00508	Syan.g_00875
OG0000570	Pram.g_00509	Syan.g_00876
OG0000571	Pram.g_00511	Syan.g_00879
OG0000572	Pram.g_00523	Syan.g_00954
OG0000573	Pram.g_00529	Syan.g_00963
OG0000574	Pram.g_00530	Syan.g_00965
OG0000575	Pram.g_00534	Syan.g_01003
OG0000576	Pram.g_00536	Syan.g_01007
