Orthogroup	Pram	Syan
OG0000577	Pram.g_00537	Syan.g_01008
OG0000578	Pram.g_00538	Syan.g_01009
OG0000579	Pram.g_00539	Syan.g_01010
OG0000580	Pram.g_00540	Syan.g_01011
OG0000581	Pram.g_00543	Syan.g_01018
OG0000582	Pram.g_00546	Syan.g_01030
OG0000583	Pram.g_00547	Syan.g_01029
OG0000584	Pram.g_00548	Syan.g_01028
OG0000585	Pram.g_00550	Syan.g_01024
OG0000586	Pram.g_00551	Syan.g_01022
OG0000587	Pram.g_00552	Syan.g_01020
OG0000588	Pram.g_00556	Syan.g_00215
OG0000589	Pram.g_00559	Syan.g_00016
OG0000590	Pram.g_00560	Syan.g_00015
OG0000591	Pram.g_00564	Syan.g_00003
OG0000592	Pram.g_00565	Syan.g_00002
OG0000593	Pram.g_01078	Syan.g_00820
OG0000594	Pram.g_01077	Syan.g_00819
OG0000595	Pram.g_01076	Syan.g_00818
OG0000596	Pram.g_01073	Syan.g_00813
OG0000597	Pram.g_01070	Syan.g_00810
OG0000598	Pram.g_01069	Syan.g_00809
OG0000599	Pram.g_01066	Syan.g_00802
OG0000600	Pram.g_01065	Syan.g_00801
OG0000601	Pram.g_01064	Syan.g_00800
OG0000602	Pram.g_01062	Syan.g_00796
OG0000603	Pram.g_01061	Syan.g_00795
OG0000604	Pram.g_01060	Syan.g_00792
OG0000605	Pram.g_01059	Syan.g_00783
OG0000606	Pram.g_01056	Syan.g_00780
OG0000607	Pram.g_01053	Syan.g_00777
OG0000608	Pram.g_01052	Syan.g_00776
OG0000609	Pram.g_01051	Syan.g_00774
OG0000610	Pram.g_01045	Syan.g_00766
OG0000611	Pram.g_01042	Syan.g_00763
OG0000612	Pram.g_01041	Syan.g_00762
OG0000613	Pram.g_00763	Syan.g_01965
OG0000614	Pram.g_00784	Syan.g_00184
OG0000615	Pram.g_00795	Syan.g_00728
OG0000616	Pram.g_01927	Syan.g_01694
OG0000617	Pram.g_01024	Syan.g_00324
OG0000618	Pram.g_01023	Syan.g_00325
OG0000619	Pram.g_01022	Syan.g_00326
OG0000620	Pram.g_01019	Syan.g_00331
OG0000621	Pram.g_01018	Syan.g_00332
OG0000622	Pram.g_01017	Syan.g_00334
OG0000623	Pram.g_01016	Syan.g_00335
OG0000624	Pram.g_01014	Syan.g_00337
OG0000625	Pram.g_01013	Syan.g_00338
OG0000626	Pram.g_01012	Syan.g_00339
OG0000627	Pram.g_01011	Syan.g_00465
OG0000628	Pram.g_01010	Syan.g_00466
OG0000629	Pram.g_01008	Syan.g_00469
OG0000630	Pram.g_01005	Syan.g_00474
OG0000631	Pram.g_00913	Syan.g_00484
OG0000632	Pram.g_00914	Syan.g_00485
OG0000633	Pram.g_00915	Syan.g_00489
OG0000634	Pram.g_00805	Syan.g_00694
OG0000635	Pram.g_00806	Syan.g_00693
OG0000636	Pram.g_00808	Syan.g_00691
OG0000637	Pram.g_00810	Syan.g_00689
OG0000638	Pram.g_00811	Syan.g_00688
OG0000639	Pram.g_00812	Syan.g_00687
OG0000640	Pram.g_00813	Syan.g_00686
OG0000641	Pram.g_00817	Syan.g_00682
OG0000642	Pram.g_00818	Syan.g_00681
OG0000643	Pram.g_00819	Syan.g_00679
OG0000644	Pram.g_00820	Syan.g_00678
OG0000645	Pram.g_00821	Syan.g_00676
OG0000646	Pram.g_00823	Syan.g_00673
OG0000647	Pram.g_00825	Syan.g_00671
OG0000648	Pram.g_00827	Syan.g_00669
OG0000649	Pram.g_00828	Syan.g_00668
OG0000650	Pram.g_00829	Syan.g_00667
OG0000651	Pram.g_00830	Syan.g_00666
OG0000652	Pram.g_00831	Syan.g_00665
OG0000653	Pram.g_00833	Syan.g_00663
OG0000654	Pram.g_00834	Syan.g_00661
OG0000655	Pram.g_00835	Syan.g_00660
OG0000656	Pram.g_00838	Syan.g_00656
OG0000657	Pram.g_00845	Syan.g_00375
OG0000658	Pram.g_00847	Syan.g_00378
OG0000659	Pram.g_00848	Syan.g_00379
OG0000660	Pram.g_00852	Syan.g_00383
OG0000661	Pram.g_00854	Syan.g_00385
OG0000662	Pram.g_00857	Syan.g_00392
OG0000663	Pram.g_00859	Syan.g_00395
OG0000664	Pram.g_00860	Syan.g_00397
OG0000665	Pram.g_00866	Syan.g_00788
OG0000666	Pram.g_00867	Syan.g_02100
OG0000667	Pram.g_00872	Syan.g_00044
OG0000668	Pram.g_00713	Syan.g_00365
OG0000669	Pram.g_00724	Syan.g_00751
OG0000670	Pram.g_00727	Syan.g_00748
OG0000671	Pram.g_00729	Syan.g_00746
OG0000672	Pram.g_00732	Syan.g_00743
OG0000673	Pram.g_00735	Syan.g_00740
OG0000674	Pram.g_00737	Syan.g_00738
OG0000675	Pram.g_00738	Syan.g_00737
OG0000676	Pram.g_00740	Syan.g_00735
OG0000677	Pram.g_00741	Syan.g_00734
OG0000678	Pram.g_00743	Syan.g_00732
OG0000679	Pram.g_00747	Syan.g_00724
OG0000680	Pram.g_00748	Syan.g_00723
OG0000681	Pram.g_00751	Syan.g_00720
OG0000682	Pram.g_00752	Syan.g_00719
OG0000683	Pram.g_00753	Syan.g_00718
OG0000684	Pram.g_00754	Syan.g_00715
OG0000685	Pram.g_00756	Syan.g_00713
OG0000686	Pram.g_00757	Syan.g_00712
OG0000687	Pram.g_00758	Syan.g_00711
OG0000688	Pram.g_01036	Syan.g_00706
OG0000689	Pram.g_01035	Syan.g_00704
OG0000690	Pram.g_01034	Syan.g_00703
OG0000691	Pram.g_01033	Syan.g_00702
OG0000692	Pram.g_01031	Syan.g_00700
OG0000693	Pram.g_01030	Syan.g_00698
OG0000694	Pram.g_01029	Syan.g_00697
OG0000695	Pram.g_00917	Syan.g_00492
OG0000696	Pram.g_00918	Syan.g_00493
OG0000697	Pram.g_00919	Syan.g_00495
OG0000698	Pram.g_00922	Syan.g_00498
OG0000699	Pram.g_00923	Syan.g_00500
OG0000700	Pram.g_00924	Syan.g_00501
OG0000701	Pram.g_00925	Syan.g_00502
OG0000702	Pram.g_00927	Syan.g_00534
OG0000703	Pram.g_00928	Syan.g_00546
OG0000704	Pram.g_00930	Syan.g_00550
OG0000705	Pram.g_00936	Syan.g_00557
OG0000706	Pram.g_00937	Syan.g_00558
OG0000707	Pram.g_00938	Syan.g_00559
OG0000708	Pram.g_00940	Syan.g_00562
OG0000709	Pram.g_00944	Syan.g_00570
OG0000710	Pram.g_00947	Syan.g_00574
OG0000711	Pram.g_00963	Syan.g_00607
OG0000712	Pram.g_00964	Syan.g_00609
OG0000713	Pram.g_00965	Syan.g_00610
OG0000714	Pram.g_00966	Syan.g_00624
OG0000715	Pram.g_00968	Syan.g_00626
OG0000716	Pram.g_00970	Syan.g_00630
OG0000717	Pram.g_00971	Syan.g_00631
OG0000718	Pram.g_00973	Syan.g_00651
OG0000719	Pram.g_00975	Syan.g_00367
OG0000720	Pram.g_00986	Syan.g_00354
OG0000721	Pram.g_00990	Syan.g_00352
OG0000722	Pram.g_00991	Syan.g_00351
OG0000723	Pram.g_00995	Syan.g_00341
OG0000724	Pram.g_00893	Syan.g_00299
OG0000725	Pram.g_00887	Syan.g_00194
OG0000726	Pram.g_00886	Syan.g_00193
OG0000727	Pram.g_00885	Syan.g_00192
OG0000728	Pram.g_00883	Syan.g_00190
OG0000729	Pram.g_01208	Syan.g_01885
OG0000730	Pram.g_01182	Syan.g_02147
OG0000731	Pram.g_00335	Syan.g_02135
OG0000733	Pram.g_01547	Syan.g_01147
OG0000734	Pram.g_01156	Syan.g_02982
OG0000735	Pram.g_01154	Syan.g_02713
OG0000736	Pram.g_01153	Syan.g_02712
OG0000737	Pram.g_01152	Syan.g_02711
OG0000738	Pram.g_01148	Syan.g_02705
OG0000739	Pram.g_01147	Syan.g_02704
OG0000740	Pram.g_01146	Syan.g_02703
OG0000741	Pram.g_01144	Syan.g_02700
OG0000742	Pram.g_01141	Syan.g_02697
OG0000743	Pram.g_01139	Syan.g_02694
OG0000744	Pram.g_01137	Syan.g_02693
OG0000745	Pram.g_01136	Syan.g_02690
OG0000746	Pram.g_01134	Syan.g_02687
OG0000747	Pram.g_01133	Syan.g_02685
OG0000748	Pram.g_01129	Syan.g_02669
OG0000749	Pram.g_01128	Syan.g_02668
OG0000750	Pram.g_01127	Syan.g_02667
OG0000751	Pram.g_01124	Syan.g_02661
OG0000752	Pram.g_01122	Syan.g_02659
OG0000753	Pram.g_01119	Syan.g_02656
OG0000754	Pram.g_01117	Syan.g_02650
OG0000755	Pram.g_01111	Syan.g_02641
OG0000756	Pram.g_01110	Syan.g_02640
OG0000757	Pram.g_01103	Syan.g_02623
OG0000758	Pram.g_01102	Syan.g_02622
OG0000759	Pram.g_01101	Syan.g_02621
OG0000760	Pram.g_01100	Syan.g_02620
OG0000761	Pram.g_01099	Syan.g_02619
OG0000762	Pram.g_01098	Syan.g_02617
OG0000763	Pram.g_01096	Syan.g_02615
OG0000764	Pram.g_01095	Syan.g_02614
OG0000765	Pram.g_01087	Syan.g_02587
OG0000766	Pram.g_01086	Syan.g_02586
OG0000767	Pram.g_01084	Syan.g_02584
OG0000768	Pram.g_01083	Syan.g_02583
OG0000769	Pram.g_01081	Syan.g_02581
OG0000770	Pram.g_00570	Syan.g_02561
OG0000771	Pram.g_01254	Syan.g_00305
OG0000772	Pram.g_01569	Syan.g_00436
OG0000773	Pram.g_01221	Syan.g_01199
OG0000774	Pram.g_01223	Syan.g_01205
OG0000775	Pram.g_01225	Syan.g_01207
OG0000776	Pram.g_01226	Syan.g_01208
OG0000777	Pram.g_01227	Syan.g_01209
OG0000778	Pram.g_01228	Syan.g_01210
OG0000779	Pram.g_01232	Syan.g_01215
OG0000780	Pram.g_01233	Syan.g_01218
OG0000781	Pram.g_01236	Syan.g_01222
OG0000782	Pram.g_01237	Syan.g_01223
OG0000783	Pram.g_01238	Syan.g_01224
OG0000784	Pram.g_01239	Syan.g_01225
OG0000785	Pram.g_01241	Syan.g_01228
OG0000786	Pram.g_01244	Syan.g_01243
OG0000787	Pram.g_01245	Syan.g_01244
OG0000788	Pram.g_01271	Syan.g_00843
OG0000789	Pram.g_01281	Syan.g_00075
OG0000790	Pram.g_01463	Syan.g_02778
OG0000791	Pram.g_01461	Syan.g_02780
OG0000792	Pram.g_01460	Syan.g_02781
OG0000793	Pram.g_01456	Syan.g_02879
OG0000794	Pram.g_01455	Syan.g_02881
OG0000795	Pram.g_01454	Syan.g_02882
OG0000796	Pram.g_01450	Syan.g_02886
OG0000797	Pram.g_01449	Syan.g_02888
OG0000798	Pram.g_01444	Syan.g_02026
OG0000799	Pram.g_01398	Syan.g_01310
OG0000800	Pram.g_01397	Syan.g_01308
OG0000801	Pram.g_01396	Syan.g_01307
OG0000802	Pram.g_01394	Syan.g_01303
OG0000803	Pram.g_01392	Syan.g_01294
OG0000804	Pram.g_01391	Syan.g_01291
OG0000805	Pram.g_01389	Syan.g_01289
OG0000806	Pram.g_01387	Syan.g_01287
OG0000807	Pram.g_01386	Syan.g_01286
OG0000808	Pram.g_01385	Syan.g_01285
OG0000809	Pram.g_01383	Syan.g_01281
OG0000810	Pram.g_01382	Syan.g_01280
OG0000811	Pram.g_01375	Syan.g_01272
OG0000812	Pram.g_01373	Syan.g_01270
OG0000813	Pram.g_01372	Syan.g_01269
OG0000814	Pram.g_01370	Syan.g_01267
OG0000815	Pram.g_01369	Syan.g_01249
OG0000816	Pram.g_01367	Syan.g_01247
OG0000817	Pram.g_01366	Syan.g_01328
OG0000818	Pram.g_01361	Syan.g_02807
OG0000819	Pram.g_01360	Syan.g_02808
OG0000820	Pram.g_01359	Syan.g_02809
OG0000821	Pram.g_01355	Syan.g_02815
OG0000822	Pram.g_01354	Syan.g_02817
OG0000823	Pram.g_01353	Syan.g_02818
OG0000824	Pram.g_01350	Syan.g_02824
OG0000825	Pram.g_01349	Syan.g_02825
OG0000826	Pram.g_01348	Syan.g_02826
OG0000827	Pram.g_01347	Syan.g_02827
OG0000828	Pram.g_01344	Syan.g_02830
OG0000829	Pram.g_01343	Syan.g_02831
OG0000830	Pram.g_01342	Syan.g_02832
OG0000831	Pram.g_01340	Syan.g_02834
OG0000832	Pram.g_01330	Syan.g_02408
OG0000833	Pram.g_01321	Syan.g_01343
OG0000834	Pram.g_01320	Syan.g_01345
OG0000835	Pram.g_01319	Syan.g_01346
OG0000836	Pram.g_01318	Syan.g_01349
OG0000837	Pram.g_01317	Syan.g_01351
OG0000838	Pram.g_01314	Syan.g_01355
OG0000839	Pram.g_01313	Syan.g_01356
OG0000840	Pram.g_01312	Syan.g_01357
OG0000841	Pram.g_01311	Syan.g_01358
OG0000842	Pram.g_01310	Syan.g_01359
OG0000843	Pram.g_01309	Syan.g_01360
OG0000844	Pram.g_01308	Syan.g_01362
OG0000845	Pram.g_01307	Syan.g_01363
OG0000846	Pram.g_01306	Syan.g_01364
OG0000847	Pram.g_01305	Syan.g_01365
OG0000848	Pram.g_01304	Syan.g_01367
OG0000849	Pram.g_01303	Syan.g_01368
OG0000850	Pram.g_01301	Syan.g_01371
OG0000851	Pram.g_01300	Syan.g_01374
OG0000852	Pram.g_01299	Syan.g_01375
OG0000853	Pram.g_01294	Syan.g_01379
OG0000854	Pram.g_01292	Syan.g_01381
OG0000855	Pram.g_01291	Syan.g_01382
OG0000856	Pram.g_00567	Syan.g_01136
OG0000857	Pram.g_00824	Syan.g_00672
OG0000858	Pram.g_01625	Syan.g_01389
OG0000859	Pram.g_01626	Syan.g_01390
OG0000860	Pram.g_01634	Syan.g_01402
OG0000861	Pram.g_01635	Syan.g_01403
OG0000862	Pram.g_01636	Syan.g_01412
OG0000863	Pram.g_01638	Syan.g_01414
OG0000864	Pram.g_01639	Syan.g_00969
OG0000865	Pram.g_01640	Syan.g_01415
OG0000866	Pram.g_01641	Syan.g_01416
OG0000867	Pram.g_01642	Syan.g_01417
OG0000868	Pram.g_01644	Syan.g_01421
OG0000869	Pram.g_01647	Syan.g_01426
OG0000870	Pram.g_01652	Syan.g_01431
OG0000871	Pram.g_01653	Syan.g_01432
OG0000872	Pram.g_01654	Syan.g_01438
OG0000873	Pram.g_01657	Syan.g_01441
OG0000874	Pram.g_01660	Syan.g_01443
OG0000875	Pram.g_01662	Syan.g_01445
OG0000876	Pram.g_01663	Syan.g_00391
OG0000877	Pram.g_01665	Syan.g_01449
OG0000878	Pram.g_01666	Syan.g_01450
OG0000879	Pram.g_01667	Syan.g_01451
OG0000880	Pram.g_01668	Syan.g_01452
OG0000881	Pram.g_01672	Syan.g_01457
OG0000882	Pram.g_01677	Syan.g_01462
OG0000883	Pram.g_01679	Syan.g_01464
OG0000884	Pram.g_01681	Syan.g_01466
OG0000885	Pram.g_01682	Syan.g_01467
OG0000886	Pram.g_01683	Syan.g_01468
OG0000887	Pram.g_01684	Syan.g_01469
OG0000888	Pram.g_01686	Syan.g_01471
OG0000889	Pram.g_01688	Syan.g_01473
OG0000890	Pram.g_01689	Syan.g_01476
OG0000891	Pram.g_01690	Syan.g_01477
OG0000892	Pram.g_01691	Syan.g_01480
OG0000893	Pram.g_01695	Syan.g_02103
OG0000894	Pram.g_01698	Syan.g_02108
OG0000895	Pram.g_01702	Syan.g_02112
OG0000896	Pram.g_01703	Syan.g_02113
OG0000897	Pram.g_01705	Syan.g_02115
OG0000898	Pram.g_01706	Syan.g_02116
OG0000899	Pram.g_01707	Syan.g_02117
OG0000900	Pram.g_01708	Syan.g_02118
OG0000901	Pram.g_01711	Syan.g_02123
OG0000902	Pram.g_01713	Syan.g_02125
OG0000903	Pram.g_01717	Syan.g_02252
OG0000904	Pram.g_01722	Syan.g_02258
OG0000905	Pram.g_01715	Syan.g_02129
OG0000906	Pram.g_01714	Syan.g_02127
OG0000907	Pram.g_01727	Syan.g_02245
OG0000908	Pram.g_01730	Syan.g_02242
OG0000909	Pram.g_01731	Syan.g_02241
OG0000910	Pram.g_01732	Syan.g_02240
OG0000911	Pram.g_01734	Syan.g_02238
OG0000912	Pram.g_01735	Syan.g_02237
OG0000913	Pram.g_01736	Syan.g_02236
OG0000914	Pram.g_01737	Syan.g_02235
OG0000915	Pram.g_01738	Syan.g_02233
OG0000916	Pram.g_01739	Syan.g_02232
OG0000917	Pram.g_01740	Syan.g_02231
OG0000918	Pram.g_01741	Syan.g_02230
OG0000919	Pram.g_01742	Syan.g_02229
OG0000920	Pram.g_01743	Syan.g_02228
OG0000921	Pram.g_01744	Syan.g_02227
OG0000922	Pram.g_01745	Syan.g_02226
OG0000923	Pram.g_01749	Syan.g_02222
OG0000924	Pram.g_01750	Syan.g_02221
OG0000925	Pram.g_01751	Syan.g_02220
OG0000926	Pram.g_01752	Syan.g_02219
OG0000927	Pram.g_01754	Syan.g_02217
OG0000928	Pram.g_01755	Syan.g_02216
OG0000929	Pram.g_01756	Syan.g_02215
OG0000930	Pram.g_01757	Syan.g_02214
OG0000931	Pram.g_01758	Syan.g_02213
OG0000932	Pram.g_01759	Syan.g_02212
OG0000933	Pram.g_01763	Syan.g_02206
OG0000934	Pram.g_01765	Syan.g_02204
OG0000935	Pram.g_01766	Syan.g_02203
OG0000936	Pram.g_01767	Syan.g_02202
OG0000937	Pram.g_01768	Syan.g_02201
OG0000938	Pram.g_01771	Syan.g_02198
OG0000939	Pram.g_01772	Syan.g_02197
OG0000940	Pram.g_01779	Syan.g_02188
OG0000941	Pram.g_01781	Syan.g_02186
OG0000942	Pram.g_01783	Syan.g_02184
OG0000943	Pram.g_01784	Syan.g_02183
OG0000944	Pram.g_01786	Syan.g_02181
OG0000945	Pram.g_01787	Syan.g_02180
OG0000946	Pram.g_01793	Syan.g_02167
OG0000947	Pram.g_01795	Syan.g_02164
OG0000948	Pram.g_01796	Syan.g_02163
OG0000949	Pram.g_01799	Syan.g_01951
OG0000950	Pram.g_01806	Syan.g_01940
OG0000951	Pram.g_01810	Syan.g_01932
OG0000952	Pram.g_01814	Syan.g_01927
OG0000953	Pram.g_01818	Syan.g_01922
OG0000954	Pram.g_01822	Syan.g_01916
OG0000955	Pram.g_01823	Syan.g_01915
OG0000956	Pram.g_01825	Syan.g_01913
OG0000957	Pram.g_01831	Syan.g_01898
OG0000958	Pram.g_01832	Syan.g_01897
OG0000959	Pram.g_01836	Syan.g_01893
OG0000960	Pram.g_01837	Syan.g_01892
OG0000961	Pram.g_01840	Syan.g_03024
OG0000962	Pram.g_01842	Syan.g_01887
OG0000963	Pram.g_01846	Syan.g_01881
OG0000964	Pram.g_01847	Syan.g_01880
OG0000965	Pram.g_01848	Syan.g_01879
OG0000966	Pram.g_01854	Syan.g_01812
OG0000967	Pram.g_01858	Syan.g_01804
OG0000968	Pram.g_01860	Syan.g_01706
OG0000969	Pram.g_01861	Syan.g_01708
OG0000970	Pram.g_01862	Syan.g_01709
OG0000971	Pram.g_01863	Syan.g_01711
OG0000972	Pram.g_01864	Syan.g_01712
OG0000973	Pram.g_01865	Syan.g_01713
OG0000974	Pram.g_01866	Syan.g_01714
OG0000975	Pram.g_01867	Syan.g_01715
OG0000976	Pram.g_01868	Syan.g_01716
OG0000977	Pram.g_01869	Syan.g_01718
OG0000978	Pram.g_01870	Syan.g_01719
OG0000979	Pram.g_01873	Syan.g_01722
OG0000980	Pram.g_01875	Syan.g_01725
OG0000981	Pram.g_01878	Syan.g_01728
OG0000982	Pram.g_01880	Syan.g_01566
OG0000983	Pram.g_01881	Syan.g_01567
OG0000984	Pram.g_01882	Syan.g_01568
OG0000985	Pram.g_01885	Syan.g_01572
OG0000986	Pram.g_01887	Syan.g_01574
OG0000987	Pram.g_01888	Syan.g_01576
OG0000988	Pram.g_01891	Syan.g_01581
OG0000989	Pram.g_01895	Syan.g_01587
OG0000990	Pram.g_01900	Syan.g_01615
OG0000991	Pram.g_01901	Syan.g_01618
OG0000992	Pram.g_01904	Syan.g_01622
OG0000993	Pram.g_01905	Syan.g_01623
OG0000994	Pram.g_01906	Syan.g_01625
OG0000995	Pram.g_01910	Syan.g_01629
OG0000996	Pram.g_01911	Syan.g_01653
OG0000997	Pram.g_01913	Syan.g_01677
OG0000998	Pram.g_01915	Syan.g_01679
OG0000999	Pram.g_01916	Syan.g_01680
OG0001000	Pram.g_01919	Syan.g_01684
OG0001001	Pram.g_01924	Syan.g_01690
OG0001002	Pram.g_01929	Syan.g_01697
OG0001003	Pram.g_01930	Syan.g_01699
OG0001004	Pram.g_01931	Syan.g_01700
OG0001005	Pram.g_01932	Syan.g_01701
OG0001006	Pram.g_01936	Syan.g_01794
OG0001007	Pram.g_01938	Syan.g_01796
OG0001008	Pram.g_00372	Syan.g_02397
OG0001009	Pram.g_00014	Syan.g_01748
OG0001010	Pram.g_00015	Syan.g_01747
OG0001011	Pram.g_00016	Syan.g_01745
OG0001012	Pram.g_00028	Syan.g_00281
OG0001013	Pram.g_00035	Syan.g_01542
OG0001014	Pram.g_00038	Syan.g_01535
OG0001015	Pram.g_00039	Syan.g_01534
OG0001016	Pram.g_00058	Syan.g_02912
OG0001017	Pram.g_00062	Syan.g_02918
OG0001018	Pram.g_00064	Syan.g_02920
OG0001019	Pram.g_00073	Syan.g_02947
OG0001020	Pram.g_00074	Syan.g_02951
OG0001021	Pram.g_00075	Syan.g_02958
OG0001022	Pram.g_00078	Syan.g_02964
OG0001023	Pram.g_00079	Syan.g_02965
OG0001024	Pram.g_00082	Syan.g_00968
OG0001025	Pram.g_00089	Syan.g_02971
OG0001026	Pram.g_00097	Syan.g_02984
OG0001027	Pram.g_00098	Syan.g_02308
OG0001028	Pram.g_00100	Syan.g_02305
OG0001029	Pram.g_00101	Syan.g_02303
OG0001030	Pram.g_00117	Syan.g_02281
OG0001031	Pram.g_00171	Syan.g_03060
OG0001032	Pram.g_00172	Syan.g_03063
OG0001033	Pram.g_00193	Syan.g_00970
OG0001034	Pram.g_00223	Syan.g_02425
OG0001035	Pram.g_00243	Syan.g_02062
OG0001036	Pram.g_00247	Syan.g_02056
OG0001037	Pram.g_00248	Syan.g_02054
OG0001038	Pram.g_00266	Syan.g_02025
OG0001039	Pram.g_00269	Syan.g_02022
OG0001040	Pram.g_00271	Syan.g_02019
OG0001041	Pram.g_00276	Syan.g_02015
OG0001042	Pram.g_00293	Syan.g_01992
OG0001043	Pram.g_00294	Syan.g_01988
OG0001044	Pram.g_00327	Syan.g_02145
OG0001045	Pram.g_00337	Syan.g_02132
OG0001046	Pram.g_01537	Syan.g_00591
OG0001047	Pram.g_00374	Syan.g_02399
OG0001048	Pram.g_00375	Syan.g_02400
OG0001049	Pram.g_00377	Syan.g_01340
OG0001050	Pram.g_00378	Syan.g_01339
OG0001051	Pram.g_00379	Syan.g_01338
OG0001052	Pram.g_00407	Syan.g_02850
OG0001053	Pram.g_00419	Syan.g_02761
OG0001054	Pram.g_00434	Syan.g_02742
OG0001055	Pram.g_00454	Syan.g_02721
OG0001056	Pram.g_00474	Syan.g_01161
OG0001057	Pram.g_00478	Syan.g_00832
OG0001058	Pram.g_00486	Syan.g_00851
OG0001059	Pram.g_00490	Syan.g_00855
OG0001060	Pram.g_00497	Syan.g_00861
OG0001061	Pram.g_00512	Syan.g_00880
OG0001063	Pram.g_00516	Syan.g_00945
OG0001064	Pram.g_00517	Syan.g_00946
OG0001065	Pram.g_00518	Syan.g_00947
OG0001066	Pram.g_00519	Syan.g_00948
OG0001067	Pram.g_00520	Syan.g_00949
OG0001068	Pram.g_00521	Syan.g_00950
OG0001069	Pram.g_00522	Syan.g_00951
OG0001070	Pram.g_00524	Syan.g_00955
OG0001071	Pram.g_00525	Syan.g_00956
OG0001072	Pram.g_00527	Syan.g_00960
OG0001073	Pram.g_00541	Syan.g_01012
OG0001074	Pram.g_00553	Syan.g_00202
OG0001075	Pram.g_00554	Syan.g_00200
OG0001076	Pram.g_00562	Syan.g_00012
OG0001077	Pram.g_00568	Syan.g_01140
OG0001078	Pram.g_01074	Syan.g_00815
OG0001079	Pram.g_01063	Syan.g_00799
OG0001080	Pram.g_01057	Syan.g_00781
OG0001081	Pram.g_01055	Syan.g_00779
OG0001082	Pram.g_01054	Syan.g_00778
OG0001083	Pram.g_01049	Syan.g_00771
OG0001084	Pram.g_01048	Syan.g_00770
OG0001086	Pram.g_00761	Syan.g_00757
OG0001087	Pram.g_00779	Syan.g_01159
OG0001088	Pram.g_00780	Syan.g_02688
OG0001089	Pram.g_00791	Syan.g_00185
OG0001090	Pram.g_00802	Syan.g_00317
OG0001091	Pram.g_01027	Syan.g_00320
OG0001092	Pram.g_01026	Syan.g_00322
OG0001093	Pram.g_01021	Syan.g_00328
OG0001094	Pram.g_01028	Syan.g_00696
OG0001095	Pram.g_00822	Syan.g_00675
OG0001096	Pram.g_00836	Syan.g_00659
OG0001097	Pram.g_00855	Syan.g_00386
OG0001099	Pram.g_00717	Syan.g_02304
OG0001100	Pram.g_00726	Syan.g_00749
OG0001101	Pram.g_00728	Syan.g_00747
OG0001102	Pram.g_00731	Syan.g_00744
OG0001103	Pram.g_00733	Syan.g_00742
OG0001104	Pram.g_00755	Syan.g_00714
OG0001106	Pram.g_00931	Syan.g_00551
OG0001107	Pram.g_00941	Syan.g_00563
OG0001108	Pram.g_00945	Syan.g_00571
OG0001109	Pram.g_00946	Syan.g_00573
OG0001110	Pram.g_00948	Syan.g_00575
OG0001111	Pram.g_00949	Syan.g_00577
OG0001112	Pram.g_00950	Syan.g_00579
OG0001113	Pram.g_00951	Syan.g_00580
OG0001114	Pram.g_00952	Syan.g_00581
OG0001115	Pram.g_00954	Syan.g_00586
OG0001116	Pram.g_00955	Syan.g_00588
OG0001117	Pram.g_00956	Syan.g_00589
OG0001118	Pram.g_00957	Syan.g_00590
OG0001119	Pram.g_00958	Syan.g_00592
OG0001120	Pram.g_00959	Syan.g_00597
OG0001122	Pram.g_00976	Syan.g_00366
OG0001123	Pram.g_00981	Syan.g_00359
OG0001124	Pram.g_00983	Syan.g_00357
OG0001125	Pram.g_00985	Syan.g_00355
OG0001126	Pram.g_00899	Syan.g_00307
OG0001127	Pram.g_00898	Syan.g_00306
OG0001128	Pram.g_00896	Syan.g_00303
OG0001129	Pram.g_00895	Syan.g_00301
OG0001130	Pram.g_00894	Syan.g_00300
OG0001131	Pram.g_00356	Syan.g_00079
OG0001132	Pram.g_00683	Syan.g_00100
OG0001133	Pram.g_01469	Syan.g_00006
OG0001134	Pram.g_01546	Syan.g_01146
OG0001135	Pram.g_01549	Syan.g_02542, Syan.g_01150
OG0001136	Pram.g_01143	Syan.g_02699
OG0001137	Pram.g_01130	Syan.g_02670
OG0001138	Pram.g_01109	Syan.g_02638
OG0001139	Pram.g_01107	Syan.g_02636
OG0001140	Pram.g_01106	Syan.g_02635
OG0001141	Pram.g_01105	Syan.g_02625
OG0001142	Pram.g_01104	Syan.g_02624
OG0001143	Pram.g_01097	Syan.g_02616
OG0001144	Pram.g_01092	Syan.g_02596
OG0001145	Pram.g_01222	Syan.g_01200
OG0001146	Pram.g_01234	Syan.g_01219
OG0001147	Pram.g_01475	Syan.g_02842
OG0001148	Pram.g_01466	Syan.g_02775
OG0001149	Pram.g_01465	Syan.g_02776
OG0001150	Pram.g_01464	Syan.g_02777
OG0001151	Pram.g_01452	Syan.g_02884
OG0001152	Pram.g_01451	Syan.g_02885
OG0001153	Pram.g_01346	Syan.g_02828
OG0001154	Pram.g_01345	Syan.g_02829
OG0001156	Pram.g_01325	Syan.g_02404
OG0001157	Pram.g_01324	Syan.g_02403
OG0001158	Pram.g_01323	Syan.g_02402
OG0001159	Pram.g_01322	Syan.g_02401
OG0001160	Pram.g_01296	Syan.g_01377
OG0001161	Pram.g_01577	Syan.g_01594
OG0001162	Pram.g_01590	Syan.g_02943
OG0001163	Pram.g_01624	Syan.g_01385
OG0001164	Pram.g_01627	Syan.g_01392
OG0001165	Pram.g_01630	Syan.g_01397
