Orthogroup	Syae	Prbm
OG0000035	Syae.g_02653	Prbm.g_01710
OG0000037	Syae.g_01367	Prbm.g_00166
OG0000038	Syae.g_01571	Prbm.g_02174
OG0000039	Syae.g_00822, Syae.g_02495	Prbm.g_00723
OG0000041	Syae.g_01042, Syae.g_00802	Prbm.g_01886
OG0000042	Syae.g_01821	Prbm.g_02102
OG0000043	Syae.g_00117	Prbm.g_00906
OG0000044	Syae.g_00098, Syae.g_01067	Prbm.g_00478, Prbm.g_01281
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prbm.g_00383
OG0000047	Syae.g_02184	Prbm.g_00390, Prbm.g_00428
OG0000048	Syae.g_01982	Prbm.g_00329
OG0000050	Syae.g_00122	Prbm.g_01485
OG0000050	Syae.g_01023	Prbm.g_00118
OG0000052	Syae.g_01886	Prbm.g_00114
OG0000053	Syae.g_02629	Prbm.g_01729
OG0000054	Syae.g_00014, Syae.g_00221	Prbm.g_00637
OG0000057	Syae.g_00782	Prbm.g_00735
OG0000058	Syae.g_01905, Syae.g_01227	Prbm.g_00881
OG0000059	Syae.g_02074	Prbm.g_01973
OG0000060	Syae.g_02514, Syae.g_02306, Syae.g_00649	Prbm.g_01422
OG0000061	Syae.g_00921	Prbm.g_01549
OG0000062	Syae.g_01145	Prbm.g_01792
OG0000063	Syae.g_01752	Prbm.g_01947
OG0000065	Syae.g_01363, Syae.g_00722	Prbm.g_00164
OG0000066	Syae.g_02386	Prbm.g_00572
OG0000067	Syae.g_00521	Prbm.g_00814
OG0000068	Syae.g_02299	Prbm.g_01660
OG0000069	Syae.g_00458	Prbm.g_01414, Prbm.g_01387, Prbm.g_01753, Prbm.g_00772
OG0000070	Syae.g_00979	Prbm.g_00460
OG0000071	Syae.g_00961	Prbm.g_00468, Prbm.g_01611
OG0000072	Syae.g_01455	Prbm.g_00230
OG0000073	Syae.g_02330	Prbm.g_00533
OG0000074	Syae.g_00719	Prbm.g_01099
OG0000075	Syae.g_01871	Prbm.g_02069
OG0000076	Syae.g_01829	Prbm.g_02094
OG0000078	Syae.g_02243	Prbm.g_00300
OG0000079	Syae.g_02011	Prbm.g_00311
OG0000081	Syae.g_02261	Prbm.g_00564
OG0000082	Syae.g_02447	Prbm.g_01900
OG0000084	Syae.g_00857, Syae.g_02656	Prbm.g_01706
OG0000085	Syae.g_01152	Prbm.g_01834
OG0000086	Syae.g_01333	Prbm.g_00145
OG0000087	Syae.g_01414	Prbm.g_00198
OG0000088	Syae.g_01449	Prbm.g_00225
OG0000089	Syae.g_02219	Prbm.g_00423
OG0000090	Syae.g_02374	Prbm.g_00566
OG0000091	Syae.g_00082	Prbm.g_00673
OG0000092	Syae.g_00884	Prbm.g_00934
OG0000093	Syae.g_00537	Prbm.g_00799
OG0000094	Syae.g_00430	Prbm.g_00888
OG0000095	Syae.g_00793, Syae.g_00259	Prbm.g_01064
OG0000097	Syae.g_00683	Prbm.g_01502
OG0000098	Syae.g_02384, Syae.g_02058	Prbm.g_01630
OG0000099	Syae.g_01913, Syae.g_01226	Prbm.g_00394
OG0000100	Syae.g_00489	Prbm.g_01787
OG0000101	Syae.g_02125	Prbm.g_02033
OG0000102	Syae.g_01824	Prbm.g_02099
OG0000103	Syae.g_01694	Prbm.g_02218
OG0000104	Syae.g_01708	Prbm.g_02229
OG0000105	Syae.g_01977	Prbm.g_00331
OG0000106	Syae.g_00272	Prbm.g_01172, Prbm.g_01237
OG0000107	Syae.g_02032	Prbm.g_01949
OG0000108	Syae.g_02309	Prbm.g_00506
OG0000109	Syae.g_02324	Prbm.g_00519
OG0000110	Syae.g_02435	Prbm.g_00607
OG0000111	Syae.g_00783	Prbm.g_00736
OG0000112	Syae.g_00351	Prbm.g_00980
OG0000113	Syae.g_00494	Prbm.g_00838, Prbm.g_01191
OG0000114	Syae.g_00575	Prbm.g_00929
OG0000115	Syae.g_02631	Prbm.g_01803
OG0000116	Syae.g_00939	Prbm.g_01560
OG0000117	Syae.g_00647	Prbm.g_01522
OG0000118	Syae.g_02479	Prbm.g_01622
OG0000119	Syae.g_00904	Prbm.g_01653
OG0000120	Syae.g_01912	Prbm.g_00707
OG0000121	Syae.g_02649	Prbm.g_01712
OG0000122	Syae.g_00112	Prbm.g_01751
OG0000123	Syae.g_02131	Prbm.g_02040
OG0000124	Syae.g_01809	Prbm.g_02111
OG0000125	Syae.g_01573	Prbm.g_02176
OG0000126	Syae.g_01706	Prbm.g_02228
OG0000127	Syae.g_00720	Prbm.g_01460
OG0000128	Syae.g_01724	Prbm.g_00011
OG0000129	Syae.g_01562	Prbm.g_00053
OG0000130	Syae.g_01284	Prbm.g_00126
OG0000131	Syae.g_01428	Prbm.g_00204
OG0000132	Syae.g_01447	Prbm.g_00223
OG0000133	Syae.g_00356	Prbm.g_00377
OG0000134	Syae.g_02222	Prbm.g_00425
OG0000135	Syae.g_01608	Prbm.g_01389
OG0000136	Syae.g_00989	Prbm.g_00451
OG0000137	Syae.g_02530	Prbm.g_00500
OG0000138	Syae.g_02325	Prbm.g_00520
OG0000139	Syae.g_02380	Prbm.g_00570
OG0000140	Syae.g_02383	Prbm.g_00571
OG0000141	Syae.g_00016	Prbm.g_00638
OG0000142	Syae.g_00074	Prbm.g_00666
OG0000143	Syae.g_00078	Prbm.g_00670
OG0000144	Syae.g_00261	Prbm.g_00683
OG0000145	Syae.g_02331	Prbm.g_01094
OG0000146	Syae.g_00350	Prbm.g_00979
OG0000147	Syae.g_00349	Prbm.g_00978
OG0000148	Syae.g_00500	Prbm.g_00832
OG0000149	Syae.g_00847	Prbm.g_00862
OG0000150	Syae.g_00017	Prbm.g_00870
OG0000151	Syae.g_00563	Prbm.g_00940
OG0000152	Syae.g_00360	Prbm.g_00988
OG0000153	Syae.g_00394	Prbm.g_01006
OG0000154	Syae.g_00420	Prbm.g_01035
OG0000155	Syae.g_00885	Prbm.g_01527
OG0000156	Syae.g_00945	Prbm.g_01600
OG0000157	Syae.g_00946	Prbm.g_01601
OG0000158	Syae.g_01858	Prbm.g_02077
OG0000160	Syae.g_02650	Prbm.g_01711
OG0000161	Syae.g_02644	Prbm.g_01717
OG0000162	Syae.g_02638	Prbm.g_01723
OG0000163	Syae.g_01092	Prbm.g_01759
OG0000164	Syae.g_01198	Prbm.g_01863
OG0000165	Syae.g_01021	Prbm.g_01871
OG0000166	Syae.g_02085	Prbm.g_01996
OG0000167	Syae.g_01874	Prbm.g_02067
OG0000168	Syae.g_01856	Prbm.g_02078
OG0000169	Syae.g_01841	Prbm.g_02088
OG0000170	Syae.g_01834	Prbm.g_02090
OG0000171	Syae.g_01810	Prbm.g_02110
OG0000172	Syae.g_01788	Prbm.g_02146
OG0000173	Syae.g_01770	Prbm.g_02161
OG0000174	Syae.g_01610	Prbm.g_02192
OG0000175	Syae.g_01679	Prbm.g_02209
OG0000176	Syae.g_01716	Prbm.g_00004
OG0000177	Syae.g_01717	Prbm.g_00005
OG0000178	Syae.g_01718	Prbm.g_00006
OG0000179	Syae.g_01733	Prbm.g_00016
OG0000180	Syae.g_01734	Prbm.g_00017
OG0000181	Syae.g_01735	Prbm.g_00018
OG0000182	Syae.g_01736	Prbm.g_00019
OG0000183	Syae.g_01740	Prbm.g_00023
OG0000184	Syae.g_01554	Prbm.g_00055
OG0000185	Syae.g_01551	Prbm.g_00058
OG0000186	Syae.g_01279	Prbm.g_00121
OG0000187	Syae.g_01280	Prbm.g_00122
OG0000188	Syae.g_01323	Prbm.g_00139
OG0000189	Syae.g_01350	Prbm.g_00153
OG0000190	Syae.g_01352	Prbm.g_00154
OG0000191	Syae.g_01384	Prbm.g_00177
OG0000192	Syae.g_01390	Prbm.g_00181
OG0000193	Syae.g_01429	Prbm.g_00205
OG0000194	Syae.g_01432	Prbm.g_00208
OG0000195	Syae.g_01434	Prbm.g_00210
OG0000196	Syae.g_01444	Prbm.g_00220
OG0000197	Syae.g_01445	Prbm.g_00221
OG0000198	Syae.g_01446	Prbm.g_00222
OG0000199	Syae.g_01454	Prbm.g_00229
OG0000200	Syae.g_01471	Prbm.g_00243
OG0000201	Syae.g_01487	Prbm.g_00252
OG0000202	Syae.g_01488	Prbm.g_00253
OG0000203	Syae.g_01489	Prbm.g_00254
OG0000204	Syae.g_01490	Prbm.g_00255
OG0000205	Syae.g_01497	Prbm.g_00262
OG0000206	Syae.g_01504	Prbm.g_00266
OG0000207	Syae.g_01506	Prbm.g_00268
OG0000208	Syae.g_01507	Prbm.g_00269
OG0000209	Syae.g_01528	Prbm.g_00278
OG0000210	Syae.g_01529	Prbm.g_00279
OG0000211	Syae.g_02234	Prbm.g_00293
OG0000212	Syae.g_02244	Prbm.g_00301
OG0000213	Syae.g_02003	Prbm.g_00317
OG0000214	Syae.g_01986	Prbm.g_00325
OG0000215	Syae.g_01955	Prbm.g_00349
OG0000216	Syae.g_01951	Prbm.g_00350
OG0000217	Syae.g_01947	Prbm.g_00353
OG0000218	Syae.g_01945	Prbm.g_00355
OG0000219	Syae.g_01944	Prbm.g_00356
OG0000220	Syae.g_01943	Prbm.g_00357
OG0000221	Syae.g_01937	Prbm.g_00358
OG0000222	Syae.g_01926	Prbm.g_00366
OG0000223	Syae.g_01904	Prbm.g_00378
OG0000224	Syae.g_01897	Prbm.g_00380
OG0000225	Syae.g_02208	Prbm.g_00411
OG0000226	Syae.g_02212	Prbm.g_00415
OG0000227	Syae.g_02214	Prbm.g_00417
OG0000228	Syae.g_02218	Prbm.g_00422
OG0000229	Syae.g_00994	Prbm.g_00446
OG0000230	Syae.g_00992	Prbm.g_00448
OG0000231	Syae.g_00980	Prbm.g_00459
OG0000232	Syae.g_02496	Prbm.g_00484
OG0000233	Syae.g_02504	Prbm.g_00492
OG0000234	Syae.g_02532	Prbm.g_00501
OG0000235	Syae.g_02308	Prbm.g_00505
OG0000236	Syae.g_02323	Prbm.g_00518
OG0000237	Syae.g_02340	Prbm.g_00540
OG0000238	Syae.g_02345	Prbm.g_00546
OG0000239	Syae.g_02360	Prbm.g_00558
OG0000240	Syae.g_02361	Prbm.g_00559
OG0000241	Syae.g_00065	Prbm.g_00563
OG0000242	Syae.g_02372	Prbm.g_00565
OG0000243	Syae.g_02391	Prbm.g_00576
OG0000244	Syae.g_02399	Prbm.g_00579
OG0000245	Syae.g_02401	Prbm.g_00581
OG0000246	Syae.g_02405	Prbm.g_00585
OG0000247	Syae.g_02416	Prbm.g_00595
OG0000248	Syae.g_02419	Prbm.g_00597
OG0000249	Syae.g_02421	Prbm.g_00599
OG0000250	Syae.g_02431	Prbm.g_00604
OG0000251	Syae.g_02455	Prbm.g_00620
OG0000252	Syae.g_02458	Prbm.g_00623
OG0000253	Syae.g_02459	Prbm.g_00625
OG0000254	Syae.g_00021	Prbm.g_00642
OG0000255	Syae.g_00041	Prbm.g_00648
OG0000256	Syae.g_00058	Prbm.g_00658
OG0000257	Syae.g_00064	Prbm.g_00661
OG0000258	Syae.g_00083	Prbm.g_00674
OG0000259	Syae.g_00608	Prbm.g_00691
OG0000260	Syae.g_00603	Prbm.g_00694
OG0000261	Syae.g_00600	Prbm.g_00697
OG0000262	Syae.g_00595	Prbm.g_00702
OG0000263	Syae.g_00671	Prbm.g_00716
OG0000264	Syae.g_00761	Prbm.g_00728
OG0000265	Syae.g_00932, Syae.g_00226	Prbm.g_00742
OG0000266	Syae.g_00457	Prbm.g_00752
OG0000267	Syae.g_00304	Prbm.g_00765
OG0000268	Syae.g_00308	Prbm.g_00766
OG0000269	Syae.g_00526	Prbm.g_00809
OG0000270	Syae.g_00523	Prbm.g_00812
OG0000271	Syae.g_00515	Prbm.g_00820
OG0000272	Syae.g_00514	Prbm.g_00821
OG0000273	Syae.g_00825	Prbm.g_00845
OG0000274	Syae.g_00826	Prbm.g_00846
OG0000275	Syae.g_00832	Prbm.g_00848
OG0000276	Syae.g_00839	Prbm.g_00854
OG0000277	Syae.g_00840	Prbm.g_00855
OG0000278	Syae.g_00843	Prbm.g_00858
OG0000279	Syae.g_00851	Prbm.g_00865
OG0000281	Syae.g_02057	Prbm.g_00871
OG0000282	Syae.g_00573	Prbm.g_00931
OG0000283	Syae.g_00321	Prbm.g_00962
OG0000284	Syae.g_00327	Prbm.g_00967
OG0000285	Syae.g_00340	Prbm.g_00972
OG0000286	Syae.g_00359	Prbm.g_00987
OG0000287	Syae.g_00387	Prbm.g_00102
OG0000288	Syae.g_00419	Prbm.g_01034
OG0000289	Syae.g_00433	Prbm.g_01045
OG0000290	Syae.g_00796	Prbm.g_01061
OG0000291	Syae.g_00794	Prbm.g_01063
OG0000292	Syae.g_01705	Prbm.g_01210
OG0000293	Syae.g_00938	Prbm.g_01559
OG0000294	Syae.g_00937	Prbm.g_01558
OG0000295	Syae.g_00893	Prbm.g_01534
OG0000296	Syae.g_00891	Prbm.g_01532
OG0000297	Syae.g_00645	Prbm.g_01524
OG0000298	Syae.g_00646	Prbm.g_01523
OG0000299	Syae.g_00680	Prbm.g_01503
OG0000300	Syae.g_00686	Prbm.g_01500
OG0000301	Syae.g_00687	Prbm.g_01499
OG0000302	Syae.g_00691	Prbm.g_01497
OG0000303	Syae.g_00700	Prbm.g_01492
OG0000304	Syae.g_00706	Prbm.g_01489
OG0000305	Syae.g_00791	Prbm.g_01812
OG0000306	Syae.g_00277	Prbm.g_00875
OG0000307	Syae.g_02290	Prbm.g_01669
OG0000308	Syae.g_02288	Prbm.g_01670
OG0000309	Syae.g_02283	Prbm.g_01674
OG0000310	Syae.g_02687	Prbm.g_01694
OG0000311	Syae.g_02682	Prbm.g_01696
OG0000312	Syae.g_02664	Prbm.g_01699
OG0000313	Syae.g_02647	Prbm.g_01714
OG0000314	Syae.g_02618	Prbm.g_01735
OG0000315	Syae.g_02609	Prbm.g_01745
OG0000316	Syae.g_01118	Prbm.g_01770
OG0000317	Syae.g_01160	Prbm.g_01839
