Orthogroup	Prap	Pral
OG0000116	Prap.g_00261	Pral.g_01623
OG0000117	Prap.g_00705	Pral.g_01564
OG0000118	Prap.g_00501	Pral.g_01316
OG0000119	Prap.g_01880	Pral.g_00075
OG0000120	Prap.g_00450	Pral.g_01373
OG0000121	Prap.g_00427	Pral.g_01400
OG0000122	Prap.g_00407	Pral.g_01420
OG0000123	Prap.g_01135	Pral.g_00455
OG0000124	Prap.g_00217	Pral.g_01064
OG0000125	Prap.g_00574	Pral.g_01269
OG0000126	Prap.g_00059	Pral.g_01222
OG0000127	Prap.g_00109	Pral.g_01179
OG0000128	Prap.g_00122	Pral.g_01160
OG0000129	Prap.g_00158	Pral.g_01123
OG0000130	Prap.g_01782	Pral.g_00104
OG0000131	Prap.g_01742	Pral.g_00143
OG0000132	Prap.g_01739	Pral.g_00146
OG0000133	Prap.g_01685	Pral.g_00201
OG0000134	Prap.g_01648, Prap.g_01649	Pral.g_00237
OG0000135	Prap.g_01646	Pral.g_00239
OG0000136	Prap.g_01596	Pral.g_00289
OG0000137	Prap.g_01562	Pral.g_00323
OG0000138	Prap.g_01528	Pral.g_00358
OG0000139	Prap.g_01497	Pral.g_00390
OG0000140	Prap.g_00053	Pral.g_00411
OG0000141	Prap.g_00052	Pral.g_00412
OG0000142	Prap.g_00050	Pral.g_00414
OG0000143	Prap.g_00049	Pral.g_00415
OG0000144	Prap.g_00047	Pral.g_00417
OG0000145	Prap.g_00046	Pral.g_00418
OG0000146	Prap.g_00045	Pral.g_00419
OG0000147	Prap.g_00044	Pral.g_00420
OG0000148	Prap.g_00042	Pral.g_00422
OG0000149	Prap.g_00941	Pral.g_01030
OG0000150	Prap.g_00940	Pral.g_01029
OG0000151	Prap.g_00939	Pral.g_01028
OG0000152	Prap.g_00938	Pral.g_01027
OG0000153	Prap.g_00937	Pral.g_01026
OG0000154	Prap.g_00936	Pral.g_01025
OG0000155	Prap.g_00935	Pral.g_01024
OG0000156	Prap.g_00934	Pral.g_01023
OG0000157	Prap.g_00933	Pral.g_01022
OG0000158	Prap.g_00931	Pral.g_01020
OG0000159	Prap.g_00930	Pral.g_01019
OG0000160	Prap.g_00929	Pral.g_01018
OG0000161	Prap.g_00928	Pral.g_01017
OG0000162	Prap.g_00927	Pral.g_01016
OG0000163	Prap.g_00925	Pral.g_01014
OG0000164	Prap.g_00922	Pral.g_01011
OG0000165	Prap.g_00919	Pral.g_01009
OG0000166	Prap.g_00918	Pral.g_01008
OG0000167	Prap.g_00917	Pral.g_01007
OG0000168	Prap.g_00915	Pral.g_01005
OG0000169	Prap.g_00913	Pral.g_01003
OG0000170	Prap.g_00911	Pral.g_01001
OG0000171	Prap.g_00910	Pral.g_01000
OG0000172	Prap.g_00909	Pral.g_00999
OG0000173	Prap.g_00906	Pral.g_00996
OG0000174	Prap.g_00905	Pral.g_00995
OG0000175	Prap.g_00904	Pral.g_00994
OG0000176	Prap.g_00902	Pral.g_00992
OG0000177	Prap.g_00901	Pral.g_00991
OG0000178	Prap.g_00899	Pral.g_00990
OG0000179	Prap.g_00887	Pral.g_00984
OG0000180	Prap.g_00886	Pral.g_00983
OG0000181	Prap.g_00885	Pral.g_00982
OG0000182	Prap.g_00881	Pral.g_00978
OG0000183	Prap.g_00880	Pral.g_00977
OG0000184	Prap.g_00877	Pral.g_00974
OG0000185	Prap.g_01100	Pral.g_00970
OG0000186	Prap.g_01099	Pral.g_00969
OG0000187	Prap.g_00025	Pral.g_00048
OG0000188	Prap.g_01098	Pral.g_00968
OG0000189	Prap.g_01097	Pral.g_00966
OG0000190	Prap.g_01096	Pral.g_00965
OG0000191	Prap.g_01095	Pral.g_00964
OG0000192	Prap.g_01094	Pral.g_00963
OG0000193	Prap.g_01093	Pral.g_00962
OG0000194	Prap.g_01092	Pral.g_00961
OG0000195	Prap.g_01090	Pral.g_00959
OG0000196	Prap.g_01089	Pral.g_00958
OG0000197	Prap.g_01088	Pral.g_00957
OG0000198	Prap.g_01087	Pral.g_00956
OG0000199	Prap.g_01084	Pral.g_00953
OG0000200	Prap.g_01083	Pral.g_00952
OG0000201	Prap.g_01082	Pral.g_00951
OG0000202	Prap.g_01080	Pral.g_00950
OG0000203	Prap.g_01079	Pral.g_00949
OG0000204	Prap.g_01078	Pral.g_00948
OG0000205	Prap.g_01076	Pral.g_00946
OG0000206	Prap.g_01075	Pral.g_00945
OG0000207	Prap.g_01074	Pral.g_00944
OG0000208	Prap.g_01073	Pral.g_00943
OG0000209	Prap.g_01072	Pral.g_00942
OG0000210	Prap.g_01071	Pral.g_00941
OG0000211	Prap.g_01069	Pral.g_00940
OG0000212	Prap.g_01068	Pral.g_00939
OG0000213	Prap.g_01067	Pral.g_00938
OG0000214	Prap.g_01063	Pral.g_00934
OG0000215	Prap.g_01062	Pral.g_00933
OG0000216	Prap.g_01060	Pral.g_00931
OG0000217	Prap.g_01059	Pral.g_00930
OG0000218	Prap.g_01058	Pral.g_00929
OG0000219	Prap.g_01057	Pral.g_00928
OG0000220	Prap.g_01054	Pral.g_00925
OG0000221	Prap.g_01051	Pral.g_00922
OG0000222	Prap.g_01050	Pral.g_00921
OG0000223	Prap.g_01049	Pral.g_00920
OG0000224	Prap.g_01047	Pral.g_00918
OG0000225	Prap.g_01045	Pral.g_00916
OG0000226	Prap.g_01043	Pral.g_00914
OG0000227	Prap.g_01042	Pral.g_00913
OG0000228	Prap.g_01041	Pral.g_00912
OG0000229	Prap.g_01040	Pral.g_00911
OG0000230	Prap.g_01039	Pral.g_00910
OG0000231	Prap.g_00319	Pral.g_00450
OG0000232	Prap.g_01037	Pral.g_00908
OG0000233	Prap.g_01034	Pral.g_00905
OG0000234	Prap.g_01032	Pral.g_00903
OG0000235	Prap.g_01026	Pral.g_00900
OG0000236	Prap.g_01025	Pral.g_00899
OG0000237	Prap.g_01024	Pral.g_00898
OG0000238	Prap.g_01023	Pral.g_00897
OG0000239	Prap.g_01022	Pral.g_00896
OG0000240	Prap.g_01020	Pral.g_00894
OG0000241	Prap.g_01019	Pral.g_00893
OG0000242	Prap.g_01018	Pral.g_00892
OG0000243	Prap.g_01017	Pral.g_00891
OG0000244	Prap.g_01016	Pral.g_00890
OG0000245	Prap.g_01014	Pral.g_00888
OG0000246	Prap.g_01012	Pral.g_00886
OG0000247	Prap.g_01011	Pral.g_00885
OG0000248	Prap.g_01010	Pral.g_00884
OG0000249	Prap.g_01009	Pral.g_00883
OG0000250	Prap.g_01008	Pral.g_00882
OG0000251	Prap.g_01007	Pral.g_00881
OG0000252	Prap.g_01006	Pral.g_00880
OG0000253	Prap.g_01005	Pral.g_00879
OG0000254	Prap.g_01003	Pral.g_00877
OG0000255	Prap.g_01002	Pral.g_00875
OG0000256	Prap.g_00999	Pral.g_00872
OG0000257	Prap.g_00997	Pral.g_00871
OG0000258	Prap.g_00996	Pral.g_00870
OG0000259	Prap.g_00995	Pral.g_00869
OG0000260	Prap.g_00994	Pral.g_00868
OG0000261	Prap.g_00993	Pral.g_00867
OG0000262	Prap.g_00992	Pral.g_00866
OG0000263	Prap.g_00991	Pral.g_00865
OG0000264	Prap.g_00989	Pral.g_00863
OG0000265	Prap.g_00988	Pral.g_00862
OG0000266	Prap.g_00987	Pral.g_00861
OG0000267	Prap.g_00985	Pral.g_00859
OG0000268	Prap.g_00983	Pral.g_00857
OG0000269	Prap.g_00982	Pral.g_00856
OG0000270	Prap.g_00981	Pral.g_00855
OG0000271	Prap.g_00980	Pral.g_00854
OG0000272	Prap.g_00979	Pral.g_00853
OG0000273	Prap.g_00978	Pral.g_00852
OG0000274	Prap.g_00977	Pral.g_00851
OG0000275	Prap.g_00976	Pral.g_00850
OG0000276	Prap.g_00975	Pral.g_00849
OG0000277	Prap.g_00974	Pral.g_00848
OG0000278	Prap.g_00973	Pral.g_00847
OG0000279	Prap.g_00972	Pral.g_00846
OG0000280	Prap.g_00971	Pral.g_00845
OG0000281	Prap.g_00969	Pral.g_00844
OG0000282	Prap.g_00968	Pral.g_00843
OG0000283	Prap.g_00965	Pral.g_00840
OG0000284	Prap.g_00964	Pral.g_00839
OG0000285	Prap.g_00963	Pral.g_00838
OG0000286	Prap.g_00961	Pral.g_00836
OG0000287	Prap.g_00959	Pral.g_00835
OG0000288	Prap.g_00958	Pral.g_00834
OG0000289	Prap.g_00957	Pral.g_00833
OG0000290	Prap.g_00956	Pral.g_00832
OG0000291	Prap.g_00955	Pral.g_00831
OG0000292	Prap.g_00954	Pral.g_00830
OG0000293	Prap.g_00953	Pral.g_00829
OG0000294	Prap.g_00952	Pral.g_00828
OG0000295	Prap.g_00951	Pral.g_00827
OG0000296	Prap.g_00950	Pral.g_00826
OG0000297	Prap.g_00949	Pral.g_00825
OG0000298	Prap.g_00948	Pral.g_00824
OG0000299	Prap.g_00947	Pral.g_00823
OG0000300	Prap.g_00946	Pral.g_00822
OG0000301	Prap.g_00945	Pral.g_00821
OG0000302	Prap.g_00944	Pral.g_00820
OG0000303	Prap.g_00943	Pral.g_00819
OG0000304	Prap.g_01487	Pral.g_00817
OG0000305	Prap.g_01486	Pral.g_00816
OG0000306	Prap.g_01485	Pral.g_00815
OG0000307	Prap.g_01483	Pral.g_00812
OG0000308	Prap.g_01482	Pral.g_00811
OG0000309	Prap.g_01481	Pral.g_00810
OG0000310	Prap.g_01480	Pral.g_00809
OG0000311	Prap.g_01479	Pral.g_00807
OG0000312	Prap.g_01477	Pral.g_00805
OG0000313	Prap.g_01476	Pral.g_00804
OG0000314	Prap.g_01472	Pral.g_00800
OG0000315	Prap.g_01471	Pral.g_00799
OG0000316	Prap.g_01469	Pral.g_00796
OG0000317	Prap.g_01467	Pral.g_00795
OG0000318	Prap.g_01466	Pral.g_00794
OG0000319	Prap.g_01465	Pral.g_00793
OG0000320	Prap.g_01464	Pral.g_00792
OG0000321	Prap.g_01461	Pral.g_00789
OG0000322	Prap.g_01457	Pral.g_00785
OG0000323	Prap.g_01456	Pral.g_00784
OG0000324	Prap.g_01453	Pral.g_00781
OG0000325	Prap.g_01452	Pral.g_00780
OG0000326	Prap.g_01451	Pral.g_00779
OG0000327	Prap.g_01449	Pral.g_00777
OG0000328	Prap.g_01448	Pral.g_00776
OG0000329	Prap.g_01447	Pral.g_00775
OG0000330	Prap.g_01446	Pral.g_00774
OG0000331	Prap.g_01444	Pral.g_00773
OG0000332	Prap.g_01443	Pral.g_00772
OG0000333	Prap.g_01442	Pral.g_00771
OG0000334	Prap.g_01441	Pral.g_00770
OG0000335	Prap.g_01440	Pral.g_00769
OG0000336	Prap.g_01438	Pral.g_00767
OG0000337	Prap.g_01435	Pral.g_00764
OG0000338	Prap.g_01434	Pral.g_00763
OG0000339	Prap.g_01433	Pral.g_00762
OG0000340	Prap.g_01432	Pral.g_00761
OG0000341	Prap.g_01428	Pral.g_00756
OG0000342	Prap.g_01427	Pral.g_00755
OG0000343	Prap.g_01424	Pral.g_00753
OG0000344	Prap.g_01423	Pral.g_00752
OG0000345	Prap.g_01422	Pral.g_00751
OG0000346	Prap.g_01421	Pral.g_00750
OG0000347	Prap.g_01420	Pral.g_00749
OG0000348	Prap.g_01418	Pral.g_00748
OG0000349	Prap.g_01417	Pral.g_00747
OG0000350	Prap.g_01416	Pral.g_00746
OG0000351	Prap.g_01414	Pral.g_00743
OG0000352	Prap.g_01411	Pral.g_00740
OG0000353	Prap.g_01410	Pral.g_00739
OG0000354	Prap.g_01409	Pral.g_00738
OG0000355	Prap.g_01408	Pral.g_00737
OG0000356	Prap.g_01407	Pral.g_00736
OG0000357	Prap.g_01406	Pral.g_00735
OG0000358	Prap.g_01405	Pral.g_00734
OG0000359	Prap.g_01404	Pral.g_00733
OG0000360	Prap.g_01402	Pral.g_00731
OG0000361	Prap.g_01401	Pral.g_00730
OG0000362	Prap.g_01400	Pral.g_00729
OG0000363	Prap.g_01399	Pral.g_00728
OG0000364	Prap.g_01398	Pral.g_00727
OG0000365	Prap.g_01397	Pral.g_00726
OG0000366	Prap.g_01396	Pral.g_00725
OG0000367	Prap.g_01395	Pral.g_00724
OG0000368	Prap.g_01394	Pral.g_00723
OG0000369	Prap.g_01393	Pral.g_00722
OG0000370	Prap.g_01392	Pral.g_00721
OG0000371	Prap.g_01391	Pral.g_00720
OG0000372	Prap.g_01390	Pral.g_00718
OG0000373	Prap.g_01388	Pral.g_00716
OG0000374	Prap.g_01387	Pral.g_00715
OG0000375	Prap.g_01386	Pral.g_00714
OG0000376	Prap.g_01385	Pral.g_00712
OG0000377	Prap.g_01379	Pral.g_00706
OG0000378	Prap.g_01378	Pral.g_00705
OG0000379	Prap.g_01372	Pral.g_00698
OG0000380	Prap.g_01370	Pral.g_00696
OG0000381	Prap.g_01369	Pral.g_00695
OG0000382	Prap.g_01368	Pral.g_00694
OG0000383	Prap.g_01365	Pral.g_00691
OG0000384	Prap.g_01364	Pral.g_00690
OG0000385	Prap.g_01361	Pral.g_00687
OG0000386	Prap.g_01360	Pral.g_00686
OG0000387	Prap.g_01359	Pral.g_00685
OG0000388	Prap.g_01358	Pral.g_00684
OG0000389	Prap.g_01357	Pral.g_00683
OG0000390	Prap.g_01356	Pral.g_00682
OG0000391	Prap.g_01355	Pral.g_00681
OG0000392	Prap.g_01354	Pral.g_00680
OG0000393	Prap.g_01350	Pral.g_00677
OG0000394	Prap.g_01349	Pral.g_00676
OG0000395	Prap.g_01346	Pral.g_00673
OG0000396	Prap.g_00728	Pral.g_01541
OG0000397	Prap.g_00500	Pral.g_01322
OG0000398	Prap.g_01827	Pral.g_01039
OG0000399	Prap.g_00495	Pral.g_01840
OG0000400	Prap.g_01714	Pral.g_00171
OG0000401	Prap.g_01335	Pral.g_00663
OG0000402	Prap.g_01334	Pral.g_00662
OG0000403	Prap.g_01333	Pral.g_00661
OG0000404	Prap.g_01331	Pral.g_00659
OG0000405	Prap.g_01330	Pral.g_00658
OG0000406	Prap.g_01328	Pral.g_00656
OG0000407	Prap.g_01327	Pral.g_00655
OG0000408	Prap.g_01326	Pral.g_00654
OG0000409	Prap.g_01325	Pral.g_00653
OG0000410	Prap.g_01324	Pral.g_00651
OG0000411	Prap.g_01323	Pral.g_00650
OG0000412	Prap.g_01322	Pral.g_00649
OG0000413	Prap.g_01321	Pral.g_00648
OG0000414	Prap.g_01320	Pral.g_00647
OG0000415	Prap.g_01319	Pral.g_00646
