Orthogroup	Pran	Syac
OG0000202	Pran.g_00239	Syac.g_02279
OG0000203	Pran.g_00238	Syac.g_02280
OG0000204	Pran.g_00237	Syac.g_02281
OG0000205	Pran.g_00230	Syac.g_02288
OG0000206	Pran.g_00225	Syac.g_02297
OG0000207	Pran.g_00223	Syac.g_02300
OG0000208	Pran.g_00222	Syac.g_02301
OG0000209	Pran.g_00213	Syac.g_02316
OG0000210	Pran.g_00212	Syac.g_02317
OG0000211	Pran.g_00199	Syac.g_01972
OG0000212	Pran.g_00193	Syac.g_01963
OG0000213	Pran.g_01935	Syac.g_02219
OG0000214	Pran.g_01926	Syac.g_02236
OG0000215	Pran.g_01902	Syac.g_00281
OG0000216	Pran.g_01900	Syac.g_00277
OG0000217	Pran.g_01897	Syac.g_00273
OG0000218	Pran.g_01895	Syac.g_00271
OG0000219	Pran.g_01894	Syac.g_00270
OG0000220	Pran.g_01893	Syac.g_00269
OG0000221	Pran.g_01892	Syac.g_00261
OG0000222	Pran.g_01884	Syac.g_00247
OG0000223	Pran.g_01871	Syac.g_00225
OG0000224	Pran.g_01869	Syac.g_00217
OG0000225	Pran.g_01849	Syac.g_02004
OG0000226	Pran.g_01845	Syac.g_02000
OG0000227	Pran.g_01843	Syac.g_01998
OG0000228	Pran.g_01840	Syac.g_01989
OG0000229	Pran.g_01744	Syac.g_00692
OG0000230	Pran.g_01742	Syac.g_00694
OG0000231	Pran.g_01728	Syac.g_00710
OG0000232	Pran.g_01720	Syac.g_01717
OG0000233	Pran.g_01715	Syac.g_01713
OG0000234	Pran.g_01702	Syac.g_01699
OG0000235	Pran.g_01699	Syac.g_01905
OG0000236	Pran.g_01685	Syac.g_01890
OG0000237	Pran.g_01672	Syac.g_01873
OG0000238	Pran.g_01666	Syac.g_01868
OG0000239	Pran.g_01653	Syac.g_01852
OG0000240	Pran.g_01652	Syac.g_01851
OG0000241	Pran.g_01648	Syac.g_00970
OG0000242	Pran.g_01646	Syac.g_01839
OG0000243	Pran.g_01635	Syac.g_01821
OG0000244	Pran.g_01632	Syac.g_01814
OG0000245	Pran.g_01630	Syac.g_01811
OG0000246	Pran.g_01626	Syac.g_01807
OG0000247	Pran.g_01616	Syac.g_01795
OG0000248	Pran.g_01613	Syac.g_01792
OG0000249	Pran.g_01611	Syac.g_01790
OG0000250	Pran.g_01606	Syac.g_01782
OG0000251	Pran.g_01587	Syac.g_01757
OG0000252	Pran.g_01584	Syac.g_01753
OG0000253	Pran.g_01583	Syac.g_01752
OG0000254	Pran.g_01567	Syac.g_00939
OG0000255	Pran.g_01561	Syac.g_00947
OG0000256	Pran.g_01551	Syac.g_00963
OG0000257	Pran.g_01548	Syac.g_00969
OG0000258	Pran.g_01535	Syac.g_00988
OG0000259	Pran.g_01518	Syac.g_01425
OG0000260	Pran.g_01515	Syac.g_01422
OG0000261	Pran.g_01513	Syac.g_01418
OG0000262	Pran.g_01509	Syac.g_01413
OG0000263	Pran.g_01497	Syac.g_01497
OG0000264	Pran.g_01487	Syac.g_00915
OG0000265	Pran.g_01460	Syac.g_00673
OG0000266	Pran.g_01450	Syac.g_01271
OG0000267	Pran.g_01439	Syac.g_01131
OG0000268	Pran.g_01438	Syac.g_01132
OG0000269	Pran.g_01348	Syac.g_01346
OG0000270	Pran.g_01345	Syac.g_01343
OG0000271	Pran.g_01337	Syac.g_01335
OG0000272	Pran.g_01336	Syac.g_01334
OG0000273	Pran.g_01313	Syac.g_00854
OG0000274	Pran.g_01312	Syac.g_00853
OG0000275	Pran.g_01310	Syac.g_00848
OG0000276	Pran.g_01305	Syac.g_00840
OG0000277	Pran.g_01304	Syac.g_00839
OG0000278	Pran.g_01301	Syac.g_00836
OG0000279	Pran.g_01294	Syac.g_00828
OG0000280	Pran.g_01293	Syac.g_00814
OG0000281	Pran.g_01287	Syac.g_02158
OG0000282	Pran.g_00431	Syac.g_01392
OG0000283	Pran.g_00464	Syac.g_01142
OG0000284	Pran.g_00469	Syac.g_01148
OG0000285	Pran.g_00474	Syac.g_01160
OG0000286	Pran.g_00486	Syac.g_01181
OG0000287	Pran.g_00503	Syac.g_01692, Syac.g_01209
OG0000288	Pran.g_00541	Syac.g_01240
OG0000289	Pran.g_00552	Syac.g_01254
OG0000290	Pran.g_00565	Syac.g_00881
OG0000291	Pran.g_00567	Syac.g_00883
OG0000292	Pran.g_00135	Syac.g_02487
OG0000293	Pran.g_00069	Syac.g_00754
OG0000294	Pran.g_00068	Syac.g_00755
OG0000295	Pran.g_00048	Syac.g_00796
OG0000296	Pran.g_00046	Syac.g_00798
OG0000297	Pran.g_00038	Syac.g_01475
OG0000298	Pran.g_00037	Syac.g_01476
OG0000299	Pran.g_00020	Syac.g_01503
OG0000300	Pran.g_00017	Syac.g_01510
OG0000301	Pran.g_00016	Syac.g_01511
OG0000302	Pran.g_00014	Syac.g_01512
OG0000303	Pran.g_00007	Syac.g_01520
OG0000304	Pran.g_00003	Syac.g_01526
OG0000305	Pran.g_00848	Syac.g_00886
OG0000306	Pran.g_00846	Syac.g_00810
OG0000307	Pran.g_00832	Syac.g_01924
OG0000308	Pran.g_00831	Syac.g_01926
OG0000309	Pran.g_00827	Syac.g_01931
OG0000310	Pran.g_00748	Syac.g_01607
OG0000311	Pran.g_00746	Syac.g_01611
OG0000312	Pran.g_00743	Syac.g_01619
OG0000313	Pran.g_00729	Syac.g_01638
OG0000314	Pran.g_00706	Syac.g_01665
OG0000315	Pran.g_00696	Syac.g_01675
OG0000316	Pran.g_00676	Syac.g_00601
OG0000317	Pran.g_00968	Syac.g_00552
OG0000318	Pran.g_00971	Syac.g_00543
OG0000319	Pran.g_00984	Syac.g_00525
OG0000320	Pran.g_00986	Syac.g_00523
OG0000321	Pran.g_00987	Syac.g_00522
OG0000322	Pran.g_00988	Syac.g_00521
OG0000323	Pran.g_00997	Syac.g_00506
OG0000324	Pran.g_01023	Syac.g_00648
OG0000325	Pran.g_01033	Syac.g_02190
OG0000326	Pran.g_01039	Syac.g_02183
OG0000327	Pran.g_01063	Syac.g_02137
OG0000328	Pran.g_01064	Syac.g_02136
OG0000329	Pran.g_01082	Syac.g_02119
OG0000330	Pran.g_01083	Syac.g_02118
OG0000331	Pran.g_01084	Syac.g_02117
OG0000332	Pran.g_01098	Syac.g_02103
OG0000333	Pran.g_01100	Syac.g_02100
OG0000334	Pran.g_01108	Syac.g_02090
OG0000335	Pran.g_01113	Syac.g_02085
OG0000336	Pran.g_01117	Syac.g_02081
OG0000337	Pran.g_01133	Syac.g_00199
OG0000338	Pran.g_01134	Syac.g_00196
OG0000339	Pran.g_01138	Syac.g_00190
OG0000340	Pran.g_01145	Syac.g_00178
OG0000341	Pran.g_01147	Syac.g_00176
OG0000342	Pran.g_01148	Syac.g_00175
OG0000343	Pran.g_01149	Syac.g_00174
OG0000344	Pran.g_01152	Syac.g_00170
OG0000345	Pran.g_01157	Syac.g_00160
OG0000346	Pran.g_01161	Syac.g_00155
OG0000347	Pran.g_01177	Syac.g_00129
OG0000348	Pran.g_01187	Syac.g_00070, Syac.g_00074
OG0000349	Pran.g_01203	Syac.g_00050
OG0000350	Pran.g_01222	Syac.g_02176
OG0000351	Pran.g_01239	Syac.g_02468
OG0000352	Pran.g_01240	Syac.g_02469
OG0000353	Pran.g_01256	Syac.g_02493
OG0000355	Pran.g_01258	Syac.g_00001
OG0000356	Pran.g_01259	Syac.g_00002
OG0000357	Pran.g_01260	Syac.g_00003
OG0000358	Pran.g_01264	Syac.g_00007
OG0000359	Pran.g_01265	Syac.g_00009
OG0000360	Pran.g_01266	Syac.g_00010
OG0000361	Pran.g_01267	Syac.g_00011
OG0000362	Pran.g_01269	Syac.g_00013
OG0000363	Pran.g_00410	Syac.g_00015
OG0000364	Pran.g_00409	Syac.g_00016
OG0000365	Pran.g_00404	Syac.g_00023
OG0000366	Pran.g_00403	Syac.g_00024
OG0000367	Pran.g_00402	Syac.g_00025
OG0000368	Pran.g_00400	Syac.g_00027
OG0000369	Pran.g_00399	Syac.g_00028
OG0000370	Pran.g_00398	Syac.g_00029
OG0000371	Pran.g_00392	Syac.g_00036
OG0000372	Pran.g_00389	Syac.g_00041
OG0000373	Pran.g_00388	Syac.g_00042
OG0000374	Pran.g_00387	Syac.g_00043
OG0000375	Pran.g_00385	Syac.g_00046
OG0000376	Pran.g_00383	Syac.g_00048
OG0000377	Pran.g_00380	Syac.g_02346
OG0000378	Pran.g_00378	Syac.g_02338
OG0000379	Pran.g_00375	Syac.g_02335
OG0000380	Pran.g_00366	Syac.g_00452
OG0000381	Pran.g_00362	Syac.g_00449
OG0000382	Pran.g_00351	Syac.g_00434
OG0000383	Pran.g_00349	Syac.g_00432
OG0000384	Pran.g_00348	Syac.g_00431
OG0000385	Pran.g_00347	Syac.g_00430
OG0000386	Pran.g_00346	Syac.g_00429
OG0000387	Pran.g_00334	Syac.g_00404
OG0000388	Pran.g_00331	Syac.g_00401
OG0000389	Pran.g_00327	Syac.g_00397
OG0000390	Pran.g_00320	Syac.g_00379
OG0000391	Pran.g_00317	Syac.g_00374
OG0000392	Pran.g_00313	Syac.g_00369
OG0000393	Pran.g_00311	Syac.g_00366
OG0000394	Pran.g_00310	Syac.g_00365
OG0000395	Pran.g_00309	Syac.g_00364
OG0000396	Pran.g_00307	Syac.g_00361
OG0000397	Pran.g_00305	Syac.g_00359
OG0000398	Pran.g_00303	Syac.g_00354
OG0000399	Pran.g_00302	Syac.g_00353
OG0000400	Pran.g_00301	Syac.g_00352
OG0000401	Pran.g_00300	Syac.g_00351
OG0000402	Pran.g_00298	Syac.g_00348
OG0000403	Pran.g_00297	Syac.g_00347
OG0000404	Pran.g_00296	Syac.g_00345
OG0000405	Pran.g_00292	Syac.g_00332
OG0000406	Pran.g_00286	Syac.g_00328
OG0000407	Pran.g_00285	Syac.g_00327
OG0000408	Pran.g_00282	Syac.g_00325
OG0000409	Pran.g_00280	Syac.g_00323
OG0000410	Pran.g_00279	Syac.g_00322
OG0000411	Pran.g_00278	Syac.g_00321
OG0000412	Pran.g_00277	Syac.g_00320
OG0000413	Pran.g_00276	Syac.g_00318
OG0000414	Pran.g_00275	Syac.g_00317
OG0000415	Pran.g_00274	Syac.g_00316
OG0000416	Pran.g_00273	Syac.g_00315
OG0000417	Pran.g_00272	Syac.g_00314
OG0000418	Pran.g_00267	Syac.g_00309
OG0000419	Pran.g_00265	Syac.g_00307
OG0000420	Pran.g_00264	Syac.g_00305
OG0000421	Pran.g_00259	Syac.g_00300
OG0000422	Pran.g_00258	Syac.g_00299
OG0000423	Pran.g_00257	Syac.g_00298
OG0000424	Pran.g_00256	Syac.g_00297
OG0000425	Pran.g_00255	Syac.g_00296
OG0000426	Pran.g_00254	Syac.g_00295
OG0000427	Pran.g_00253	Syac.g_00294
OG0000428	Pran.g_00251	Syac.g_02257
OG0000429	Pran.g_00250	Syac.g_02259
OG0000430	Pran.g_00249	Syac.g_02260
OG0000431	Pran.g_00247	Syac.g_02264
OG0000432	Pran.g_00244	Syac.g_02270
OG0000433	Pran.g_00243	Syac.g_02272
OG0000434	Pran.g_00242	Syac.g_02273
OG0000435	Pran.g_00241	Syac.g_02277
OG0000436	Pran.g_00236	Syac.g_02282
OG0000437	Pran.g_00235	Syac.g_02283
OG0000438	Pran.g_00234	Syac.g_02284
OG0000439	Pran.g_00232	Syac.g_02286
OG0000440	Pran.g_00231	Syac.g_02287
OG0000441	Pran.g_00228	Syac.g_02294
OG0000442	Pran.g_00227	Syac.g_02295
OG0000443	Pran.g_00226	Syac.g_02296
OG0000444	Pran.g_00221	Syac.g_02303
OG0000445	Pran.g_00220	Syac.g_02304
OG0000446	Pran.g_00219	Syac.g_02305
OG0000447	Pran.g_00218	Syac.g_02308
OG0000448	Pran.g_00217	Syac.g_02309
OG0000449	Pran.g_00216	Syac.g_02310
OG0000450	Pran.g_00215	Syac.g_02313
OG0000451	Pran.g_00214	Syac.g_02314
OG0000452	Pran.g_00211	Syac.g_02318
OG0000453	Pran.g_00210	Syac.g_02319
OG0000454	Pran.g_00209	Syac.g_02320
OG0000455	Pran.g_00208	Syac.g_02321
OG0000456	Pran.g_00207	Syac.g_02322
OG0000457	Pran.g_00206	Syac.g_02324
OG0000458	Pran.g_00205	Syac.g_02325
OG0000459	Pran.g_00204	Syac.g_02326
OG0000460	Pran.g_00197	Syac.g_01970
OG0000461	Pran.g_01950	Syac.g_02198
OG0000462	Pran.g_01948	Syac.g_02201
OG0000463	Pran.g_01947	Syac.g_02202
OG0000464	Pran.g_01946	Syac.g_02203
OG0000465	Pran.g_01945	Syac.g_02204
OG0000466	Pran.g_01942	Syac.g_02208
OG0000467	Pran.g_01941	Syac.g_02210
OG0000468	Pran.g_01939	Syac.g_02216
OG0000469	Pran.g_01931	Syac.g_02230
OG0000470	Pran.g_01929	Syac.g_02232
OG0000471	Pran.g_01928	Syac.g_02233
OG0000472	Pran.g_01927	Syac.g_02235
OG0000473	Pran.g_01925	Syac.g_02237
OG0000474	Pran.g_01924	Syac.g_02238
OG0000475	Pran.g_01923	Syac.g_02239
OG0000476	Pran.g_01922	Syac.g_02241
OG0000477	Pran.g_01919	Syac.g_02247
OG0000478	Pran.g_01918	Syac.g_02248
OG0000479	Pran.g_01917	Syac.g_02249
OG0000480	Pran.g_01912	Syac.g_00293
OG0000481	Pran.g_01910	Syac.g_00291
OG0000482	Pran.g_01909	Syac.g_00290
OG0000483	Pran.g_01906	Syac.g_00286
OG0000484	Pran.g_01905	Syac.g_00285
OG0000485	Pran.g_01904	Syac.g_00284
OG0000486	Pran.g_01903	Syac.g_00283
OG0000487	Pran.g_01899	Syac.g_00276
OG0000488	Pran.g_01896	Syac.g_00272
OG0000489	Pran.g_01891	Syac.g_00260
OG0000490	Pran.g_01886	Syac.g_00249
OG0000491	Pran.g_01885	Syac.g_00248
OG0000492	Pran.g_01883	Syac.g_00246
OG0000493	Pran.g_01882	Syac.g_00245
OG0000494	Pran.g_01881	Syac.g_00244
OG0000495	Pran.g_01880	Syac.g_00243
OG0000496	Pran.g_01879	Syac.g_00242
OG0000497	Pran.g_01878	Syac.g_00241
OG0000498	Pran.g_01877	Syac.g_00240
OG0000499	Pran.g_01876	Syac.g_00239
OG0000500	Pran.g_01875	Syac.g_00238
OG0000501	Pran.g_01873	Syac.g_00235
OG0000502	Pran.g_01870	Syac.g_00223
OG0000503	Pran.g_01860	Syac.g_02020
OG0000504	Pran.g_01859	Syac.g_02018
OG0000505	Pran.g_01858	Syac.g_02017
OG0000506	Pran.g_01857	Syac.g_02015
OG0000507	Pran.g_01854	Syac.g_02009
OG0000508	Pran.g_01850	Syac.g_02005
OG0000509	Pran.g_01848	Syac.g_02003
OG0000510	Pran.g_01847	Syac.g_02002
OG0000511	Pran.g_01846	Syac.g_02001
OG0000512	Pran.g_01844	Syac.g_01999
OG0000513	Pran.g_01837	Syac.g_01984
OG0000514	Pran.g_01749	Syac.g_01977
OG0000515	Pran.g_01748	Syac.g_01976
