Orthogroup	Prat	Prah
OG0000056	Prat.g_01571	Prah.g_00543, Prah.g_01082, Prah.g_00342, Prah.g_01968, Prah.g_00341
OG0000057	Prat.g_00775	Prah.g_01027
OG0000058	Prat.g_01311	Prah.g_02195
OG0000059	Prat.g_01679	Prah.g_02043
OG0000061	Prat.g_01156	Prah.g_01322
OG0000062	Prat.g_01442	Prah.g_01654
OG0000063	Prat.g_01516	Prah.g_00042
OG0000065	Prat.g_00104	Prah.g_01897
OG0000066	Prat.g_01499	Prah.g_01485
OG0000067	Prat.g_01037	Prah.g_00667, Prah.g_01826
OG0000068	Prat.g_01291	Prah.g_01576
OG0000070	Prat.g_00412	Prah.g_00252
OG0000071	Prat.g_01249	Prah.g_01364
OG0000072	Prat.g_00172	Prah.g_02309
OG0000073	Prat.g_00462	Prah.g_01544
OG0000075	Prat.g_01761	Prah.g_02232
OG0000076	Prat.g_01788	Prah.g_00150
OG0000078	Prat.g_00245	Prah.g_01773
OG0000079	Prat.g_00258	Prah.g_02090, Prah.g_01868
OG0000081	Prat.g_00493	Prah.g_01035
OG0000082	Prat.g_01507	Prah.g_01427
OG0000084	Prat.g_01348	Prah.g_00412
OG0000085	Prat.g_01584	Prah.g_01666
OG0000086	Prat.g_00086	Prah.g_01866
OG0000087	Prat.g_00138	Prah.g_02268
OG0000088	Prat.g_00166	Prah.g_02304, Prah.g_00957
OG0000089	Prat.g_00370	Prah.g_00205
OG0000090	Prat.g_00495	Prah.g_01501
OG0000091	Prat.g_01082	Prah.g_00493
OG0000093	Prat.g_01053	Prah.g_00692
OG0000094	Prat.g_00943	Prah.g_02518
OG0000095	Prat.g_00965	Prah.g_00915
OG0000097	Prat.g_01111	Prah.g_01272
OG0000098	Prat.g_01282	Prah.g_00327
OG0000099	Prat.g_01312	Prah.g_02191
OG0000100	Prat.g_01437	Prah.g_01791, Prah.g_00636
OG0000101	Prat.g_01726	Prah.g_01995
OG0000102	Prat.g_01793	Prah.g_00144
OG0000103	Prat.g_01880	Prah.g_02586
OG0000104	Prat.g_01889	Prah.g_02600
OG0000105	Prat.g_00281	Prah.g_02126
OG0000106	Prat.g_00637	Prah.g_01660
OG0000107	Prat.g_01656	Prah.g_02072
OG0000108	Prat.g_00440	Prah.g_01566
OG0000109	Prat.g_00455	Prah.g_01550
OG0000110	Prat.g_00539	Prah.g_01439
OG0000111	Prat.g_00776	Prah.g_01028
OG0000112	Prat.g_00888	Prah.g_00788
OG0000113	Prat.g_01014	Prah.g_00641
OG0000114	Prat.g_00716	Prah.g_00733
OG0000115	Prat.g_01373	Prah.g_00383
OG0000116	Prat.g_01166	Prah.g_01337
OG0000117	Prat.g_01129	Prah.g_01257
OG0000118	Prat.g_01261	Prah.g_01378
OG0000119	Prat.g_00647	Prah.g_01007
OG0000119	Prat.g_01452	Prah.g_01048
OG0000120	Prat.g_00344	Prah.g_02192
OG0000121	Prat.g_01355	Prah.g_00406
OG0000122	Prat.g_01398	Prah.g_01203
OG0000123	Prat.g_01733	Prah.g_01987
OG0000124	Prat.g_01805	Prah.g_00125
OG0000125	Prat.g_01841	Prah.g_02498
OG0000126	Prat.g_01888	Prah.g_02598
OG0000128	Prat.g_00012, Prat.g_00011	Prah.g_00013
OG0000129	Prat.g_00047	Prah.g_02486
OG0000130	Prat.g_00066	Prah.g_01838
OG0000131	Prat.g_00144	Prah.g_02282
OG0000132	Prat.g_00164	Prah.g_02302
OG0000133	Prat.g_00329	Prah.g_02187
OG0000134	Prat.g_00372	Prah.g_00208
OG0000135	Prat.g_01477	Prah.g_02538
OG0000136	Prat.g_00401	Prah.g_00235
OG0000137	Prat.g_00434	Prah.g_00312
OG0000138	Prat.g_00456	Prah.g_01549
OG0000139	Prat.g_00499	Prah.g_01495
OG0000140	Prat.g_00500	Prah.g_01489
OG0000141	Prat.g_00570	Prah.g_01393
OG0000142	Prat.g_01090	Prah.g_00501
OG0000143	Prat.g_01086	Prah.g_00497
OG0000144	Prat.g_01072	Prah.g_00473
OG0000145	Prat.g_01472	Prah.g_01543
OG0000146	Prat.g_00887	Prah.g_00787
OG0000147	Prat.g_00886	Prah.g_00786
OG0000148	Prat.g_01020	Prah.g_00649
OG0000149	Prat.g_00991	Prah.g_00591
OG0000150	Prat.g_00981	Prah.g_00568
OG0000151	Prat.g_00726	Prah.g_00718
OG0000152	Prat.g_00896	Prah.g_00796
OG0000153	Prat.g_00915	Prah.g_00826
OG0000154	Prat.g_00934	Prah.g_00852
OG0000155	Prat.g_01135	Prah.g_01291
OG0000156	Prat.g_01238	Prah.g_01349
OG0000157	Prat.g_01239	Prah.g_01350
OG0000158	Prat.g_01769	Prah.g_02242
OG0000160	Prat.g_01354	Prah.g_00407
OG0000161	Prat.g_01360	Prah.g_00399
OG0000162	Prat.g_01366	Prah.g_00391
OG0000163	Prat.g_01409	Prah.g_01619
OG0000164	Prat.g_01615	Prah.g_01705
OG0000165	Prat.g_01623	Prah.g_01716
OG0000166	Prat.g_01690	Prah.g_02033
OG0000167	Prat.g_01759	Prah.g_02230
OG0000168	Prat.g_01770	Prah.g_02243
OG0000169	Prat.g_01781	Prah.g_00163
OG0000170	Prat.g_01784	Prah.g_00155
OG0000171	Prat.g_01804	Prah.g_00126
OG0000172	Prat.g_01811	Prah.g_00084
OG0000173	Prat.g_01826	Prah.g_00061
OG0000174	Prat.g_01858	Prah.g_02541
OG0000175	Prat.g_01870	Prah.g_02575
OG0000176	Prat.g_00004	Prah.g_00005
OG0000177	Prat.g_00005	Prah.g_00006
OG0000178	Prat.g_00006	Prah.g_00007
OG0000179	Prat.g_00017	Prah.g_00022
OG0000180	Prat.g_00018	Prah.g_00023
OG0000181	Prat.g_00019	Prah.g_00024
OG0000182	Prat.g_00020	Prah.g_00025
OG0000183	Prat.g_00024, Prat.g_01314	Prah.g_00029
OG0000184	Prat.g_00051	Prah.g_02478
OG0000185	Prat.g_00054	Prah.g_02458
OG0000186	Prat.g_00060	Prah.g_01830
OG0000187	Prat.g_00061	Prah.g_01833
OG0000188	Prat.g_00080	Prah.g_01860
OG0000189	Prat.g_00093	Prah.g_01884
OG0000190	Prat.g_00094	Prah.g_01886
OG0000191	Prat.g_00116	Prah.g_00188
OG0000192	Prat.g_00121	Prah.g_00176, Prah.g_00180
OG0000193	Prat.g_00145	Prah.g_02283
OG0000194	Prat.g_00148	Prah.g_02286
OG0000195	Prat.g_00150	Prah.g_02288
OG0000196	Prat.g_00161	Prah.g_02299
OG0000197	Prat.g_00162	Prah.g_02300
OG0000198	Prat.g_00163	Prah.g_02301
OG0000199	Prat.g_00171	Prah.g_02308
OG0000200	Prat.g_00185	Prah.g_02324
OG0000201	Prat.g_00194	Prah.g_02352
OG0000202	Prat.g_00195	Prah.g_02353
OG0000203	Prat.g_00196	Prah.g_02354
OG0000204	Prat.g_00197	Prah.g_02355
OG0000205	Prat.g_00204	Prah.g_02362
OG0000206	Prat.g_00209	Prah.g_02371
OG0000207	Prat.g_00211	Prah.g_02420
OG0000208	Prat.g_00212	Prah.g_02419
OG0000209	Prat.g_00221	Prah.g_02400
OG0000210	Prat.g_00222	Prah.g_02399
OG0000211	Prat.g_00238	Prah.g_01782
OG0000212	Prat.g_00246	Prah.g_01772
OG0000213	Prat.g_00264	Prah.g_02101
OG0000214	Prat.g_00274	Prah.g_02118
OG0000215	Prat.g_00300	Prah.g_02148
OG0000216	Prat.g_00302	Prah.g_02151
OG0000217	Prat.g_00305	Prah.g_02155
OG0000218	Prat.g_00307	Prah.g_02157
OG0000219	Prat.g_00308	Prah.g_02158
OG0000220	Prat.g_00309	Prah.g_02159
OG0000221	Prat.g_00310	Prah.g_02166
OG0000222	Prat.g_00317	Prah.g_02174
OG0000223	Prat.g_00330	Prah.g_02197
OG0000224	Prat.g_00332	Prah.g_02207
OG0000225	Prat.g_00360	Prah.g_01921
OG0000226	Prat.g_00364	Prah.g_01917
OG0000227	Prat.g_00366	Prah.g_01915
OG0000228	Prat.g_00369	Prah.g_00204
OG0000229	Prat.g_00396	Prah.g_00230
OG0000230	Prat.g_00398	Prah.g_00232
OG0000231	Prat.g_00411	Prah.g_00251
OG0000232	Prat.g_00419	Prah.g_00261
OG0000233	Prat.g_00426	Prah.g_00294
OG0000234	Prat.g_00435	Prah.g_00313, Prah.g_00314
OG0000235	Prat.g_00439	Prah.g_01567
OG0000236	Prat.g_00454	Prah.g_01551
OG0000237	Prat.g_00469	Prah.g_01534
OG0000238	Prat.g_00475	Prah.g_01529
OG0000239	Prat.g_00487	Prah.g_01513
OG0000240	Prat.g_00488	Prah.g_01512
OG0000241	Prat.g_00492	Prah.g_01094
OG0000242	Prat.g_00494	Prah.g_00108, Prah.g_01503
OG0000243	Prat.g_00504	Prah.g_01476
OG0000244	Prat.g_00507	Prah.g_01472
OG0000245	Prat.g_00509	Prah.g_01469
OG0000246	Prat.g_00514, Prat.g_00513	Prah.g_01465
OG0000247	Prat.g_00525	Prah.g_01454
OG0000248	Prat.g_00528	Prah.g_01451
OG0000249	Prat.g_00530	Prah.g_01449
OG0000250	Prat.g_00536	Prah.g_01443
OG0000251	Prat.g_00553	Prah.g_01417
OG0000252	Prat.g_00556	Prah.g_01414
OG0000253	Prat.g_00557	Prah.g_01408
OG0000254	Prat.g_00574	Prah.g_01389
OG0000255	Prat.g_00581	Prah.g_00530
OG0000256	Prat.g_00591	Prah.g_00516
OG0000257	Prat.g_01097	Prah.g_00509
OG0000258	Prat.g_01081	Prah.g_00486
OG0000259	Prat.g_01064	Prah.g_00457
OG0000260	Prat.g_01061	Prah.g_00454
OG0000261	Prat.g_01058	Prah.g_00451
OG0000262	Prat.g_01054	Prah.g_00445
OG0000263	Prat.g_00754	Prah.g_02413
OG0000264	Prat.g_00765	Prah.g_00974
OG0000265	Prat.g_00788	Prah.g_00958, Prah.g_00887
OG0000266	Prat.g_00801	Prah.g_00876
OG0000267	Prat.g_00814	Prah.g_00751
OG0000268	Prat.g_00815	Prah.g_00752
OG0000269	Prat.g_01042	Prah.g_00672
OG0000270	Prat.g_01039	Prah.g_00669
OG0000271	Prat.g_01031	Prah.g_00661
OG0000272	Prat.g_01030	Prah.g_00660
OG0000273	Prat.g_01007	Prah.g_00609
OG0000274	Prat.g_01006	Prah.g_00608
OG0000275	Prat.g_01004	Prah.g_00605
OG0000276	Prat.g_00999	Prah.g_00599
OG0000277	Prat.g_00998	Prah.g_00598
OG0000278	Prat.g_00995	Prah.g_00595
OG0000279	Prat.g_00988	Prah.g_00587
