Orthogroup	Prbe	Syac
OG0000164	Prbe.g_00961	Syac.g_00508
OG0000165	Prbe.g_00954	Syac.g_00674
OG0000166	Prbe.g_01083	Syac.g_02132
OG0000167	Prbe.g_00802	Syac.g_00194
OG0000168	Prbe.g_00791	Syac.g_00179
OG0000169	Prbe.g_00781	Syac.g_00168
OG0000170	Prbe.g_00778	Syac.g_00161
OG0000171	Prbe.g_00758	Syac.g_00136
OG0000172	Prbe.g_00751	Syac.g_00084
OG0000173	Prbe.g_01143	Syac.g_00057
OG0000174	Prbe.g_01173	Syac.g_02401
OG0000175	Prbe.g_01186	Syac.g_02465
OG0000176	Prbe.g_01069	Syac.g_00004
OG0000177	Prbe.g_01070	Syac.g_00005
OG0000178	Prbe.g_01071	Syac.g_00006
OG0000179	Prbe.g_00116	Syac.g_00019
OG0000180	Prbe.g_00117	Syac.g_00020
OG0000181	Prbe.g_00118	Syac.g_00021
OG0000182	Prbe.g_00119	Syac.g_00022
OG0000183	Prbe.g_00123	Syac.g_00026
OG0000184	Prbe.g_00149	Syac.g_02339
OG0000185	Prbe.g_00152	Syac.g_02336
OG0000186	Prbe.g_00168	Syac.g_00454
OG0000187	Prbe.g_00169	Syac.g_00453
OG0000188	Prbe.g_00186	Syac.g_00433
OG0000189	Prbe.g_01636	Syac.g_00408
OG0000190	Prbe.g_01638	Syac.g_00406
OG0000191	Prbe.g_01661	Syac.g_00373
OG0000192	Prbe.g_01666	Syac.g_00368
OG0000193	Prbe.g_01693	Syac.g_00329
OG0000194	Prbe.g_01696	Syac.g_00326
OG0000195	Prbe.g_01698	Syac.g_00324
OG0000196	Prbe.g_01709	Syac.g_00313
OG0000197	Prbe.g_01710	Syac.g_00312
OG0000198	Prbe.g_01711	Syac.g_00311
OG0000199	Prbe.g_01718	Syac.g_00303
OG0000200	Prbe.g_01732	Syac.g_02261
OG0000201	Prbe.g_01741	Syac.g_02278
OG0000202	Prbe.g_01742	Syac.g_02279
OG0000203	Prbe.g_01743	Syac.g_02280
OG0000204	Prbe.g_01744	Syac.g_02281
OG0000205	Prbe.g_01751	Syac.g_02288
OG0000206	Prbe.g_01756	Syac.g_02297
OG0000207	Prbe.g_01759	Syac.g_02300
OG0000208	Prbe.g_01760	Syac.g_02301
OG0000209	Prbe.g_01769	Syac.g_02316
OG0000210	Prbe.g_01770	Syac.g_02317
OG0000211	Prbe.g_01785	Syac.g_01972
OG0000212	Prbe.g_01793	Syac.g_01963
OG0000213	Prbe.g_01811	Syac.g_02219
OG0000214	Prbe.g_01821	Syac.g_02236
OG0000215	Prbe.g_01848	Syac.g_00281
OG0000216	Prbe.g_01849	Syac.g_00277
OG0000217	Prbe.g_01852	Syac.g_00273
OG0000218	Prbe.g_01854	Syac.g_00271
OG0000219	Prbe.g_01855	Syac.g_00270
OG0000220	Prbe.g_01856	Syac.g_00269
OG0000221	Prbe.g_01857	Syac.g_00261
OG0000222	Prbe.g_01864	Syac.g_00247
OG0000223	Prbe.g_01876	Syac.g_00225
OG0000224	Prbe.g_01878	Syac.g_00217
OG0000225	Prbe.g_01904	Syac.g_02004
OG0000226	Prbe.g_01908	Syac.g_02000
OG0000227	Prbe.g_01910	Syac.g_01998
OG0000228	Prbe.g_01914	Syac.g_01989
OG0000229	Prbe.g_01934	Syac.g_00692
OG0000230	Prbe.g_01936	Syac.g_00694
OG0000231	Prbe.g_01947	Syac.g_00710
OG0000232	Prbe.g_00672	Syac.g_01717
OG0000233	Prbe.g_00666	Syac.g_01713
OG0000234	Prbe.g_00657	Syac.g_01699
OG0000235	Prbe.g_00654	Syac.g_01905
OG0000236	Prbe.g_00640	Syac.g_01890
OG0000237	Prbe.g_00627	Syac.g_01873
OG0000238	Prbe.g_00621	Syac.g_01868
OG0000239	Prbe.g_00610	Syac.g_01852
OG0000240	Prbe.g_00609	Syac.g_01851
OG0000241	Prbe.g_00605	Syac.g_00970
OG0000242	Prbe.g_00603	Syac.g_01839
OG0000243	Prbe.g_00592	Syac.g_01821
OG0000244	Prbe.g_00589	Syac.g_01814
OG0000245	Prbe.g_00587	Syac.g_01811
OG0000246	Prbe.g_00583	Syac.g_01807
OG0000247	Prbe.g_00573	Syac.g_01795
OG0000248	Prbe.g_00570	Syac.g_01792
OG0000249	Prbe.g_00568	Syac.g_01790
OG0000250	Prbe.g_00563	Syac.g_01782
OG0000251	Prbe.g_00543	Syac.g_01757
OG0000252	Prbe.g_00540	Syac.g_01753
OG0000253	Prbe.g_00539	Syac.g_01752
OG0000254	Prbe.g_00522	Syac.g_00939
OG0000255	Prbe.g_00516	Syac.g_00947
OG0000256	Prbe.g_00506	Syac.g_00963
OG0000257	Prbe.g_01490	Syac.g_00969
OG0000258	Prbe.g_01476	Syac.g_00988
OG0000259	Prbe.g_01459	Syac.g_01425
OG0000260	Prbe.g_01456	Syac.g_01422
OG0000261	Prbe.g_01453	Syac.g_01418
OG0000262	Prbe.g_01449	Syac.g_01413
OG0000263	Prbe.g_00455	Syac.g_01497
OG0000264	Prbe.g_00466	Syac.g_00915
OG0000265	Prbe.g_01214	Syac.g_00673
OG0000266	Prbe.g_01430	Syac.g_01271
OG0000267	Prbe.g_01418	Syac.g_01131
OG0000268	Prbe.g_01417	Syac.g_01132
OG0000269	Prbe.g_01217	Syac.g_01346
OG0000270	Prbe.g_01220	Syac.g_01343
OG0000271	Prbe.g_01228	Syac.g_01335
OG0000272	Prbe.g_01229	Syac.g_01334
OG0000273	Prbe.g_01253	Syac.g_00854
OG0000274	Prbe.g_01254	Syac.g_00853
OG0000275	Prbe.g_01257	Syac.g_00848
OG0000276	Prbe.g_01263	Syac.g_00840
OG0000277	Prbe.g_01264	Syac.g_00839
OG0000278	Prbe.g_01267	Syac.g_00836
OG0000279	Prbe.g_01274	Syac.g_00828
OG0000280	Prbe.g_01275	Syac.g_00814
OG0000281	Prbe.g_01282	Syac.g_02158
OG0000282	Prbe.g_00419	Syac.g_01392
OG0000283	Prbe.g_01326	Syac.g_01142
OG0000284	Prbe.g_01331	Syac.g_01148
OG0000285	Prbe.g_01336	Syac.g_01160
OG0000286	Prbe.g_01349	Syac.g_01181
OG0000287	Prbe.g_01615	Syac.g_01209
OG0000288	Prbe.g_01388	Syac.g_01240
OG0000289	Prbe.g_01404	Syac.g_01254
OG0000290	Prbe.g_01300	Syac.g_00881
OG0000291	Prbe.g_01298	Syac.g_00883
OG0000292	Prbe.g_01594	Syac.g_02487
OG0000293	Prbe.g_01559	Syac.g_00754
OG0000294	Prbe.g_01558	Syac.g_00755
OG0000295	Prbe.g_01535	Syac.g_00796
OG0000296	Prbe.g_01533	Syac.g_00798
OG0000297	Prbe.g_01524	Syac.g_01475
OG0000298	Prbe.g_01523	Syac.g_01476
OG0000299	Prbe.g_01504	Syac.g_01503
OG0000300	Prbe.g_01501	Syac.g_01510
OG0000301	Prbe.g_01500	Syac.g_01511
OG0000302	Prbe.g_01498	Syac.g_01512
OG0000303	Prbe.g_01492	Syac.g_01520
OG0000304	Prbe.g_00501	Syac.g_01526
OG0000305	Prbe.g_01592	Syac.g_00886
OG0000306	Prbe.g_01286	Syac.g_00810
OG0000307	Prbe.g_00364	Syac.g_01924
OG0000308	Prbe.g_00363	Syac.g_01926
OG0000309	Prbe.g_00359	Syac.g_01931
OG0000310	Prbe.g_00325	Syac.g_01607
OG0000311	Prbe.g_00323	Syac.g_01611
OG0000312	Prbe.g_00320	Syac.g_01619
OG0000313	Prbe.g_00307	Syac.g_01638
OG0000314	Prbe.g_00284	Syac.g_01665
OG0000315	Prbe.g_00274	Syac.g_01675
OG0000316	Prbe.g_00249	Syac.g_00601
OG0000317	Prbe.g_00988	Syac.g_00552
OG0000318	Prbe.g_00984	Syac.g_00543
OG0000319	Prbe.g_00971	Syac.g_00525
OG0000320	Prbe.g_00969	Syac.g_00523
OG0000321	Prbe.g_00968	Syac.g_00522
OG0000322	Prbe.g_00967	Syac.g_00521
OG0000323	Prbe.g_00958	Syac.g_00506
OG0000324	Prbe.g_00931	Syac.g_00648
OG0000325	Prbe.g_00920	Syac.g_02190
OG0000326	Prbe.g_01109	Syac.g_02183
OG0000327	Prbe.g_01088	Syac.g_02137
OG0000328	Prbe.g_01087	Syac.g_02136
OG0000329	Prbe.g_00860	Syac.g_02119
OG0000330	Prbe.g_00859	Syac.g_02118
OG0000331	Prbe.g_00858	Syac.g_02117
OG0000332	Prbe.g_00844	Syac.g_02103
OG0000333	Prbe.g_00842	Syac.g_02100
OG0000334	Prbe.g_00833	Syac.g_02090
OG0000335	Prbe.g_00828	Syac.g_02085
OG0000336	Prbe.g_00824	Syac.g_02081
OG0000337	Prbe.g_00806	Syac.g_00199
OG0000338	Prbe.g_00805	Syac.g_00196
OG0000339	Prbe.g_00799	Syac.g_00190
OG0000340	Prbe.g_00790	Syac.g_00178
OG0000341	Prbe.g_00788	Syac.g_00176
OG0000342	Prbe.g_00787	Syac.g_00175
OG0000343	Prbe.g_00786	Syac.g_00174
OG0000344	Prbe.g_00783	Syac.g_00170
OG0000345	Prbe.g_00777	Syac.g_00160
OG0000346	Prbe.g_00773	Syac.g_00155
OG0000347	Prbe.g_00746	Syac.g_00129
OG0000348	Prbe.g_00754	Syac.g_00070, Syac.g_00074
OG0000349	Prbe.g_01149	Syac.g_00050
OG0000350	Prbe.g_00709	Syac.g_02176
OG0000351	Prbe.g_01189	Syac.g_02468
OG0000352	Prbe.g_01190	Syac.g_02469
OG0000353	Prbe.g_01064	Syac.g_02493
OG0000355	Prbe.g_01066	Syac.g_00001
OG0000356	Prbe.g_01067	Syac.g_00002
OG0000357	Prbe.g_01068	Syac.g_00003
OG0000358	Prbe.g_01072	Syac.g_00007
OG0000359	Prbe.g_01073	Syac.g_00009
OG0000360	Prbe.g_01074	Syac.g_00010
OG0000361	Prbe.g_01075	Syac.g_00011
OG0000362	Prbe.g_01077	Syac.g_00013
OG0000363	Prbe.g_00114	Syac.g_00015
OG0000364	Prbe.g_00115	Syac.g_00016
OG0000365	Prbe.g_00120	Syac.g_00023
OG0000366	Prbe.g_00121	Syac.g_00024
OG0000367	Prbe.g_00122	Syac.g_00025
OG0000368	Prbe.g_00124	Syac.g_00027
OG0000369	Prbe.g_00125	Syac.g_00028
OG0000370	Prbe.g_00126	Syac.g_00029
OG0000371	Prbe.g_00133	Syac.g_00036
OG0000372	Prbe.g_00136	Syac.g_00041
OG0000373	Prbe.g_00137	Syac.g_00042
OG0000374	Prbe.g_00138	Syac.g_00043
OG0000375	Prbe.g_00140	Syac.g_00046
OG0000376	Prbe.g_00142	Syac.g_00048
OG0000377	Prbe.g_00146	Syac.g_02346
OG0000378	Prbe.g_00150	Syac.g_02338
OG0000379	Prbe.g_00153	Syac.g_02335
OG0000380	Prbe.g_00170	Syac.g_00452
OG0000381	Prbe.g_00175	Syac.g_00449
OG0000382	Prbe.g_00185	Syac.g_00434
OG0000383	Prbe.g_00187	Syac.g_00432
OG0000384	Prbe.g_00188	Syac.g_00431
OG0000385	Prbe.g_00189	Syac.g_00430
OG0000386	Prbe.g_00190	Syac.g_00429
OG0000387	Prbe.g_01640	Syac.g_00404
OG0000388	Prbe.g_01644	Syac.g_00401
OG0000389	Prbe.g_01647	Syac.g_00397
OG0000390	Prbe.g_01657	Syac.g_00379
OG0000391	Prbe.g_01660	Syac.g_00374
OG0000392	Prbe.g_01664	Syac.g_00369
OG0000393	Prbe.g_01667	Syac.g_00366
OG0000394	Prbe.g_01668	Syac.g_00365
OG0000395	Prbe.g_01669	Syac.g_00364
OG0000396	Prbe.g_01671	Syac.g_00361
OG0000397	Prbe.g_01673	Syac.g_00359
OG0000398	Prbe.g_01676	Syac.g_00354
OG0000399	Prbe.g_01677	Syac.g_00353
OG0000400	Prbe.g_01678	Syac.g_00352
OG0000401	Prbe.g_01679	Syac.g_00351
