Orthogroup	Prbe	Syaf
OG0000081	Prbe.g_00604	Syaf.g_02776
OG0000082	Prbe.g_00549, Prbe.g_00996	Syaf.g_02576
OG0000084	Prbe.g_00314	Syaf.g_02409
OG0000085	Prbe.g_00007, Prbe.g_00993	Syaf.g_01048
OG0000086	Prbe.g_00192	Syaf.g_00932
OG0000087	Prbe.g_01683	Syaf.g_00848
OG0000088	Prbe.g_01714	Syaf.g_00811
OG0000089	Prbe.g_01915	Syaf.g_02807
OG0000090	Prbe.g_00602	Syaf.g_02654
OG0000091	Prbe.g_01477	Syaf.g_02302
OG0000093	Prbe.g_01448	Syaf.g_02065
OG0000094	Prbe.g_01399	Syaf.g_01940
OG0000095	Prbe.g_01297	Syaf.g_01442
OG0000097	Prbe.g_01503	Syaf.g_01574
OG0000098	Prbe.g_00397	Syaf.g_01637
OG0000099	Prbe.g_00350	Syaf.g_00312
OG0000100	Prbe.g_00232	Syaf.g_02017
OG0000101	Prbe.g_00836	Syaf.g_00093
OG0000102	Prbe.g_00769	Syaf.g_00393
OG0000103	Prbe.g_01195	Syaf.g_00520
OG0000104	Prbe.g_01061	Syaf.g_00502
OG0000105	Prbe.g_01828	Syaf.g_00235
OG0000106	Prbe.g_00740	Syaf.g_01745
OG0000107	Prbe.g_00921	Syaf.g_00177, Syaf.g_00758
OG0000108	Prbe.g_00653	Syaf.g_02721
OG0000109	Prbe.g_00639	Syaf.g_02706
OG0000110	Prbe.g_00560	Syaf.g_02589
OG0000111	Prbe.g_01207	Syaf.g_01451
OG0000112	Prbe.g_00487	Syaf.g_01852
OG0000113	Prbe.g_01245	Syaf.g_02022
OG0000114	Prbe.g_00417	Syaf.g_02103
OG0000115	Prbe.g_01618	Syaf.g_02445
OG0000116	Prbe.g_01560	Syaf.g_01276
OG0000117	Prbe.g_01522	Syaf.g_01605
OG0000118	Prbe.g_00880	Syaf.g_02544
OG0000120	Prbe.g_00353	Syaf.g_00313
OG0000121	Prbe.g_00309	Syaf.g_02419
OG0000123	Prbe.g_00829	Syaf.g_00086
OG0000124	Prbe.g_00745	Syaf.g_00414
OG0000125	Prbe.g_01158	Syaf.g_00640
OG0000126	Prbe.g_01060	Syaf.g_00504
OG0000128	Prbe.g_01076	Syaf.g_00486
OG0000129	Prbe.g_00145	Syaf.g_00651
OG0000130	Prbe.g_00174	Syaf.g_00963
OG0000131	Prbe.g_01692	Syaf.g_00833
OG0000132	Prbe.g_01712	Syaf.g_00813
OG0000133	Prbe.g_01875	Syaf.g_01857
OG0000134	Prbe.g_01917	Syaf.g_02804
OG0000135	Prbe.g_00911	Syaf.g_00605
OG0000136	Prbe.g_01939	Syaf.g_01224
OG0000137	Prbe.g_00658	Syaf.g_02498
OG0000138	Prbe.g_00638	Syaf.g_02705
OG0000139	Prbe.g_00598	Syaf.g_02648
OG0000140	Prbe.g_00597	Syaf.g_02646
OG0000141	Prbe.g_00526	Syaf.g_02375
OG0000142	Prbe.g_01485	Syaf.g_02310
OG0000143	Prbe.g_01481	Syaf.g_02306
OG0000144	Prbe.g_01467	Syaf.g_01735
OG0000145	Prbe.g_00909	Syaf.g_02699
OG0000146	Prbe.g_00488	Syaf.g_01851
OG0000147	Prbe.g_00489	Syaf.g_01850
OG0000148	Prbe.g_01239	Syaf.g_02028
OG0000149	Prbe.g_01271	Syaf.g_01371
OG0000150	Prbe.g_01281	Syaf.g_02645
OG0000151	Prbe.g_00427	Syaf.g_02091
OG0000152	Prbe.g_01350	Syaf.g_01861
OG0000153	Prbe.g_01369	Syaf.g_01904
OG0000154	Prbe.g_01389	Syaf.g_01930
OG0000155	Prbe.g_01528	Syaf.g_01324
OG0000156	Prbe.g_00904	Syaf.g_01270
OG0000157	Prbe.g_00903	Syaf.g_01269
OG0000158	Prbe.g_00792	Syaf.g_00364
OG0000159	Prbe.g_00165	Syaf.g_00311
OG0000160	Prbe.g_00310	Syaf.g_02418
OG0000161	Prbe.g_00304	Syaf.g_02424
OG0000162	Prbe.g_00298	Syaf.g_02431
OG0000163	Prbe.g_00259	Syaf.g_01105
OG0000164	Prbe.g_00961	Syaf.g_00999
OG0000165	Prbe.g_00954	Syaf.g_01197
OG0000166	Prbe.g_01083	Syaf.g_00133
OG0000167	Prbe.g_00802	Syaf.g_00350
OG0000168	Prbe.g_00791	Syaf.g_00365
OG0000169	Prbe.g_00781	Syaf.g_00376
OG0000170	Prbe.g_00778	Syaf.g_00383
OG0000171	Prbe.g_00758	Syaf.g_00413
OG0000172	Prbe.g_00751	Syaf.g_00419
OG0000173	Prbe.g_01143	Syaf.g_00438
OG0000174	Prbe.g_01173	Syaf.g_00603
OG0000175	Prbe.g_01186	Syaf.g_00531
OG0000176	Prbe.g_01069	Syaf.g_00494
OG0000177	Prbe.g_01070	Syaf.g_00493
OG0000178	Prbe.g_01071	Syaf.g_00492
OG0000179	Prbe.g_00116	Syaf.g_00477
OG0000180	Prbe.g_00117	Syaf.g_00476
OG0000181	Prbe.g_00118	Syaf.g_00475
OG0000182	Prbe.g_00119	Syaf.g_00474
OG0000183	Prbe.g_00123	Syaf.g_00470
OG0000184	Prbe.g_00149	Syaf.g_00664
OG0000185	Prbe.g_00152	Syaf.g_00684
OG0000186	Prbe.g_00168	Syaf.g_00968
OG0000187	Prbe.g_00169	Syaf.g_00966
OG0000188	Prbe.g_00186	Syaf.g_00944
OG0000189	Prbe.g_01636	Syaf.g_00916
OG0000190	Prbe.g_01638	Syaf.g_00914
OG0000191	Prbe.g_01661	Syaf.g_00877
OG0000192	Prbe.g_01666	Syaf.g_00871
OG0000193	Prbe.g_01693	Syaf.g_00832
OG0000194	Prbe.g_01696	Syaf.g_00829
OG0000195	Prbe.g_01698	Syaf.g_00827
OG0000196	Prbe.g_01709	Syaf.g_00816
OG0000197	Prbe.g_01710	Syaf.g_00815
OG0000198	Prbe.g_01711	Syaf.g_00814
OG0000199	Prbe.g_01718	Syaf.g_00806
OG0000200	Prbe.g_01732	Syaf.g_00789
OG0000201	Prbe.g_01741	Syaf.g_00771
OG0000202	Prbe.g_01742	Syaf.g_00770
OG0000203	Prbe.g_01743	Syaf.g_00769
OG0000204	Prbe.g_01744	Syaf.g_00768
OG0000205	Prbe.g_01751	Syaf.g_00761
OG0000206	Prbe.g_01756	Syaf.g_00736
OG0000207	Prbe.g_01759	Syaf.g_00735
OG0000208	Prbe.g_01760	Syaf.g_00734
OG0000209	Prbe.g_01769	Syaf.g_00714
OG0000210	Prbe.g_01770	Syaf.g_00713
OG0000211	Prbe.g_01785	Syaf.g_02791
OG0000212	Prbe.g_01793	Syaf.g_02781
OG0000213	Prbe.g_01811	Syaf.g_00210
OG0000214	Prbe.g_01821	Syaf.g_00226
OG0000215	Prbe.g_01848	Syaf.g_00258
OG0000216	Prbe.g_01849	Syaf.g_00262
OG0000217	Prbe.g_01852	Syaf.g_00266
OG0000218	Prbe.g_01854	Syaf.g_00268
OG0000219	Prbe.g_01855	Syaf.g_00269
OG0000220	Prbe.g_01856	Syaf.g_00270
OG0000221	Prbe.g_01857	Syaf.g_02597, Syaf.g_00273
OG0000222	Prbe.g_01864	Syaf.g_00287
OG0000223	Prbe.g_01876	Syaf.g_00317
OG0000224	Prbe.g_01878	Syaf.g_00324
OG0000225	Prbe.g_01904	Syaf.g_00007
OG0000226	Prbe.g_01908	Syaf.g_00003
OG0000227	Prbe.g_01910	Syaf.g_00001
OG0000228	Prbe.g_01914	Syaf.g_02808
OG0000229	Prbe.g_01934	Syaf.g_01214
OG0000230	Prbe.g_01936	Syaf.g_01216
OG0000231	Prbe.g_01947	Syaf.g_01236
OG0000232	Prbe.g_00672	Syaf.g_02536
OG0000233	Prbe.g_00666	Syaf.g_02528
OG0000234	Prbe.g_00657	Syaf.g_02497
OG0000235	Prbe.g_00654	Syaf.g_02722
OG0000236	Prbe.g_00640	Syaf.g_02707
OG0000237	Prbe.g_00627	Syaf.g_02690
OG0000238	Prbe.g_00621	Syaf.g_02685
OG0000239	Prbe.g_00610	Syaf.g_02669
OG0000240	Prbe.g_00609	Syaf.g_02668
OG0000241	Prbe.g_00605	Syaf.g_02322
OG0000242	Prbe.g_00603	Syaf.g_02656
OG0000243	Prbe.g_00592	Syaf.g_02634
OG0000244	Prbe.g_00589	Syaf.g_02627
OG0000245	Prbe.g_00587	Syaf.g_02625
OG0000246	Prbe.g_00583	Syaf.g_02621
OG0000247	Prbe.g_00573	Syaf.g_02610
OG0000248	Prbe.g_00570	Syaf.g_02607
OG0000249	Prbe.g_00568	Syaf.g_02605
OG0000250	Prbe.g_00563	Syaf.g_02593
OG0000251	Prbe.g_00543	Syaf.g_02568
OG0000252	Prbe.g_00540	Syaf.g_02565
OG0000253	Prbe.g_00539	Syaf.g_02564
OG0000254	Prbe.g_00522	Syaf.g_02371
OG0000255	Prbe.g_00516	Syaf.g_02352
OG0000256	Prbe.g_00506	Syaf.g_02329
OG0000257	Prbe.g_01490	Syaf.g_02323
OG0000258	Prbe.g_01476	Syaf.g_02301
OG0000259	Prbe.g_01459	Syaf.g_02137
OG0000260	Prbe.g_01456	Syaf.g_02134
OG0000261	Prbe.g_01453	Syaf.g_02131
OG0000262	Prbe.g_01449	Syaf.g_02126
OG0000263	Prbe.g_00455	Syaf.g_01585
OG0000264	Prbe.g_00466	Syaf.g_01473
OG0000265	Prbe.g_01214	Syaf.g_01196
OG0000266	Prbe.g_01430	Syaf.g_01967
OG0000267	Prbe.g_01418	Syaf.g_01787
OG0000268	Prbe.g_01417	Syaf.g_00307, Syaf.g_01788
OG0000269	Prbe.g_01217	Syaf.g_02054
OG0000270	Prbe.g_01220	Syaf.g_02051
OG0000271	Prbe.g_01228	Syaf.g_02043
OG0000272	Prbe.g_01229	Syaf.g_02042
OG0000273	Prbe.g_01253	Syaf.g_01392
OG0000274	Prbe.g_01254	Syaf.g_01391
OG0000275	Prbe.g_01257	Syaf.g_01386
OG0000276	Prbe.g_01263	Syaf.g_01379
OG0000277	Prbe.g_01264	Syaf.g_01378
OG0000278	Prbe.g_01267	Syaf.g_01375
OG0000279	Prbe.g_01274	Syaf.g_01367
OG0000280	Prbe.g_01275	Syaf.g_01337
OG0000281	Prbe.g_01282	Syaf.g_01636
OG0000282	Prbe.g_00419	Syaf.g_02101
OG0000283	Prbe.g_01326	Syaf.g_01804
OG0000284	Prbe.g_01331	Syaf.g_01810
OG0000285	Prbe.g_01336	Syaf.g_01842
OG0000286	Prbe.g_01349	Syaf.g_01860
OG0000287	Prbe.g_01615	Syaf.g_01896
OG0000288	Prbe.g_01388	Syaf.g_01929
OG0000289	Prbe.g_01404	Syaf.g_01943
OG0000290	Prbe.g_01300	Syaf.g_01439
OG0000291	Prbe.g_01298	Syaf.g_01441
OG0000292	Prbe.g_01594	Syaf.g_00505
OG0000293	Prbe.g_01559	Syaf.g_01277
OG0000294	Prbe.g_01558	Syaf.g_01278
OG0000295	Prbe.g_01535	Syaf.g_01316
OG0000296	Prbe.g_01533	Syaf.g_01318
OG0000297	Prbe.g_01524	Syaf.g_01607
OG0000298	Prbe.g_01523	Syaf.g_01606
OG0000299	Prbe.g_01504	Syaf.g_01578
OG0000300	Prbe.g_01501	Syaf.g_01571
