Orthogroup	Prar	Prab
OG0000211	Prar.g_00094	Prab.g_00224
OG0000212	Prar.g_00087	Prab.g_00230
OG0000213	Prar.g_00330	Prab.g_00247
OG0000214	Prar.g_00320	Prab.g_00256
OG0000215	Prar.g_00295	Prab.g_00280
OG0000216	Prar.g_00293	Prab.g_00282
OG0000217	Prar.g_00290	Prab.g_00285
OG0000218	Prar.g_00288	Prab.g_00287
OG0000219	Prar.g_00287	Prab.g_00288
OG0000220	Prar.g_00286	Prab.g_00289
OG0000221	Prar.g_00285	Prab.g_00290
OG0000222	Prar.g_00277	Prab.g_00298
OG0000223	Prar.g_00264	Prab.g_00311
OG0000224	Prar.g_00262	Prab.g_00313
OG0000225	Prar.g_00406	Prab.g_00333
OG0000226	Prar.g_00410	Prab.g_00337
OG0000227	Prar.g_00412	Prab.g_00339
OG0000228	Prar.g_00415	Prab.g_00342
OG0000229	Prar.g_00484	Prab.g_00439
OG0000230	Prar.g_00486	Prab.g_00441
OG0000231	Prar.g_00497	Prab.g_00455
OG0000232	Prar.g_00506	Prab.g_00463
OG0000233	Prar.g_00512	Prab.g_00468
OG0000234	Prar.g_00526	Prab.g_00480
OG0000235	Prar.g_00529	Prab.g_00483
OG0000236	Prar.g_00543	Prab.g_00497
OG0000237	Prar.g_01337	Prab.g_00510
OG0000238	Prar.g_01343	Prab.g_00516
OG0000239	Prar.g_01355	Prab.g_00529
OG0000240	Prar.g_01356	Prab.g_00530
OG0000241	Prar.g_01360	Prab.g_00534
OG0000242	Prar.g_01362	Prab.g_00536
OG0000243	Prar.g_01373	Prab.g_00547
OG0000244	Prar.g_01376	Prab.g_00550
OG0000245	Prar.g_01378	Prab.g_00552
OG0000246	Prar.g_01382	Prab.g_00556
OG0000247	Prar.g_01392	Prab.g_00566
OG0000248	Prar.g_01394	Prab.g_00569
OG0000249	Prar.g_01396	Prab.g_00571
OG0000250	Prar.g_01401	Prab.g_00576
OG0000251	Prar.g_01420	Prab.g_00595
OG0000252	Prar.g_01424	Prab.g_00598
OG0000253	Prar.g_01425	Prab.g_00599
OG0000254	Prar.g_01441	Prab.g_00615
