Orthogroup	Prar	Syaf
OG0000570	Prar.g_01400	Syaf.g_02595
OG0000571	Prar.g_01402	Syaf.g_02591
OG0000572	Prar.g_01415	Syaf.g_02575
OG0000573	Prar.g_01422	Syaf.g_02567
OG0000574	Prar.g_01423	Syaf.g_02566
OG0000575	Prar.g_01427	Syaf.g_02562
OG0000576	Prar.g_01429	Syaf.g_02560
OG0000577	Prar.g_01430	Syaf.g_02559
OG0000578	Prar.g_01431	Syaf.g_02558
OG0000579	Prar.g_01432	Syaf.g_02557
OG0000580	Prar.g_01433	Syaf.g_02556
OG0000581	Prar.g_01435	Syaf.g_02550
OG0000582	Prar.g_01438	Syaf.g_02374
OG0000583	Prar.g_01439	Syaf.g_02373
OG0000584	Prar.g_01440	Syaf.g_02372
OG0000585	Prar.g_01442	Syaf.g_02370
OG0000586	Prar.g_01443	Syaf.g_02369
OG0000587	Prar.g_01444	Syaf.g_02367
OG0000588	Prar.g_01448	Syaf.g_02350
OG0000589	Prar.g_01451	Syaf.g_02340
OG0000590	Prar.g_01452	Syaf.g_02339
OG0000591	Prar.g_01455	Syaf.g_02331
OG0000592	Prar.g_01456	Syaf.g_02330
OG0000593	Prar.g_01462	Syaf.g_02314
OG0000594	Prar.g_01463	Syaf.g_02313
OG0000595	Prar.g_01464	Syaf.g_02312
OG0000596	Prar.g_01468	Syaf.g_02307
OG0000597	Prar.g_01470	Syaf.g_02304
OG0000598	Prar.g_01471	Syaf.g_02303
OG0000599	Prar.g_01474	Syaf.g_02300
OG0000600	Prar.g_01475	Syaf.g_02299
OG0000601	Prar.g_01476	Syaf.g_02298
OG0000602	Prar.g_01478	Syaf.g_02293
OG0000603	Prar.g_01479	Syaf.g_02292
OG0000604	Prar.g_01480	Syaf.g_02289
OG0000605	Prar.g_01481	Syaf.g_01734
OG0000606	Prar.g_01484	Syaf.g_02145
OG0000607	Prar.g_01487	Syaf.g_02142
OG0000608	Prar.g_01488	Syaf.g_02141
OG0000609	Prar.g_01489	Syaf.g_02139
OG0000610	Prar.g_01494	Syaf.g_02132
OG0000611	Prar.g_01497	Syaf.g_02129
OG0000612	Prar.g_01498	Syaf.g_02128
OG0000613	Prar.g_01503	Syaf.g_00315
OG0000614	Prar.g_01522	Syaf.g_01469
OG0000615	Prar.g_01530	Syaf.g_02085
OG0000616	Prar.g_01534	Syaf.g_00518
OG0000617	Prar.g_01605	Syaf.g_01975
OG0000618	Prar.g_01606	Syaf.g_01974
OG0000619	Prar.g_01607	Syaf.g_01973
OG0000620	Prar.g_01610	Syaf.g_01966
OG0000621	Prar.g_01611	Syaf.g_01965
OG0000622	Prar.g_01612	Syaf.g_01964
OG0000623	Prar.g_01613	Syaf.g_01963
OG0000624	Prar.g_01614	Syaf.g_01961
OG0000625	Prar.g_01615	Syaf.g_01960
OG0000626	Prar.g_01616	Syaf.g_01959
OG0000627	Prar.g_01617	Syaf.g_01782
OG0000628	Prar.g_01618	Syaf.g_01783
OG0000629	Prar.g_01619	Syaf.g_01786
OG0000630	Prar.g_01622	Syaf.g_01790
OG0000631	Prar.g_01675	Syaf.g_01801
OG0000632	Prar.g_01676	Syaf.g_01802
OG0000633	Prar.g_01677	Syaf.g_01803
OG0000634	Prar.g_01680	Syaf.g_02053
OG0000635	Prar.g_01681	Syaf.g_02052
OG0000636	Prar.g_01683	Syaf.g_02050
OG0000637	Prar.g_01685	Syaf.g_02048
OG0000638	Prar.g_01686	Syaf.g_02047
OG0000639	Prar.g_01687	Syaf.g_02046
OG0000640	Prar.g_01688	Syaf.g_02045
OG0000641	Prar.g_01692	Syaf.g_02041
OG0000642	Prar.g_01693	Syaf.g_02040
OG0000643	Prar.g_01694	Syaf.g_02038
OG0000644	Prar.g_01695	Syaf.g_02037
OG0000645	Prar.g_01696	Syaf.g_02035
OG0000646	Prar.g_01698	Syaf.g_02032
OG0000647	Prar.g_01699	Syaf.g_02030
OG0000648	Prar.g_01701	Syaf.g_02027
OG0000649	Prar.g_01702	Syaf.g_02026
OG0000650	Prar.g_01703	Syaf.g_02025
OG0000651	Prar.g_01704	Syaf.g_02024
OG0000652	Prar.g_01705	Syaf.g_02023
OG0000653	Prar.g_01707	Syaf.g_02021
OG0000654	Prar.g_01708	Syaf.g_02020
OG0000655	Prar.g_01709	Syaf.g_02019
OG0000656	Prar.g_01712	Syaf.g_02016
OG0000657	Prar.g_01719	Syaf.g_01384
OG0000658	Prar.g_01720	Syaf.g_01381
OG0000659	Prar.g_01721	Syaf.g_01380
OG0000660	Prar.g_01725	Syaf.g_01376
OG0000661	Prar.g_01727	Syaf.g_01374
OG0000662	Prar.g_01729	Syaf.g_01372
OG0000663	Prar.g_01731	Syaf.g_01369
OG0000664	Prar.g_01732	Syaf.g_01368
OG0000665	Prar.g_01736	Syaf.g_00980
OG0000666	Prar.g_01737	Syaf.g_01733
OG0000667	Prar.g_01742	Syaf.g_01635
OG0000668	Prar.g_01759	Syaf.g_01928
OG0000669	Prar.g_01767	Syaf.g_02112
OG0000670	Prar.g_01769	Syaf.g_02769
OG0000671	Prar.g_01771	Syaf.g_02108
OG0000672	Prar.g_01774	Syaf.g_02105
OG0000673	Prar.g_01777	Syaf.g_02102
OG0000674	Prar.g_01779	Syaf.g_02100
OG0000675	Prar.g_01780	Syaf.g_02099
OG0000676	Prar.g_01782	Syaf.g_02097
OG0000677	Prar.g_01783	Syaf.g_02096
OG0000678	Prar.g_01785	Syaf.g_02092
OG0000679	Prar.g_01789	Syaf.g_02083
OG0000680	Prar.g_01790	Syaf.g_02082
OG0000681	Prar.g_01792	Syaf.g_02079
OG0000682	Prar.g_01793	Syaf.g_02078
OG0000683	Prar.g_01794	Syaf.g_02077
OG0000684	Prar.g_01795	Syaf.g_02072
OG0000685	Prar.g_01797	Syaf.g_02070
OG0000686	Prar.g_01798	Syaf.g_02069
OG0000687	Prar.g_01799	Syaf.g_02068
OG0000688	Prar.g_01802	Syaf.g_02063
OG0000689	Prar.g_01803	Syaf.g_02061
OG0000690	Prar.g_01804	Syaf.g_02060
OG0000691	Prar.g_01805	Syaf.g_02059
OG0000692	Prar.g_01807	Syaf.g_02058
OG0000693	Prar.g_01808	Syaf.g_02057
OG0000694	Prar.g_01809	Syaf.g_02056
OG0000695	Prar.g_01811	Syaf.g_01805
OG0000696	Prar.g_01812	Syaf.g_01806
OG0000697	Prar.g_01813	Syaf.g_01808
OG0000698	Prar.g_01816	Syaf.g_01811
OG0000699	Prar.g_01817	Syaf.g_01813
OG0000700	Prar.g_01818	Syaf.g_01814
OG0000701	Prar.g_01819	Syaf.g_01815
OG0000702	Prar.g_01821	Syaf.g_01843
OG0000703	Prar.g_01822	Syaf.g_01844
OG0000704	Prar.g_01823	Syaf.g_01846
OG0000705	Prar.g_01827	Syaf.g_01853
OG0000706	Prar.g_01828	Syaf.g_01854
OG0000707	Prar.g_01829	Syaf.g_01855
OG0000708	Prar.g_01830	Syaf.g_01858
OG0000709	Prar.g_01834	Syaf.g_01867
OG0000710	Prar.g_01837	Syaf.g_01878
OG0000711	Prar.g_01853	Syaf.g_01908
OG0000712	Prar.g_01855	Syaf.g_01910
OG0000713	Prar.g_01856	Syaf.g_01911
OG0000714	Prar.g_01857	Syaf.g_01913
OG0000715	Prar.g_01859	Syaf.g_01915
OG0000716	Prar.g_01861	Syaf.g_01919
OG0000717	Prar.g_01862	Syaf.g_01920
OG0000718	Prar.g_01873	Syaf.g_01924
OG0000719	Prar.g_01875	Syaf.g_01926
OG0000720	Prar.g_01884	Syaf.g_01939
OG0000721	Prar.g_01886	Syaf.g_01941
OG0000722	Prar.g_01887	Syaf.g_01942
OG0000723	Prar.g_01890	Syaf.g_01957
OG0000724	Prar.g_01899	Syaf.g_01418
OG0000725	Prar.g_01905	Syaf.g_01445
OG0000726	Prar.g_01906	Syaf.g_01446
OG0000727	Prar.g_01907	Syaf.g_01447
OG0000728	Prar.g_01909	Syaf.g_01449
OG0000729	Prar.g_01955	Syaf.g_00405
OG0000730	Prar.g_01324	Syaf.g_00026
OG0000731	Prar.g_01320	Syaf.g_00014
OG0000732	Prar.g_01314	Syaf.g_00444
OG0000733	Prar.g_01295	Syaf.g_00615
OG0000734	Prar.g_01278	Syaf.g_00895
OG0000735	Prar.g_01276	Syaf.g_01273
OG0000736	Prar.g_01275	Syaf.g_01274
OG0000737	Prar.g_01274	Syaf.g_01275
OG0000738	Prar.g_01270	Syaf.g_01280
OG0000739	Prar.g_01269	Syaf.g_01281
OG0000740	Prar.g_01268	Syaf.g_01282
OG0000741	Prar.g_01267	Syaf.g_01285
OG0000742	Prar.g_01264	Syaf.g_01287
OG0000743	Prar.g_01262	Syaf.g_01289
OG0000744	Prar.g_01261	Syaf.g_01290
OG0000745	Prar.g_01260	Syaf.g_01293
OG0000746	Prar.g_01258	Syaf.g_01295
OG0000747	Prar.g_01257	Syaf.g_01296
OG0000748	Prar.g_01254	Syaf.g_01307
OG0000749	Prar.g_01253	Syaf.g_01309
OG0000750	Prar.g_01252	Syaf.g_01310
OG0000751	Prar.g_01250	Syaf.g_01317
OG0000752	Prar.g_01248	Syaf.g_01319
OG0000753	Prar.g_01245	Syaf.g_01322
OG0000754	Prar.g_01242	Syaf.g_01611
OG0000755	Prar.g_01239	Syaf.g_01599
OG0000756	Prar.g_01238	Syaf.g_01598
OG0000757	Prar.g_01232	Syaf.g_01590
OG0000758	Prar.g_01231	Syaf.g_01589
OG0000759	Prar.g_01230	Syaf.g_01588
OG0000760	Prar.g_01229	Syaf.g_01587
OG0000761	Prar.g_01228	Syaf.g_01586
OG0000762	Prar.g_01227	Syaf.g_01584
OG0000763	Prar.g_01225	Syaf.g_01582
OG0000764	Prar.g_01224	Syaf.g_01581
OG0000765	Prar.g_01215	Syaf.g_01564
OG0000766	Prar.g_01214	Syaf.g_01563
OG0000767	Prar.g_01212	Syaf.g_01561
OG0000768	Prar.g_01211	Syaf.g_01560
OG0000769	Prar.g_01209	Syaf.g_01558
OG0000770	Prar.g_01207	Syaf.g_01553
OG0000771	Prar.g_00376	Syaf.g_01411
OG0000772	Prar.g_00976	Syaf.g_01705
OG0000773	Prar.g_00964	Syaf.g_01268
OG0000774	Prar.g_00962	Syaf.g_01263
OG0000775	Prar.g_00960	Syaf.g_01261
OG0000776	Prar.g_00959	Syaf.g_01260
OG0000777	Prar.g_00958	Syaf.g_01259
OG0000778	Prar.g_00957	Syaf.g_01258
OG0000779	Prar.g_00953	Syaf.g_01252
OG0000780	Prar.g_00952	Syaf.g_01249
OG0000781	Prar.g_00949	Syaf.g_01245
OG0000782	Prar.g_00948	Syaf.g_01244
OG0000783	Prar.g_00947	Syaf.g_01243
OG0000784	Prar.g_00946	Syaf.g_01242
OG0000785	Prar.g_00944	Syaf.g_01240
OG0000786	Prar.g_00942	Syaf.g_02546
OG0000787	Prar.g_00941	Syaf.g_02547
OG0000788	Prar.g_00924	Syaf.g_02297
OG0000789	Prar.g_00921	Syaf.g_01750
OG0000790	Prar.g_00906	Syaf.g_02738
OG0000791	Prar.g_00904	Syaf.g_02740
OG0000792	Prar.g_00903	Syaf.g_02741
OG0000793	Prar.g_00900	Syaf.g_02746
OG0000794	Prar.g_00899	Syaf.g_02747
OG0000795	Prar.g_00898	Syaf.g_02748
OG0000796	Prar.g_00894	Syaf.g_02752
OG0000797	Prar.g_00893	Syaf.g_02753
OG0000798	Prar.g_00866	Syaf.g_00240
OG0000799	Prar.g_00357	Syaf.g_02380
OG0000800	Prar.g_00356	Syaf.g_02383
OG0000801	Prar.g_00355	Syaf.g_02384
OG0000802	Prar.g_00353	Syaf.g_02388
OG0000803	Prar.g_00351	Syaf.g_02393
OG0000804	Prar.g_00350	Syaf.g_02396
OG0000805	Prar.g_00348	Syaf.g_02398
OG0000806	Prar.g_00346	Syaf.g_02405
OG0000807	Prar.g_00345	Syaf.g_02406
OG0000808	Prar.g_00344	Syaf.g_02407
OG0000809	Prar.g_00341	Syaf.g_02410
OG0000810	Prar.g_00340	Syaf.g_02411
OG0000811	Prar.g_00336	Syaf.g_02420
OG0000812	Prar.g_00842	Syaf.g_02422
OG0000813	Prar.g_00841	Syaf.g_02423
OG0000814	Prar.g_00839	Syaf.g_02425
OG0000815	Prar.g_00838	Syaf.g_02426
OG0000816	Prar.g_00836	Syaf.g_02428
OG0000817	Prar.g_00835	Syaf.g_02429
OG0000818	Prar.g_00830	Syaf.g_02442
OG0000819	Prar.g_00829	Syaf.g_02443
OG0000820	Prar.g_00828	Syaf.g_02444
OG0000821	Prar.g_00824	Syaf.g_02450
OG0000822	Prar.g_00823	Syaf.g_02452
OG0000823	Prar.g_00822	Syaf.g_02453
OG0000824	Prar.g_00819	Syaf.g_02459
OG0000825	Prar.g_00818	Syaf.g_02460
OG0000826	Prar.g_00817	Syaf.g_02461
OG0000827	Prar.g_00816	Syaf.g_02462
OG0000828	Prar.g_00813	Syaf.g_02465
OG0000829	Prar.g_00812	Syaf.g_02466
OG0000830	Prar.g_00811	Syaf.g_02467
OG0000831	Prar.g_00809	Syaf.g_02470
OG0000832	Prar.g_00803	Syaf.g_01109
OG0000833	Prar.g_00795	Syaf.g_01100
OG0000834	Prar.g_00794	Syaf.g_01098
OG0000835	Prar.g_00793	Syaf.g_01097
OG0000836	Prar.g_00792	Syaf.g_01093
OG0000837	Prar.g_00791	Syaf.g_01091
OG0000838	Prar.g_00789	Syaf.g_01087
OG0000839	Prar.g_00788	Syaf.g_01086
OG0000840	Prar.g_00787	Syaf.g_01085
OG0000841	Prar.g_00786	Syaf.g_01084
OG0000842	Prar.g_00785	Syaf.g_01083
OG0000843	Prar.g_00784	Syaf.g_01082
OG0000844	Prar.g_00783	Syaf.g_01080
OG0000845	Prar.g_00782	Syaf.g_01079
OG0000846	Prar.g_00781	Syaf.g_01078
OG0000847	Prar.g_00780	Syaf.g_01077
OG0000848	Prar.g_00779	Syaf.g_01075
OG0000849	Prar.g_00778	Syaf.g_01074
OG0000850	Prar.g_00776	Syaf.g_01072
OG0000851	Prar.g_00775	Syaf.g_01061
OG0000852	Prar.g_00774	Syaf.g_01060
OG0000853	Prar.g_00770	Syaf.g_01056
OG0000854	Prar.g_00768	Syaf.g_01054
OG0000855	Prar.g_00767	Syaf.g_01053
OG0000856	Prar.g_00753	Syaf.g_02328
OG0000857	Prar.g_00725	Syaf.g_02031
OG0000858	Prar.g_01149	Syaf.g_01047
OG0000859	Prar.g_01148	Syaf.g_01046
OG0000860	Prar.g_01141	Syaf.g_01031
OG0000861	Prar.g_01140	Syaf.g_01030
OG0000862	Prar.g_01139	Syaf.g_01029
OG0000863	Prar.g_01137	Syaf.g_01026
OG0000864	Prar.g_01136	Syaf.g_01025
OG0000865	Prar.g_01135	Syaf.g_01024
OG0000866	Prar.g_01134	Syaf.g_01023
OG0000867	Prar.g_01133	Syaf.g_01022
OG0000868	Prar.g_01132	Syaf.g_01019
OG0000869	Prar.g_01128	Syaf.g_01014
OG0000870	Prar.g_01123	Syaf.g_01009
OG0000871	Prar.g_01122	Syaf.g_01008
OG0000872	Prar.g_01121	Syaf.g_01001
OG0000873	Prar.g_01965	Syaf.g_00998
OG0000874	Prar.g_01968	Syaf.g_01002
OG0000875	Prar.g_01969	Syaf.g_00996
OG0000876	Prar.g_01970	Syaf.g_01198
OG0000877	Prar.g_01963	Syaf.g_01188
OG0000878	Prar.g_01962	Syaf.g_01187
OG0000879	Prar.g_01961	Syaf.g_01186
OG0000880	Prar.g_01960	Syaf.g_01185
OG0000881	Prar.g_00595, Prar.g_01956	Syaf.g_01179
OG0000882	Prar.g_00600	Syaf.g_01174
OG0000883	Prar.g_00601	Syaf.g_01172
OG0000884	Prar.g_00603	Syaf.g_01170
OG0000885	Prar.g_00604	Syaf.g_01169
OG0000886	Prar.g_00605	Syaf.g_01168
OG0000887	Prar.g_00606	Syaf.g_01167
OG0000888	Prar.g_00608	Syaf.g_01165
OG0000889	Prar.g_00610	Syaf.g_01163
OG0000890	Prar.g_00611	Syaf.g_01157
OG0000891	Prar.g_00612	Syaf.g_01156
OG0000892	Prar.g_01119	Syaf.g_01154
OG0000893	Prar.g_01114	Syaf.g_00178
OG0000894	Prar.g_01112	Syaf.g_00175
OG0000895	Prar.g_01109	Syaf.g_00171
OG0000896	Prar.g_01108	Syaf.g_00170
OG0000897	Prar.g_01106	Syaf.g_00168
OG0000898	Prar.g_01105	Syaf.g_00167
OG0000899	Prar.g_01104	Syaf.g_00166
OG0000900	Prar.g_01103	Syaf.g_00165
OG0000901	Prar.g_01100	Syaf.g_00160
OG0000902	Prar.g_01098	Syaf.g_00158
OG0000903	Prar.g_01095	Syaf.g_00141
OG0000904	Prar.g_01093	Syaf.g_00146
OG0000905	Prar.g_01088	Syaf.g_00151
OG0000906	Prar.g_01087	Syaf.g_00154
OG0000907	Prar.g_01069	Syaf.g_00139
OG0000908	Prar.g_01066	Syaf.g_00136
OG0000909	Prar.g_01065	Syaf.g_00135
OG0000910	Prar.g_01064	Syaf.g_00134
OG0000911	Prar.g_01062	Syaf.g_00132
OG0000912	Prar.g_01061	Syaf.g_00131
OG0000913	Prar.g_01060	Syaf.g_00130
OG0000914	Prar.g_01059	Syaf.g_00129
OG0000915	Prar.g_01058	Syaf.g_00127
OG0000916	Prar.g_01057	Syaf.g_00126
OG0000917	Prar.g_01056	Syaf.g_00125
OG0000918	Prar.g_01055	Syaf.g_00124
OG0000919	Prar.g_01054	Syaf.g_00123
OG0000920	Prar.g_01053	Syaf.g_00122
OG0000921	Prar.g_01052	Syaf.g_00121
OG0000922	Prar.g_01051	Syaf.g_00120
OG0000923	Prar.g_01047	Syaf.g_00116
OG0000924	Prar.g_01046	Syaf.g_00115
OG0000925	Prar.g_01045	Syaf.g_00114
OG0000926	Prar.g_01044	Syaf.g_00113
OG0000927	Prar.g_01042	Syaf.g_00111
OG0000928	Prar.g_01041	Syaf.g_00110
OG0000929	Prar.g_01040	Syaf.g_00109
OG0000930	Prar.g_01039	Syaf.g_00108
OG0000931	Prar.g_01038	Syaf.g_00107
OG0000932	Prar.g_01037	Syaf.g_00106
OG0000933	Prar.g_01033	Syaf.g_00100
OG0000934	Prar.g_01031	Syaf.g_00098
OG0000935	Prar.g_01030	Syaf.g_00097
OG0000936	Prar.g_01029	Syaf.g_00096
OG0000937	Prar.g_01028	Syaf.g_00095
OG0000938	Prar.g_01026	Syaf.g_00092
OG0000939	Prar.g_01025	Syaf.g_00091
OG0000940	Prar.g_01019	Syaf.g_00084
OG0000941	Prar.g_01017	Syaf.g_00082
OG0000942	Prar.g_01015	Syaf.g_00080
OG0000943	Prar.g_01014	Syaf.g_00079
OG0000944	Prar.g_01013	Syaf.g_00077
OG0000945	Prar.g_01012	Syaf.g_00075
OG0000946	Prar.g_00617	Syaf.g_00070
OG0000947	Prar.g_00619	Syaf.g_00067
OG0000948	Prar.g_00620	Syaf.g_00066
OG0000949	Prar.g_00623	Syaf.g_00337
OG0000950	Prar.g_00628	Syaf.g_00351
OG0000951	Prar.g_00632	Syaf.g_00358
OG0000952	Prar.g_00636	Syaf.g_00363
OG0000953	Prar.g_00639	Syaf.g_00367
OG0000954	Prar.g_00643	Syaf.g_00372
OG0000955	Prar.g_00644	Syaf.g_00373
OG0000956	Prar.g_00646	Syaf.g_00375
OG0000957	Prar.g_00651	Syaf.g_00386
OG0000958	Prar.g_00652	Syaf.g_00387
OG0000959	Prar.g_00656	Syaf.g_00391
OG0000960	Prar.g_00657	Syaf.g_00392
OG0000961	Prar.g_00659	Syaf.g_00402
OG0000962	Prar.g_00661	Syaf.g_00404
OG0000963	Prar.g_00664	Syaf.g_00409
OG0000964	Prar.g_00665	Syaf.g_00410
OG0000965	Prar.g_00666	Syaf.g_00411
OG0000966	Prar.g_00673	Syaf.g_00421
OG0000967	Prar.g_00677	Syaf.g_00426
OG0000968	Prar.g_00679	Syaf.g_00417
OG0000969	Prar.g_00680	Syaf.g_00423
OG0000970	Prar.g_00681	Syaf.g_00424
OG0000971	Prar.g_00682	Syaf.g_00429
OG0000972	Prar.g_00683	Syaf.g_00430
OG0000973	Prar.g_00684	Syaf.g_00431
OG0000974	Prar.g_00685	Syaf.g_00432
OG0000975	Prar.g_00686	Syaf.g_00433
OG0000976	Prar.g_00687	Syaf.g_00434
OG0000977	Prar.g_00688	Syaf.g_00436
OG0000978	Prar.g_00689	Syaf.g_00437
OG0000979	Prar.g_00692	Syaf.g_00440
OG0000980	Prar.g_00694	Syaf.g_00443
OG0000981	Prar.g_00696	Syaf.g_00446
OG0000982	Prar.g_00698	Syaf.g_00645
OG0000983	Prar.g_00699	Syaf.g_00644
OG0000984	Prar.g_00700	Syaf.g_00643
OG0000985	Prar.g_00703	Syaf.g_00641
OG0000986	Prar.g_00705	Syaf.g_00639
OG0000987	Prar.g_00706	Syaf.g_00637
OG0000988	Prar.g_00709	Syaf.g_00633
OG0000989	Prar.g_00073	Syaf.g_00624
OG0000990	Prar.g_00070	Syaf.g_00606
OG0000991	Prar.g_00069	Syaf.g_00604
OG0000992	Prar.g_00067	Syaf.g_00601
OG0000993	Prar.g_00066	Syaf.g_00600
OG0000994	Prar.g_00065	Syaf.g_00597
OG0000995	Prar.g_00061	Syaf.g_00592
OG0000996	Prar.g_00060	Syaf.g_00543
OG0000997	Prar.g_00059	Syaf.g_00532
OG0000998	Prar.g_00057	Syaf.g_00530
OG0000999	Prar.g_00056	Syaf.g_00529
OG0001000	Prar.g_00053	Syaf.g_00526
OG0001001	Prar.g_00051	Syaf.g_00521
OG0001002	Prar.g_00047	Syaf.g_00515
OG0001003	Prar.g_00046	Syaf.g_00514
OG0001004	Prar.g_00045	Syaf.g_00513
OG0001005	Prar.g_00044	Syaf.g_00510
OG0001006	Prar.g_00040	Syaf.g_00500
OG0001007	Prar.g_00038	Syaf.g_00498
OG0001008	Prar.g_00485	Syaf.g_01215
OG0001009	Prar.g_00011	Syaf.g_00466
OG0001010	Prar.g_00010	Syaf.g_00465
OG0001011	Prar.g_00009	Syaf.g_00463
OG0001012	Prar.g_00577	Syaf.g_00649
OG0001013	Prar.g_00571	Syaf.g_00669
OG0001014	Prar.g_00568	Syaf.g_00691
OG0001015	Prar.g_00567	Syaf.g_00692
OG0001016	Prar.g_00255	Syaf.g_00958
OG0001017	Prar.g_00251	Syaf.g_00952
OG0001018	Prar.g_00248	Syaf.g_00950
OG0001019	Prar.g_00239	Syaf.g_00931
OG0001020	Prar.g_00238	Syaf.g_00926
OG0001021	Prar.g_00237	Syaf.g_00922
OG0001022	Prar.g_00234	Syaf.g_00918
OG0001023	Prar.g_00233	Syaf.g_00917
OG0001024	Prar.g_00230	Syaf.g_00913
OG0001025	Prar.g_00224	Syaf.g_00906
OG0001026	Prar.g_00217	Syaf.g_00893
OG0001027	Prar.g_00216	Syaf.g_00884
OG0001028	Prar.g_00214	Syaf.g_00882
OG0001029	Prar.g_00213	Syaf.g_00880
OG0001030	Prar.g_00198	Syaf.g_00860
OG0001031	Prar.g_00141	Syaf.g_00784
OG0001032	Prar.g_00140	Syaf.g_00781
OG0001034	Prar.g_00091	Syaf.g_02787
OG0001035	Prar.g_00333	Syaf.g_00207
OG0001036	Prar.g_00328	Syaf.g_00212
OG0001037	Prar.g_00327	Syaf.g_00214
OG0001038	Prar.g_00309	Syaf.g_00242
OG0001039	Prar.g_00306	Syaf.g_00245
OG0001040	Prar.g_00304	Syaf.g_00248
OG0001041	Prar.g_00300	Syaf.g_00253
OG0001042	Prar.g_00283	Syaf.g_00275
OG0001043	Prar.g_00282	Syaf.g_00279
OG0001044	Prar.g_00393	Syaf.g_00024
OG0001045	Prar.g_00402	Syaf.g_00011
OG0001046	Prar.g_00440	Syaf.g_01894
OG0001047	Prar.g_00487	Syaf.g_01217
OG0001048	Prar.g_00488	Syaf.g_01218
OG0001049	Prar.g_00490	Syaf.g_01226
OG0001050	Prar.g_00491	Syaf.g_01227
OG0001051	Prar.g_00492	Syaf.g_01228
OG0001052	Prar.g_00521	Syaf.g_02502
OG0001053	Prar.g_00533	Syaf.g_02718
OG0001054	Prar.g_01329	Syaf.g_02701
OG0001056	Prar.g_01366	Syaf.g_02649
OG0001057	Prar.g_01371	Syaf.g_02638
OG0001058	Prar.g_01379	Syaf.g_02624
OG0001059	Prar.g_01383	Syaf.g_02620
OG0001060	Prar.g_01390	Syaf.g_02614
OG0001061	Prar.g_01403	Syaf.g_02590
OG0001062	Prar.g_01405	Syaf.g_02588
OG0001063	Prar.g_01407	Syaf.g_02583
OG0001064	Prar.g_01408	Syaf.g_02582
OG0001065	Prar.g_01409	Syaf.g_02581
OG0001066	Prar.g_01410	Syaf.g_02580
OG0001067	Prar.g_01411	Syaf.g_02579
OG0001068	Prar.g_01412	Syaf.g_02578
OG0001069	Prar.g_01413	Syaf.g_02577
OG0001070	Prar.g_01416	Syaf.g_02574
OG0001071	Prar.g_01417	Syaf.g_02573
OG0001072	Prar.g_01419	Syaf.g_02569
OG0001073	Prar.g_01434	Syaf.g_02555
OG0001074	Prar.g_01445	Syaf.g_02365
OG0001075	Prar.g_01446	Syaf.g_02363
OG0001076	Prar.g_01454	Syaf.g_02337
OG0001077	Prar.g_01458	Syaf.g_02325
OG0001078	Prar.g_01466	Syaf.g_02309
OG0001079	Prar.g_01477	Syaf.g_02296
OG0001080	Prar.g_01483	Syaf.g_01740
OG0001081	Prar.g_01485	Syaf.g_02144
OG0001082	Prar.g_01486	Syaf.g_02143
OG0001083	Prar.g_01491	Syaf.g_02136
OG0001084	Prar.g_01492	Syaf.g_02135
OG0001085	Prar.g_01500	Syaf.g_02125
OG0001086	Prar.g_01501	Syaf.g_02123
OG0001087	Prar.g_01518	Syaf.g_01482
OG0001088	Prar.g_01519	Syaf.g_01478
OG0001089	Prar.g_01527	Syaf.g_01453
OG0001090	Prar.g_01600	Syaf.g_01981
OG0001091	Prar.g_01602	Syaf.g_01979
OG0001092	Prar.g_01603	Syaf.g_01977
OG0001093	Prar.g_01608	Syaf.g_01971
OG0001094	Prar.g_01678	Syaf.g_02055
OG0001095	Prar.g_01697	Syaf.g_02034
OG0001096	Prar.g_01710	Syaf.g_02018
OG0001097	Prar.g_01728	Syaf.g_01373
OG0001098	Prar.g_01744	Syaf.g_01743
OG0001099	Prar.g_01764	Syaf.g_00881
OG0001100	Prar.g_01768	Syaf.g_02110
OG0001101	Prar.g_01770	Syaf.g_02109
OG0001102	Prar.g_01773	Syaf.g_02106
OG0001103	Prar.g_01775	Syaf.g_02104
OG0001104	Prar.g_01796	Syaf.g_02071
OG0001105	Prar.g_01800	Syaf.g_02067
OG0001106	Prar.g_01824	Syaf.g_01847
OG0001107	Prar.g_01831	Syaf.g_01859
OG0001108	Prar.g_01835	Syaf.g_01868
OG0001109	Prar.g_01836	Syaf.g_01877
OG0001110	Prar.g_01838	Syaf.g_01879
OG0001111	Prar.g_01839	Syaf.g_01881
OG0001112	Prar.g_01840	Syaf.g_01883
OG0001113	Prar.g_01841	Syaf.g_01884
OG0001114	Prar.g_01842	Syaf.g_01885
OG0001115	Prar.g_01844	Syaf.g_01889
OG0001116	Prar.g_01845	Syaf.g_01891
OG0001117	Prar.g_01846	Syaf.g_01892
OG0001118	Prar.g_01847	Syaf.g_01893
OG0001119	Prar.g_01848	Syaf.g_01895
OG0001120	Prar.g_01850	Syaf.g_01899
OG0001122	Prar.g_01876	Syaf.g_01927
OG0001123	Prar.g_01880	Syaf.g_01934
OG0001124	Prar.g_01882	Syaf.g_01936
OG0001125	Prar.g_01883	Syaf.g_01938
OG0001126	Prar.g_01893	Syaf.g_01409
OG0001127	Prar.g_01894	Syaf.g_01410
OG0001128	Prar.g_01896	Syaf.g_01413
OG0001129	Prar.g_01897	Syaf.g_01415
OG0001130	Prar.g_01898	Syaf.g_01416
OG0001131	Prar.g_01935	Syaf.g_02090
