Orthogroup	Prar	Syaf
OG0000033	Prar.g_00158	Syaf.g_00807
OG0000034	Prar.g_00945	Syaf.g_01241, Syaf.g_00837
OG0000035	Prar.g_00339	Syaf.g_02412
OG0000037	Prar.g_00219	Syaf.g_00899
OG0000038	Prar.g_00702	Syaf.g_00642
OG0000039	Prar.g_01516	Syaf.g_01395
OG0000041	Prar.g_00602	Syaf.g_01171
OG0000042	Prar.g_00660	Syaf.g_00403
OG0000044	Prar.g_01172	Syaf.g_01358, Syaf.g_01992
OG0000045	Prar.g_00432	Syaf.g_00979
OG0000047	Prar.g_00468, Prar.g_00257	Syaf.g_00030
OG0000048	Prar.g_00435	Syaf.g_00230
OG0000053	Prar.g_00589, Prar.g_00827	Syaf.g_02447
OG0000054	Prar.g_01436	Syaf.g_02376
OG0000055	Prar.g_01664	Syaf.g_01402
OG0000057	Prar.g_01528	Syaf.g_01452
OG0000058	Prar.g_00870, Prar.g_00362	Syaf.g_00316
OG0000059	Prar.g_01090	Syaf.g_00143
OG0000061	Prar.g_01263	Syaf.g_01288
OG0000062	Prar.g_00769	Syaf.g_02167
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syaf.g_00457
OG0000065	Prar.g_00221	Syaf.g_00903
OG0000066	Prar.g_01369	Syaf.g_02643
OG0000067	Prar.g_01684	Syaf.g_02049
OG0000068	Prar.g_00911	Syaf.g_02733
OG0000070	Prar.g_00498	Syaf.g_01237
OG0000071	Prar.g_00955	Syaf.g_01254
OG0000072	Prar.g_00156	Syaf.g_00805
OG0000073	Prar.g_01330	Syaf.g_02700
OG0000075	Prar.g_00629	Syaf.g_00353
OG0000076	Prar.g_00592, Prar.g_00653	Syaf.g_00388
OG0000077	Prar.g_00250	Syaf.g_00951
OG0000078	Prar.g_00088	Syaf.g_02782
OG0000081	Prar.g_01361	Syaf.g_02776
OG0000082	Prar.g_01414	Syaf.g_02576
OG0000084	Prar.g_00343	Syaf.g_02409
OG0000085	Prar.g_01150	Syaf.g_01048
OG0000086	Prar.g_00240	Syaf.g_00932
OG0000087	Prar.g_00189	Syaf.g_00848
OG0000088	Prar.g_00161	Syaf.g_00811
OG0000089	Prar.g_00416	Syaf.g_02807
OG0000090	Prar.g_01363	Syaf.g_02654
OG0000091	Prar.g_01472	Syaf.g_02302
OG0000094	Prar.g_01885	Syaf.g_01940
OG0000097	Prar.g_01222	Syaf.g_01574
OG0000098	Prar.g_00929	Syaf.g_01637
OG0000099	Prar.g_00872	Syaf.g_00312
OG0000100	Prar.g_00773	Syaf.g_02017
OG0000101	Prar.g_01027	Syaf.g_00093
OG0000102	Prar.g_00658	Syaf.g_00393
OG0000103	Prar.g_00050	Syaf.g_00520
OG0000104	Prar.g_00042	Syaf.g_00502
OG0000105	Prar.g_00313	Syaf.g_00235
OG0000106	Prar.g_00431	Syaf.g_01745
OG0000107	Prar.g_00446	Syaf.g_00177
OG0000108	Prar.g_00530	Syaf.g_02721
OG0000109	Prar.g_00544	Syaf.g_02706
OG0000110	Prar.g_01404	Syaf.g_02589
OG0000112	Prar.g_01652	Syaf.g_01852
OG0000113	Prar.g_01706	Syaf.g_02022
OG0000114	Prar.g_01776	Syaf.g_02103
OG0000115	Prar.g_01318	Syaf.g_02445
OG0000116	Prar.g_01273	Syaf.g_01276
OG0000117	Prar.g_01003	Syaf.g_01605
OG0000118	Prar.g_00943	Syaf.g_02544
OG0000120	Prar.g_00880	Syaf.g_00313
OG0000121	Prar.g_00337	Syaf.g_02419
OG0000123	Prar.g_01021	Syaf.g_00086
OG0000124	Prar.g_00668	Syaf.g_00414
OG0000125	Prar.g_00704	Syaf.g_00640
OG0000126	Prar.g_00043	Syaf.g_00504
OG0000128	Prar.g_00027	Syaf.g_00486
OG0000129	Prar.g_00576	Syaf.g_00651
OG0000130	Prar.g_00549	Syaf.g_00963
OG0000131	Prar.g_00182	Syaf.g_00833
OG0000132	Prar.g_00163	Syaf.g_00813
OG0000133	Prar.g_00265	Syaf.g_01857
OG0000134	Prar.g_00417	Syaf.g_02804
OG0000135	Prar.g_00444	Syaf.g_00605
OG0000136	Prar.g_00489	Syaf.g_01224
OG0000137	Prar.g_00525	Syaf.g_02498
OG0000138	Prar.g_00545	Syaf.g_02705
OG0000139	Prar.g_01367	Syaf.g_02648
OG0000140	Prar.g_01368	Syaf.g_02646
OG0000141	Prar.g_01437	Syaf.g_02375
OG0000142	Prar.g_01465	Syaf.g_02310
OG0000143	Prar.g_01469	Syaf.g_02306
OG0000144	Prar.g_01482	Syaf.g_01735
OG0000145	Prar.g_01651	Syaf.g_02699
OG0000146	Prar.g_01653	Syaf.g_01851
