Orthogroup	Prar	Syan
OG0000085	Prar.g_01150	Syan.g_01387
OG0000086	Prar.g_00240	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prar.g_00189	Syan.g_02268
OG0000088	Prar.g_00161	Syan.g_03031
OG0000089	Prar.g_00416	Syan.g_02316
OG0000090	Prar.g_01363	Syan.g_01166
OG0000091	Prar.g_01472	Syan.g_00235, Syan.g_00808
OG0000092	Prar.g_01781, Prar.g_00615	Syan.g_02502
OG0000094	Prar.g_01885	Syan.g_00353, Syan.g_00065
OG0000097	Prar.g_01222	Syan.g_00160, Syan.g_00733
OG0000098	Prar.g_00929	Syan.g_00043
OG0000099	Prar.g_00872	Syan.g_01968
OG0000100	Prar.g_00773	Syan.g_00658
OG0000101	Prar.g_01027	Syan.g_02199
OG0000102	Prar.g_00658	Syan.g_01891
OG0000103	Prar.g_00050	Syan.g_01692
OG0000104	Prar.g_00042	Syan.g_01792
OG0000105	Prar.g_00313	Syan.g_02031
OG0000106	Prar.g_00431	Syan.g_00076
OG0000107	Prar.g_00446	Syan.g_02106
OG0000108	Prar.g_00530	Syan.g_02764
OG0000109	Prar.g_00544	Syan.g_02748
OG0000110	Prar.g_01404	Syan.g_00882
OG0000111	Prar.g_01529	Syan.g_00187
OG0000112	Prar.g_01652	Syan.g_00556, Syan.g_00252
OG0000113	Prar.g_01706	Syan.g_00664
OG0000114	Prar.g_01776	Syan.g_00741
OG0000115	Prar.g_01318	Syan.g_02810
OG0000116	Prar.g_01273	Syan.g_02710, Syan.g_00460
OG0000117	Prar.g_01003	Syan.g_02644
OG0000118	Prar.g_00943	Syan.g_01241, Syan.g_01237
OG0000119	Prar.g_00915	Syan.g_02672
OG0000120	Prar.g_00880	Syan.g_01966
OG0000121	Prar.g_00337	Syan.g_01273
OG0000123	Prar.g_01021	Syan.g_02190
OG0000124	Prar.g_00668	Syan.g_01873
OG0000125	Prar.g_00704	Syan.g_01573
OG0000126	Prar.g_00043	Syan.g_01705
OG0000128	Prar.g_00027	Syan.g_01768
OG0000129	Prar.g_00576	Syan.g_01563
OG0000130	Prar.g_00549	Syan.g_02906, Syan.g_02907
OG0000131	Prar.g_00182	Syan.g_03008
OG0000132	Prar.g_00163	Syan.g_03029
OG0000133	Prar.g_00265	Syan.g_00561
OG0000134	Prar.g_00417	Syan.g_02319
OG0000135	Prar.g_00444	Syan.g_01616
OG0000136	Prar.g_00489	Syan.g_01342
OG0000137	Prar.g_00525	Syan.g_02846
OG0000138	Prar.g_00545	Syan.g_02747
OG0000140	Prar.g_01368	Syan.g_00042
OG0000141	Prar.g_01437	Syan.g_01032
OG0000142	Prar.g_01465	Syan.g_00816
OG0000143	Prar.g_01469	Syan.g_00812
OG0000144	Prar.g_01482	Syan.g_00782
OG0000145	Prar.g_01651	Syan.g_02740
OG0000146	Prar.g_01653	Syan.g_00555, Syan.g_00253
OG0000147	Prar.g_01654	Syan.g_00254, Syan.g_00554
OG0000148	Prar.g_01700	Syan.g_00670
OG0000149	Prar.g_01730	Syan.g_00393
OG0000150	Prar.g_01738	Syan.g_01031
OG0000151	Prar.g_01786	Syan.g_00731
OG0000152	Prar.g_01833	Syan.g_00565
OG0000153	Prar.g_01852	Syan.g_00601
OG0000154	Prar.g_01878	Syan.g_00363
OG0000155	Prar.g_01243	Syan.g_02654
OG0000156	Prar.g_00966	Syan.g_02717
OG0000157	Prar.g_00965	Syan.g_02718
OG0000158	Prar.g_00375	Syan.g_01078, Syan.g_01926
OG0000159	Prar.g_00380, Prar.g_00871	Syan.g_01120
OG0000160	Prar.g_00338	Syan.g_01274
OG0000161	Prar.g_00840	Syan.g_01268
OG0000162	Prar.g_00834	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prar.g_00800	Syan.g_02405
OG0000164	Prar.g_01964	Syan.g_01440
OG0000165	Prar.g_01971	Syan.g_01448
OG0000166	Prar.g_01063	Syan.g_02239
OG0000167	Prar.g_00627	Syan.g_01941
OG0000168	Prar.g_00637	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prar.g_00647	Syan.g_01912
OG0000170	Prar.g_00649	Syan.g_01901
OG0000171	Prar.g_00667	Syan.g_01875
OG0000172	Prar.g_00675	Syan.g_01810
OG0000173	Prar.g_00690	Syan.g_01720
OG0000174	Prar.g_00068	Syan.g_01619
OG0000175	Prar.g_00058	Syan.g_01678, Syan.g_00258
OG0000176	Prar.g_00034	Syan.g_01801
OG0000177	Prar.g_00033	Syan.g_01775
OG0000178	Prar.g_00032	Syan.g_01774
OG0000179	Prar.g_00022	Syan.g_01759
OG0000180	Prar.g_00021	Syan.g_01758
OG0000181	Prar.g_00020	Syan.g_01757
OG0000182	Prar.g_00019	Syan.g_01756
OG0000183	Prar.g_00015	Syan.g_01752
OG0000184	Prar.g_00573	Syan.g_01549
OG0000185	Prar.g_00570	Syan.g_01540
OG0000186	Prar.g_00554	Syan.g_02902
OG0000187	Prar.g_00553	Syan.g_02904
OG0000188	Prar.g_00246	Syan.g_02926
OG0000189	Prar.g_00232	Syan.g_02966
OG0000190	Prar.g_00231	Syan.g_00971
OG0000191	Prar.g_00211	Syan.g_02300
OG0000192	Prar.g_00207	Syan.g_02294
OG0000193	Prar.g_00181	Syan.g_03009
OG0000194	Prar.g_00178	Syan.g_03012
OG0000195	Prar.g_00176	Syan.g_03014
OG0000196	Prar.g_00166	Syan.g_03026
OG0000197	Prar.g_00165	Syan.g_03027
OG0000198	Prar.g_00164	Syan.g_03028
OG0000199	Prar.g_00157	Syan.g_03037
OG0000200	Prar.g_00143	Syan.g_03055
OG0000201	Prar.g_00135	Syan.g_03074
OG0000202	Prar.g_00134	Syan.g_03075
OG0000203	Prar.g_00133	Syan.g_03076
OG0000204	Prar.g_00132	Syan.g_03077
OG0000205	Prar.g_00125	Syan.g_03087
OG0000206	Prar.g_00120	Syan.g_03095
OG0000207	Prar.g_00118	Syan.g_03100
OG0000208	Prar.g_00117	Syan.g_03101
OG0000209	Prar.g_00108	Syan.g_01521
OG0000210	Prar.g_00107	Syan.g_01522
OG0000211	Prar.g_00094	Syan.g_02416
OG0000212	Prar.g_00087	Syan.g_01508, Syan.g_02438
OG0000213	Prar.g_00330	Syan.g_02059
OG0000214	Prar.g_00320	Syan.g_02040
OG0000215	Prar.g_00295	Syan.g_02010
OG0000216	Prar.g_00293	Syan.g_02006
OG0000217	Prar.g_01154, Prar.g_00290	Syan.g_02001
OG0000218	Prar.g_00288	Syan.g_01999
OG0000219	Prar.g_00287	Syan.g_01998
OG0000220	Prar.g_00286	Syan.g_01997
OG0000221	Prar.g_00285	Syan.g_01994
OG0000222	Prar.g_00277	Syan.g_01981
OG0000223	Prar.g_00264	Syan.g_00228
OG0000224	Prar.g_00262	Syan.g_01959
OG0000225	Prar.g_00406	Syan.g_02997
OG0000226	Prar.g_00410	Syan.g_02990
OG0000227	Prar.g_00412	Syan.g_02988
OG0000228	Prar.g_00415	Syan.g_02315
OG0000229	Prar.g_00484	Syan.g_02396
OG0000230	Prar.g_00486	Syan.g_02398
OG0000231	Prar.g_00497	Syan.g_01333
OG0000232	Prar.g_00506	Syan.g_02801
OG0000233	Prar.g_00512	Syan.g_02876
OG0000234	Prar.g_00526	Syan.g_02844
OG0000235	Prar.g_00529	Syan.g_02765
OG0000236	Prar.g_00543	Syan.g_02749
OG0000237	Prar.g_01337	Syan.g_02731
OG0000238	Prar.g_01343	Syan.g_02726
OG0000239	Prar.g_01355	Syan.g_01187
OG0000240	Prar.g_01356	Syan.g_01186
OG0000241	Prar.g_01360	Syan.g_00822
OG0000242	Prar.g_01362	Syan.g_01168
OG0000243	Prar.g_01373	Syan.g_00840
OG0000244	Prar.g_01376	Syan.g_00848
OG0000245	Prar.g_01378	Syan.g_00850
