Orthogroup	Pram	Pran
OG0000117	Pram.g_00416	Pran.g_01698
OG0000118	Pram.g_00437	Pran.g_01679
OG0000119	Pram.g_00470	Pran.g_01646
OG0000120	Pram.g_00471	Pran.g_01645
OG0000121	Pram.g_00480	Pran.g_01635
OG0000122	Pram.g_00489	Pran.g_01626
OG0000123	Pram.g_00522	Pran.g_01594
OG0000124	Pram.g_01059	Pran.g_01527
OG0000125	Pram.g_01058	Pran.g_01526
OG0000126	Pram.g_01057	Pran.g_01525
OG0000127	Pram.g_00777	Pran.g_01492
OG0000128	Pram.g_00803	Pran.g_01458
OG0000129	Pram.g_01006	Pran.g_01438
OG0000130	Pram.g_00905	Pran.g_01358
OG0000131	Pram.g_00807	Pran.g_01345
OG0000132	Pram.g_00843	Pran.g_01310
OG0000133	Pram.g_00751	Pran.g_00445
OG0000134	Pram.g_01038	Pran.g_00455
OG0000135	Pram.g_00947	Pran.g_00491
OG0000136	Pram.g_00891	Pran.g_00565
OG0000137	Pram.g_01549	Pran.g_00090
OG0000138	Pram.g_01146	Pran.g_00065
OG0000139	Pram.g_01133	Pran.g_00054
OG0000140	Pram.g_00571	Pran.g_00003
OG0000141	Pram.g_01254	Pran.g_00918
OG0000142	Pram.g_01242	Pran.g_00864
OG0000143	Pram.g_01468	Pran.g_00841
OG0000144	Pram.g_01393	Pran.g_00746
OG0000145	Pram.g_01377	Pran.g_00732
OG0000146	Pram.g_01341	Pran.g_00696
OG0000147	Pram.g_01294	Pran.g_00656
OG0000148	Pram.g_01293	Pran.g_00655
OG0000149	Pram.g_01629	Pran.g_00968
OG0000150	Pram.g_01669	Pran.g_01006
OG0000151	Pram.g_01672	Pran.g_01009
OG0000152	Pram.g_01691	Pran.g_01043, Pran.g_01028
OG0000153	Pram.g_01728	Pran.g_01063
OG0000154	Pram.g_01764	Pran.g_01100
OG0000155	Pram.g_01783	Pran.g_01118
OG0000156	Pram.g_01817	Pran.g_01145
OG0000157	Pram.g_01851	Pran.g_01177
OG0000158	Pram.g_01917	Pran.g_01239
OG0000160	Pram.g_01939	Pran.g_01258
OG0000161	Pram.g_01940	Pran.g_01259
OG0000162	Pram.g_01942	Pran.g_01261
OG0000163	Pram.g_01943	Pran.g_01262
OG0000164	Pram.g_01944	Pran.g_01263
OG0000165	Pram.g_01945	Pran.g_01264
OG0000166	Pram.g_01946	Pran.g_01265
OG0000167	Pram.g_01947	Pran.g_01266
OG0000168	Pram.g_01948	Pran.g_01267
OG0000169	Pram.g_01950	Pran.g_01269
OG0000170	Pram.g_00001	Pran.g_00410
OG0000171	Pram.g_00002	Pran.g_00409
OG0000172	Pram.g_00003	Pran.g_00408
OG0000173	Pram.g_00004	Pran.g_00407
OG0000174	Pram.g_00005	Pran.g_00406
OG0000175	Pram.g_00006	Pran.g_00405
OG0000176	Pram.g_00007	Pran.g_00404
OG0000177	Pram.g_00008	Pran.g_00403
OG0000178	Pram.g_00009	Pran.g_00402
OG0000179	Pram.g_00011	Pran.g_00400
OG0000180	Pram.g_00012	Pran.g_00399
OG0000181	Pram.g_00013	Pran.g_00398
OG0000182	Pram.g_00014	Pran.g_00397
OG0000183	Pram.g_00015	Pran.g_00396
OG0000184	Pram.g_00016	Pran.g_00395
OG0000185	Pram.g_00019	Pran.g_00392
OG0000186	Pram.g_00021	Pran.g_00389
OG0000187	Pram.g_00022	Pran.g_00388
OG0000188	Pram.g_00023	Pran.g_00387
OG0000189	Pram.g_00024	Pran.g_00385
OG0000190	Pram.g_00026	Pran.g_00383
OG0000191	Pram.g_00028	Pran.g_00382
OG0000192	Pram.g_00029	Pran.g_00381
OG0000193	Pram.g_00030	Pran.g_00380
