Orthogroup	Prar	Prbl
OG0000038	Prar.g_00879	Prbl.g_00835, Prbl.g_00830
OG0000040	Prar.g_00978	Prbl.g_01822
OG0000041	Prar.g_01453	Prbl.g_01618
OG0000045	Prar.g_01414	Prbl.g_01783
OG0000046	Prar.g_01649	Prbl.g_01072, Prbl.g_01310
OG0000047	Prar.g_01263	Prbl.g_02084
OG0000049	Prar.g_00870, Prar.g_00362	Prbl.g_00890
OG0000050	Prar.g_00161	Prbl.g_01838, Prbl.g_00281
OG0000051	Prar.g_00420	Prbl.g_02355
OG0000053	Prar.g_01599	Prbl.g_01839, Prbl.g_02567
OG0000054	Prar.g_01150	Prbl.g_00405
OG0000055	Prar.g_00592, Prar.g_00653	Prbl.g_01285
OG0000056	Prar.g_00007	Prbl.g_01977
OG0000057	Prar.g_00170, Prar.g_01569	Prbl.g_00290
OG0000058	Prar.g_00431	Prbl.g_00411
OG0000059	Prar.g_01369	Prbl.g_00752
OG0000061	Prar.g_01644	Prbl.g_01943
OG0000062	Prar.g_01706	Prbl.g_02310
OG0000063	Prar.g_01307	Prbl.g_00138
OG0000066	Prar.g_00525	Prbl.g_01340
OG0000067	Prar.g_01528	Prbl.g_00025
OG0000070	Prar.g_01904	Prbl.g_00927
OG0000071	Prar.g_01003	Prbl.g_01384
OG0000072	Prar.g_00955	Prbl.g_01722
OG0000074	Prar.g_00880	Prbl.g_00892
OG0000075	Prar.g_01027	Prbl.g_01126, Prbl.g_01000
OG0000076	Prar.g_00886	Prbl.g_00889
OG0000077	Prar.g_00027	Prbl.g_02109
OG0000078	Prar.g_00265	Prbl.g_00897
OG0000079	Prar.g_00444	Prbl.g_02190
OG0000080	Prar.g_01499	Prbl.g_01395
OG0000081	Prar.g_01521	Prbl.g_01859
OG0000082	Prar.g_01691	Prbl.g_02328
OG0000084	Prar.g_01833	Prbl.g_02478
OG0000085	Prar.g_01953	Prbl.g_02128
OG0000086	Prar.g_01296	Prbl.g_02204
OG0000090	Prar.g_00872	Prbl.g_00893
OG0000091	Prar.g_00839	Prbl.g_00226
OG0000092	Prar.g_01166	Prbl.g_00462
OG0000093	Prar.g_01090	Prbl.g_00952
OG0000094	Prar.g_01030	Prbl.g_00996
OG0000095	Prar.g_00627	Prbl.g_00857
OG0000096	Prar.g_00696	Prbl.g_01991
OG0000098	Prar.g_00035	Prbl.g_02118
OG0000099	Prar.g_00015	Prbl.g_01968
OG0000101	Prar.g_00570	Prbl.g_02273
OG0000102	Prar.g_00215	Prbl.g_01331
OG0000103	Prar.g_00207	Prbl.g_01316
OG0000104	Prar.g_00189	Prbl.g_00810
OG0000105	Prar.g_00157	Prbl.g_00277
OG0000106	Prar.g_00143	Prbl.g_00069
OG0000107	Prar.g_00135	Prbl.g_00088
OG0000108	Prar.g_00125	Prbl.g_00098
OG0000109	Prar.g_00088	Prbl.g_00193
OG0000110	Prar.g_00076	Prbl.g_01506
OG0000111	Prar.g_00313	Prbl.g_01461
OG0000112	Prar.g_00303	Prbl.g_01448
OG0000113	Prar.g_00290	Prbl.g_01432
OG0000114	Prar.g_00262	Prbl.g_00877
OG0000115	Prar.g_00524	Prbl.g_01341
OG0000116	Prar.g_00526	Prbl.g_01339
