Orthogroup	Syai	Prau
OG0000061	Syai.g_02144	Prau.g_01206
OG0000062	Syai.g_02358	Prau.g_01609
OG0000063	Syai.g_00042	Prau.g_00032, Prau.g_01295
OG0000066	Syai.g_01709, Syai.g_00719	Prau.g_00579
OG0000067	Syai.g_01321	Prau.g_00854
OG0000068	Syai.g_00628	Prau.g_01409
OG0000070	Syai.g_02196	Prau.g_00491
OG0000071	Syai.g_02179	Prau.g_01371
OG0000072	Syai.g_02636	Prau.g_00172
OG0000073	Syai.g_00659	Prau.g_00540
OG0000075	Syai.g_00161	Prau.g_01901
OG0000076	Syai.g_00111	Prau.g_00037, Prau.g_01925
OG0000077	Syai.g_02486	Prau.g_00079
OG0000078	Syai.g_00543	Prau.g_00240
OG0000079	Syai.g_00300	Prau.g_00254
OG0000081	Syai.g_00553, Syai.g_02292	Prau.g_00571
OG0000082	Syai.g_00781	Prau.g_00624
OG0000084	Syai.g_01196, Syai.g_00958	Prau.g_01524
OG0000085	Syai.g_02365	Prau.g_01725
OG0000086	Syai.g_02507	Prau.g_00089
OG0000087	Syai.g_02592	Prau.g_00140
OG0000088	Syai.g_02630	Prau.g_00167
OG0000089	Syai.g_00517	Prau.g_00358
OG0000090	Syai.g_00707	Prau.g_00573
OG0000091	Syai.g_01112	Prau.g_00682
OG0000092	Syai.g_01358	Prau.g_00961, Prau.g_00052, Prau.g_00451
OG0000093	Syai.g_01306	Prau.g_00983
OG0000094	Syai.g_01424	Prau.g_01070
OG0000095	Syai.g_02007	Prau.g_01089
OG0000097	Syai.g_01787	Prau.g_01247
OG0000098	Syai.g_01718	Prau.g_01391
OG0000099	Syai.g_00199	Prau.g_01435
OG0000100	Syai.g_01372	Prau.g_01605
OG0000101	Syai.g_00404	Prau.g_01869
OG0000102	Syai.g_00106	Prau.g_01930
OG0000103	Syai.g_02912	Prau.g_02009
OG0000104	Syai.g_02929	Prau.g_02018
OG0000105	Syai.g_00267	Prau.g_00276
OG0000106	Syai.g_01601	Prau.g_00373
