Orthogroup	Species	Pran	Orthologs
OG0000000	Praj	Pran.g_01423, Pran.g_00931, Pran.g_00601	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbc.g_02165
OG0000000	Prbm	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prat.g_01549
OG0000000	Praf	Pran.g_01423, Pran.g_00931, Pran.g_00601	Praf.g_00813
OG0000000	Prah	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prah.g_01348
OG0000000	Prbj	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbj.g_00164
OG0000000	Prbk	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbk.g_00165
OG0000000	Prbl	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prbl.g_00116
OG0000000	Prao	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prao.g_01515
OG0000000	Prav	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prav.g_01695
OG0000000	Prac	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prac.g_00292
OG0000000	Praq	Pran.g_01423, Pran.g_00931, Pran.g_00601	Praq.g_00026
OG0000000	Prar	Pran.g_01423, Pran.g_00931, Pran.g_00601	Prar.g_00729
OG0000000	Prab	Pran.g_01423	Prab.g_00760
OG0000000	Prab	Pran.g_00931	Prab.g_01630
OG0000000	Praa	Pran.g_00601	Praa.g_01598
OG0000000	Prai	Pran.g_00601	Prai.g_01592
OG0000000	Prag	Pran.g_00601	Prag.g_01608
OG0000000	Praw	Pran.g_00601	Praw.g_00455
OG0000000	Prax	Pran.g_00601	Prax.g_01608
OG0000000	Prbi	Pran.g_00601	Prbi.g_01709
OG0000000	Pray	Pran.g_00601	Pray.g_01603
OG0000000	Praz	Pran.g_00601	Praz.g_00921
OG0000000	Prba	Pran.g_00601	Prba.g_00269
OG0000000	Prad	Pran.g_00601	Prad.g_00392
OG0000000	Prbd	Pran.g_00601	Prbd.g_01568
OG0000000	Prae	Pran.g_00601	Prae.g_01580
OG0000000	Pras	Pran.g_00601	Pras.g_00470
OG0000000	Prau	Pran.g_00601	Prau.g_01648
OG0000000	Prab	Pran.g_00601	Prab.g_01598
OG0000000	Praa	Pran.g_00579, Pran.g_00001, Pran.g_00602	Praa.g_01597
OG0000000	Prbb	Pran.g_00579, Pran.g_00001, Pran.g_00602	Prbb.g_00103
OG0000000	Praj	Pran.g_00579, Pran.g_00001, Pran.g_00602	Praj.g_00087
OG0000000	Prbc	Pran.g_00579, Pran.g_00001, Pran.g_00602	Prbc.g_00525
OG0000000	Prao	Pran.g_00579	Prao.g_01514
OG0000000	Prbd	Pran.g_00579	Prbd.g_01569
OG0000000	Prab	Pran.g_00579	Prab.g_00918
OG0000000	Prab	Pran.g_00579	Prab.g_01620
OG0000000	Prab	Pran.g_00001	Prab.g_01278
OG0000000	Prab	Pran.g_00602	Prab.g_01278
OG0000000	Prab	Pran.g_00001	Prab.g_01597
OG0000000	Prab	Pran.g_00602	Prab.g_01597
OG0000000	Prac	Pran.g_00001	Prac.g_00926
OG0000000	Prac	Pran.g_00602	Prac.g_00926
OG0000000	Prad	Pran.g_00001	Prad.g_00393
OG0000000	Prad	Pran.g_00602	Prad.g_00393
OG0000000	Prad	Pran.g_00001	Prad.g_01435
OG0000000	Prad	Pran.g_00602	Prad.g_01435
OG0000000	Prae	Pran.g_00001	Prae.g_01222
OG0000000	Prae	Pran.g_00602	Prae.g_01222
OG0000000	Prae	Pran.g_00001	Prae.g_01579
OG0000000	Prae	Pran.g_00602	Prae.g_01579
OG0000000	Prag	Pran.g_00001	Prag.g_01213
OG0000000	Prag	Pran.g_00602	Prag.g_01213
OG0000000	Prag	Pran.g_00001	Prag.g_01607
OG0000000	Prag	Pran.g_00602	Prag.g_01607
OG0000000	Prag	Pran.g_00001	Prag.g_01650
OG0000000	Prag	Pran.g_00602	Prag.g_01650
OG0000000	Prai	Pran.g_00001	Prai.g_00908
OG0000000	Prai	Pran.g_00602	Prai.g_00908
OG0000000	Prai	Pran.g_00001	Prai.g_01234
OG0000000	Prai	Pran.g_00602	Prai.g_01234
OG0000000	Prai	Pran.g_00001	Prai.g_01591
OG0000000	Prai	Pran.g_00602	Prai.g_01591
OG0000000	Prai	Pran.g_00001	Prai.g_01775
OG0000000	Prai	Pran.g_00602	Prai.g_01775
OG0000000	Prao	Pran.g_00001	Prao.g_01029
OG0000000	Praq	Pran.g_00001	Praq.g_00025
