Orthogroup	Prac	Syas
OG0000180	Prac.g_01930	Syas.g_02055
OG0000181	Prac.g_01929	Syas.g_02056
OG0000182	Prac.g_01928	Syas.g_02057
OG0000183	Prac.g_01924	Syas.g_02061
OG0000184	Prac.g_01885	Syas.g_01872
OG0000185	Prac.g_01882	Syas.g_01861
OG0000186	Prac.g_01867	Syas.g_02525
OG0000187	Prac.g_01866	Syas.g_02524
OG0000188	Prac.g_01849	Syas.g_02502
OG0000189	Prac.g_01835	Syas.g_02432
OG0000190	Prac.g_01834	Syas.g_00133
OG0000191	Prac.g_01814	Syas.g_02400
OG0000192	Prac.g_01810	Syas.g_02395
OG0000193	Prac.g_01784	Syas.g_02366
OG0000194	Prac.g_01781	Syas.g_02363
OG0000195	Prac.g_01779	Syas.g_02360
OG0000196	Prac.g_01769	Syas.g_02337
OG0000197	Prac.g_01768	Syas.g_02336
OG0000198	Prac.g_01767	Syas.g_02335
OG0000199	Prac.g_01760	Syas.g_02327
OG0000200	Prac.g_01746	Syas.g_02298
OG0000201	Prac.g_01738	Syas.g_02279
OG0000202	Prac.g_01737	Syas.g_02278
OG0000203	Prac.g_01736	Syas.g_02277
OG0000204	Prac.g_01735	Syas.g_02276
OG0000205	Prac.g_01728	Syas.g_02267
OG0000206	Prac.g_01723	Syas.g_02240
OG0000207	Prac.g_01721	Syas.g_02237
OG0000208	Prac.g_01720	Syas.g_02236
OG0000209	Prac.g_01711	Syas.g_01837
OG0000210	Prac.g_01710	Syas.g_01838
OG0000211	Prac.g_01697	Syas.g_02552
OG0000212	Prac.g_01690	Syas.g_02562
OG0000213	Prac.g_01674	Syas.g_01707
OG0000214	Prac.g_01664	Syas.g_01730
OG0000215	Prac.g_01639	Syas.g_01766
OG0000216	Prac.g_01637	Syas.g_01770
OG0000217	Prac.g_01634	Syas.g_01778
OG0000218	Prac.g_01632	Syas.g_01780
OG0000219	Prac.g_01631	Syas.g_01783
OG0000220	Prac.g_01630	Syas.g_01784
OG0000221	Prac.g_01629	Syas.g_01785
OG0000222	Prac.g_01621	Syas.g_01804
OG0000223	Prac.g_01608	Syas.g_02221
OG0000224	Prac.g_01606	Syas.g_02215
OG0000225	Prac.g_01188	Syas.g_01522
OG0000226	Prac.g_01184	Syas.g_01518
OG0000227	Prac.g_01182	Syas.g_01516
OG0000228	Prac.g_01179	Syas.g_01513
OG0000229	Prac.g_01111	Syas.g_01497
OG0000230	Prac.g_01109	Syas.g_01495
OG0000231	Prac.g_01098	Syas.g_02749
OG0000232	Prac.g_01089	Syas.g_01276
OG0000233	Prac.g_01082	Syas.g_01352
OG0000234	Prac.g_01068	Syas.g_01331
OG0000235	Prac.g_01065	Syas.g_01254
OG0000236	Prac.g_01051	Syas.g_01237
OG0000237	Prac.g_00865	Syas.g_01220
OG0000238	Prac.g_00859	Syas.g_01215
OG0000239	Prac.g_00847	Syas.g_00012
OG0000240	Prac.g_00846	Syas.g_00013
OG0000241	Prac.g_00842	Syas.g_00754
OG0000242	Prac.g_00840	Syas.g_00059
OG0000243	Prac.g_00829	Syas.g_00777
OG0000244	Prac.g_00826	Syas.g_00784
OG0000245	Prac.g_00824	Syas.g_00786
OG0000246	Prac.g_00820	Syas.g_00790
OG0000247	Prac.g_00810	Syas.g_00802
OG0000248	Prac.g_00808	Syas.g_00805
OG0000249	Prac.g_00806	Syas.g_00807
OG0000250	Prac.g_00801	Syas.g_00814
OG0000251	Prac.g_00782	Syas.g_00845
OG0000252	Prac.g_00778	Syas.g_00950
OG0000253	Prac.g_00777	Syas.g_00846
OG0000254	Prac.g_00760	Syas.g_00869
OG0000255	Prac.g_00754	Syas.g_00132, Syas.g_01062
OG0000256	Prac.g_00744	Syas.g_00104
OG0000257	Prac.g_00741	Syas.g_00757
OG0000258	Prac.g_00728	Syas.g_00733
OG0000259	Prac.g_00711	Syas.g_01006, Syas.g_00708
OG0000260	Prac.g_00708	Syas.g_00705
OG0000261	Prac.g_00706	Syas.g_00701
OG0000262	Prac.g_00702	Syas.g_00695
OG0000263	Prac.g_00690	Syas.g_01103
OG0000264	Prac.g_00680	Syas.g_02588
OG0000266	Prac.g_01550	Syas.g_00186
OG0000267	Prac.g_01539	Syas.g_00377
OG0000268	Prac.g_01538	Syas.g_00390
OG0000269	Prac.g_01480	Syas.g_00601
OG0000270	Prac.g_01477	Syas.g_00598
OG0000271	Prac.g_01469	Syas.g_00590
OG0000272	Prac.g_01468	Syas.g_00589
OG0000273	Prac.g_01445	Syas.g_00563
OG0000274	Prac.g_01444	Syas.g_00562
OG0000275	Prac.g_01442	Syas.g_00230
OG0000276	Prac.g_01437	Syas.g_00237
OG0000277	Prac.g_01436	Syas.g_00238
OG0000278	Prac.g_01433	Syas.g_00241
OG0000279	Prac.g_01426	Syas.g_00288
OG0000280	Prac.g_01425	Syas.g_00889, Syas.g_00481
OG0000281	Prac.g_01420	Syas.g_00970
OG0000282	Prac.g_01382	Syas.g_00672
OG0000283	Prac.g_01350	Syas.g_00409
OG0000284	Prac.g_01345	Syas.g_00416
OG0000285	Prac.g_01340	Syas.g_00436
OG0000286	Prac.g_01328	Syas.g_00460
OG0000287	Prac.g_01311	Syas.g_00534
OG0000288	Prac.g_01283	Syas.g_00220
OG0000289	Prac.g_01272	Syas.g_00205
OG0000290	Prac.g_01259	Syas.g_01016
OG0000291	Prac.g_01257	Syas.g_01018
OG0000292	Prac.g_01207	Syas.g_02020
OG0000293	Prac.g_00994	Syas.g_01197
OG0000294	Prac.g_00993	Syas.g_01196
OG0000295	Prac.g_00973	Syas.g_01139
OG0000296	Prac.g_00971	Syas.g_01137
OG0000297	Prac.g_00963	Syas.g_01124
OG0000298	Prac.g_00962	Syas.g_01123
OG0000299	Prac.g_00945	Syas.g_01087
OG0000300	Prac.g_00942	Syas.g_01082
OG0000301	Prac.g_00941	Syas.g_01081
OG0000302	Prac.g_00939	Syas.g_01080
OG0000303	Prac.g_00932	Syas.g_01071
OG0000304	Prac.g_00928	Syas.g_01066
OG0000305	Prac.g_00209	Syas.g_01023
OG0000306	Prac.g_00212	Syas.g_01929
OG0000307	Prac.g_00226	Syas.g_01270
OG0000308	Prac.g_00227	Syas.g_01272
OG0000309	Prac.g_00231	Syas.g_01364
OG0000310	Prac.g_00426	Syas.g_02796
OG0000311	Prac.g_00424	Syas.g_02799
OG0000312	Prac.g_00421	Syas.g_02804
OG0000313	Prac.g_00407	Syas.g_02823
OG0000314	Prac.g_00384	Syas.g_01296
OG0000315	Prac.g_00374	Syas.g_01306
OG0000316	Prac.g_00354	Syas.g_02728
OG0000317	Prac.g_00627	Syas.g_02687
OG0000318	Prac.g_00624	Syas.g_02680
OG0000319	Prac.g_00611	Syas.g_02663
OG0000320	Prac.g_00609	Syas.g_02661
OG0000321	Prac.g_00608	Syas.g_02660
OG0000322	Prac.g_00607	Syas.g_02659
OG0000323	Prac.g_00598	Syas.g_02646, Syas.g_00159
OG0000324	Prac.g_00572	Syas.g_02578
OG0000325	Prac.g_00477	Syas.g_01668
OG0000326	Prac.g_00483	Syas.g_01661
OG0000327	Prac.g_00507	Syas.g_01634
OG0000328	Prac.g_00508	Syas.g_01633
OG0000329	Prac.g_00525	Syas.g_01615
OG0000330	Prac.g_00526	Syas.g_01614
OG0000331	Prac.g_00527	Syas.g_01613
OG0000332	Prac.g_00541	Syas.g_01598
OG0000333	Prac.g_00543	Syas.g_01595
OG0000334	Prac.g_00551	Syas.g_01586
OG0000335	Prac.g_00555	Syas.g_01581
OG0000336	Prac.g_00559	Syas.g_01577
OG0000337	Prac.g_00013	Syas.g_02211
OG0000338	Prac.g_00014	Syas.g_02199
OG0000339	Prac.g_00018	Syas.g_02192
OG0000340	Prac.g_00026	Syas.g_02183
OG0000341	Prac.g_00028	Syas.g_02181
OG0000342	Prac.g_00029	Syas.g_02180
OG0000343	Prac.g_00030	Syas.g_02176
OG0000344	Prac.g_00033	Syas.g_02172
OG0000345	Prac.g_00038	Syas.g_02160
OG0000346	Prac.g_00042	Syas.g_02155
OG0000347	Prac.g_00057	Syas.g_02136
OG0000348	Prac.g_00066	Syas.g_02107
OG0000349	Prac.g_00083	Syas.g_02085
OG0000350	Prac.g_00101	Syas.g_01654
OG0000351	Prac.g_00118	Syas.g_01998
OG0000352	Prac.g_00119	Syas.g_01999
OG0000353	Prac.g_01948	Syas.g_02033
OG0000355	Prac.g_01946	Syas.g_02035
OG0000356	Prac.g_01945	Syas.g_02036
OG0000357	Prac.g_01944	Syas.g_02037
OG0000358	Prac.g_01940	Syas.g_02041
OG0000359	Prac.g_01939	Syas.g_02043
