Orthogroup	Prac	Praj
OG0000148	Prac.g_01459	Praj.g_00787
OG0000149	Prac.g_01429	Praj.g_00819
OG0000150	Prac.g_01421	Praj.g_00828
OG0000151	Prac.g_01374	Praj.g_00898
OG0000152	Prac.g_01327	Praj.g_01601, Praj.g_00946
OG0000153	Prac.g_01308	Praj.g_00965
OG0000154	Prac.g_01282	Praj.g_00995
OG0000155	Prac.g_00965	Praj.g_01440
OG0000156	Prac.g_00164	Praj.g_01517
OG0000157	Prac.g_00165	Praj.g_01518
OG0000158	Prac.g_00447	Praj.g_01995
OG0000159	Prac.g_00452	Praj.g_02043
OG0000160	Prac.g_00410	Praj.g_01633
OG0000161	Prac.g_00404	Praj.g_01639
OG0000162	Prac.g_00398	Praj.g_01645
OG0000163	Prac.g_00364	Praj.g_01681
OG0000164	Prac.g_00601	Praj.g_01790
OG0000165	Prac.g_00594	Praj.g_01798
OG0000166	Prac.g_00512	Praj.g_01915
OG0000167	Prac.g_00015	Praj.g_01985
OG0000168	Prac.g_00025	Praj.g_01996
OG0000169	Prac.g_00035	Praj.g_02006
OG0000170	Prac.g_00037	Praj.g_02008
OG0000171	Prac.g_00055	Praj.g_02030
OG0000172	Prac.g_00063	Praj.g_02061
OG0000173	Prac.g_00078	Praj.g_02076
OG0000174	Prac.g_00105	Praj.g_02107
OG0000175	Prac.g_00115	Praj.g_02125
OG0000176	Prac.g_01943	Praj.g_00004
OG0000177	Prac.g_01942	Praj.g_00005
OG0000178	Prac.g_01941	Praj.g_00006
OG0000179	Prac.g_01931	Praj.g_00016
OG0000180	Prac.g_01930	Praj.g_00017
OG0000181	Prac.g_01929	Praj.g_00018
OG0000182	Prac.g_01928	Praj.g_00019
OG0000183	Prac.g_01924	Praj.g_00023
OG0000184	Prac.g_01885	Praj.g_00050
OG0000185	Prac.g_01882	Praj.g_00053
OG0000186	Prac.g_01867	Praj.g_00102
OG0000187	Prac.g_01866	Praj.g_00103
OG0000188	Prac.g_01849	Praj.g_00120
OG0000189	Prac.g_01835	Praj.g_00134
OG0000190	Prac.g_01834	Praj.g_00135
OG0000191	Prac.g_01814	Praj.g_00158
OG0000192	Prac.g_01810	Praj.g_00162
OG0000193	Prac.g_01784	Praj.g_00186
OG0000194	Prac.g_01781	Praj.g_00189
OG0000195	Prac.g_01779	Praj.g_00191
OG0000196	Prac.g_01769	Praj.g_00201
OG0000197	Prac.g_01768	Praj.g_00202
OG0000198	Prac.g_01767	Praj.g_00203
OG0000199	Prac.g_01760	Praj.g_00210
OG0000200	Prac.g_01746	Praj.g_00223
OG0000201	Prac.g_01738	Praj.g_00232
OG0000202	Prac.g_01737	Praj.g_00233
OG0000203	Prac.g_01736	Praj.g_00234
OG0000204	Prac.g_01735	Praj.g_00235
OG0000205	Prac.g_01728	Praj.g_00242
OG0000206	Prac.g_01723	Praj.g_00246
OG0000207	Prac.g_01721	Praj.g_00248
OG0000208	Prac.g_01720	Praj.g_00249
OG0000209	Prac.g_01711	Praj.g_00258
OG0000210	Prac.g_01710	Praj.g_00259
OG0000211	Prac.g_01697	Praj.g_00273
OG0000212	Prac.g_01690	Praj.g_00281
OG0000213	Prac.g_01674	Praj.g_00296
OG0000214	Prac.g_01664	Praj.g_00304
OG0000215	Prac.g_01639	Praj.g_00328
OG0000216	Prac.g_01637	Praj.g_00329
OG0000217	Prac.g_01634	Praj.g_00332
OG0000218	Prac.g_01632	Praj.g_00334
OG0000219	Prac.g_01631	Praj.g_00335
OG0000220	Prac.g_01630	Praj.g_00336
OG0000221	Prac.g_01629	Praj.g_00337
OG0000222	Prac.g_01621	Praj.g_00345
OG0000223	Prac.g_01608	Praj.g_00358
OG0000224	Prac.g_01606	Praj.g_00360
OG0000225	Prac.g_01188	Praj.g_00391
OG0000226	Prac.g_01184	Praj.g_00395
OG0000227	Prac.g_01182	Praj.g_00397
OG0000228	Prac.g_01179	Praj.g_00402
OG0000229	Prac.g_01111	Praj.g_00430
OG0000230	Prac.g_01109	Praj.g_00432
OG0000231	Prac.g_01098	Praj.g_00443
OG0000232	Prac.g_01089	Praj.g_00451
OG0000233	Prac.g_01082	Praj.g_00459
OG0000234	Prac.g_01068	Praj.g_00468
OG0000235	Prac.g_01065	Praj.g_00472
OG0000236	Prac.g_01051	Praj.g_00485
OG0000237	Prac.g_00865	Praj.g_00498
OG0000238	Prac.g_00859	Praj.g_00504
OG0000239	Prac.g_00847	Praj.g_00516
OG0000240	Prac.g_00846	Praj.g_00517
OG0000241	Prac.g_00842	Praj.g_00521
OG0000242	Prac.g_00840	Praj.g_00523
OG0000243	Prac.g_00829	Praj.g_00534
OG0000244	Prac.g_00826	Praj.g_00537
OG0000245	Prac.g_00824	Praj.g_00539
OG0000246	Prac.g_00820	Praj.g_00543
OG0000247	Prac.g_00810	Praj.g_00553
OG0000248	Prac.g_00808	Praj.g_00555
OG0000249	Prac.g_00806	Praj.g_00557
OG0000250	Prac.g_00801	Praj.g_00562
OG0000251	Prac.g_00782	Praj.g_00578
OG0000252	Prac.g_00778	Praj.g_00580
OG0000253	Prac.g_00777	Praj.g_00582
OG0000254	Prac.g_00760	Praj.g_00599
OG0000255	Prac.g_00754	Praj.g_00605
OG0000256	Prac.g_00744	Praj.g_00615
OG0000257	Prac.g_00741	Praj.g_00618
OG0000258	Prac.g_00728	Praj.g_00631
OG0000259	Prac.g_00711	Praj.g_00648
